Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No, Amount ,Description,Post Code,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Cap Grt Loc Auth,"Regions, Cities and Devolution",West Midlands Combined Authority,2000022322," £10,000,000.00 ",Future Mobility Zones Fund Capital,B19 3SD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,27/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",Tesla Motors Limited,2000022053," £9,856,000.00 ","PICG Tesla  December  2019 #9,856,000.00",UB7 8JD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BAM MORGAN SINDALL JOINT VENTURE,781701," £9,125,340.73 ",SR13 Smart Motorway Scheme,LS27 0NQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000021665," £8,510,500.00 ",2019/20 Highways Maintenance Block fourth quarter,EX2 4QJ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,West Midlands Trains,2000020165," £8,375,719.54 ",2010 Wk4 Franchise Subsidy FM v6_P2010 - West Midl,B4 6GA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,14/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,West Midlands Trains,1500000014," £8,375,719.54 ",2010 Wk4 Franchise Subsidy FM v6_P2010 - West Midl,B4 6GA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,West Midlands Trains,2000022340," £8,375,719.54 ",2011 Wk4 Franchise Subsidy FM v6_P2011 - West Midl,B4 6GA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,MERSEYTRAVEL,2000020162," £8,313,325.49 ",2010 Wk4 Franchise Subsidy inc Admin and Controlla,L3 2AN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,06/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,MERSEYTRAVEL,1500000011," £8,313,325.49 ",2010 Wk4 Franchise Subsidy inc Admin and Controlla,L3 2AN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,MERSEYTRAVEL,2000022321," £8,313,325.49 ",2011 Wk4 Franchise Subsidy inc Admin and Controlla,L3 2AN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN GALLIFORD TRY SM JV,781385," £7,904,230.64 ",SR13 Smart Motorway Scheme,NN6 7SL,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,09/01/2020,000000 AUC - Phase 1,AUC - Phase 1,BALFOUR BEATTY VINCI JV - HS2 (N2),#," £7,401,457.93 ",MWCC Stage One TP ,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,21/01/2020,000000 AUC - Phase 1,AUC - Phase 1,CADENT GAS LIMITED,#," £6,838,577.28 ",Cadent Support Services 19/20,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,16/01/2020,000000 AUC - Phase 1,AUC - Phase 1,AFFINITY WATER LIMITED,#," £6,626,751.69 ",Scope A – Project Management Organisation,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,SCOTTISH AND SOUTHERN ELECTRICTY NETWORKS,781688," £6,560,000.00 ",Feasibility,PH1 3AQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Lincolnshire County Council,2000021752," £6,238,750.00 ",2019/20 Highways Maintenance Block fourth quarter,LN1 1YL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BMJV,781388," £5,991,962.04 ",SR13 Smart Motorway Scheme,LS27 0NQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,NORTH YORKSHIRE CC,2000021729," £5,964,500.00 ",2019/20 Highways Maintenance Block fourth quarter,DL7 8AL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,West Yorkshire Combined Authority,2000021753," £5,876,750.00 ",2019/20 Highways Maintenance Block fourth quarter,LS1 2DE,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,NORFOLK COUNTY COUNCIL,2000021682," £5,760,750.00 ",2019/20 Highways Maintenance Block fourth quarter,NR1 2UG,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,03/01/2020,Eurotunnel Admin Pay,DG_Rail - Passenger Services,SNCF Caisse Generale,2000020280," £5,534,397.27 ",FUNDS FOR DEC 2019 EXCHANGE PLUS TVA,93633,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,08/01/2020,000000 AUC - Phase 1,AUC - Phase 1,EIFFAGE KIER JOINT VENTURE C3,#," £5,530,882.75 ",HP/MWCC Stage One C3 Contract,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,KENT COUNTY COUNCIL,2000021671," £5,487,250.00 ",2019/20 Highways Maintenance Block fourth quarter,ME14 1QX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,03/01/2020,Eurotunnel Admin Pay,DG_Rail - Passenger Services,SNCF TRESORERIE ENC RHT VFE,2000020281," £5,456,327.05 ",FUNDS FOR DEC 2019. EXCHANGE PLUS TVA,75014,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,CUMBRIA COUNTY COUNCIL,2000021662," £5,447,750.00 ",2019/20 Highways Maintenance Block fourth quarter,CA3 8NA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,HAMPSHIRE COUNTY COUNCIL,2000021668," £5,396,000.00 ",2019/20 Highways Maintenance Block fourth quarter,SO23 8UB,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,22/01/2020,000000 AUC - Phase 1,AUC - Phase 1,NETWORK RAIL INFRASTRUCTURE LTD,#," £5,156,387.69 ",Decommissioning of Platforms 17 & 18,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,16/01/2020,P20070 - Phase 2,Environmental Services,OVE ARUP & PARTNERS LIMITED,#," £5,130,480.64 ",CDES Arup 19/20 PO Additional Uplift Base Scope,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,783179," £5,054,289.71 ",RIS 2 Schemes,SW1V 1LQ,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,08/01/2020,000000 AUC - Phase 1,AUC - Phase 1,EIFFAGE KIER JOINT VENTURE C2,#," £4,993,006.98 ",HP/MWCC Stage One C2 Contract,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,03/01/2020,Eurotunnel Admin Pay,DG_Rail - Passenger Services,Eurotunnel,2000020296," £4,978,124.94 ",#,CT18 8XX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,ESSEX COUNTY COUNCIL,2000021667," £4,943,500.00 ",2019/20 Highways Maintenance Block fourth quarter,CM1 1LX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,03/01/2020,Eurotunnel Admin Pay,DG_Rail - Passenger Services,EUROTUNNEL,2000020334," £4,850,997.73 ",#,CT18 8XY,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,28-01-2020,TA Cost AUC - Programme,IT DIRECTORATE,TELEFONICA O2 UK LIMITED,783079," £4,644,000.00 ",Support General Corporate Services,MK77 1UB,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Lancashire County Council,2000021672," £4,641,750.00 ",2019/20 Highways Maintenance Block fourth quarter,PR1 0LD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,SOMERSET COUNTY COUNCIL,2000021685," £4,529,000.00 ",2019/20 Highways Maintenance Block fourth quarter,TA1 4DY,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Support Services,Corporate Finance,High Speed Two (HS2) Ltd,100026607," £4,435,995.57 ",#,E14 5AB,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL (GRANTS),2000021708," £4,388,250.00 ",2019/20 Highways Maintenance Block fourth quarter,IP1 2DH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,13-01-2020,TA Cost AUC - Programme,STRATEGY & PLANNING DIR,WIGAN BOROUGH COUNCIL,PWI/384347660," £4,151,243.81 ",Growth and Housing Delivery,WN1 1AZ,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,17/01/2020,000000 AUC - Phase 1,AUC - Phase 1,HS2 PHASE 1 ENGINEERING DELIVERY,#," £4,119,584.30 ",18/20 Service Tasks,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Staffordshire County Council,2000021732," £4,038,500.00 ",2019/20 Highways Maintenance Block fourth quarter,ST16 2DH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,30/01/2020,Funding - Agencies,#NoData,DVLA,2000022398," £4,000,000.00 ",#,SA6 7JL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,DERBYSHIRE COUNTY COUNCIL,2000021664," £3,818,250.00 ",2019/20 Highways Maintenance Block fourth quarter,DE4 3AH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,BMV JV,781306," £3,759,066.47 ",Renewals of Structures,B62 8HD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,COWI A/S ARCADIS CH2M JV,783286," £3,662,853.20 ",RIS 2 Schemes,W6 7EF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,GLOUCESTERSHIRE COUNTY COUNCIL,2000021658," £3,587,500.00 ",2019/20 Highways Maintenance Block fourth quarter,GL1 2TJ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Hertfordshire County Council,2000021669," £3,581,750.00 ",2019/20 Highways Maintenance Block fourth quarter,SG13 8DN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Northumberland County Council,2000021730," £3,509,000.00 ",2019/20 Highways Maintenance Block fourth quarter,NE61 2EF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,North East Combined Authority,2000021757," £3,487,250.00 ",2019/20 Integrated Transport Block fourth quarter,NE1 8QH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Surrey County Council,2000021687," £3,362,250.00 ",2019/20 Highways Maintenance Block fourth quarter,KT1 2DN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,OXFORDSHIRE CC,2000021679," £3,358,500.00 ",2019/20 Highways Maintenance Block fourth quarter,OX1 1TH,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,WILTSHIRE COUNCIL,2000021742," £3,339,250.00 ",2019/20 Highways Maintenance Block fourth quarter,BA14 4DS,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,SHROPSHIRE COUNTY COUNCIL,2000021733," £3,318,750.00 ",2019/20 Highways Maintenance Block fourth quarter,SY2 6ND,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,West Yorkshire Combined Authority,2000021753," £3,276,000.00 ",2019/20 Integrated Transport Block fourth quarter,LS1 2DE,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,NORTHAMPTONSHIRE CC,2000021678," £3,073,000.00 ",2019/20 Highways Maintenance Block fourth quarter,NN4 7DB,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000021704," £3,019,000.00 ",2019/20 Highways Maintenance Block fourth quarter,WR5 2NP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Nottinghamshire County Council,2000021731," £3,001,500.00 ",2019/20 Highways Maintenance Block fourth quarter,NG2 7QP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,27/01/2020,Transport  Consult,#N/A,High Speed Two (HS2) Ltd,2000022069," £2,959,525.00 ",#,E14 5AB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,NORTHERN GAS NETWORKS,781669," £2,891,211.96 ",Feasibility,LS10 9BY,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,LEICESTERSHIRE COUNTY COUNCIL,2000021698," £2,860,500.00 ",2019/20 Highways Maintenance Block fourth quarter,LE3 8RB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,PFI Service Payments,OPERATIONS DIRECTORATE,UK HIGHWAYS M40 LTD,782361," £2,828,678.55 ",Operate Roads PFI Service Payments,OX16 3YT,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,RM - Electricity costs,FINANCE & BUSINESS SERVICES,EDF ENERGY (NON CIS) CHARGES,782284," £2,817,154.57 ",Routine Maintenance,PL3 5XQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,West Sussex County Council,2000021693," £2,760,750.00 ",2019/20 Highways Maintenance Block fourth quarter,PO19 1RG,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,PFI Service Payments,OPERATIONS DIRECTORATE,ROAD MANAGEMENT SERVICES (DARRINGTON) LTD,781909," £2,660,581.81 ",Operate Roads PFI Service Payments,BS1 4DJ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,13/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",Nissan Motors GB Limited,2000020872," £2,644,500.00 ","PICG Nissan  November  2019  #2,644,500.00",WD3 9YS,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,DORSET COUNTY COUNCIL,2000021666," £2,641,000.00 ",2019/20 Highways Maintenance Block fourth quarter,DT1 1XJ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,Arriva Rail North Limited,2000020163," £2,620,847.00 ",2010 Wk4 CP6 Interim Payment P2010 - Arriva Rail N,M1 2NF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Basic Franchise Pay,DG_Rail - Passenger Services,Arriva Rail North Limited,2000022333," £2,620,847.00 ",2011 Wk4 CP6 Interim Payment P2011 - Arriva Rail N,M1 2NF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,16/01/2020,Support Services,Aviation,Office Of Communications (Ofcom),2000021308," £2,605,634.50 ",#,SE1 9HA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Warwickshire County Council,2000021703," £2,605,250.00 ",2019/20 Highways Maintenance Block fourth quarter,CV34 4RH,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,22/01/2020,000000 AUC - Phase 1,AUC - Phase 1,NETWORK RAIL INFRASTRUCTURE LTD,#," £2,533,677.88 ",Euston Asset Site Clearance,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Sheffield City Region,2000021734," £2,528,250.00 ",2019/20 Highways Maintenance Block fourth quarter,S1 4PL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Subsidies Private Se,Local,WEST MIDLANDS TRAVEL LTD,2000022254," £2,501,911.94 ",West Midlands Travel Ltd,B9 4BZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,783260," £2,452,125.06 ",SR13 RIP Schemes,SL6 4UB,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,15/01/2020,P20070 - Phase 2,Professional Services,AECOM LTD,#," £2,449,149.01 ",CDES ACI 19/20 PO Uplift Base Scope ERP Correction,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,16/01/2020,P20070 - Phase 2,Professional Services,MWJV,#," £2,404,455.90 ",MWJV 19/20 PO uplift NPR,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Durham County Council,2000021755," £2,391,000.00 ",2019/20 Highways Maintenance Block fourth quarter,DH1 5UQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,Contractor Costs,FINANCE & BUSINESS SERVICES,EMOVIS OPERATIONS LEEDS LTD,781742," £2,318,266.45 ",Protocol Dart Charge,LS2 8LQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,HEREFORDSHIRE COUNCIL,2000021724," £2,318,000.00 ",2019/20 Highways Maintenance Block fourth quarter,HR4 0XH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,08-01-2020,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT M1-A1 LTD,781504," £2,245,868.71 ",Operate Roads PFI Service Payments,NW1 3AX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000021721," £2,222,250.00 ",2019/20 Highways Maintenance Block fourth quarter,HU17 9BA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,CurrGrt Las in AEF/A,DG_RAIL - Network Services,NEXUS,2000022320," £2,174,166.67 ",Nexus resource grant for December 2019,NE1 4AX,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,23/01/2020,000000 AUC - Phase 1,AUC - Phase 1,NATIONAL GRID ELECTRICITY TRANSMISSION,#," £2,150,975.29 ",ZF/ZFA ,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,17/01/2020,000000 AUC - Phase 1,AUC - Phase 1,HS2 PHASE 1 ENGINEERING DELIVERY,#," £2,145,408.10 ",Phase 1 Service delivery resource,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000021707," £2,138,500.00 ",2019/20 Highways Maintenance Block fourth quarter,BN7 1UE,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,BUCKINGHAMSHIRE CC (REVENUE),2000021660," £2,112,250.00 ",2019/20 Highways Maintenance Block fourth quarter,HP20 1UD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Sheffield City Region,2000021734," £2,107,000.00 ",2019/20 Integrated Transport Block fourth quarter,S1 4PL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Loc Auth,Local,Cheshire East Council,2000021740," £2,102,250.00 ",2019/20 Highways Maintenance Block fourth quarter,CW1 2JZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,APC204013," £1,983,451.40 ",Renewals of Roads,SG19 2BD,,,,,,,,,,,,,,,,,,,
