Cattle Births In Great Britain in 2008,,,,,,
,,,,,,
Breed,Breed Type,Sex,England,Scotland,Wales,Total Births For Breed
JERSEY X,Dairy,F,"4,286",532,"1,776","6,594"
,,M,"1,068",61,331,"1,460"
KERRY,Dairy,F,8,4,0,12
,,M,14,4,2,20
KERRY X,Dairy,F,1,1,1,3
,,M,4,0,0,4
LIMOUSIN,Non Dairy,F,"23,872","5,769","8,460","38,101"
,,M,"24,451","5,652","8,604","38,707"
LIMOUSIN X,Non Dairy,F,"145,769","74,139","41,838","261,746"
,,M,"149,451","74,658","43,345","267,454"
LINCOLN RED,Non Dairy,F,866,41,1,908
,,M,816,48,1,865
LINCOLN RED X,Non Dairy,F,461,51,22,534
,,M,532,57,29,618
LONGHORN,Non Dairy,F,"1,457",85,129,"1,671"
,,M,"1,483",82,136,"1,701"
LONGHORN X,Non Dairy,F,462,58,43,563
,,M,490,66,47,603
LUING,Non Dairy,F,119,"1,652",18,"1,789"
,,M,112,"1,692",5,"1,809"
LUING X,Non Dairy,F,52,592,1,645
,,M,70,560,1,631
MAINE ANJOU,Non Dairy,F,26,0,0,26
,,M,16,0,0,16
MAINE ANJOU X,Non Dairy,F,111,1,0,112
,,M,126,2,1,129
MARCHIGIANA,Non Dairy,F,1,0,2,3
,,M,1,0,0,1
MARCHIGIANA X,Non Dairy,F,12,1,8,21
,,M,9,0,11,20
MEUSE RHINE ISSEL,Non Dairy,F,674,80,284,"1,038"
,,M,813,98,311,"1,222"
MEUSE RHINE ISSEL X,Non Dairy,F,"1,042",144,339,"1,525"
,,M,"1,221",149,400,"1,770"
MONTBELIARDE,Non Dairy,F,944,239,68,"1,251"
,,M,815,264,47,"1,126"
MONTBELIARDE X,Non Dairy,F,"2,558","1,411",447,"4,416"
,,M,"2,556","1,543",474,"4,573"
MURRAY GREY,Non Dairy,F,153,13,38,204
,,M,148,2,35,185
MURRAY GREY X,Non Dairy,F,161,9,24,194
,,M,164,8,7,179
NORMANDE,Non Dairy,F,65,2,4,71
,,M,75,0,6,81
NORMANDE X,Non Dairy,F,82,7,1,90
,,M,82,3,3,88
NORTHERN DAIRY SH,Dairy,F,4,0,0,4
,,M,1,0,0,1
NORWEGIAN RED,Non Dairy,F,73,15,9,97
,,M,32,19,7,58
NORWEGIAN RED X,Non Dairy,F,488,317,176,981
,,M,402,316,102,820
OLD ENGLISH X,Non Dairy,F,1,0,0,1
,,M,7,0,0,7
OTHER DAIRY,Dairy,F,1,0,0,1
PARTHENAIS,Non Dairy,F,59,9,0,68
,,M,49,6,1,56
PARTHENAIS X,Non Dairy,F,307,43,9,359
,,M,319,37,16,372
PIEMONTESE,Non Dairy,F,84,0,5,89
,,M,81,0,3,84
PIEMONTESE X,Non Dairy,F,548,2,64,614
,,M,550,0,77,627
PINZGAUER,Non Dairy,M,1,0,0,1
PINZGAUER X,Non Dairy,F,3,0,0,3
,,M,2,0,0,2
RED & WHITE FRIESIAN,Dairy,F,67,1,14,82
,,M,49,4,4,57
RED POLL,Non Dairy,F,930,4,21,955
,,M,972,6,19,997
RED POLL X,Non Dairy,F,266,32,34,332
,,M,286,29,34,349
RIGGIT GALLOWAY,Dairy,F,9,1,0,10
,,M,12,1,0,13
RIGGITGALLOWAY CROSS,Dairy,F,9,0,0,9
,,M,7,1,0,8
ROMAGNOLA,Non Dairy,F,1,1,0,2
,,M,1,3,0,4
ROMAGNOLA X,Non Dairy,F,11,38,1,50
,,M,19,38,0,57
ROTEBUNDE X,Non Dairy,F,31,0,0,31
,,M,29,0,0,29
SALERS,Non Dairy,F,581,476,252,"1,309"
,,M,579,483,231,"1,293"
SALERS X,Non Dairy,F,"2,521","2,791",799,"6,111"
,,M,"2,548","2,761",763,"6,072"
SHETLAND,Non Dairy,F,113,100,7,220
,,M,110,72,12,194
SHETLAND X,Non Dairy,F,46,43,5,94
,,M,37,23,6,66
SHORTHORN,Non Dairy,F,"1,381",185,199,"1,765"
,,M,"1,581",183,193,"1,957"
SHORTHORN X,Non Dairy,F,"1,998","2,769",300,"5,067"
,,M,"1,918","2,713",316,"4,947"
SIMMENTAL,Non Dairy,F,"8,350","3,165",847,"12,362"
,,M,"8,593","3,320",894,"12,807"
SIMMENTAL X,Non Dairy,F,"45,825","32,617","4,787","83,229"
,,M,"47,581","33,485","4,940","86,006"
SOUTH DEVON,Non Dairy,F,"6,876",49,141,"7,066"
,,M,"6,872",39,113,"7,024"
SOUTH DEVON X,Non Dairy,F,"5,436",502,132,"6,070"
,,M,"5,361",477,146,"5,984"
STABILISER,Non Dairy,F,818,128,290,"1,236"
,,M,884,136,238,"1,258"
STABILISER X,Non Dairy,F,"3,261",521,592,"4,374"
,,M,"3,434",534,568,"4,536"
SUSSEX,Non Dairy,F,"1,608",2,0,"1,610"
,,M,"1,664",3,1,"1,668"
SUSSEX X,Non Dairy,F,"1,605",20,5,"1,630"
,,M,"1,786",26,4,"1,816"
SWEDISH RED,Dairy,F,134,7,33,174
,,M,110,1,27,138
SWEDISH RED & WHITE,Non Dairy,F,327,33,95,455
,,M,197,23,104,324
SWEDISH RED CROSS,Dairy,F,"1,224",221,274,"1,719"
,,M,978,183,179,"1,340"
SWEDISH RED POLLED,Dairy,F,2,0,0,2
,,M,4,0,0,4
SWEDISH RED&WHITE X,Non Dairy,F,"2,924",254,496,"3,674"
,,M,"2,263",205,386,"2,854"
SWISS BRAUNVIEH,Non Dairy,F,2,0,0,2
,,M,2,0,0,2
SWISS BRAUNVIEH X,Non Dairy,F,11,0,1,12
,,M,2,0,3,5
SWISS GREY,Non Dairy,F,1,0,0,1
,,M,1,0,0,1
SWISS GREY X,Non Dairy,M,1,0,0,1
SWISS ORIG BRAUNV X,Non Dairy,F,0,1,0,1
TARANTAISE-TARINA X,Non Dairy,F,0,0,1,1
VAYNOL,Non Dairy,F,2,0,0,2
,,M,7,0,0,7
WAGYU,Non Dairy,F,11,0,14,25
,,M,14,0,23,37
WAGYU CROSS,Non Dairy,F,6,1,0,7
,,M,5,2,3,10
WATER BUFFALO,Non Dairy,F,325,57,86,468
,,M,382,56,90,528
WELSH BLACK,Non Dairy,F,624,61,"4,509","5,194"
,,M,588,48,"4,396","5,032"
WELSH BLACK X,Non Dairy,F,630,39,"1,122","1,791"
,,M,719,41,"1,209","1,969"
WELSH WHITE,Non Dairy,F,0,0,25,25
,,M,2,0,25,27
WELSH WHITE X,Non Dairy,F,4,0,11,15
,,M,7,0,8,15
WHITE GALLOWAY,Non Dairy,F,63,43,0,106
,,M,58,36,0,94
WHITE GALLOWAY X,Non Dairy,F,12,3,0,15
,,M,10,3,0,13
WHITE PARK,Non Dairy,F,303,12,25,340
,,M,289,13,20,322
WHITE PARK X,Non Dairy,F,66,5,8,79
,,M,65,6,9,80
WHITEBRED S/HORN X,Non Dairy,F,141,338,3,482
,,M,182,327,10,519
WHITEBRED SHORTHORN,Non Dairy,F,51,28,0,79
,,M,55,25,0,80
YAK,Non Dairy,F,2,0,0,2
ZEBU,Non Dairy,F,1,0,0,1
Total Births For Country,,,"1,671,326","584,015","358,406","2,613,747"
