ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POSTCODE,TELEPHONE_NO,DENTISTTYPE,LCG,LGD
32 RAINEY STREET,NULL,MAGHERAFELT,NULL,BT45 5AQ,2879633435,GDS,NORTHERN,MAGHERAFELT
41/43 HOLYWOOD ROAD,NULL,BELFAST,NULL,BT4 3BA,2890471266,GDS,BELFAST,BELFAST
105 MONKSTOWN ROAD,MONKSTOWN,NEWTOWNABBEY,NULL,BT37 0LG,2890863498,GDS,NORTHERN,NEWTOWNABBEY
21 PORTRUSH ROAD,NULL,BALLYMONEY,NULL,BT53 6BX,2827662145,GDS,NORTHERN,BALLYMONEY
138 DOAGH ROAD,NULL,NEWTOWNABBEY,NULL,BT37 9QR,2890862726,GDS,NORTHERN,NEWTOWNABBEY
39 BACHELOR'S WALK,NULL,LISBURN,NULL,BT28 1XN,2892663022,GDS,SOUTH EASTERN,LISBURN
18A JOHN WESLEY STREET,NULL,STRABANE,NULL,BT82 8EF,2871880318,GDS,WESTERN,STRABANE
462 OLDPARK ROAD,NULL,BELFAST,NULL,BT14 6QG,2890743800,GDS,BELFAST,BELFAST
5 PUMP STREET,LONDONDERRY,NULL,NULL,BT48 6JG,2871308762,GDS,WESTERN,DERRY
28 DUNGANNON STREET,MOY,DUNGANNON,NULL,BT71 7SH,2887784977,GDS,SOUTHERN,DUNGANNON
94 CASTLEREAGH STREET,NULL,BELFAST,NULL,BT5 4NJ,2890451989,GDS,BELFAST,BELFAST
211 ALBERTBRIDGE ROAD,BELFAST,NULL,NULL,BT5 4PU,2896919777,GDS,BELFAST,BELFAST
77 MAIN STREET,NULL,MOIRA,NULL,BT67 0LH,2892612836,GDS,SOUTH EASTERN,LISBURN
BISHOP ST DENTAL CARE,BISHOP STREET,LONDONDERRY,NULL,BT48 6PR,2871262402,GDS,WESTERN,DERRY
THE VILLAGE DENTAL PRACTICE,33 DOWNPATRICK STREET,CROSSGAR,NULL,BT30 9EA,2844830111,GDS,SOUTH EASTERN,DOWN
11 UNIVERSITY STREET,BELFAST,NULL,NULL,BT7 1FY,2890323321,GDS,BELFAST,BELFAST
22 DOAGH ROAD,NULL,BALLYCLARE,NULL,BT39 9BG,2893341437,GDS,NORTHERN,NEWTOWNABBEY
32 SHORE ROAD,NULL,HOLYWOOD,NULL,BT18 9HX,2890427325,GDS,SOUTH EASTERN,NORTH DOWN
10 LOWER CRESCENT,NULL,BELFAST,NULL,BT7 1NR,2890246311,GDS,BELFAST,BELFAST
73/75 BROUGHSHANE STREET,NULL,BALLYMENA,NULL,BT43 6EB,2825653800,GDS,NORTHERN,BALLYMENA
CHURCH ROAD DENTAL CARE,29 CHURCH ROAD,CARRYDUFF,NULL,BT8 8DT,2890817848,GDS,BELFAST,CASTLEREAGH
1 TEMPLEWELL,NULL,TEMPLEPATRICK,NULL,BT39 0AB,2894433888,GDS,NORTHERN,ANTRIM
46 CLIFTONVILLE ROAD,NULL,BELFAST,NULL,BT14 6JY,2890351372,GDS,BELFAST,BELFAST
116 UPPER LISBURN ROAD,NULL,BELFAST,NULL,BT10 0BD,2890611880,GDS,BELFAST,BELFAST
14 RAILWAY STREET,NULL,LISBURN,NULL,BT28 1XG,2892663185,GDS,SOUTH EASTERN,LISBURN
62 CATHERINE STREET,NULL,LIMAVADY,NULL,BT49 9DB,2877722464,GDS,WESTERN,LIMAVADY
MALONE DENTAL,54 MALONE ROAD,BELFAST,NULL,BT9 5BS,2890661511,GDS,BELFAST,BELFAST
32 ABBEY STREET,NULL,BANGOR,NULL,BT20 4JA,2891270041,GDS,SOUTH EASTERN,NORTH DOWN
15 IRISH STREET,NULL,DOWNPATRICK,NULL,BT30 6BW,2844612249,GDS,SOUTH EASTERN,DOWN
5 CASTLE PLACE,NULL,STRABANE,NULL,BT82 8AW,2871382875,GDS,WESTERN,STRABANE
231 SHANKILL ROAD,NULL,BELFAST,NULL,BT13 1FQ,2890323526,GDS,BELFAST,BELFAST
OFFICE 5/LEGAHORY CENTRE,BROWNLOW,CRAIGAVON,NULL,BT65 5BE,2838322080,GDS,SOUTHERN,CRAIGAVON
13-15 DUKE STREET,NULL,BALLYMENA,NULL,BT43 6BL,2825639333,GDS,NORTHERN,BALLYMENA
"1ST FLOOR, 40 BALLYRONAN ROAD",NULL,MAGHERAFELT,NULL,BT45 6EN,2879300700,GDS,NORTHERN,MAGHERAFELT
20 CHURCH PLACE,NULL,LURGAN,NULL,BT66 6EY,2838323113,GDS,SOUTHERN,CRAIGAVON
535A FALLS ROAD,NULL,BELFAST,NULL,BT11 9AA,2890629296,GDS,BELFAST,BELFAST
8 FINAGHY ROAD SOUTH,NULL,BELFAST,NULL,BT10 0DR,2890613558,GDS,BELFAST,BELFAST
8 HOLMVIEW TERRACE,CAMPSIE,OMAGH,NULL,BT79 0AH,2882246466,GDS,WESTERN,OMAGH
UNIT 2,3A KILLYCOLP ROAD,COOKSTOWN,NULL,BT80 9AD,2886761108,GDS,NORTHERN,COOKSTOWN
50 STATION ROAD,NULL,GREENISLAND,NULL,BT38 8TP,2890860565,GDS,NORTHERN,CARRICKFERGUS
29 CHURCH STREET,NULL,TANDRAGEE,NULL,BT62 2AF,2838841778,GDS,SOUTHERN,ARMAGH
416 UPPER NEWTOWNARDS RD,NULL,BELFAST,NULL,BT4 3EZ,2890657646,GDS,BELFAST,BELFAST
5 HIGHTOWN ROAD,NULL,GLENGORMLEY,NULL,BT36 7TZ,2890833650,GDS,NORTHERN,NEWTOWNABBEY
279 GROSVENOR ROAD,NULL,BELFAST,NULL,BT12 4LL,2890438395,GDS,BELFAST,BELFAST
65 CREGAGH ROAD,NULL,BELFAST,NULL,BT6 8PX,2890451966,GDS,BELFAST,BELFAST
24-34 RATHFRILAND STREET,NULL,BANBRIDGE,NULL,BT32 3LA,2840662645,GDS,SOUTHERN,BANBRIDGE
MCKEOGH DENTAL CARE,MAIN STREET,LISNASKEA,NULL,BT92 0JB,2867722292,GDS,WESTERN,FERMANAGH
45 WILLIAM STREET,NULL,PORTADOWN,NULL,BT62 3NX,2838332944,GDS,SOUTHERN,CRAIGAVON
THE MEWS/ROKEBY GREEN,THE MALL,ARMAGH,NULL,BT61 9AT,2837526554,GDS,SOUTHERN,ARMAGH
DUNGANNON HOUSE,139 MOORE STREET,AUGHNACLOY,NULL,BT69 6AR,2885557275,GDS,SOUTHERN,DUNGANNON
14 MARINE PARADE,NULL,WHITEHEAD,NULL,BT38 9QP,2893372299,GDS,NORTHERN,CARRICKFERGUS
19 ST BRIDES STREET,NULL,CARRICKFERGUS,NULL,BT38 8AF,2893366909,GDS,NORTHERN,CARRICKFERGUS
4 HAMILTON ROAD,NULL,BANGOR,NULL,BT20 4LE,2891270056,GDS,SOUTH EASTERN,NORTH DOWN
16 HAMILTON ROAD,NULL,BANGOR,NULL,BT20 4LE,2891270426,GDS,SOUTH EASTERN,NORTH DOWN
16 REGENT STREET,NULL,NEWTOWNARDS,NULL,BT23 4LH,2891812507,GDS,SOUTH EASTERN,ARDS
1A LOCKVIEW ROAD,NULL,BELFAST,NULL,BT9 5FH,2890381445,GDS,BELFAST,BELFAST
9-11 ST PATRICK'S AVE,DOWNPATRICK,NULL,NULL,BT30 6DW,2844616588,GDS,SOUTH EASTERN,DOWN
434 LISBURN ROAD,NULL,BELFAST,NULL,BT9 6GR,2890667979,GDS,BELFAST,BELFAST
1A LOUGHSHORE COURTYARD,630 SHORE ROAD,WHITEABBEY,NULL,BT37 0SN,2890854014,GDS,NORTHERN,NEWTOWNABBEY
214 SHORE ROAD,NULL,BELFAST,NULL,BT15 3QB,2890370951,GDS,BELFAST,BELFAST
6 ANNE STREET,NULL,ENNISKILLEN,NULL,BT74 7ES,2866322628,GDS,WESTERN,FERMANAGH
41A BELMORE STREET,NULL,ENNISKILLEN,NULL,BT74 6AA,2866340005,GDS,WESTERN,FERMANAGH
23 CHERRY DRIVE,NULL,EGLINTON,NULL,BT47 3US,2871811447,GDS,WESTERN,DERRY
5 NEWCASTLE STREET,NULL,KILKEEL,NULL,BT34 4AF,2841764210,GDS,SOUTHERN,NEWRY & MOURNE
12 DOWNS ROAD,NULL,NEWCASTLE,NULL,BT33 0AG,2843722302,GDS,SOUTH EASTERN,DOWN
14 BALLYMONEY ROAD,NULL,BALLYMENA,NULL,BT43 5BY,2825655060,GDS,NORTHERN,BALLYMENA
177 STEWARTSTOWN ROAD,NULL,BELFAST,NULL,BT17 0HL,2890619726,GDS,SOUTH EASTERN,LISBURN
80 HIGH STREET,NULL,LURGAN,NULL,BT66 8BB,2838322257,GDS,SOUTHERN,CRAIGAVON
59 ABERCORN ROAD,NULL,LONDONDERRY,NULL,BT48 6TQ,2871262216,GDS,WESTERN,DERRY
MAINE DENTAL PRACTICE,14B OLD MILL PARK,CULLYBACKEY,NULL,BT42 1GP,2825880500,GDS,NORTHERN,BALLYMENA
53 MAIN STREET,NULL,RANDALSTOWN,NULL,BT41 3BB,2894472311,GDS,NORTHERN,ANTRIM
1 QUEEN STREET,LONDONDERRY,NULL,NULL,BT48 7EF,2871262915,GDS,WESTERN,DERRY
5 WINDSOR HILL,NULL,NEWRY,NULL,BT34 1ER,2830833843,GDS,SOUTHERN,NEWRY & MOURNE
26 CHURCH STREET,NULL,ANTRIM,NULL,BT41 4BA,2894463234,GDS,NORTHERN,ANTRIM
31 SPENCER ROAD,NULL,WATERSIDE,NULL,BT47 6AA,2871344177,GDS,WESTERN,DERRY
385 ANTRIM ROAD,NULL,BELFAST,NULL,BT15 3BG,2890754916,GDS,BELFAST,BELFAST
FLAT 2 IVEAGH FLATS,RAILWAY STREET,NEWCASTLE,NULL,BT33 0SP,2843723776,GDS,SOUTH EASTERN,DOWN
68 - 70 MAIN STREET,NULL,KIRCUBBIN,NULL,BT22 2SP,2842738729,GDS,SOUTH EASTERN,ARDS
THE DE COURCEY DENTAL PRACTICE UNIT 3,LANCASTRIAN STREET,CARRICKFERGUS,NULL,BT38 7AB,2893361000,GDS,NORTHERN,CARRICKFERGUS
167 MOIRA ROAD,NULL,LISBURN,NULL,BT28 1RW,2892672399,GDS,SOUTH EASTERN,LISBURN
152 ANDERSONSTOWN ROAD,NULL,BELFAST,NULL,BT11 9BY,2890613325,GDS,BELFAST,BELFAST
22 HIGHTOWN ROAD,NULL,GLENGORMLEY,NULL,BT36 7UA,2890832022,GDS,NORTHERN,NEWTOWNABBEY
55/57 HIGH STREET,NULL,DONAGHADEE,NULL,BT21 0AQ,2891882572,GDS,SOUTH EASTERN,ARDS
25 CLARENDON STREET,DERRY,NULL,NULL,BT48 7EP,2871369050,GDS,WESTERN,DERRY
14 FINAGHY ROAD SOUTH,NULL,BELFAST,NULL,BT10 0DR,2890582288,GDS,BELFAST,BELFAST
49 HIGH STREET,NULL,BALLYMONEY,NULL,BT53 6BG,2827662532,GDS,NORTHERN,BALLYMONEY
1 MOIRA DRIVE,NULL,BANGOR,NULL,BT20 4RN,2891463131,GDS,SOUTH EASTERN,NORTH DOWN
1 SYDNEY TERRACE,GT JAMES STREET,LONDONDERRY,NULL,BT48 7DQ,2871264155,GDS,WESTERN,DERRY
89 TEMPO ROAD,NULL,ENNISKILLEN,NULL,BT74 6HR,2866340004,GDS,WESTERN,FERMANAGH
86 SPENCER ROAD,NULL,LONDONDERRY,NULL,BT47 1AG,2871344234,GDS,WESTERN,DERRY
415-417 NEWTOWNARDS ROAD,BELFAST,NULL,NULL,BT4 1AQ,2890732000,GDS,BELFAST,BELFAST
139 FALLS ROAD,NULL,BELFAST,NULL,BT12 6AF,2890329092,GDS,BELFAST,BELFAST
60 MALONE ROAD,NULL,BELFAST,NULL,BT9 5BT,2890660066,GDS,BELFAST,BELFAST
33/35 SANDOWN ROAD,NULL,BELFAST,NULL,BT5 6GT,2890471070,GDS,BELFAST,BELFAST
14 VICTORIA ROAD,NULL,LARNE,NULL,BT40 1RN,2828260170,GDS,NORTHERN,LARNE
244 SHANKILL ROAD,NULL,BELFAST,NULL,BT13 2BL,2890331298,GDS,BELFAST,BELFAST
208 ANTRIM ROAD,NULL,BELFAST,NULL,BT15 2AN,2890351127,GDS,BELFAST,BELFAST
ANTRIM ROAD DENTAL CARE,277 ANTRIM ROAD,BELFAST,NULL,BT15 2GZ,2890743709,GDS,BELFAST,BELFAST
97 BRUNSWICK ROAD,NULL,BANGOR,NULL,BT20 3DW,2891270634,GDS,SOUTH EASTERN,NORTH DOWN
21 SLOAN STREET,NULL,LISBURN,NULL,BT27 5AG,2892661616,GDS,SOUTH EASTERN,LISBURN
33 CHLORINE GARDENS,NULL,BELFAST,NULL,BT9 5DL,2890667598,GDS,BELFAST,BELFAST
SLIABH MÓR DENTAL CARE,"KENNEDY CENTRE, 564-568 FALLS ROAD",BELFAST,NULL,BT11 9AE,2890430110,GDS,BELFAST,BELFAST
87 STRAND ROAD,NULL,LONDONDERRY,NULL,BT48 7NN,2871266000,GDS,WESTERN,DERRY
11 VICTORIA ROAD,NULL,LARNE,NULL,BT40 1RT,2828260797,GDS,NORTHERN,LARNE
47 MAIN STREET,NULL,NEWCASTLE,NULL,BT33 0AD,2843724275,GDS,SOUTH EASTERN,DOWN
1-2 TIMBER QUAY,STRAND ROAD,DERRY,NULL,BT48 7NJ,2871368448,GDS,WESTERN,DERRY
789 UPPER NEWTOWNARDS ROAD,NULL,BELFAST,NULL,BT16 2QY,2890483119,GDS,BELFAST,CASTLEREAGH
163 ANDERSONSTOWN ROAD,NULL,BELFAST,NULL,BT11 9EA,2890611444,GDS,BELFAST,BELFAST
315/317 DONEGALL ROAD,NULL,BELFAST,NULL,BT12 6FQ,2890328765,GDS,BELFAST,BELFAST
TOOME HOUSE,55 MAIN STREET,TOOMEBRIDGE,NULL,BT41 3TF,2879650630,GDS,NORTHERN,ANTRIM
4 LADYBROOK PARK,NULL,BELFAST,NULL,BT11 9EL,2890301999,GDS,BELFAST,BELFAST
420 FALLS ROAD,NULL,BELFAST,NULL,BT12 6EN,2890328398,GDS,BELFAST,BELFAST
86 MAIN STREET,NULL,FIVEMILETOWN,NULL,BT75 0PW,2889521177,GDS,SOUTHERN,DUNGANNON
15 UPPER DUNMURRY LANE,NULL,BELFAST,NULL,BT17 0AA,2890618545,GDS,SOUTH EASTERN,LISBURN
ALTMORE DENTAL PRACTICE,61 THOMAS STREET,DUNGANNON,NULL,BT70 1HW,2887722615,GDS,SOUTHERN,DUNGANNON
9/11 GLENARM ROAD,NULL,LARNE,NULL,BT40 1BN,2828260418,GDS,NORTHERN,LARNE
25 LINENHALL STREET,NULL,BALLYMENA,NULL,BT43 5AJ,2825652565,GDS,NORTHERN,BALLYMENA
1-3 BACHELORS WALK,LISBURN,NULL,NULL,BT28 1XJ,2892679060,GDS,SOUTH EASTERN,LISBURN
3 DUKE STREET,NULL,WARRENPOINT,NULL,BT34 3JY,2841754242,GDS,SOUTHERN,NEWRY & MOURNE
11 THE DIAMOND CENTRE,NULL,MAGHERAFELT,NULL,BT45 6EB,2879632495,GDS,NORTHERN,MAGHERAFELT
UNIT 18,THE DIAMOND CENTRE,MAGHERAFELT,NULL,BT45 6ED,2879300020,GDS,NORTHERN,MAGHERAFELT
218 ORMEAU RD,NULL,BELFAST,NULL,BT7 2FY,2890693330,GDS,BELFAST,BELFAST
74 GILFORD RD,PORTADOWN,NULL,NULL,BT63 5EG,2838333659,GDS,SOUTHERN,CRAIGAVON
48 CASTLEREAGH ROAD,NULL,BELFAST,NULL,BT5 5FP,2890459018,GDS,BELFAST,BELFAST
CAUSEWAY ORTHO / CENTRE,12 SANDEL VILLAGE,COLERAINE,NULL,BT52 1WW,2870356262,GDS,NORTHERN,COLERAINE
128 HIGH STREET,NULL,HOLYWOOD,NULL,BT18 9HW,2890423306,GDS,SOUTH EASTERN,NORTH DOWN
16 GREAT JAMES STREET,NULL,LONDONDERRY,NULL,BT48 7DA,2871361940,GDS,WESTERN,DERRY
15A MARKET SQUARE,NULL,ANTRIM,NULL,BT41 4AW,2894465111,GDS,NORTHERN,ANTRIM
1 MOUNT ORIEL,NULL,BELFAST,NULL,BT8 7HR,2890402688,GDS,BELFAST,CASTLEREAGH
GREENPARK DENTAL SURGERY,4 GREENPARK TERRACE,ARMAGH,NULL,BT61 7ER,2837528089,GDS,SOUTHERN,ARMAGH
58 RAILWAY ROAD,NULL,COLERAINE,NULL,BT52 1PF,2870342526,GDS,NORTHERN,COLERAINE
UNIT 3 CLOUGHOGUE BUSINESS PARK,14 FORKHILL ROAD,NEWRY,NULL,BT35 8RA,2830267484,GDS,SOUTHERN,NEWRY & MOURNE
11A CHURCH STREET,NULL,BANBRIDGE,NULL,BT32 4AA,2840662727,GDS,SOUTHERN,BANBRIDGE
47 CHURCH STREET,BANBRIDGE,NULL,NULL,BT32 4AA,2840625281,GDS,SOUTHERN,BANBRIDGE
NI DENTAL CARE,639 LISBURN RD,BELFAST,NULL,BT9 7GT,2890664009,GDS,BELFAST,BELFAST
266 WOODSTOCK ROAD,NULL,BELFAST,NULL,BT6 9DN,2890457561,GDS,BELFAST,BELFAST
11 KIRK AVENUE,MAGHERAFELT,NULL,NULL,BT45 6BT,2879632255,GDS,NORTHERN,MAGHERAFELT
30A FAIRHILL ROAD,NULL,COOKSTOWN,NULL,BT80 8AG,2886762306,GDS,NORTHERN,COOKSTOWN
106 BALLYCLARE ROAD,NULL,NEWTOWNABBEY,NULL,BT36 5HN,2890838899,GDS,NORTHERN,NEWTOWNABBEY
DALRIADA URGENT CARE,DENTAL DEPARTMENT,20 LARNE LINK ROAD BALLYMENA,NULL,BT42 3GA,2825663520,SALARIED,NORTHERN,BALLYMENA
33 CAMPSIE ROAD,NULL,OMAGH,NULL,BT79 0AJ,2882242233,GDS,WESTERN,OMAGH
MURRAY'S DENTAL PRACTICE,1 MOUNTJOY ROAD,OMAGH,NULL,BT79 7AA,2882242389,GDS,WESTERN,OMAGH
29 NEWRY STREET,KILKEEL,NEWRY,NULL,BT34 4DN,2841765672,GDS,SOUTHERN,NEWRY & MOURNE
22 SPRINGFIELD ROAD,NULL,BELFAST,NULL,BT12 7AG,2890231496,GDS,BELFAST,BELFAST
PENTAGON HOUSE,19 GEORGE STREET,BALLYMENA,NULL,BT43 5AP,2825652044,GDS,NORTHERN,BALLYMENA
CASSIDY & MCCREESH ORTHODONTIC PRACTICE,IRVINESTOWN ROAD,ENNISKILLEN,NULL,BT74 6DN,2866325545,GDS,WESTERN,FERMANAGH
95 EGLINTON STREET,NULL,PORTRUSH,NULL,BT56 8DZ,2870825000,GDS,NORTHERN,COLERAINE
4A WOODBURN PARK,NULL,LONDONDERRY,NULL,BT47 1PS,2871343543,GDS,WESTERN,DERRY
30 RASHEE ROAD,NULL,BALLYCLARE,NULL,BT39 9HJ,2893352805,GDS,NORTHERN,NEWTOWNABBEY
424 LISBURN ROAD,NULL,BELFAST,NULL,BT9 6GN,2890382262,GDS,BELFAST,BELFAST
MOLESWORTH STREET,NULL,COOKSTOWN,NULL,BT80 8LW,2886765914,GDS,NORTHERN,COOKSTOWN
29 WALLACE AVENUE,NULL,LISBURN,NULL,BT27 4AE,2892663222,GDS,SOUTH EASTERN,LISBURN
45 THOMAS STREET,NULL,PORTADOWN,NULL,BT62 3AF,2838332656,GDS,SOUTHERN,CRAIGAVON
39 NEW ROW,NULL,COLERAINE,NULL,BT52 1AE,2870342848,GDS,NORTHERN,COLERAINE
22 CHARLES STREET,NULL,BALLYMONEY,NULL,BT53 6DY,2827662226,GDS,NORTHERN,BALLYMONEY
1 MANOR DRIVE,NULL,LISBURN,NULL,BT28 1JH,2892663364,GDS,SOUTH EASTERN,LISBURN
56 MAIN STREET,NULL,KEADY,NULL,BT60 3SU,2837531057,GDS,SOUTHERN,ARMAGH
19 CENTRAL AVENUE,NULL,PORTSTEWART,NULL,BT55 7BP,2870834555,GDS,NORTHERN,COLERAINE
CLAIRE HUGHES DENTAL,UNIT 8 14-22 SPENCER ROAD,LONDONDERRY,NULL,BT47 6QA,2871311333,GDS,WESTERN,DERRY
109G CLANDEBOYE ROAD,NULL,BANGOR,NULL,BT20 3JW,2891270873,GDS,SOUTH EASTERN,NORTH DOWN
22A GROOMSPORT ROAD,NULL,BANGOR,NULL,BT20 5LN,2891465625,GDS,SOUTH EASTERN,NORTH DOWN
27A MAIN STREET,NULL,RICHILL,NULL,BT61 9RJ,2838870884,GDS,SOUTHERN,ARMAGH
DOWNE DENTAL CARE LTD,10 ENGLISH STREET,DOWNPATRICK,NULL,BT30 6AB,2844614422,GDS,SOUTH EASTERN,DOWN
58 HIGH STREET,NULL,BALLYMENA,NULL,BT43 6DT,2825653161,GDS,NORTHERN,BALLYMENA
1 CONNAUGHT PARK,NULL,PORTADOWN,NULL,BT62 3DF,2838334855,GDS,SOUTHERN,CRAIGAVON
89A GLEN ROAD,NULL,BELFAST,NULL,BT11 8BD,8445769505,GDS,BELFAST,BELFAST
"FIRST FLOOR, LISBURN SQ HOUSE",HASLEMS LANE,LISBURN,NULL,BT28 1TS,2892602201,GDS,SOUTH EASTERN,LISBURN
3-4A MOAT HOUSE,963-969 UPPER NEWTOWNARDS ROAD,BELFAST,NULL,BT16 1RL,2890487680,GDS,BELFAST,CASTLEREAGH
77 MAIN STREET,NULL,DERRYLIN,NULL,BT92 9LB,2867748069,GDS,WESTERN,FERMANAGH
29-33 FOUNTAIN PLACE,NULL,BALYMENA,NULL,BT43 6DX,2825646999,GDS,NORTHERN,BALLYMENA
