Entity,Transaction Posting Date,Merchant Name,Amount,Description
GLA,30/08/2013,Flybe,£506.74,Return flights for two people from Belfast to Aberdeen for Enforcement officers who are based in Northern Ireland attending an operation in Aberdeen
JNCC,23/08/2013,Ashorne Hill Management ,£516.00,Registration for two people to attend 25th National Wildlife Crime Conference
JNCC,29/08/2013,"Fosshotel Lind, Reykjavik",£522.73,Accommodation for one person for six nights attending International Council for the Exploration of the Seas Annual Science Conference
JNCC,26/08/2013,"Park House Hotel, Galway",£574.02,"Accommodation for one person for five nights attending European Marine Biology Symposium, Galway"
JNCC,23/08/2013,"The Brentwood Hotel, Aberdeen",£616.00,Accommodation for three people for two nights and one person for one night attending Introduction to Offshore Sites of Special Area of Conservation site information centres
JNCC,23/08/2013,Aquaholics,£633.76,"Dive team cylinder rental and refill service for dive survey in Portrush, Ireland"
JNCC,23/08/2013,"Park House Hotel, Galway",£704.33,"Accommodation for one person for six nights attending European Marine Biology Symposium, Galway"
JNCC,23/08/2013,"Corinthia Grand Hotel, Budapest",£934.93,Accommodation for one person for eight nights attending Underwater Noise Conference
JNCC,23/08/2013,"Haymarket Publishing, London","£1,174.80",Annual Subscription to ENDS (Environmental Date Services) - June 2013 to June 2014
JNCC,23/08/2013,eBuyer,"£1,558.47",IT equipment: Hewlett Packard Storage Peripheral Component Interconnect adapter host/5 X USB hubs
JNCC,30/08/2013,"Mgallery Beauvain, Marseille","£6,144.52","Accommodation for seven people for six nights attending 3rd International Marine Protected Areas Congress, Marseille"
MMO,30/08/2013,TRINITY MIRROR PUBLISH   GLASGOW    ,£619.20,"MMO Environmental Impact Assessment (EIA) Consent Decision notice, which the MMO is legally bound to advertise"
AHVLA,16/08/2013,ENTERPRISE               01784 221300 ,£631.80,28 days' car hire - 22 June-20 July 2013 car hire was required for travel to and from a laboratory for project work
AHVLA,08/08/2013,DODS PARLIAMENTARY COMMUNICATIONS   LONDON  SW1H ,£708.00,Fee for two attendees on Taking Effective Minutes  course
AHVLA,14/08/2013,UK MAIL                  SLOUGH       ,"£1,100.31",UK Mail invoice for Gloucester
AHVLA,14/08/2013,WWW.NEOPOST.CO.UK        0845 880 0000,"£1,000.00",Top-up of the Yorkshire and Humberside franking machine for July
AHVLA,14/08/2013,WWW.NEOPOST.CO.UK        0845 880 0000,£515.00,Top-up of the Bury franking machine for July 
AHVLA,14/08/2013,WWW.NEOPOST.CO.UK        0845 880 0000,£515.00,Top-up of the Bury franking machine for April 
AHVLA,14/08/2013,WWW.FPMAILING.CO.UK      INTERNET     ,£506.00,Top-up of the Reigate franking machine for July
AHVLA,16/08/2013,WWW.NEOPOST.CO.UK        0845 880 0000,"£1,030.00",Top-up of the Truro franking machine for July and August
AHVLA,08/08/2013,UK MAIL                  SLOUGH       ,"£1,023.87","UK Mail Invoice for Truro, Dorset and Exeter for June
"
AHVLA,08/08/2013,PUBLIC LIBRARY OFSCIENCE 4155684502   ,£908.69,Publication of the article 'Evidence for the circulation of equine encephalosis virus in Israel since 2001' in the Journal 'Plos One' from the Public Library Of Science
CEFAS,14/08/2013,WWW.CREW-SAFE.CO.UK,"£1,812.00",Safety equipment: personnel locators - these are beacons held on a boat in case someone falls overboard
CEFAS,07/08/2013,ELSEVIER CONFERENCE,£565.12,Fees for one person to attend Crayfish Control Project Aquaculture Conference in Gran Canaria for 5 days
CEFAS,13/08/2013,KLM UK      0742465,£599.63,Flight for one person to Copenhagen for ICES (International Council for Exploration of the Seas) Ecosystem modelling course in support of GAP2 (Bridging the Gap between science stakeholders and policy holders stage 2) for five days
CEFAS,13/08/2013,KLM UK      0742465,£599.63,Flight for one person to Copenhagen for ICES (International Council for Exploration of the Seas) Ecosystem modelling course as Instructor for five days.  Cost recovered from ICES. 
CEFAS,13/08/2013,KLM UK      0742465,£599.63,Flight for one person to Copenhagen for ICES (International Council for Exploration of the Seas) Ecosystem modelling course in support of MYFISH project for five days
CEFAS,19/08/2013,ALRAD INSTRUMENTS,£512.54,"Two underwater lasers, purchased for a job for AFBINI (Agri-Food and Biosciences Institute)"
CEFAS,16/08/2013,MEDIALOGIC SPA,"£1,014.98",Software license to provide graphical access to Cefas High Performance Computing cluster users
CEFAS,05/08/2013,IKA-Werke GmbH & Co,£891.67,Piece of equipment to homogenise shellfish samples (part of process of testing for toxins)
CEFAS,12/08/2013,NRC FINANCE/FINANCE,"£2,205.85",Standards for Biotoxins Analysis.  These are certified reference standards for toxins which are needed to run routine monitoring programme on behalf of the FSA (Food Standards Agency)
CEFAS,01/08/2013,WWW.FLYBE.CODW7BFX,£741.48,Return air fare to Scotland for two people to attend a meeting with the Scottish FSA (Food Standards Agency) and field trip with a shellfish sampling officer in Aberdeen 
CEFAS,07/08/2013,WESTIN GEORGETOWN,£756.14,"Accommodation for one person for ten nights attending FDA (Food and Drug Administration) Trade Discussions in Washington DC, USA"
CEFAS,15/08/2013,CORINTHIA GRAND HOT,£586.20,Accommodation for one person for five nights attending Noise conference in Budapest
CEFAS,09/08/2013,SOUTHAMPTON SOLENT,"£1,216.67",Training course for two  people at Warsash Maritime Academy.  The course was the Shipboard Safety Officers Course as part of health and safety role on the ship
CEFAS,02/08/2013,CCTV CENTER,"£2,004.00",Camera housings for cameras required for Beems (British Energy Estuarine Marine Studies) Sizewell - 4 housings. Quotes from several sources were obtained. Multiple cameras will be attached to the roof of  Sizewell A in these stainless steel housings.
CEFAS,14/08/2013,LEC HIRE LTD,£560.00,Van hire from 14-21 August 2013 for travel to undertake surveys being carried out by Cefas for Natural England
NE,02/08/2013,POSTURITE (UK) LTD,£790.26,Specialist office equipment and furniture for specific health and safety requirements
NE,06/08/2013,BUILDBASE SUNDERLAND,£528.00,Fencing posts
NE,06/08/2013,CASTLE GREEN HOTEL,£733.95,"Staff subsistence costs for overnight bed, breakfast and evening meals for a Natural England Internal Grassland training course for five days for one person. This was to identify grassland communities to enhance ecology skills. This included a daily conference delegate rate.  The total cost was amended to £433.95 as £300.00 was refunded"
NE,06/08/2013,CHUBB ELECTRONIC SECURITY,£634.63,Relocation of security system following a National Nature Reserve office refurbishment
NE,06/08/2013,CIVIL SERVICE LEARNING,£688.80,Training and subsistence costs for one person for four days attending Institution of Occupational Safety and Health (IOSH) Managing Health and Safety training
NE,06/08/2013,CORNWALL COLLEGE,"£1,224.00",Training and subsistence costs for one person over fifteen days attending (BASIS) Crop Management and Protection course (including examination charge) at Duchy College.  The course covered the science and recommendation of using pesticides etc. on land.
NE,06/08/2013,FP LTD,"£1,266.72",Postage costs
NE,06/08/2013,HAVEN HOTEL,£534.00,"Subsistence costs two people for three nights for overnight bed, breakfast and evening meals during a team event"
NE,06/08/2013,INVESTEC ASSET FINANCE       ABINGDON     ,"£1,377.46",Postage costs
NE,06/08/2013,J T DOVE LTD,£706.78,Fencing materials - posts for boundary works
NE,06/08/2013,LAFARGE AGGREGATES,"£1,488.96",Dolomite stone for a National Nature Reserve
NE,06/08/2013,P.V.DOBSON & SONS,"£1,045.80",Track roller replacement for mini digger
NE,06/08/2013,PERTEMPS LTD,"£45,203.15",Agency staff costs - administrative staff
NE,06/08/2013,PERTEMPS LTD,"£40,328.29",Agency staff costs - administrative staff
NE,06/08/2013,PERTEMPS LTD,"£39,786.29",Agency staff costs - administrative staff
NE,06/08/2013,PERTEMPS LTD,"£39,319.74",Agency staff costs - administrative staff
NE,06/08/2013,ROYAL MAIL GROUP,£587.38,Postage costs
NE,06/08/2013,WWW.BATS.ORG.UK,£580.00,Staff training and subsistence costs for two people for three days attending the annual Bat Conservation Trust conference.  Natural England had a stand there to enable it to be customer-facing
NE,06/08/2013,WWW.NEOPOST.CO.UK,£892.10,Franking machine top-up
NE,06/08/2013,WWW.PB.COM,£731.70,Postage costs
NE,06/08/2013,WWW.SGWORLD.COM,£862.80,Visitor passes for office
NE,08/08/2013,AGRICENTRE,"£1,584.00",Silage wrap cattle feed
NE,08/08/2013,IDEAL FIRE & SECURITY LTD,£508.80,Security contract
NE,08/08/2013,PCBUYIT.CO.UK,"£1,632.00",Purchase of monitors for Geographic Information users
NE,08/08/2013,THE ROYAL BATH & WEST,-£571.68,"Exhibition costs for Dairy event, cancelled by Natural England and a full refund received - credit"
NE,08/08/2013,WATSON PETROLEUM LTD,"£1,621.62",Red Diesel for use in agricultural vehicles
NE,12/08/2013,CHUBB ELECTRONIC SECURITY,"£1,025.64",Annual security monitoring and maintenance contract 12 September 2013 to 11 September 2014
NE,12/08/2013,JE HOMEWOOD & SON,"£1,776.00",Fencing materials for a National Nature Reserve
NE,12/08/2013,JE HOMEWOOD & SON,"£1,122.00",Fencing materials for a National Nature Reserve
NE,14/08/2013,BICTON COLLEGE,£501.00,"Staff training and subsistence costs for 25 people attending a Catchment Sensitive Farming one-day farmer training event, working in conjunction with the Farm Advice Service and Westcountry Rivers Trust. The training focused on soil and crop management to reduce diffuse pollution from agriculture"
NE,14/08/2013,BTO SERVICES LTD,£609.30,Mist nets - Swanton bat research project
NE,14/08/2013,CHUBB ELECTRONIC SECURITY,£541.44,Annual security contract
NE,14/08/2013,ERNEST DOE  SONS,£857.44,Tractor service
NE,14/08/2013,F & K ELECTRICAL & REFRIGERATION,£519.73,Electrical work and testing for two heaters in a National Nature Reserve workshop
NE,14/08/2013,"FRAME,SWIFT & PARTNERS",£730.11,Animal welfare costs for Exmoor ponies
NE,14/08/2013,HARLEIGH VETS LTD,"£1,307.15",Livestock costs - castration of colt; visit time; administration of vaccines for twenty cattle; medicine administered during operation to remove rig from pony
NE,14/08/2013,NHBS LTD,"£1,224.08",Microphone cables for bat research at a National Nature Reserve
NE,14/08/2013,SELTEK SOLUTIONS DIV O,£731.04,Fuel and pesticide storage cabinets
NE,14/08/2013,WWW.NEOPOST.CO.UK,"£1,030.00",Franking machine top-up
NE,14/08/2013,WWW.PRACADEMY.CO.UK,"£1,440.00","Staff training and subsistence costs for the Chartered Institute of Public Relations diploma course for one person. This lasted for six months, resulting in a high-level professional qualification in Internal Communications."
NE,16/08/2013,JOHN OSMAN GROUNDCARE LTD,"£1,034.19",Vehicle repair and maintenance
NE,16/08/2013,PERTEMPS LTD,"£1,014.44",Agency staff costs - administrative staff
NE,16/08/2013,PERTEMPS LTD,£996.65,Agency staff costs - administrative staff
NE,16/08/2013,PERTEMPS LTD,£976.06,Agency staff costs - administrative staff
NE,16/08/2013,PERTEMPS LTD,£796.62,Agency staff costs - administrative staff
NE,16/08/2013,SEARCY'S,£511.44,Executive Board meeting (June 2013) with key high profile external stakeholders for twelve people.  Hire of private room plus catering charges.
NE,16/08/2013,SURE TRACK EUROPE LTD,£511.30,Tracking device for Mule utility vehicle on a National Nature Reserve
NE,16/08/2013,WWW.FIBERWEBSYNTHETICS,"£1,758.00",Ground mesh for a National Nature Reserve
NE,20/08/2013,M & P SURVEY EQUIP LTD,£795.84,Survey equipment for a National Nature Reserve
NE,20/08/2013,M & P SURVEY EQUIP LTD,£553.20,Survey equipment for a hay meadow survey
NE,20/08/2013,PERTEMPS LTD,"£2,719.18",Agency staff costs - administrative staff
NE,20/08/2013,PERTEMPS LTD,"£1,491.84",Agency staff costs - administrative staff
NE,20/08/2013,WWW.TARIAM.CO.UK,£588.88,Satellite broadband services at a National Nature Reserve (near Ingleton) - 28 March 2013 to 27 March 2014
NE,20/08/2013,WWW.TARIAM.CO.UK,£569.89,Satellite broadband services at a National Nature Reserve (Norfolk) - 8 June 2013 to 7 June 2014
NE,22/08/2013,ASHORNE HILL MANAGEMENT COLLEGE,£516.00,Staff training and subsistence costs for two people attending the Police Wildlife Crime Officer conference
NE,22/08/2013,FP LTD,"£1,266.72",Postage costs
NE,22/08/2013,FRANCOTYP,"£1,036.00",Franking machine top-up
NE,22/08/2013,INNOVA SOLUTIONS LTD,"£2,350.89",Non-slip surface for boardwalk for a National Nature Reserve
NE,22/08/2013,INNOVA SOLUTIONS LTD,"£2,350.89",Non-slip surface for boardwalk for a National Nature Reserve
NE,22/08/2013,PAYPAL  HEATHERTRUST,"£1,014.40",Heather Beetle monitoring on Exmoor to supplement the work being done on Heather Beetles in the Peak District. This will allow some comparison to be made on the issue of Heather Beetles on both the southern and northern uplands
NE,22/08/2013,PROLOG,"£2,055.81",Reprint Hedgelink publications: Hedgerow planting booklet and folders (1000 copies) and Hedgerow DVD (2000 copies)
NE,22/08/2013,PROLOG,"£1,214.45",Reprint Hedgelink publications - Hedgerow Trimming booklet (1000 copies)
NE,22/08/2013,THE MALTHOUSE,£648.85,Staff training and subsistence costs for 24 people for one day attending a team meeting
NE,28/08/2013,ENTERPRISE RENT-A-CAR,£717.26,Hire car from 10-22 May 2013.  The car was needed to carry out fieldwork.
NE,28/08/2013,INNOVA SOLUTIONS LTD,£575.28,Non-slip surface for boardwalk for a National Nature Reserve
NE,28/08/2013,PERTEMPS LTD,£999.46,Agency staff costs - administrative staff
NE,28/08/2013,PERTEMPS LTD,£879.18,Agency staff costs - administrative staff
NE,28/08/2013,PERTEMPS LTD,£675.78,Agency staff costs - administrative staff
NE,28/08/2013,PERTEMPS LTD,£555.11,Agency staff costs - administrative staff
NE,28/08/2013,PERTEMPS LTD,£501.29,Agency staff costs - administrative staff
NE,28/08/2013,WWW.4X4AT.COM,£780.00,Purchase of winch bumper
FERA,22/08/2013,EMIRATES AIRLINES,£734.23,Return flights for one person from Bahrain to the UK as part of a funded project. 
FERA,09/08/2013,ENTERPRISE RENT-A-CAR        ,£693.17,Hire of Short Wheel Base van for 28 days (long term hire) for project funded fieldwork
FERA,12/08/2013,NYS CORPORATE,£839.51,Rail tickets for six people as part of Moldovan Twinning Project. UK study visit.
FERA,12/08/2013,NYS CORPORATE,£615.99,"Return flight for one person from Manchester to Malpensa, Milan as part of a Funded Project"
FERA,14/08/2013,NYS CORPORATE,£667.29,Flight to Podgorica for one person as part of a funded project for the Phytosanitary Directorate of Montenegro
FERA,15/08/2013,NYS CORPORATE,"£1,669.56",Flights for one person to attend a plenary lecture by the United States Pharmacopeia for their Economically Motivated Adulteration of Food Workshop - Project Funded
FERA,16/08/2013,NYS CORPORATE,£773.17,Flights for one person as part of Moldovan Twinning Project. Project funded
FERA,16/08/2013,NYS CORPORATE,£773.17,Flights for one person as part of Moldovan Twinning Project. Project funded
FERA,21/08/2013,NYS CORPORATE,£803.22,"Flights for two people from Lisbon, Portugal and from Malaga, Spain to Manchester as part of a funded project."
FERA,21/08/2013,NYS CORPORATE,£781.68,Three days European car hire for one person for a funded Project.
FERA,27/08/2013,NYS CORPORATE,£539.85,Train tickets for three people to attend a training course on Data Mining. Project Funded
FERA,29/08/2013,NYS CORPORATE,"£1,044.34",Flight for one person from Washington to Brussels. Project Funded
FERA,30/08/2013,NYS CORPORATE,£749.68,Flights for one person to Ottawa as part of a funded project
FERA,22/08/2013,PC world,"£1,387.99",Purchase of computer hardware for funded project
FERA,12/08/2013,Public Health England,£780.00,Training course for one person for two days with Health Protection Authority for Radiation Safety Training for the workplace with Public Health England
FERA,13/08/2013,Civil Service Learning,£513.60,Training course for one person on Future Thinking Methodologies as part of a funded project 
FERA,13/08/2013,WWW.RQA.COM/,£526.00,Quality Assurance Training Course for one person. Paid for by a funded project
FERA,15/08/2013,Applied and Environmental Microbiology,"£1,157.03",Publication fee for a scientific article with the National Centre for Biotechnology Information
FERA,20/08/2013,Civil Service Learning,£513.60,'Horizon Scanning for Strategy and Policy' course for one person - Project Funded
FERA,22/08/2013,Mega Fortris Ltd.,"£3,421.92","Fifty boxes with Fera logo, project funded"
FERA,23/08/2013,InCorporate venues,£528.00,Fees for attendance at Agilent Chemical Analysis MS Meeting for one person - Project Funded
FERA,27/08/2013,Van der Valk Hotel Schiphol A4,£782.27,Accommodation for one person for five nights in the Netherlands as part of Funded Project
FERA,27/08/2013,Van der Valk Hotel Schiphol A4,£782.27,Accommodation for one person for five nights in the Netherlands as part of Funded Project
FERA,28/08/2013,SEAREACH,£600.00,One thousand IT Device Labels
FERA,30/08/2013,NI Enterprises Ltd,£535.68,Nuclear Institute Ukraine Technical attendance for one person. Project Funded
EA,21/08/2013,A W S RECYLING LTD,£768.00,Skip hire at Olton Court
EA,21/08/2013,A.1. ROPES & RIGG,"£1,090.51",Equipment for Chertsey Piling - Sunbury Depot
EA,21/08/2013,ABLE INSTRUMENTS &,"£1,052.40",Calibration and repair of Jerome analyser (technical equipment)
EA,21/08/2013,ACORN ANGLING LTD,"£1,556.00",Fishing kits for angling events - Wallingford
EA,21/08/2013,ACUMEN WASTE SERVI,£564.00,Service grease and oil waste at Keadby
EA,21/08/2013,ADH BASELINE LTD,£575.97,New knapsack paint sprayer plus lances and filters
EA,21/08/2013,ADT LEEDS CC,£854.16,Service costs for intruder alarm at West Stockwith
EA,21/08/2013,ADVANCED CHROMATOGRAPH,£676.54,Replacement parts for laboratory equipment at Olympia House
EA,21/08/2013,AGGREGATE IND UK L,"£2,231.04",Limestone for recovery works at Langport
EA,21/08/2013,AGGREGATE IND UK L,"£1,830.00",Aggregate granite for ramp at Gravelly Hill
EA,21/08/2013,AGGREGATE IND UK L,"£1,776.00",98 tonnes of gravel
EA,21/08/2013,Air Greenland AS,"£1,219.21",North Atlantic Salmon Conservation Organisation salmon sampling in Copenhagen to Maniitsoq (Western Greenland))
EA,21/08/2013,AJPRODUCTS.CO.UK,£556.80,Trolley truck
EA,21/08/2013,ALCONTROL UK LIMITED,"£1,537.50",One hundred oil sample kits for Chelmsford office Field Team use
EA,21/08/2013,ALEXANDRA HOUSE,"£1,422.00",Accommodation for five people for two nights attending River Modelling training course in Swindon
EA,21/08/2013,ALL PALLETS LTD,"£1,321.20",Heavy-duty pallets - flood defence storage
EA,21/08/2013,ALLENS WASTE DISPOSAL,£635.64,Skip hire for waste collection at Great Hanging Bridge Depot
EA,21/08/2013,ALP ELECTRICAL LTD,£878.40,Electrical shower replacement for Old Windsor Lock
EA,21/08/2013,ALPHA ELECTRONICS (SOU,£704.40,Calibration of electrical meters on Thames Barrier site
EA,21/08/2013,ALTITUDE LONDON,"£1,347.84",Fees for twenty people attending Carbon Reduction Commitment Lessons Learned Seminar 
EA,21/08/2013,ALTRAD BEAVER 84 LIMIT,"£1,050.00","Thirty fencing panels, thirty plastic fence feet and sixty fencing couplers"
EA,21/08/2013,Amazon EU,£508.73,Cable and pipe detector
EA,21/08/2013,Amazon Web Services,"£3,423.24",Monthly Amazon charges for June for innovation pilots
EA,21/08/2013,AMPLICON LIVELINE,"£1,459.20",Two Modbus converters for upgrades - Scots Float Depot
EA,21/08/2013,ANDREWS SYKES HIRE LTD,"£1,168.80",Taplow project - six-inch and four-inch pumps
EA,21/08/2013,ANDREWS SYKES HIRE LTD,£594.00,Hire of air conditioning unit for laboratory in Tewkesbury for Health and Safety 
EA,21/08/2013,AQUA HOTEL,£504.00,Accommodation for three people for three nights for survey work carried out in area
EA,21/08/2013,ARCHWAY LAWNMOWERS,£521.96,"Service and repairs to three mowers, press washers and parts - Shepperton Lock"
EA,21/08/2013,ARCO LTD,"£1,507.33","31 Protective facemasks, filter holders and filters for Environmental Monitoring work"
EA,21/08/2013,ARCO LTD,"£1,093.25",Personal Protective Equipment for Tickton Depot
EA,21/08/2013,ARCO LTD,"£1,033.78",150 Microguard coveralls for asbestos removal from Happisburg and Winterton flood defence sites
EA,21/08/2013,ARCO LTD,£625.36,Three pairs of anti-syringe gloves
EA,21/08/2013,ARMADA HOUSE CONFERENC,"£2,822.40",Room and equipment hire plus lunch for eighty people attending National Office Executive Manager meeting 
EA,21/08/2013,ARMADA HOUSE CONFERENC,£570.00,Room hire and refreshments for nineteen people attending Environment and Business team day
EA,21/08/2013,ARTWORKS SOLUTIONS,"£2,000.00",Environment Agency branded signage for Ergon House office
EA,21/08/2013,ARTWORKS SOLUTIONS,"£1,500.00",Manufacture and installation of six magnetic chat boards in meeting rooms at Ergon House
EA,21/08/2013,ASPLI SAFETY EQUIP,"£2,566.32",Overhead warning goalposts for various sites to identify overhead cables
EA,21/08/2013,ASPLI SAFETY EQUIP,"£1,896.00",Health and Safety height posts for site works - Tame Desilt Project
EA,21/08/2013,AST CONNECTIONS LT,£534.54,Regional Incident Room satellite phone annual charge
EA,21/08/2013,AST CONNECTIONS LT,£534.00,Annual calls and line rental contract for satellite phone
EA,21/08/2013,AST CONNECTIONS LT,£534.00,Annual subscriptions for satellite phones for field teams
EA,21/08/2013,ASTUTIS LTD,"£2,034.00",Fees for one person attending Institute of Environmental Management and Assessment training course
EA,21/08/2013,AT BRISTOL LTD 3,"£1,050.00",Venue hire and refreshments for Head Office Business Finance quarterly team meeting 
EA,21/08/2013,AT ENGINEERING,"£1,372.66",Solar panels and support framework for Bude kiosk
EA,21/08/2013,AT ENGINEERING,£709.68,Provision of calibration service of Water Quality Equipment at Fobney
EA,21/08/2013,AT ENGINEERING,£709.68,Provision of calibration service of Water Quality Equipment at Fobney
EA,21/08/2013,AT ENGINEERING,£516.00,Prototype flow-through cell for Porth Lunney bathing kiosk
EA,21/08/2013,AUMA ACTUATORS LTD,£912.00,Repair actuator on St. Ives Sluice plus gearcase and anti-lock modification kit
EA,21/08/2013,AVERY WEIGH TRONIX,"£1,266.01",Servicing and repair of weight balances
EA,21/08/2013,AVS FENCING SUPPLIES,£699.84,Pipe for new hand rails at Seaford Yard
EA,21/08/2013,B AND D PLASTICS,"£3,551.02",Supply and fit replacement dust extraction unit and modify existing ductwork system 
EA,21/08/2013,B.I.G.,"£1,171.99",Key Klamp materials - Thurlow auto gate
EA,21/08/2013,B.I.G.,"£1,030.82",Key Klamp materials - Thurlow auto gate
EA,21/08/2013,B.I.G.,£939.50,Key Klamp materials - Thurlow auto gate
EA,21/08/2013,B.I.G.,£851.94,Key Klamp - Ely Ouse auto gates at Thurlow
EA,21/08/2013,BALLUFF LTD,"£1,748.84",Taplow project - proximity switches for radial gates
EA,21/08/2013,BAMBI AIR COMPRESS,£732.00,Two air compressors for fish transportation trailer - Kielder Hatchery
EA,21/08/2013,BANNER BUSINESS SERVIC,£518.51,Stationery - paper supplies
EA,21/08/2013,BARRY BENNETT LTD,£780.00,Workplace adjustment review for team member
EA,21/08/2013,BARRY BENNETT LTD,"£1,371.00",Two high-back office chairs for Health and Safety purposes
EA,21/08/2013,BARRY BENNETT LTD,£875.10,Adjustable chair for one person for Health and safety purposes
EA,21/08/2013,BARRY BENNETT LTD,£669.30,One specialist ergonomic chair at Richard Fairclough House
EA,21/08/2013,BARRY BENNETT LTD,£650.40,Office chair with modifications - includes delivery and assembling 
EA,21/08/2013,BARRY BENNETT LTD,£626.40,High-back swivel chair plus set-up for Health and Safety purposes
EA,21/08/2013,BARRY BENNETT LTD,£626.40,One specialist ergonomic chair for The Quadrant 2
EA,21/08/2013,BARRY BENNETT LTD,£626.40,Equipment to fulfil Display Screen Equipment requirements for staff member
EA,21/08/2013,BARTON GRANGE FARM,"£2,808.00",Replacement and refurbishment of land disturbed by flood defence work
EA,21/08/2013,BDBS SERVICES,"£1,019.70",Repairs to assets for public safety - erect new security fencing for public disclosure
EA,21/08/2013,BECK & POLLITZER ENGIN,£954.00,King George V Dock crane hire 
EA,21/08/2013,BETTER BOATING CO,£663.33,Diesel fuel for Environment Agency boat operating on the River Cherwell
EA,21/08/2013,BFS GROUP LTD,"£2,366.75",Food supplies purchased for Thames Barrier Cafe
EA,21/08/2013,BLANDFORD CONCRETE,"£2,211.00",Nine lorry loads to dispose of river weed collected from Salisbury site 
EA,21/08/2013,BORDER BARRIER SYS,£527.04,Barriers used as temporary flood defence
EA,21/08/2013,BORDER TRAILERS,"£1,840.80",Stillages for timber and fencing at depot
EA,21/08/2013,BORDER TRAILERS,"£1,149.60",Four large stillages for storing posts and rails for Worcestershire field team
EA,21/08/2013,BP CHEQUERS CONNECT,£652.51,Fuel for bowser to supply plant at Taplow project
EA,21/08/2013,BREDY AGRICENTRE,£561.60,Hire to transport plant to various sites.
EA,21/08/2013,BRETT AGGREGATES LTD,£717.60,One hundred tonnes of blue engineering clay for flood defence work in Suffolk
EA,21/08/2013,BRETT AGGREGATES LTD,£717.60,One hundred tonnes of blue engineering clay for flood defence work in Suffolk
EA,21/08/2013,BRETT CONCRETE LTD,"£1,339.20","Ready-mix concrete for ten-foot road repairs in Pett, East Sussex"
EA,21/08/2013,BRI-STOR SYSTEMS LTD,£880.45,Installation of racking and shelving to Land Rover to enable the transportation of tools and Personal Protective Equipment
EA,21/08/2013,BRITISH GAS(ELECTR,£806.40,Installation of a power supply as part of the Iwade Weedscreen project
EA,21/08/2013,BRITISH HYDROPOWER ASS,£566.00,Fees for two people attending British Hydropower Association Summer Conference
EA,21/08/2013,BRITTANIA LEATHERBARRO,£622.08,"Off-site document storage for Analysis and Reporting, Hydrometry and Fisheries (Recreation) and Biodiversity teams"
