"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"106032","N/D","SCS1","HO Fin-SnrFBP Corporate","Finance Business Partners work closely with business units, interacting regularly to become expert advisors and a crucial source of support to strategic and operational decision making; they also provide development options and solutions by using their technical knowledge, offering strategic insight, commercial acumen and understanding the opportunities and risks.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","243107","0","1.00","N/A","N/A","","Government Finance Profession","North West","","1"
"106039","Lester, Guy (Guy), Mr","SCS2","D assurance","Responsible for providing confidence to those making decisions that risks are being effectively managed and rules and regulations are being adhered to with supporting robust controls and assurance activities in place.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106000","0","1.00","100000","104999","","Government Finance Profession","London","","1"
"106043","N/D","SCS1","Strat Hub-Planning-DD","Leads on developing corporate strategy through ownership of the overarching Strategy for Defence and implementation of the supporting planning architecture, overseeing the groupings of programmes and other initiatives that contribute to Transforming Defence, and advising on the corporate implications of key change proposals.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","207369","0","1.00","N/A","N/A","","Government Finance Profession","South West","","1"
"106044","N/D","SCS1","Head of Def Res","Responsible for in-year financial management (including funding for operations), financial planning and analysis, providing secretariat advice on financial issues and managing the Department's parliamentary supply process.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","135736","0","1.00","N/A","N/A","","Government Finance Profession","London","","1"
"106181","Helliwell, Helen (Helen), Mrs","SCS2","Director AF People Policy","Directs the work of Armed Forces personnel in CDP's area, which includes day-to-day prioritisation in response to events, line management of the heads of the policy divisions, and facilitation of the policy formulation process through frequent dialogue with the policy divisions and their counterparts in the individual Services.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106177","0","1.00","105000","109999","","Human Resources Profession","London","","1"
"107429","N/D","SCS1","Def Strat-Econ-Chief-Economist","Chief Analyst and Functional Lead for Analysis in Defence responsible for developing a strong Analysis Function that will enable Defence to make better decisions, ensuring the best outcomes for Defence and for the UK.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","195020","0","1.00","N/A","N/A","","Government Statistical Service Profession","London","","1"
"109679","N/D","SCS1","Head of Scrutiny","Responsible for scrutiny and advice across a range of air, maritime and land communication and information systems, and Defence infrastructure and business change programmes.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","135736","0","1.00","N/A","N/A","","Government Science and Engineering Profession","South West","","1"
"109782","N/D","SCS1","Scrutiny-Fin Analysis-Hd","Responsible for facilitating senior scrutiny of MOD's financial position and greater transparency of MOD's forecast spending and risks.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","195020","0","1.00","N/A","N/A","","Government Statistical Service Profession","London","","1"
"110351","N/D","SCS1","HOCS SSBR-Hd","Responsible for all aspects of security, safety & business continuity in Head Office.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106029","0","1.00","N/A","N/A","","Government Security Profession","London","","1"
"110655","N/D","SCS1","People-Med Adviser","Responsible for the provision of medical advice relating to Armed Forces people policy.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106181","0","0.39","N/A","N/A","","Human Resources Profession","London","","1"
"111565","N/D","SCS1","DSOP-Org Pol-Hd","Supports the Chief Operating Officer in his role as the Design Authority for the Defence Operating Model (DOM), checking the 'health' of the model, scrutinising any proposed future changes to the DOM, leading on initiatives such as the introduction of Functional Leadership, and gathering empirical evidence on how Defence is working and how it can be continuously improved.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","196904","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"111791","N/D","SCS1","COO Policing Guarding Review","Responsible for developing, promulgating and monitoring the Department's security and resilience policies and standards, including business continuity, personnel security, policing policy & physical security, nuclear security & safety (including nuclear accident response), and technical and international security issues.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","226112","0","1.00","N/A","N/A","","Government Security Profession","London","","1"
"111791A","N/D","SCS1","SPO DSR-Head","Responsible for developing, promulgating and monitoring the Department's security and resilience policies and standards, including business continuity, personnel security, policing policy & physical security, nuclear security & safety (including nuclear accident response), and technical and international security issues.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","223857","0","1.00","N/A","N/A","","Government Security Profession","London","","1"
"112635","N/D","OF-6","People-AF Rem-Hd","Coheres and delivers all Service Personnel Remuneration, Allowances and Pensions policy","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106181","0","1.00","N/A","N/A","","Military","London","","1"
"114344","N/D","OF-6","People-TESRR-Hd","Coheres and delivers all Training, Skills, Education, Recruitment and Resettlement policy for Service Personnel","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","30002257","0","1.00","N/A","N/A","","Military","London","","1"
"115218","N/D","OF-6","FMC-Cap-Plans-Head","Responsible for resource planning and capability coherence for the Front Line Commands.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","30016275","0","1.00","N/A","N/A","","Military","London","","1"
"116256","N/D","OF-6","Commodore Navy Programmes","Commodore for Navy Programmes","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","160106","0","1.00","N/A","N/A","","Military","Overseas","","1"
"30015823","N/D","OF-8","DCDS(Mil Cap)-Personal","Acts as an identifiable, responsible and strong capability sponsor and generates and implements an affordable, balanced and coherent Equipment and Equipment Support Plan which is realistic and has agility.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","204200","0","1.00","N/A","N/A","","Military","London","","1"
"135736","Wipperman, Thomas (Thomas), Mr","SCS2","Strat Fin-Approvals-Dir","Responsible for directing the Department's overall financial planning process, including the allocation of resources and in-year management of the budgetary position, and for ensuring the effectiveness of the process for independently scrutinising and approving major investment decisions, which includes managing the Department's Major Projects Portfolio.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106000","0","1.00","105000","109999","","Government Finance Profession","London","","1"
"135903","N/D","SCS1","Strategic Finance Investment Approvals DD","Responsible for secretariat, requirement and affordability scrutiny of the highest value and most difficult investment decisions in Defence, assurance of the Major Projects Portfolio, and development of the portfolio, programme and project management professionalism in Defence.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","135736","0","1.00","N/A","N/A","","Operational Delivery Profession","London","","1"
"135904","N/D","OF-6","FMC-Cap Joint Plans-Head","Responsible for resource planning and capability coherence for Joint Forces Command and Head Office.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","30016275","0","1.00","N/A","N/A","","Military","London","","1"
"137262","N/D","SCS1","DDC-Public Relations Head","Responsible for presentational advice to ministers and other senior officials, briefing journalists, dealing with media inquiries, effective rebuttal strategies, interviews, press conferences and briefings, and for PR campaigns, including events and internal campaigns.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","137261","0","1.00","N/A","N/A","","Government Communication Service","London","","1"
"137265","N/D","OF-6","DDC-X-Military Strategy Head","Leads on the development of communications strategies and the development and delivery of timely and effective communications plans, and is responsible for the MOD's programme of internal and public research on Defence reputation and the communications strategy for the three Services.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","260672","0","1.00","N/A","N/A","","Military","London","","1"
"137389","N/D","SCS1","FMC-WECA Head","Responsible for the delivery of Defence-wide capability solutions related to facilities to test, evaluate and develop cost-effective military capability; also responsible for capability planning and coherence of the Complex Weapons portfolio, capability assurance and protection.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","137390","0","1.00","N/A","N/A","","Government Science and Engineering Profession","London","","1"
"137390","Fhima, Shimon (Shimon), Mr","SCS2","FMC- D STRAT PROG","Senior Responsible Owner for Nuclear Capability and responsible for the management and coordination of Complex Weapons, Test & Evaluation and capability assurance and protection.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","30015823","0","1.00","100000","104999","","Policy Profession","London","","1"
"139151","N/D","SCS1","Attorney General and Legal Adviser to SBAA","Based in Cyprus and responsible for the provision of all draft primary and secondary legislation, the prosecution of criminal offences, the conduct of civil litigation and the provision of legal advice and assistance.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","5654","0","1.00","N/A","N/A","","Government Legal Profession","Overseas","","1"
"140333","Jolliffe, Avril, Ms","SCS3","SPO DGStrat&Intl-DG","Responsible to the Permanent Secretary for the development of Defence strategy and for professional policy advice on Euro-Atlantic security issues, including NATO, as well as prosperity and economic/industrial security.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","262769","0","1.00","150000","154999","","Policy Profession","London","","1"
"141691","Cameron, Eliza (Eliza), Mrs","SCS2","SPO EAS-Director","Responsible for policy formulation and advice on Defence aspects of major Euro-Atlantic multinational institutions (e.g. NATO), bilateral relationships with countries in Europe and Canada, devolution issues and relations with devolved governments within the UK.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","224188","0","1.00","105000","109999","","Policy Profession","London","","1"
"142008","Martin, Gareth","SCS2","SPO NatSecurity-Dir","Security, Policy and Operational National Security Director","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","224188","0","1.00","100000","104999","","Policy Profession","London","","1"
"142073","N/D","SCS1","Strat Hub-Development-DD","Leads on the Ministry of Defence's contribution to the development of the National Security Strategy and Strategic Defence and Security Review.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","207369","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"142074","N/D","OF-6","FMC-Cap Strat-Head","Responsible for overall capability coherence, force structure and performance management.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","30016275","0","1.00","N/A","N/A","","Military","London","","1"
"142085","N/D","OF-7","SPO BDSUS-Head-DA","Working with Her Majesty’s Ambassador as Defence Attaché for the United States of America, this role provides defence support and advice for the United Kingdom’s strategic County Business Plan .  The Defence Attaché is responsible for all in country defence relationships and defence engagement activities, outside of operations, as the personal representative of the Chief of Defence Staff.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","30012235","0","1.00","N/A","N/A","","Military","Overseas","","1"
"142220","N/D","OF-6","SPO DOC-Hd","Responsible for the British Armed Forces stationed in the UK Sovereign Base Areas of Akrotiri and Dhekelia on the island of Cyprus.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","204200","0","1.00","N/A","N/A","","Military","London","","1"
"142225","N/D","SCS1","SPO SSALAC-Head","Delivery of international policy and planning aspects of security co-operation, conflict prevention and security sector reform relating to Sub-Saharan Africa.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","221468","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"142227","N/D","SCS1","SPO LENA-Head","Responsible for maintenance of policy context for planning and conduct of operations relating to Afghanistan, Pakistan, Iraq and Syria.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","221468","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"142662","N/D","SCS1","SPO GlobalIssues-Head","Responsible for Security Policy Global Issues","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","142008","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"142856","N/D","SCS1","SPO GulfandIran-Head","Delivery of civilian international policy and planning aspects of security co-operation, conflict prevention and security sector reform.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","221468","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"143581","N/D","SCS1","SPO CTandUK-Head","Responsible for the defence contribution to UK counter-terrorism policy and for the direction and conduct of UK operations at the strategic level.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","142008","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"144239","N/D","OF-6","DA New Delhi","Working with Her Majesty’s High Commissioner as Defence Advisor for India, this role provides defence support and advice for the United Kingdom’s strategic County Business Plan .  The Defence Advisor is responsible for all in country defence relationships and defence engagement activities, outside of operations, as the personal representative of the Chief of Defence Staff.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","206621","0","1.00","N/A","N/A","","Military","Overseas","","1"
"144239","N/D","OF-6","DA New Delhi","Working with Her Majesty’s High Commissioner as Defence Advisor for India, this role provides defence support and advice for the United Kingdom’s strategic County Business Plan .  The Defence Advisor is responsible for all in country defence relationships and defence engagement activities, outside of operations, as the personal representative of the Chief of Defence Staff.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","206621","0","1.00","N/A","N/A","","Military","Overseas","","1"
"144805","Newton, Mark (Mark), Mr","SCS2","SPO BDSUS-MinCounsellorDefence","As the most senior Ministry of Defence civil servant in the United States, Minister Counsellor Defence is responsible to Her Majesty's Ambassador for all aspects of UK/US defence equipment acquisition, technology and logistics policy, and programmes and processes.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","224188","0","1.00","100000","104999","","Policy Profession","Overseas","","1"
"144814","N/D","SCS1","Counsellor DAT","Responsible for the management and direction of a Defence Equipment Team, a Science and Technology Team and a Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR) team. Together their responsibilities include: support to operations, delivery of a step-change in the US-UK science and technology relationship, development of the US-UK Bilateral Defence Acquisition Committee and support to UK capability procurement and development.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","144805","0","1.00","N/A","N/A","","Policy Profession","Overseas","","1"
"144816","N/D","SCS1","CDPN","Responsible for management and direction of a Defence Policy Team and a Nuclear Strategic Deterrent (NSD) and Chemical, Biological and Radiological Defence (CBRD) Team. The Defence Policy Team promotes cooperation and dialogue with the US defence community on strategic defence and national security issues and the NSD & CBRD Teams support US/UK collaboration on nuclear deterrence.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","144805","0","1.00","N/A","N/A","","Policy Profession","Overseas","","1"
"146041","N/D","OF-6","SPO MSE-Head","Responsible for providing advice on operations at the strategic level and coordinating MOD Targeting, Information Operations, Computer Network Operations and Special Capability efforts.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","194736","0","1.00","N/A","N/A","","Military","London","","1"
"148649","N/D","SCS1","EASP HD","Responsible for policy advice directed at promoting the UK's security interests through NATO and the EU and with European partners.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","141691","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"149058","N/D","OF-6","DMILREP NATO","Defence Military Representative to Nato","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","148649","0","1.00","N/A","N/A","","Military","Overseas","","1"
"149059","N/D","OF-6","DMILREP EU","Defence Military Representative to the EU","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","148649","0","1.00","N/A","N/A","","Military","Overseas","","1"
"153392","N/D","OF-7","People-RFC-ACDS RC","Assistant Chief Defence Staff of the Reserves and Cadets Directorate cohering and delivering Reserve and Cadet policy and their output","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106177","0","1.00","N/A","N/A","","Military","London","","1"
"153395","N/D","OF-6","People-RFC-Res Hd","Coheres and delivers Reserve policy","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","153392","0","1.00","N/A","N/A","","Military","London","","1"
"154691","N/D","SCS1","People-CivHR-PolReward Hd","Responsible for the policy on civilian employee relations and pay & allowances.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","195772","0","1.00","N/A","N/A","","Human Resources Profession","North West","","1"
"160106","N/D","OF-6","Head of Programmes","Responsible for the oversight of all activity relating to the in-service operation, modification and support of all aircraft, equipment and weapons provided to the Saudi armed forces by BAE Systems and advising on military, technical and capability issues.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","229037","0","1.00","N/A","N/A","","Military","Overseas","","1"
"164078","N/D","SCS1","DSA-HQ-COO","Responsible for the smooth running of the Defence Safety Authority headquarters.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","191191","0","1.00","N/A","N/A","","Operational Delivery Profession","North West","","1"
"169882","N/D","SCS1","People-Sec-Hd","Responsible for policy matters relating to legislation, discipline, conduct and complaints within the Armed Forces.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","260672","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"174649","N/D","SCS1","Head of Contracts","Responsible for negotiating front-end agreements with the Saudis and for negotiation of commercial and contractual terms with the prime contractor, BAE Systems, to ensure a fully coherent package.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","229037","0","1.00","N/A","N/A","","Procurement Profession","Overseas","","1"
"175364","N/D","SCS1","People-SPSupport-Hd","Responsible for the development and promulgation of tri-Service policy for the Armed Forces on a range of non-financial terms and conditions of service, plus accommodation, families and welfare issues.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106181","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"177536","N/D","OF-6","People-RFC-EE AHead","People-RFC-EE AHead","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","153395","0","1.00","N/A","N/A","","Military","London","","1"
"178447","N/D","SCS1","DST-ISR-Hd","Supports cross-government and international science and technology engagement and collaboration, drives science and technology innovation, is responsible for all science and technology issues related to ballistic missile defence, and provides data, tools and techniques for the identification of strategic chemical and biological risks and develops options for their mitigation.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","105230","0","1.00","N/A","N/A","","Government Science and Engineering Profession","London","","1"
"179774","Rees, Jonathan (Jonathan), Mr","SCS2","Director Service Prosecutions","The Service Prosecuting Authority provides for the independent, efficient and consistent consideration of criminal cases and offences contrary to military discipline, initiating prosecutions where justified and conducting fair and thorough proceedings in the service courts whilst liaising effectively with the police and dealing with prosecution witnesses and victims of crime with care and sensitivity.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","106177","0","1.00","140000","144999","","Government Legal Profession","London","","1"
"180361","N/D","SCS1","SPO HILU-Head","Policy on external scrutiny of MOD business relating to judicial reviews and public inquiries.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","188553","0","0.70","N/A","N/A","","Policy Profession","London","","1"
"184000","N/D","SCS1","SPO SpecialOps-Head-A","Responsible for the direction and conduct of special operations at the strategic level.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","224188","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"185281","N/D","OF-7","DSA-Dep DG","Supports and deputises for the Director General and acts as Technical Director of the Military Aviation Authority.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","191191","0","1.00","N/A","N/A","","Military","South West","","1"
"188553","Ryan, Peter (Peter), Mr","SCS2","DJEP-Director","Policy lead on judicial and external scrutiny of MOD business, including public enquiries, inquests and significant claims against the Department.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","224188","0","0.49","55000","59999","","Policy Profession","London","","1"
"189181","N/D","SCS1","SPO CIDU-Head","Policy on judicial and external scrutiny of MOD business relating to claims, inquests and disclosure.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","188553","0","1.00","N/A","N/A","","Policy Profession","London","","1"
"191191","N/D","OF-8","DSA-DG","Director General responsibility for the Defence Safety Authority","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","262769","0","1.00","N/A","N/A","","Military","South West","","1"
"191196","N/D","OF-6","DSA-MAA-RegCert-Hd","Responsible for the development, maintenance and promulgation of MOD's through-life flying, air traffic management, design and continuing airworthiness regulations, standards and associated publications and the certification of all new UK military-registered air systems.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","185281","0","1.00","N/A","N/A","","Military","South West","","1"
"191217","N/D","OF-6","DSA-MAA-Operating-Assurance-Hd","Regulates the operation of all aircraft registered as UK military aircraft (manned and unmanned) and contributes to assurance of the airworthiness of aviation through airworthiness organisation and key individual approvals.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","191191","0","1.00","N/A","N/A","","Military","South West","","1"
"193138","N/D","OF-6","Managing Prosecutor Team 1","Managing Prosecutor Team 1","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","020 7807 0425","hocsd-outeroffice@mod.gov.uk","179774","0","1.00","N/A","N/A","","Military","London","","1"
