Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,PROVISIONS,Commercial,THE CUISINE CENTRE,0001919792,31443.87,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0002290431,41556.84,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0002291401,44407.48,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0002292893,237335.06,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONTRACT-SECURITY,Commercial,TGS SECURITY SPECIALISTS LTD,0002293800,29632.79,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,NOVARTIS PHARMACEUTICALS UK LTD,0012011460,50757.29,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,JANSSEN-CILAG LTD,0012011786,69120.00,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,STOCK-ASCRIBE EDGH,Pharmacy Stock,JANSSEN-CILAG LTD,0013078749,27814.75,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,STOCK-ASCRIBE EDGH,Pharmacy Stock,JANSSEN-CILAG LTD,0013079038,25842.26,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0021011783,44083.90,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CAPITAL EXPEND PLANT&MACHINERY,Other Central,STRYKER UK,0021013026,160207.20,
Department of Health,East Sussex Healthcare NHS Trust,26/07/2018,CAPITAL EXPEND PLANT&MACHINERY,Other Central,CARL ZEISS LTD,0021013028,106800.00,
Department of Health,East Sussex Healthcare NHS Trust,27/07/2018,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001455533,5037.08,
Department of Health,East Sussex Healthcare NHS Trust,27/07/2018,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001455533,67161.06,
