Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2017,VO Code,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR,S44a,S49,Local Discount,Occupied
3152799916535A     ,2SQUARED AGENCY LTD             ,                                ,20.05.2014                                               ,UNIT B4/ BAYS 1 AND 2           ,BROADLANDS                      ,HEYWOOD DISTRIBUTION PARK          ,PILSWORTH ROAD                     ,HEYWOOD                         ,                                ,OL10 2TS,63000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.48168E+13,37TH ROCHDALE SCOUT GROUP C/O   ,KEN GRACEY                      ,01.04.2005                                               ,                                ,                                ,37TH ROCHDALE SCOUTS               ,SILK STREET                        ,ROCHDALE                        ,LANCASHIRE                      ,OL11 3ER,2075,LC3  ,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, , , , , 
3.07663E+13,3EF LTD                         ,                                ,01.04.2017                                               ,UNIT 8A JUNCTION 19 INDUSTRIAL  ,PARK                            ,GREEN LANE                         ,HEYWOOD                            ,                                ,                                ,OL10 1NB,7800,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
31612X0001103A     ,3RD/4TH HEYWOOD (RAVENCROFT)    ,SCOUT GROUP                     ,01.04.2005                                               ,                                ,                                ,3RD AND 4TH HEYWOOD SCOUT GROUP    ,REGENT STREET                      ,HEYWOOD                         ,LANCASHIRE                      ,OL10 3BX,2425,LC3  ,SCOUT HUT & PREMISES                                        ,     ,                                                         ,Y,0,80, , , , , 
3.20357E+13,4 SEASONS GARDEN MAINTENANCE LTD,                                ,10.03.2014                                               ,                                ,                                ,FOUR SEASONS GARDEN                ,MAINTENANCE                        ,VALE STREET                     ,HEYWOOD                         ,OL10 1PQ,4100,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
3.1528E+13,4BIDDEN LTD                     ,                                ,27.06.2017                                               ,UNIT P1(BAY 3)                  ,                                ,PARKLANDS                          ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                         ,LANCS                           ,OL10 2TA,23500,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.2243E+13,4COURT HEALTHCARE LTD           ,                                ,02.02.2011                                               ,4 COURT HEALTH CARE LTD AT      ,HEYBROOK SERVICE STATION        ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2NJ,8200,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.44352E+13,99P STORES LTD                  ,(IN ADMINISTRATION)             ,22.03.2017                                               ,99P STORES LIMITED              ,                                ,MOON RETAIL PARK                   ,ROCH VALLEY WAY                    ,ROCHDALE                        ,LANCS                           ,OL11 4QN,182000,CS7  ,SHOWROOM AND PREMISES                                       ,Y    ,22.03.2017                                               , ,0,0, , , , , 
1.14839E+13,9TH HEYWOOD SCOUT GROUP C/O MR M,BOWE                            ,01.04.2005                                               ,                                ,                                ,9TH HEYWOOD SCOUT GROUP            ,DIGGLES LANE                       ,ROCHDALE                        ,LANCASHIRE                      ,OL11 5PP,5600,LC3  ,SCOUT HUT & PREMISES                                        ,     ,                                                         ,Y,0,80, , , , , 
13937X004700X5     ,A & A HAIR EXTENSIONS SALON LTD ,                                ,14.08.2016                                               ,                                ,                                ,67 OLDHAM ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QR,2500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.01249E+13,A & A PLUMBING LTD              ,T/A DALE PLUMBING MERCHANTS     ,01.03.2017                                               ,                                ,                                ,UNIT 3 ANN STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,5000,CO   ,OFFICE & PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
14555X92879436     ,A & D SPORTS LIMITED            ,                                ,31.10.2014                                               ,                                ,                                ,NJP JOINERY                        ,UNIT 1 RUGBY ROAD                  ,ROCHDALE                        ,                                ,OL12 0LQ,16500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
14555X95152595     ,A & D SPORTS LTD                ,                                ,02.07.2012                                               ,                                ,                                ,UNITS 1 & 2 LAWTON STREET          ,ROCHDALE                           ,                                ,                                ,OL12 0LQ,43500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
142661000400X2     ,A & F SPRINKLERS LTD            ,                                ,21.02.2014                                               ,UNIT 4                          ,                                ,TRANS PENNINE TRADING ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NU,61000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
3.15462E+13,A & H VALETING LTD              ,                                ,11.10.2017                                               ,                                ,                                ,S&H HAND CAR WASH                  ,ADJ THE TILE SHOP                  ,BURY NEW ROAD                   ,BURY                            ,BL9 7HY ,22000,CX   ,Hand Car Wash & Premises                                    ,     ,                                                         , ,0,0, , , ,Y, 
3.07663E+13,A & T SURFACING LIMITED         ,                                ,01.12.2014                                               ,CONSTRUCTION HOUSE              ,                                ,GREEN LANE                         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1NE,40250,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
3031660013007B     ,A & W DENTAL LABORATORY LTD     ,                                ,01.06.2013                                               ,                                ,                                ,13 BUTTERMERE AVENUE               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2BH,2400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.43401E+13,A D STAIRS LTD                  ,                                ,01.04.2009                                               ,UNIT 15 CALDERSHAW CENTRE       ,                                ,ROOLEY MOOR ROAD                   ,ROCHDALE                           ,                                ,                                ,OL12 7EG,7900,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
4.05088E+13,A DEARNLEY LTD                  ,                                ,16.03.2015                                               ,                                ,                                ,103 FEATHERSTALL ROAD              ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8JZ,3500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
13298X99180619     ,A E DIXON & SON LTD             ,                                ,01.04.2005                                               ,                                ,                                ,2 MANCHESTER ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HY,21500,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
1.16273E+13,A J PROPERTIES (NORTH WEST) LTD ,T/A A J PROPERTIES              ,01.04.2005                                               ,                                ,                                ,693 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5SL,7300,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
1.22429E+13,A K FUEL LTD                    ,                                ,01.04.2009                                               ,HEYBROOK CORNER SERVICE STATION ,                                ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9QU,32750,CG   ,PETROL FILLING STATION AND PREMISES                         ,     ,                                                         , ,0,0, , , ,Y, 
1.15765E+13,A N DESIGNER LTD                ,                                ,01.08.2017                                               ,                                ,                                ,GROUND FLOOR                       ,88 DURHAM STREET                   ,ROCHDALE                        ,                                ,OL11 1JZ,4250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
2204470023316B     ,A NOVO UK LTD                   ,                                ,01.04.2005                                               ,UNIT 31 STAKEHILL INDUSTRIAL    ,ESTATE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2RW ,342500,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.10391E+13,A PROPERTIES HOLDINGS LTD       ,                                ,07.04.2016                                               ,SPREAD EAGLE 10                 ,                                ,CHEETHAM STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DL,0,CL   ,Property undergoing development                             ,Y    ,07.04.2016                                               , ,0,0, , , , , 
13937X95051322     ,A R H INVESTMENTS LTD           ,                                ,01.07.2011                                               ,STORE ON 2ND FLR                ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,950,CO   ,STORE                                                       ,     ,                                                         , ,0,0,Y, , , , 
13937X98634585     ,A R H INVESTMENTS LTD           ,                                ,28.03.2013                                               ,OFFICE 6 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,1300,CO   ,OFFICE                                                      ,Y    ,28.03.2013                                               , ,0,0, , , , , 
13937X01545625     ,A R H INVESTMENTS LTD           ,                                ,01.08.2014                                               ,OFFICE 4 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,1575,CO   ,OFFICE                                                      ,Y    ,01.08.2014                                               , ,0,0, , , , , 
1.55609E+13,A S K FINANCIAL HOLDINGS LTD    ,T/A PARADISE KEBAB HOUSE        ,01.06.2017                                               ,                                ,                                ,104 WHITWORTH ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0JJ,6100,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
3.00019E+13,A TO Z SOLUTIONS CENTRE LTD     ,                                ,01.05.2015                                               ,                                ,                                ,3D ACCESS GARAGE AT                ,INDEPENDENCE HOUSE                 ,ADELAIDE STREET                 ,HEYWOOD                         ,OL10 4HF,5200,IF3  ,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y, , , , 
2.10091E+13,A V BODIES LTD                  ,                                ,20.07.2015                                               ,UNIT 4                          ,                                ,HASLAM STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2AP ,6000,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
4.11924E+13,A WORLD OF WEDDINGS LTD         ,                                ,01.02.2010                                               ,                                ,                                ,128 NEW ROAD                       ,LITTLEBOROUGH                      ,                                ,                                ,OL15 8NL,5400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
13937X90480076     ,A.A. ARNOLD (ELECTRICAL         ,CONTRACTORS) LTD                ,01.04.2005                                               ,                                ,                                ,69-73 OLDHAM ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QR,8300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1329559916224A     ,A.C VENTILATION LIMITED         ,                                ,12.04.2017                                               ,                                ,                                ,AC VENTILATION LTD                 ,87-89 MANCHESTER ROAD              ,ROCHALE                         ,LANCASHIRE                      ,OL11 4JG,26250,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
1.34993E+13,A.S.K. TRADING LTD.             ,                                ,05.11.2009                                               ,                                ,                                ,1ST FLR ELM WORKS                  ,59 MERE LANE                       ,ROCHDALE                        ,LANCS                           ,OL11 3TD,9600,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
1.02743E+13,A2 PROPERTY LIMITED             ,                                ,03.04.2016                                               ,SHOP AT 1A-3A                   ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,9000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.02743E+13,A2 SOLICITORS LLP               ,                                ,01.04.2015                                               ,                                ,                                ,1ST FLR OFFICES AT 1A-3A           ,BAILLIE STREET                     ,ROCHDALE                        ,                                ,OL16 1JJ,5700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
1.02743E+13,A2 SOLICITORS LLP               ,                                ,01.04.2015                                               ,                                ,                                ,A2 SOLICITORS SHOP                 ,AT 1A-3A BAILLIE STREET            ,ROCHDALE                        ,                                ,OL16 1JJ,8700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, , , , , 
1.13789E+13,AAA MEDICOLEGAL REPORTING       ,LIMITED                         ,01.03.2016                                               ,UNIT 7 EVANS EASYSPACE LTD      ,                                ,DANE STREET                        ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6XB,3650,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
3.13397E+13,AAF COMPONENTS LTD              ,                                ,01.02.2009                                               ,UNIT 6                          ,QUEST PARK                      ,MOSS HALL ROAD                     ,BURY                               ,LANCS                           ,                                ,BL9 7JJ ,34750,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , ,Y, 
2.18641E+13,AAH PHARMACY CONCESSIONS LTD T/A,VANTAGE PHARMACY                ,01.04.2005                                               ,                                ,                                ,50 ROCHDALE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2PU ,4550,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
2126480069003A     ,AAH RETAIL PHARMACY LTD T/A     ,VANTAGE PHARMACY                ,01.04.2005                                               ,                                ,                                ,199 KIRKWAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1LW ,13750,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
13937X01150085     ,AAH RETAIL PHARMACY LTD T/A     ,VANTAGE PHARMACY                ,01.04.2005                                               ,LLOYDS PHARMACY                 ,                                ,293 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JG,11250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
1.31009E+13,ABBEY ARCHITECTURAL IRONMONGERY ,CO LTD                          ,01.08.2008                                               ,ROOM SIZE LTD                   ,                                ,LOMAX STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0DN,35750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , ,Y, 
2.20448E+13,ABL(HOLDING) LTD T/A PSV GLASS  ,                                ,07.03.2007                                               ,MEDLOCK MEDICAL LTD             ,                                ,STAKEHILL INDUSTRIAL ESTATE        ,MIDDLETON                          ,                                ,                                ,M24 2SJ ,194000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1010950010005B     ,ABM (LANCASHIRE) LTD            ,                                ,27.04.2011                                               ,UNIT 10                         ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,7400,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
1.02778E+13,ABRAHAMS POCKET LTD             ,                                ,27.06.2017                                               ,GND FLR 6A                      ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,                                ,                                ,OL16 1JG,8500,CS   ,SHOP AND PREMISES                                           ,Y    ,27.06.2017                                               , ,0,0, , , , , 
3.15279E+13,ABSOLUTE CENTRE STAGE LIMITED   ,                                ,07.11.2013                                               ,UNIT P1F PARKLANDS              ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TT,15250,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.16608E+13,AC ELECTRICAL (ROCHDALE) LTD    ,                                ,01.03.2013                                               ,UNIT 2                          ,                                ,EDWARD STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DU,2800,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
1.3476E+13,ACCELERATION (HIRE) LTD         ,                                ,12.03.2007                                               ,UNIT 3 AT                       ,                                ,70 MELLOR STREET                   ,ROCHDALE                           ,                                ,                                ,OL12 6AA,5000,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y, , , , 
1.3476E+13,ACCELERATION SERVICES LTD       ,                                ,12.03.2007                                               ,UNITS 1 & 2 AT                  ,                                ,70 MELLOR STREET                   ,ROCHDALE                           ,                                ,                                ,OL12 6AA,10500,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y, , , , 
1.46441E+13,ACCENT HANSEN LTD               ,                                ,17.08.2015                                               ,CEDAR HOUSE SANDBROOK BUSINESS  ,PARK                            ,SANDBROOK WAY                      ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1LQ,79500,CO   ,"OFFICES, OFFICE AND PREMISES                                ",     ,                                                         , ,0,0, , , , , 
2.09854E+13,ACCESS CLEANING SPECIALISTS LTD ,                                ,01.04.2005                                               ,ACCESS HOUSE                    ,                                ,HANSON STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2HW ,2650,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
1.55618E+13,ACCUMAC LTD                     ,                                ,01.12.2011                                               ,UNIT E3                         ,                                ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0AA,2700,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
2.09845E+13,ACCURATE WINDOWS LTD            ,                                ,06.10.2017                                               ,UNIT 2 HANSON CLOSE             ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2PA ,1800,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,06.10.2017                                               , ,0,0, , , , , 
11750X98214034     ,ACE DIRECT LTD                  ,                                ,07.08.2009                                               ,                                ,                                ,245 ENTWISLE ROAD                  ,ROCHDALE                           ,                                ,                                ,OL16 2LJ,1425,CO   ,OFFICE/PHARMACY                                             ,     ,                                                         , ,0,0,Y, , , , 
2.02024E+13,ACE POLISHING SERVICES LTD      ,                                ,11.06.2015                                               ,UNIT 3                          ,                                ,BENTLEY AVENUE                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2RW ,23000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
1.11862E+13,ACEGATE LTD                     ,                                ,01.04.2005                                               ,MITCHELL HEY MILLS              ,                                ,REAR (K/A UNIT C) COLLEGE ROAD     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AF,69000,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
3.09913E+13,ACORN PROPERTY SERVICES         ,(NORTHERN) LTD                  ,05.03.2014                                               ,UNIT 52                         ,                                ,HOOLEY BRIDGE IND ESTATE           ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4AP,3850,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
2.14687E+13,ACROBAT CARBON SERVICES LTD     ,                                ,24.10.2011                                               ,UNIT 9 RHODES BUSINESS PARK     ,                                ,SILBURN WAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4PN ,33750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, , , , , 
10058X00050075     ,ACRYATE RESEARCH AND DEVELOPMENT,LTD                             ,15.04.2016                                               ,UNIT 3                          ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,11500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
3.12767E+13,ACS LINING LTD                  ,                                ,01.04.2005                                               ,                                ,                                ,4 MIDDLETON ROAD                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2HT,7200,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
1.56728E+13,ACTION FORCE LIMITED            ,                                ,01.03.2013                                               ,UNIT 3F                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,5000,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
1.42646E+13,ACTION ROCHDALE LIMITED         ,                                ,02.07.2013                                               ,GREEN MILL                      ,                                ,WELL I'TH LANE                     ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1BB,22500,CWO  ,"WAREHOUSE, OFFICE AND PREMISES                              ",     ,                                                         ,Y,0,80, , , , , 
1415930001016B     ,ACTION ROCHDALE LIMITED T/A     ,ROLLERCITY                      ,02.07.2013                                               ,B MANNING                       ,                                ,PLATTING LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2JT,3600,CP   ,CAR PARK AND PREMISES                                       ,     ,                                                         ,Y,0,80, , , , , 
1.5561E+13,ACTIVE LAWYERS LTD              ,                                ,01.04.2017                                               ,                                ,                                ,128-130 WHITWORTH ROAD             ,ROCHDALE                           ,                                ,                                ,OL12 0JG,9300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.22542E+13,ACTON & ACTON LTD               ,                                ,01.04.2005                                               ,ACTON AND ACTON LTD             ,                                ,HAMER LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UL,6800,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y, , , , 
2.17025E+13,ADAMS BEDS LTD                  ,                                ,20.12.2010                                               ,                                ,                                ,2 OLD HALL STREET                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AN ,7400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y, , , , 
1.58009E+13,ADAMSON & CO                    ,                                ,25.09.2007                                               ,"GND & 2nd FLR, 109-111          ",                                ,YORKSHIRE STREET                   ,ROCHDALE                           ,                                ,                                ,OL16 1YJ,15250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, , , , , 
1.17744E+13,ADAMSON LEGAL LIMITED T/A       ,ADAMSON LEGAL SOLICITORS        ,01.12.2014                                               ,                                ,                                ,OFFICE S4                          ,2 THE ESPLANADE                    ,ROCHDALE                        ,                                ,OL16 1AE,1650,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y, , , , 
1.15313E+13,ADECCO UK LIMITED               ,FAO MISS EMMA WOODHOUSE         ,01.04.2005                                               ,                                ,                                ,2ND FLR 17                         ,DRAKE STREET                       ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1NT,3700,CO   ,OFFICE AND PREMISES                                         ,     ,                                                         , ,0,0, , , , , 
3.13693E+13,ADELAIDE ENGINEERING CO         ,LIMITED                         ,01.04.2005                                               ,PT NO 4 MUTUAL MILLS            ,                                ,ASPINALL STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4HR,40500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
3.13693E+13,ADELAIDE ENGINEERING CO LTD     ,                                ,01.04.2005                                               ,PT NO 4 MILL MUTUAL MILLS       ,                                ,ASPINALL STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4HR,8600,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2005                                               , ,0,0, , , , , 
1.42646E+13,ADHESIVE COATINGS LIMITED       ,                                ,01.04.2005                                               ,EAGLE TECHNOLOGY PARK ADHESIVE  ,COAT                            ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1TQ,39750,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, , , , , 
2.11659E+13,ADHESIVE DEVELOPMENTS LTD       ,                                ,01.04.2005                                               ,ADHESIVE DEVELOPMENTS LTD       ,                                ,JOHN LEE FOLD                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2LR ,7200,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y, , , , 
