Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Hardware/Software Maintenance,Production Services,UKRI - Engineering & Physical Sciences Research Council,99779408,"37,849.61",Computer Consumables,INTERCO
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Consultancy Services,Production Services,Simpson Associates Information Services Ltd,99780072,"1,320.00",Computer Consumables,YO26 6RW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Staff Training,HRSD Recoverables,The Chartered Institute of Payroll Professionals (CIPP),99781358,78,Training,B90 4ZL
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,Staff Training,HRSD Recoverables,The Chartered Institute of Payroll Professionals (CIPP),99781359,78,Training,B90 4ZL
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,T&S - Mileage,D&I Infrastructure & Network Services,Unspecified,99781454,76.14,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/08/2022,T&S - Subsistence,D&I Infrastructure & Network Services,Unspecified,99781454,5.3,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,Contract Staff,Corporate HR,Alexander Mann Solutions Ltd,99770965,"3,780.36",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,Contract Staff,Corporate Commercial,Alexander Mann Solutions Ltd,99777061,"6,303.12",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,Conferences & Seminars,Executive Function,Amanda J Green Ltd,99780598,"3,000.00",Conference & Venues,WC1N 3AX
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,Computer Software,Production Services,CDW Ltd,99782143,"20,750.30",Computing Hardware,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,Staff Training,HRSD Recoverables,Provek Ltd,99782728,"1,620.00",Training,RG19 4LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,Staff Training,HRSD Recoverables,Provek Ltd,99782729,"1,620.00",Training,RG19 4LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,Staff Training,HRSD Recoverables,Provek Ltd,99782730,"1,620.00",Training,RG19 4LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,T&S - Other Charges,Executive Function,Unspecified,99782873,13,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,T&S - Mileage,Procurement Policy & Strategy,Unspecified,99782874,47.7,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,10/08/2022,T&S - Other Charges,D&I Infrastructure & Network Services,Unspecified,99782875,1,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,11/08/2022,T&S - Other Charges,Finance Operations 1,Unspecified,99774288,121.99,Home-working Equipment,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,11/08/2022,T&S - Subsistence,HR Ops,Unspecified,99782495,15.79,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,11/08/2022,T&S - Vehicle Hire,HR Ops,Unspecified,99782495,94.09,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,11/08/2022,T&S - Public Transport,Partnership Management,Unspecified,99782496,2.8,Public Transport - Bus (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,11/08/2022,T&S - Public Transport,Partnership Management,Unspecified,99782496,18,Public Transport - Taxi Fare (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,11/08/2022,T&S - Subsistence,Partnership Management,Unspecified,99782496,8.99,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,11/08/2022,T&S - Subsistence,Partnership Management,Unspecified,99782496,8.49,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,IT Cloud Services,Production Services,Jisc Services Ltd,99776272,"20,392.08",AWS Infrastructure April 2022-Year 1,BS1 6NB
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,IT Cloud Services,Production Services,Jisc Services Ltd,99776970,"20,350.64",AWS Infrastructure April 2022-Year 1,BS1 6NB
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,Health & Safety (inc. Medicals & Opticians),"D&I Digital, Data & Analytics",Unspecified,99779661,25,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,Nursery Deductions,Balance Sheet,EDENRED (UK GROUP) LTD,99780670,"1,637.50",SR 11229476 CHILDCARE VOUCHERS AUGUST,SW1V 2RS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,PAYE Payable Salaries,Balance Sheet,HM Revenue & Customs,99782116,"195,068.35",SR-11229360 HMRC monthly deductions for SSC July 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,NI Payable Salaries,Balance Sheet,HM Revenue & Customs,99782117,"282,237.66",SR-11229360 HMRC monthly deductions for SSC July 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,Student Loans,Balance Sheet,HM Revenue & Customs,99782118,"2,666.00",SR-11229360 HMRC monthly deductions for SSC July 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,Apprenticeship Levy,Corporate HR,HM Revenue & Customs,99782119,"6,651.00",SR-11229360 HMRC monthly deductions for SSC July 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,0.25,15/07/2022----Rail Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Public Transport,Partnership Management,Corporate Travel Management (North) Ltd,99782556,41.4,15/07/2022--Peterborough-Nottingham-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Accounting,Corporate Travel Management (North) Ltd,99782556,2,03/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Accounting,Corporate Travel Management (North) Ltd,99782556,325,03/07/2022--Thistle Express Swi-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Accounting,Corporate Travel Management (North) Ltd,99782556,0.4,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99782556,0.8,01/08/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99782556,0.8,04/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99782556,150,04/07/2022--Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99782556,0.8,27/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99782556,120,27/07/2022--Club Quarters Trafa-London Heathrow-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99782556,0.48,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,D&I Management,Corporate Travel Management (North) Ltd,99782556,0.8,11/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,D&I Management,Corporate Travel Management (North) Ltd,99782556,364.5,11/07/2022--Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,D&I Management,Corporate Travel Management (North) Ltd,99782556,0.16,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Finance Services,Corporate Travel Management (North) Ltd,99782556,0.8,19/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Finance Services,Corporate Travel Management (North) Ltd,99782556,0.8,24/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Finance Services,Corporate Travel Management (North) Ltd,99782556,0.8,24/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Finance Services,Corporate Travel Management (North) Ltd,99782556,0.8,24/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Finance Services,Corporate Travel Management (North) Ltd,99782556,0.64,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,0.8,18/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,0.8,18/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,210,18/07/2022--Cbh Hardwick Hall H-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,0.8,18/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,210,18/07/2022--Cbh Hardwick Hall H-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,0.8,18/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,0.8,18/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99782556,0.8,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops & Specialists,Corporate Travel Management (North) Ltd,99782556,0.8,26/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops & Specialists,Corporate Travel Management (North) Ltd,99782556,140,26/07/2022--Village Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops & Specialists,Corporate Travel Management (North) Ltd,99782556,0.8,26/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops & Specialists,Corporate Travel Management (North) Ltd,99782556,140,26/07/2022--Village Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,HR Ops & Specialists,Corporate Travel Management (North) Ltd,99782556,0.32,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Partnership Management,Corporate Travel Management (North) Ltd,99782556,0.8,14/07/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/08/2022,T&S - Accommodation,Partnership Management,Corporate Travel Management (North) Ltd,99782556,61,14/07/2022--Ibis Nottingham Cen-East Midlands-Hotel,BD1 5HQ
