PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
113,Dr. DUGAN                           ,173 ANDERSONSTOWN ROAD,BELFAST,NULL,BT11 9EA,Belfast,4476
114,Dr. BONNAR & PARTNERS               ,33 STEWARTSTOWN ROAD,BELFAST,NULL,BT11 9FZ,Belfast,6921
116,Dr. DORAN & PARTNERS                ,CROCUS STREET SURGERY,1 CROCUS STREET,BELFAST,BT12 7AP,Belfast,4515
132,Dr. MCGLADE & PARTNERS              ,THE KELLY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,4025
136,Dr. HAIGNEY & PARTNERS              ,MOUNT ORIEL MEDICAL PRACTICE,KNOCKBREDA WTC,"110 SAINTFIELD ROAD, BELFAST",BT8 6GR,Belfast,6512
140,Dr. CLEMENTS & PARTNERS             ,THE HEALTH CENTRE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,8248
143,Dr. STEELE & PARTNERS               ,THE ROWAN TREE FAMILY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,5652
144,Dr. HEGAN & PARTNERS                ,RAVENBANK SURGERY,113 RAVENHILL ROAD,BELFAST,BT6 8DR,Belfast,1584
145,Dr. KILLINER & PARTNERS             ,15A DONEGALL ROAD,BELFAST,NULL,BT12 5JJ,Belfast,8156
146,Dr. BOYD & PARTNERS                 ,BALMORAL SURGERY,436 LISBURN ROAD,BELFAST,BT9 6GR,Belfast,4196
147,Dr. ROWAN & PARTNERS                ,281 ORMEAU ROAD,BELFAST,NULL,BT7 3GG,Belfast,7736
148,Dr. MORROW & PARTNERS               ,SOUTH EAST FAMILY PRACTICE,370/372 CREGAGH ROAD,BELFAST,BT6 9EY,Belfast,9033
151,Dr. IRWIN & PARTNERS                ,THE HEALTH CENTRE,13/25 FINAGHY ROAD SOUTH,BELFAST,BT10 0BX,Belfast,13203
153,Dr. O'HARE & PARTNERS               ,ORMEAU ROAD HEALTH CENTRE,120 ORMEAU ROAD,BELFAST,BT7 2EB,Belfast,9633
154,Dr. MCCAULEY & PARTNERS             ,142 - 144 UNIVERSITY STREET,BELFAST,NULL,BT7 1HH,Belfast,4952
156,Dr. CHAKRAVARTY & PARTNERS          ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,7186
157,Dr. FAIR & PARTNERS                 ,UNIVERSITY HEALTH CENTRE AT QUEENS,ELMWOOD MANSE,"7 UNIVERSITY TERRACE, BELFAST",BT7 1NP,Belfast,10029
159,Dr. BELL & PARTNERS                 ,485 ORMEAU ROAD,BELFAST,NULL,BT7 3GR,Belfast,5833
162,Dr. THOMPSON                        ,10/12 LISBURN ROAD,BELFAST,CO ANTRIM,BT9 6AA,Belfast,2629
164,Dr. MURDOCK & PARTNER               ,CREGAGH SURGERY,36 MONTGOMERY ROAD,BELFAST,BT6 9HL,Belfast,3338
165,Dr. KEANE & PARTNERS                ,6 NORTH PARADE,BELFAST,NULL,BT7 2GG,Belfast,8428
166,Dr. CULLEN & PARTNER                ,BOTANIC MEDICAL CENTRE,51 BOTANIC AVENUE,BELFAST,BT7 1JL,Belfast,2682
191,Dr. HARRISON & PARTNERS             ,THE MONTALTO MEDICAL CENTRE,2 DROMORE ROAD,BALLYNAHINCH,BT24 8AY,South Eastern,9828
192,Dr. MCGILL & PARTNERS               ,KILLYLEAGH SURGERY,14 DOWNPATRICK ROAD,"KILLYLEAGH, DOWNPATRICK",BT30 9RG,South Eastern,4887
193,Dr. GREER & PARTNERS                ,14 CHURCH VIEW,DUNDRUM,NEWCASTLE,BT33 0NA,South Eastern,9530
194,Dr. HYLAND & PARTNER                ,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,1986
195,Dr. GILPIN & PARTNER                ,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,1744
196,Dr. MURPHY & PARTNER                ,THE HEALTH CENTRE,DOWNPATRICK ROAD,ARDGLASS,BT30 7SF,South Eastern,3213
198,Dr. ROSS & PARTNERS                 ,THE HEALTH CENTRE,FAIRVIEW,"SAINTFIELD, BALLYNAHINCH",BT24 7AD,South Eastern,8725
201,Dr. LEGGETT & PARTNERS              ,DONARD FAMILY PRACTICE,56 MAIN STREET,"NEWCASTLE, CO DOWN",BT33 0AE,South Eastern,11705
202,Dr. SMALL & PARTNER                 ,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,3824
204,Dr. MULHALL & PARTNERS              ,THE SURGERY,12 THE GREEN,"IRISH STREET, DOWNPATRICK",BT30 6BE,South Eastern,4836
205,Dr. TRAINOR & PARTNERS              ,THE SURGERY,JAMES STREET,"CROSSGAR, DOWNPATRICK",BT30 9JU,South Eastern,4754
206,Dr. O'CONNOR & PARTNER              ,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,4833
207,Dr. HARNEY & PARTNER                ,STREAM STREET SURGERY,40 STREAM STREET,DOWNPATRICK,BT30 6DE,South Eastern,4902
221,Dr. FLEMING & PARTNERS              ,HEALTH CENTRE,BALLYNAHINCH ST,HILLSBOROUGH,BT26 6AW,South Eastern,9765
222,Dr. MULHOLLAND & PARTNERS           ,WOODBROOK MEDICAL PRACTICE,STEWARTSTOWN ROAD,DUNMURRY  BELFAST,BT17 0FB,South Eastern,8841
223,Dr. CARSON & PARTNERS               ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,3833
224,Dr. CAIRNS & PARTNERS               ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,7030
226,Dr. SMITH & PARTNERS                ,THE SURGERY,BEGNEY HILL ROAD,DROMARA,BT25 2AT,South Eastern,8096
227,Dr. CURRY & PARTNERS                ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,11784
228,Dr. FORDE & PARTNER                 ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,4260
229,Dr. RUDDELL & PARTNERS              ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,8609
230,Dr. RYAN & PARTNERS                 ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,5177
231,Dr. PALMER & PARTNERS               ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,9832
232,Dr. DICK & PARTNERS                 ,192 KINGSWAY,DUNMURRY,BELFAST,BT17 9AL,South Eastern,7907
233,Dr. GALLAGHER & PARTNER             ,GLENAVY FAMILY PRACTICE,47 MAIN STREET,"GLENAVY, CRUMLIN",BT29 4LN,South Eastern,4648
234,Dr. PATTERSON                       ,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,1854
252,Dr. LAWSON & PARTNERS               ,PRIORY SURGERY,26 HIGH STREET,HOLYWOOD,BT18 9AD,South Eastern,14709
253,Dr. REID & PARTNERS                 ,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7731
254,Dr. MOLES & PARTNER                 ,24 LISBARNETT ROAD,LISBANE,NEWTOWNARDS,BT23 6AW,South Eastern,4043
255,Dr. KENNY & PARTNERS                ,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5412
256,Dr. CRAIG & PARTNER                 ,140 GROOMSPORT ROAD,BANGOR,CO DOWN,BT20 5PE,South Eastern,5635
257,Dr. MCCREERY & PARTNERS             ,THE SURGERY,BROOK STREET,HOLYWOOD,BT18 9DA,South Eastern,7967
258,Dr. DREW & PARTNERS                 ,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,4924
259,Dr. DOYLE & PARTNER                 ,CUAN FAMILY PRACTICE,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,3801
260,Dr. CRAWFORD & PARTNERS             ,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7303
261,Dr. NEOH & PARTNERS                 ,KILLYNETHER PRACTICE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,6091
263,Dr. BISSETT                         ,DR ROBERT HENRY SURGERY,7A NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5AU,South Eastern,1753
264,Dr. KINNEAR                         ,SILVERBIRCH MEDICAL PRACTICE,39A SILVERBIRCH ROAD,BANGOR,BT19 6EU,South Eastern,2746
265,Dr. HYLAND & PARTNERS               ,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4119
267,Dr. SEMPLE & PARTNERS               ,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,2632
271,Dr. WINTER & PARTNERS               ,OLD MILL SURGERY,CHURCH STREET,NEWTOWNARDS,BT23 4AS,South Eastern,10525
272,Dr. MCKEOWN & PARTNERS              ,16 A THE SQUARE,COMBER,NEWTOWNARDS,BT23 5DT,South Eastern,6514
273,Dr. WHITESIDE & PARTNERS            ,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,3054
274,Dr. HOLMES & PARTNERS               ,BLOOMFIELD SURGERY,95 BLOOMFIELD ROAD,BANGOR,BT20 4XA,South Eastern,10373
275,Dr. WEBB & PARTNERS                 ,REGENCY MEDICAL CENTRE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,4761
276,Dr. HISCOCKS & PARTNERS             ,DONAGHADEE HEALTH CENTRE,3 KILLAUGHEY ROAD,DONAGHADEE,BT21 0BU,South Eastern,9061
278,Dr. KENNEDY & PARTNERS              ,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4434
279,Dr. COULTER & PARTNER               ,WINDMILL SURGERY,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,2469
280,Dr. MCMINN & PARTNERS               ,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5220
281,Dr. ABRAHAM & PARTNERS              ,CLELAND PARK SURGERY,2 CLELAND PARK,BANGOR,BT20 3EB,South Eastern,5653
282,Dr. HUGHES & PARTNERS               ,THE HEALTH CENTRE,FOWLER WAY,"BALLYWALTER, NEWTOWNARDS",BT22 2PY,South Eastern,5338
283,Dr. BAILIE & PARTNERS               ,LOUGH VIEW SURGERY,2 MAIN STREET,"KIRCUBBIN, NEWTOWNARDS",BT22 2SP,South Eastern,5702
284,Dr. ARMSTRONG & PARTNER             ,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,3065
285,Dr. JACKSON & PARTNER               ,GREEN ROAD MEDICAL CENTRE,5 GREEN ROAD,"CONLIG, NEWTOWNARDS",BT23 7PZ,South Eastern,3519
302,Dr. STIRLING & PARTNERS             ,THE SURGERY,80 CASTLETON,"TEMPLEPATRICK, BALLYCLARE",BT39 0AZ,Northern,9024
303,Dr. HYNDMAN & PARTNERS              ,1 GLENAVY ROAD,CRUMLIN,CO ANTRIM,BT29 4LA,Northern,7515
304,Dr. BUTLER & PARTNERS               ,"MAINE MEDICAL PRACTICE, THE OLD MEETING HOUSE",2 STRAID ROAD,"AHOGHILL, BALLYMENA",BT42 2PB,Northern,4942
305,Dr. HARPER & PARTNERS               ,BERNAGHMORE MEDICAL PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,3651
307,Dr. FIELD & PARTNERS                ,"CASTLE MEDICAL PRACTICE, ANTRIM HEALTH CENTRE",32A STATION ROAD,ANTRIM,BT41 4BS,Northern,4120
308,Dr. HUNTER & PARTNERS               ,ORIEL SURGERY,31 ORIEL ROAD,ANTRIM,BT41 4HR,Northern,5796
310,Dr. MCKELVEY & PARTNERS             ,CULLYBACKEY HEALTH CENTRE,TOBER PARK,"CULLYBACKEY, BALLYMENA",BT42 1NW,Northern,7443
311,Dr. MAGOWAN & PARTNER               ,THE SURGERY,77 GALGORM ROAD,BALLYMENA,BT42 1AA,Northern,2473
312,Dr. HALL & PARTNER                  ,SLEMISH VIEW MEDICAL PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,2568
313,Dr. RUSSELL & PARTNERS              ,THE GABLES,45 WAVENEY ROAD,BALLYMENA,BT43 5BA,Northern,3636
314,Dr. MCFARLAND & PARTNERS            ,WAVENEY MEDICAL PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,4541
315,Dr. WRIGHT                          ,BALLYMENA FAMILY PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,3246
317,Dr. REDMOND & PARTNERS              ,THE HEALTH CENTRE,76 MAIN STREET,BROUGHSHANE BALLYMENA,BT42 4JA,Northern,6809
319,Dr. MCCUSKER & PARTNERS             ,PORTGLENONE HEALTH CENTRE,17 TOWNHILL ROAD,"PORTGLENONE, BALLYMENA",BT44 8AD,Northern,6728
321,Dr. MCQUILLAN & PARTNER             ,SEVEN TOWERS PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,4322
323,Dr. BROWN & PARTNER                 ,SMITHFIELD MEDICAL CENTRE,7 SMITHFIELD PLACE,"GALGORM ROAD, BALLYMENA",BT43 5HB,Northern,2504
325,Dr. BILL & PARTNER                  ,KELLS & CONNOR MEDICAL CENTRE,36 CHURCH ROAD,"KELLS, BALLYMENA",BT42 3JU,Northern,3706
326,Dr. MCCUSKER & PARTNERS             ,THE FAMILY PRACTICE,THE HEALTH CENTRE,"STATION ROAD, ANTRIM",BT41 4BS,Northern,5665
327,Dr. KIDD & PARTNER                  ,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3467
328,Dr. JOHNSTON & PARTNERS             ,MAINE MEDICAL PRACTICE,"OLD MILL PARK, MAIN STREET","CULLYBACKEY, BALLYMENA",BT42 1GP,Northern,5062
329,Dr. COBAIN & PARTNERS               ,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3737
330,Dr. MCKENNA & PARTNER               ,THE HEALTH CENTRE,STATION ROAD, ANTRIM,BT41 4BS,Northern,4733
331,Dr. KHANNA & PARTNERS               ,BRAID FAMILY PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,4189
333,Dr. JOHNSTON & PARTNER              ,THE SURGERY,"TOOME HOUSE, 55 MAIN STREET","TOOMEBRIDGE, ANTRIM",BT41 3TF,Northern,3483
334,Dr. MCILROY & PARTNERS              ,THE HEALTH CENTRE,5 NEILLSBROOK ROAD,"RANDALSTOWN, ANTRIM",BT41 3AE,Northern,10338
336,Dr. HEGAN & PARTNERS                ,2 MALLUSK ROAD,NEWTOWNABBEY,NULL,BT36 4PP,Northern,8483
337,Dr. KYLE & PARTNERS                 ,GLENGORMLEY PRACTICE,324 ANTRIM ROAD,NEWTOWNABBEY,BT36 5EQ,Northern,8585
341,Dr. MAXWELL & PARTNER               ,THE HEALTH CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,4971
344,Dr. TRACEY & PARTNERS               ,KILLOWEN MEDICAL CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,5597
345,Dr. JOHNSTON & PARTNERS             ,BALLYMONEY FAMILY PRACTICE,BALLYMONEY HEALTH CENTRE,"21B NEWAL ROAD, BALLYMONEY",BT53 6HB,Northern,12462
346,Dr. WALLACE & PARTNERS              ,LODGE HEALTH,20 LODGE MANOR,COLERAINE,BT52 1JX,Northern,10227
349,Dr. STERNE & PARTNERS               ,THE COUNTRY MEDICAL PRACTICE,122 BALLINLEA ROAD,"ARMOY, BALLYMONEY",BT53 8TY,Northern,6153
350,Dr. BROWN & PARTNERS                ,6 PRIESTLAND ROAD,BUSHMILLS,NULL,BT57 8QP,Northern,2962
351,Dr. BAILIE & PARTNERS               ,PORTRUSH MEDICAL CENTRE,17 DUNLUCE AVENUE,PORTRUSH,BT56 8DW,Northern,7387
352,Dr. ORR & PARTNERS                  ,GARVAGH HEALTH CENTRE,110 MAIN STREET,"GARVAGH, COLERAINE",BT51 5AE,Northern,5757
354,Dr. HARLEY & PARTNERS               ,THE FAMILY PRACTICE,6 LEVER ROAD,PORTSTEWART,BT55 7EF,Northern,3258
355,Dr. MCCORMACK & PARTNERS            ,THE HEALTH CENTRE,36 GARVAGH ROAD,"KILREA, COLERAINE",BT51 5QP,Northern,6828
356,Dr. POLLOCK & PARTNERS              ,4 MOUNTSANDEL ROAD,COLERAINE,CO LONDONDERRY,BT52 1JB,Northern,11416
357,Dr. GRANT & PARTNERS                ,GLENS OF ANTRIM MEDICAL CENTRE,2 GORTACLEE ROAD,"CUSHENDALL, BALLYMENA",BT44 0TE,Northern,6534
358,Dr. NUTT & PARTNER                  ,LIFFOCK,69 SEA ROAD,"CASTLEROCK, COLERAINE",BT51 4TW,Northern,2710
360,Dr. HENDERSON & PARTNERS            ,THE HEALTH CENTRE,10 MONEYLECK ROAD,"RASHARKIN, BALLYMENA",BT44 8QB,Northern,4408
361,Dr. FANNIN & PARTNERS               ,THE HEALTH CENTRE,ROBINSON MEMORIAL HOSPITAL,BALLYMONEY,BT53 6HH,Northern,5348
366,Dr. MCLISTER & PARTNERS             ,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,3992
367,Dr. MCCURDY & PARTNERS              ,THE FROCESS MEDICAL CENTRE,56 MAIN STREET,"CLOUGHMILLS, BALLYMENA",BT44 9LF,Northern,4560
368,Dr. HEGARTY & PARTNERS              ,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,4770
