TradingName,Address1,Address2,Address3,Address4,Address5,PostCode,HasCows,HasSheep,HasGoats,HasBuffalo,DateOfVisit,ComplianceRating
T/A: PULFORD FARM DAIRIES,PULFORD FARM,OFF BELTHORN ROAD,GUIDE,BLACKBURN,LANCASHIRE,BB1 2NL,YES,,,,2018-07-26,GENERALLY SATISFACTORY
E W GILL AND SONS LIMITED,COCKSHOTTS FARM,SABDEN,,CLITHEROE,LANCASHIRE,BB7 9EH,YES,,,,2018-07-18,GOOD
PEMBERTON'S DAIRIES,BIRKS FARM,BALLAM ROAD,,LYTHAM ST ANNES,LANCASHIRE,FY8 4NL,YES,,,,2018-06-11,GENERALLY SATISFACTORY
T/A: J & M & E A TAYLOR,HAYDOCK FARM,PRESTON RD,COPPULL,CHORLEY,LANCASHIRE,PR7 5HR,YES,,,,2018-08-23,GOOD
T/A: R J GORST,SANDYWAYS FARM,HOSCAR MOSS ROAD,LATHOM,ORMSKIRK,LANCASHIRE,L40 4BG,YES,,,,2018-06-27,GOOD
M & M TATTERSALL,HARGREAVES FOLD FARMS,LUMB,,ROSSENDALE,LANCASHIRE,BB4 9RU,YES,,,,2018-08-02,GOOD
T/A: W S BURROW & SON,GIBRALTAR FARM,SILVERDALE,,CARNFORTH,LANCASHIRE,LA5 0UA,YES,,,,2018-04-23,GOOD
B J & M TOMLINSON & SON,GRACEMIRE FARM,SALWICK,,PRESTON,LANCASHIRE,PR4 0SA,YES,,,,2018-09-05,GENERALLY SATISFACTORY
T/A P & C ATTFIELD,LODGE FARM,COUNTESTHORPE ROAD,WHETSTONE,LEICESTER,LEICESTERSHIRE,LE8 6LD,YES,,,,2018-09-09,GOOD
P J IKIN,WALTON LODGE FARM,SUTTON IN THE ELMS,BROUGHTON ASTLEY,LEICESTER,LEICESTERSHIRE,LE9 6RB,YES,,,,2018-09-26,GOOD
T/A: B & H GRIFFIN,TOLLGATE FARM,COTES-DE-VAL,,LUTTERWORTH,LEICESTERSHIRE,LE17 4LY,YES,,,,2018-04-25,GOOD
T SMITH & SONS LTD,BUMBLE BEE FARM,SHARNFORD,,HINCKLEY,LEICESTERSHIRE,LE10 3AE,YES,,,,2018-08-01,GOOD
R H TRIVETT & SON,MANOR FARM,6 MAIN ROAD,RATCLIFFE CULEY,ATHERSTONE,WARWICKSHIRE,CV9 3NY,YES,,,,2018-07-24,GOOD
F W READ & SONS LTD,ULCEBY GRANGE,,,ALFORD,LINCOLNSHIRE,LN13 0HE,YES,,,,2018-04-24,GOOD
T/A: A M DUGUID & SON,HOME FARM,SPITAL-IN-THE-STREET,,MARKET RASEN,LINCOLNSHIRE,LN8 2AU,YES,,,,2018-10-16,GOOD
JON APPLEBY AND JOY APPLEBY,GREENHOUSE FARM,ARROWE ROAD,GREASBY,WIRRAL,MERSEYSIDE,CH49 1RY,YES,,,,2018-05-11,GOOD
COSTON HALL FARMS LTD,COSTON HALL,BARNHAM BROOM,,NORWICH,NORFOLK,NR9 4DT,YES,,,,2018-08-24,GOOD
MR & MRS W WALES,ABBEY FARM,BINHAM,,FAKENHAM,NORFOLK,NR21 0DG,YES,,,,2018-07-04,GOOD
T/A: BARNOWL JERSEY STUD,CLOISTERS FARM,EVENLEY,,BRACKLEY,NORTHAMPTONSHIRE,NN13 5SD,YES,,,,2018-04-17,GOOD
T/A: D A HOWIE & SONS,MORWICK HOUSE,ACKLINGTON,,MORPETH,NORTHUMBERLAND,NE65 9DG,YES,,,,2018-01-31,GENERALLY SATISFACTORY
MESSRS M L & J M RICHARDSON & SONS,WHEELBIRKS JERSEY FARM,,,STOCKSFIELD,NORTHUMBERLAND,NE43 7HY,YES,,,,2018-05-08,GOOD
REG AS: THE WELBECK ESTATE CO LTD,COLLINGTHWAITE FARM,CUCKNEY,MANSFIELD,,NOTTINGHAMSHIRE,NG20 9NP,YES,,,,2018-06-20,GOOD
"MICHAEL J KING, GEMMA M KING, RICHARD J KING AND KATHLEEN A KING",OLD GREEN FARM,EARTHCOTT GREEN,ALVESTON,BRISTOL,,BS35 3TD,YES,,,,2017-11-29,GOOD
T/A  D A AND J L BENNION,WHEATLEA,FRODESLEY LANE,LONGNOR,SHREWSBURY,SHROPSHIRE,SY5 7QQ,YES,,,,2018-10-15,GENERALLY SATISFACTORY
T/A APPLEBYS,HAWKSTONE ABBEY FARM,HAWKSTONE,,SHREWSBURY,SHROPSHIRE,SY4 5LN,YES,,,,2018-09-10,
A S & S MORGAN,WHITE HORSE FARM,OVER STOWEY,,BRIDGWATER,SOMERSET,TA5 1HG,YES,,,,2018-08-30,GOOD
OLIVE FARM (BABCARY) LTD,OVERTON FARM,BABCARY,,SOMERTON,SOMERSET,TA11 7EJ,YES,,,,2018-08-03,GOOD
"D J, M J & P W HOUSE",DYKES FARM,STOKE ST GREGORY,,TAUNTON,SOMERSET,TA3 6JH,YES,,,,2018-08-01,GOOD
GILCOMBE FARM,GILCOMBE FARM,,,BRUTON,SOMERSET,BA10 0QE,YES,,,,2018-07-31,GOOD
P & R E KIMBER,HIGHER STAVORDALE FARM,CHARLTON MUSGROVE,,WINCANTON,SOMERSET,BA9 8HJ,YES,,,,2018-10-17,GOOD
C L G WADMAN & J WADMAN & SONS,ELLISCOMBE FARM,HOLTON,,WINCANTON,SOMERSET,BA9 8EA,YES,,,,2018-10-04,GOOD
HINTON FARM LTD,HINTON FARM,HINTON,MUDFORD,YEOVIL,SOMERSET,BA22 8BA,YES,,,,2017-09-05,GOOD
T D PRINCE,BEECHENHILL FARM,ILAM,,ASHBOURNE,DERBYSHIRE,DE6 2BD,YES,,,,2018-07-26,GOOD
GM & HJ FERN,6 DEANERY FARM,WATER EATON LANE,PENKRIDGE,STAFFORD,STAFFORDSHIRE,ST19 5QE,YES,,,,2018-10-04,GOOD
S G LEE & SONS,OAKLEY FARM,BLACKHALVE LANE,ESSINGTON,WOLVERHAMPTON,WEST MIDLANDS,WV11 2BB,YES,,,,2018-07-26,GOOD
FEN FARM DAIRY LTD,FEN FARM,FLIXTON ROAD,,BUNGAY,SUFFOLK,NR35 1PD,YES,,,,2018-06-07,GOOD
LITTLE ARTHUR GREEN FARM,LITTLE ARTHUR FARM,HIGHER TOWN,,ST MARTINS,ISLES OF SCILLY,TR25 0QL,,,YES,,2015-08-13,GOOD
OLD PLAW HATCH FARM LIMITED,PLAW HATCH LANE,,SHARPTHORNE,EAST GRINSTEAD,WEST SUSSEX,RH19 4JL,YES,,,,2018-10-24,
P G T HOOK & SON,LONGLEYS FARM,HAREBEATING LANE,,HAILSHAM,EAST SUSSEX,BN27 1ER,YES,,,,2018-01-22,GOOD
HOLLYPARK ORGANICS,HOLLYPARK,NORTH LANE,GUESTLING,HASTINGS,EAST SUSSEX,TN35 4LX,,,YES,,2018-02-15,GOOD
THE GOODWOOD ESTATE COMPANY LTD,HOME FARM,GOODWOOD,,CHICHESTER,WEST SUSSEX,PO18 0QF,YES,,,,2018-01-10,GOOD
C W F HUGHES & SON,SOUTHVIEW FARM,BURY,,PULBOROUGH,WEST SUSSEX,RH20 1NP,YES,,,,2018-10-24,GOOD
M T  PARTINGTON,DEARDENS FARM,MANCHESTER ROAD,OVER HULTON,BOLTON,LANCASHIRE,BL5 1AT,YES,,,,2018-09-05,GENERALLY SATISFACTORY
J & S Y KENYON & SONS,WOOD ROAD DAIRY FARMS,SUMMERSEAT,,BURY,LANCASHIRE,BL9 5QA,YES,,,,2018-08-02,GOOD
T/A: N & J MCLINTOCK,RALPHS FARM,DENSHAW,,OLDHAM,LANCASHIRE,OL3 5SB,YES,,,,2018-04-10,GENERALLY SATISFACTORY
STOWFORD MANOR FARM,STOWFORD,WINGFIELD,,TROWBRIDGE,WILTSHIRE,BA14 9LH,YES,,,,2018-01-24,GOOD
T/A: JR & SE COOK,QUARRY FARM,THE HYDE,PURTON,SWINDON,WILTSHIRE,SN5 4EA,YES,,,,2018-08-08,GOOD
M P MASON,BEECHES FARM,BUSHBURY LANE,BUSHBURY,WOLVERHAMPTON,WEST MIDLANDS,WV10 8JT,YES,,,,2018-10-11,GOOD
T/A: TC ALDERSON & SON,SCORTON ROAD FARM,SOUTH COWTON,,NORTHALLERTON,NORTH YORKSHIRE,DL7 0JD,YES,,,,2018-10-17,GOOD
CAMPHILL VILLAGE TRUST,BOTTON FARM,DANBY,,WHITBY,NORTH YORKSHIRE,YO21 2NJ,YES,,,,2018-09-05,GOOD
R E SNOWDON & SON,NORTON HOUSE FARM,PICKHILL,,THIRSK,NORTH YORKSHIRE,YO7 4JG,YES,,,,2018-09-18,GOOD
T/A: DELPH HOUSE FARM,DELPH HOUSE FARM,DENBY,,HUDDERSFIELD,WEST YORKSHIRE,HD8 8XY,YES,,,,2018-10-11,GOOD
N SHAW & SONS,MOUNT PLEASANT FARM,SHELLEY WOODHOUSE LANE,SHELLEY,HUDDERSFIELD,WEST YORKSHIRE,HD8 8NA,YES,,,,2018-10-11,GOOD
T/A:  J A HAIGH & SONS,HEATH LEA FARM,BARKISLAND,,HALIFAX,WEST YORKSHIRE,HX4 0BZ,YES,,,,2018-07-12,GOOD
BRIAN HAIGH,HIGHER NAYLOR HILL FARM,OXENHOPE,,KEIGHLEY,WEST YORKSHIRE,BD22 9SU,YES,,,,2018-05-10,GENERALLY SATISFACTORY
"G.R,T/A:  S.E.M AND W.L THOMAS",PANTFEILLIONEN,HOREB,,LLANDYSUL,CEREDIGION,SA44 4JR,YES,,,,2018-09-06,GOOD
JENKINS TY HEN LIMITED,TYHEN FARM,MWNT ROAD,CARDIGAN,,CEREDIGION,SA43 1QJ,YES,,,,2018-10-10,GOOD
M/S D W & C M EVANS,CAER FAI FARM,ST DAVIDS,,HAVERFORDWEST,PEMBROKESHIRE,SA62 6QT,YES,,,,2018-09-04,GOOD
T/A: J & B RICHARDS,PORTHYGAN FARM,MARCHWIEL,,WREXHAM,WREXHAM,LL13 0TP,YES,,,,2018-08-14,GOOD
E H ARDEN & SON,GREEN LANE FARM,BROUGHTON,,CHESTER,CHESHIRE,CH4 0NS,YES,,,,2018-09-21,GOOD
H W OULTRAM & CO,NEWBRIDGE FARM,EWLOE,,DEESIDE,FLINTSHIRE,CH5 3BS,YES,,,,2018-08-02,GOOD
T/A: RP GRANVILLE & K J GRANVILLE,GELLI FARM,CEFN GRIBBWR,,BRIDGEND,MID GLAMORGAN,CF32 0EU,YES,,,,2018-05-23,GENERALLY SATISFACTORY
T/A: ME & ME DAVENPORT,COTE HILL FARM,LINCOLN LANE,OSGODBY,MARKET RASEN,LINCOLNSHIRE,LN8 3PD,YES,,,,2018-04-24,GOOD
GREYS MILKING SHEEP CO.,OFF GREEN GLADE,THEYDON BOIS,,EPPING,ESSEX,CM16 7LY,,YES,YES,,2018-01-04,GOOD
NORSWORTHY DAIRY GOATS,FRANKLAND COTTAGE,GUNSTONE,,CREDITON,DEVON,EX17 5HJ,,,YES,,2018-10-04,IMPROVEMENT NECESSARY
JOHN S PILE (FARMS) LTD,MIDDLE FARM,FIRLE,,LEWES,EAST SUSSEX,BN8 6LJ,YES,,,,2018-08-29,GOOD
MONARCH FARMS,SMITHFIELDS,MERSGA ROAD,ABBERTON,COLCHESTER,ESSEX,CO5 7LG,,,YES,,2018-04-25,GOOD
JACMAR DAIRY GOATS,35 STATION ROAD,,,REEDHAM,NORWICH,NR13 3TB,,,YES,,2018-05-10,GOOD
COTHI VALLEY GOATS,CILWR FARM,TALLEY,,LLANDEILO,CARMARTHENSHIRE,SA19 7BQ,,,YES,,2018-09-21,GOOD
O G NEAGLE,UPLANDS FARM,WINCHESTER STREET,BOTLEY,SOUTHAMPTON,HAMPSHIRE,SO30 2AA,YES,,,,2018-10-11,GENERALLY SATISFACTORY
T/A:ELLIE?S DAIRY,WITHHELD AT FBO REQUEST,WITHHELD AT FBO REQUEST,WITHHELD AT FBO REQUEST,WITHHELD AT FBO REQUEST,WITHHELD AT FBO REQUEST,WITHHELD AT FBO REQUEST,,,YES,,2018-05-29,GOOD
CRT PIERREPONT FARM,PIERREPONT FARM,THE REEDS,FRENSHAM,FARNHAM,SURREY,GU10 3BP,YES,,,,2018-10-17,GOOD
LEICESTERSHIRE HANDMADE CHEESE CO,SPARKENHOE FARM,MAIN ROAD,UPTON,NUNEATON,WARWICKSHIRE,CV13 6JX,YES,,,,2018-09-05,GOOD
MESSRS WALSH,BUNKERS HILL,GREYSTOKE,,PENRITH,CUMBRIA,CA11 0UP,YES,,,,2018-06-11,GOOD
T/A: E T TOMLINSON & SON,CHARNWOOD FOREST FM,CHARLEY ROAD,NANPANTON,LOUGHBOROUGH,LEICESTERSHIRE,LE12 9XJ,YES,,,,2018-06-19,GOOD
T/A: P L & K J BOAM,TAGG LANE GRANGE,TAGG LANE,MONYASH,BAKEWELL,DERBYSHIRE,DE45 1JP,YES,,,,2018-09-19,GOOD
D & P THOMPSON,SHOELANDS FARM,2 SHOELANDS FARM COT,SEALE LANE,SEALE,SURREY,GU10 1HL,YES,,,,2018-01-10,GOOD
MR WILLIAM A E FOX,LYDE GREEN FARM,LYDE GREEN,ROTHERWICK,HOOK,HAMPSHIRE,RG27 9BH,YES,,,,2018-09-25,GOOD
D S & E J LE MAY,LADYMEADS FARM,BEWLBRIDGE LANE,LOWER COUSLEY WOOD,WADHURST,EAST SUSSEX,TN5 6HH,,,YES,,2018-04-10,GOOD
HALTON FARMS LTD,CHANCE HALL FARM,CHANCE HALL LANE,MORETON-CUM-ALCUMLOW,NR CONGLETON,CHESHIRE,CW12 4TL,YES,,,,2018-05-11,GOOD
DREAMERS FARM,DREAMERS FARM,NORTH BREWHAM,,BRUTON,SOMERSET,BA10 0JW,YES,,,,2018-07-31,GOOD
T/A: GOLDEN VALLEY GOATS LTD,CORNERSTONE,CANNON BRIDGE ROAD,MADLEY,HEREFORD,HEREFORDSHIRE,HR2 9LP,,,YES,,2016-12-20,GOOD
CHUCKLING GOAT RANCH,GLYNMELYN,BRYNHOFFNANT,,LLANDYSUL,CEREDIGION,SA44 6DS,,,YES,,2018-09-19,GOOD
EMMA'S DAIRY,LOWER GAZEGILL FARM,DANCER LANE,RIMINGTON,CLITHEROE,,BB7 4EE,YES,,,,2018-06-13,GENERALLY SATISFACTORY
E S BURROUGHS AND SONS,OAKLAND FARM,ALDEBY,BECCLES,,SUFFOLK,NR34 0BL,YES,,,,2018-09-20,GOOD
T/A: A & C L GRAY,HIGH PASTURE FARM,SUMMERBRIDGE,,HARROGATE,,HG3 4DP,YES,,,,2018-10-05,IMPROVEMENT NECESSARY
TRUDE FARM,TRUDE FARM,GOODLEIGH,CROW HILL,BARNSTAPLE,DEVON,EX32 7NH,,,YES,,2017-12-21,
R & J MORTON,LITTLE ARTHUR GREEN FARM,HIGHER TOWN,,ST MARTIN,ISLES OF SCILLY,TR25 0QL,YES,,,,2017-08-24,GOOD
OAK TREE COTTAGE,SUDBURY ROAD,,,BURY ST MARY,SUFFOLK,CO8 5JT,,,YES,,2018-10-29,GOOD
HG WITT AND SON,PADTSOW FARM,FROG LANE,FORDINGBRIDGE,,HAMPSHIRE,SP6 1BN,YES,,,,2018-10-17,GOOD
T/A: TOP PADDOCK FARMING PARTNERSHIP,BULLS FAM,SEDGWICK LANE,HORSHAM,,WEST SUSSEX,RH13 6QE,,YES,,,2018-06-12,GOOD
H. G. ROBINSON & SONS LIMITED,GROSMONT WOOD FARM,GROSMONT,ABERGAVENNY,,MONMOUTHSHIRE,NP7 8LB,YES,,,,2018-07-27,GOOD
T/A: HEATH FARM PARTNERSHIP,SHELFORD COTTAGE FARM,LUTTERWORTH ROAD,SHELFORD,HINCKLEY,WARWICKSHIRE,LE10 3HN,YES,,,,2018-07-24,GOOD
T/A: THE CALF AT FOOT DAIRY,HOM FARM,SOMERLEYTON,,,SUFFOLK,NR 32 5PR,YES,,,,2018-07-19,GOOD
T/A: D G & J R BROWNE,BURE VALLEY FARM,BURGH ROAD,AYLSHAM,,NORFOLK,NR11 6TZ,,,YES,,2018-09-11,GOOD
T/A: H S BOURNE,THE BANK,MALPAS,,,CHESHIRE,SY14 7AL,YES,,,,2018-05-14,GOOD
T/A: LONGWOOD FARM,LONGWOOD FARM,TUDDENHAM,BURY ST EDMUNDS,,SUFFOLK,IP28 6TB,YES,,,,2018-09-12,GOOD
T/A: S E ALDERMAN,CHURCH FARM,4 WINSLOW ROAD,SWANBOURNE,MILTON KEYNES,,MK17 0SW,YES,,,,2018-03-15,GOOD
T/A: PLAINSPOT FARM,PLAINSPOT FARM,PLAINSPOT ROAD,BRINSLEY,NOTTINGHAMSHIRE,,NG16 5BQ,YES,,,,2018-04-11,GOOD
CHRISTINE PAGE,SMILING TREE FARM,CHAPEL LAWN,BUCKNELL,,SHROPSHIRE,SY7 0BW,YES,,,,2018-06-06,GOOD
T/A: T E LANDER,HOME FARM,NETHERTON,QUENINGTON,CIRENCESTER,GLOUCESTERSHIRE,GL7 5DD,,,YES,,2017-08-25,GOOD
CHARLES WRAY,WAYSIDE FARM,WATFORD ROAD,,KINGS LANGLEY,HERTFORDSHIRE,WD4 8EA,YES,,,,2018-06-13,GOOD
T/A: PETER HILL & SON,ACACIA GROVE FARM,HARLASTON,TAMWORTH,,STAFFORDSHIRE,B79 9HP,YES,,,,2018-10-16,GOOD
P KERLEY CONTRACTOR LTD,MIDDLE DAIRY,LOWER ALMER FARM,SPETISBURY,BLANDFORD FORUM,DORSET,DT11 9DY,YES,,,,2018-04-11,
T/A: C L BOWLES-JONES,BABBINSWOOD FARM,WHITTINGTON,OSWESTRY,,SHROPSHIRE,SY11 4PF,YES,,,,2018-09-10,
WEST COUNTRY WATER BUFFALO LIMITED,LOWER OAKLEY FARM,CHILTHORNE DOMER,YEOVIL,,SOMERSET,BA22 8RQ,,,,YES,2018-09-27,GOOD
SUSAN ROOT,WOOLGARS FARM,BLAKES LANE,WEST HORSLEY,LEATHERHEAD,SURREY,KT24 6EA,,,YES,,2018-04-26,GOOD
ALEX HEFFRON AND SAM BERRY,MOUNTAIN HALL FARM UCHAF,HERMON,GLOGUE,,PEMBROKESHIRE,SA36 0DX,YES,,,,2018-03-21,GOOD
JOANNE M POWER,TEAPOT COTTAGE,HONEYGAR LANE,WESTHAY,GLASTONBURY,SPMERSET,BA6 9TS,,,YES,,,
AHIMSA DAIRY FOUNDATION,OLD STATION WORKS,STATION ROAD,MANTON,,RUTLAND,LE15 8RY,YES,,,,2018-10-02,GOOD
STROUD MICRO DAIRY LIMITED,OAKBROOK FARM,WICK STREET,STROUD,,GLOUCESTERSHIRE,GL6 9HF,YES,,,,2018-10-12,GOOD
E. A. MAYHEW & SONS LIMITED,DAIRY FARM,NORWICH ROAD,WOODTON,BUNGAY,SUFFOLK,NR35 2NA,YES,,,,2018-07-19,GOOD
T/A: MAYS FARM RINGMER,MAYS FARM,NORLINGTON LANE,RINGMER,,EAST SUSSEX,BN8 5SG,YES,,,,2018-10-24,GOOD
HEARD CATTLE COMPANY,STOKEHOUSE FARM,BRADNINCH,EXETER,,DEVON,EX5 4LT,YES,,,,2018-10-11,GOOD
T/A: WILDCROFT RARE BREEDS,CLEAR BARN,THE HEATH,PUTTENHAM,,SURREY,GU3 1AL,,,YES,,,
T & S FARMS,COLLETTS CHASE,WORMINGFORD,,,ESSEX,CO6 3AU,YES,,,,2018-07-10,GOOD
HUGH DIBBLE,GLOG FARM,LLANGAIN,CARMARTHEN,,CARMARTHENSHIRE,SA33 5AY,,,YES,,2018-08-14,GOOD
DYFI DAIRY,BRYNMELYN BACH,BRYNMELYN ESTATE,LLANWRIN,MACHYNLLETH,POWYS,SY20 8QJ,YES,,YES,,2018-09-05,
T/A: HOPEWELL FARM FOODS,HOPEWELL FARM FOODS,NEW FARM BUILDINGS,HOPE LANE,ADLINGTON,CHESHIRE,SK10 4NH,YES,,,,2018-10-17,GOOD
T/A: EMMA ALDOUS,SKYLARK FARM,MANOR HOUSE ESTATE,BAWDSEY,WOODBRIDGE,SUFFOLK,IP12 3AL,,,YES,,2018-08-21,GOOD
T/A: B R FOX,BLAKELEY FARM,MOOR ROAD,STAINDROP,,CO. DURHAM,DL2 3LH,YES,,,,2018-10-01,GENERALLY SATISFACTORY
DREW,BALLYRONEY COTTAGE,40 LACKEN ROAD,BALLYRONEY,BANBRIDGE,,BT32 5JA,,,YES,,2017-12-18,GOOD
MCDOWELL,64 KNOCKBRACKEN ROAD,CASTLEREAGH,BELFAST,,,BT6 9SL,YES,,,,2017-07-03,GOOD
CULMORE ORGANIC FARM,CULMORE HOUSE ,55 BANN ROAD,KILREA,CO LONDONDERRY,,BT51 5RY,YES,,,,2017-07-27,GOOD
WEIR?S ORGANIC FARM,PROSPECT HOUSE,136 BALLYMORE ROAD,MULLAHEAD,TANDRAGEE,CO ARMAGH,BT62 2JZ,YES,,,,2017-07-31,GOOD
CLANDEBOYE ESTATE CO LTD,ESTATE OFFICE,CLANDEBOYE,BANGOR,CO DOWN,,BT19 1RN,YES,,,,2017-07-31,GOOD
HANNA,15 DRUMVIEW ROAD,CARRYDUFF,LISBURN,CO DOWN,,BT27 6YF,YES,,,,2017-10-18,GOOD
