Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods (Purpose of expenditure look up),Service/Department   (SAP Hierarchy Position),Expense Area (cost centre desc),Net Order Value Over £5000.00 (line item value shown here),GL Code,Cost Centre/WBS
30/07/2020,ZAV680837,5,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,100.00,400105,13001
30/07/2020,ZAV680837,6,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,900.00,400105,13001
30/07/2020,ZAV680838,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"5,655.00",402001,13001
30/07/2020,ZAV680838,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,963.90,402001,13001
30/07/2020,ZAV680838,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,22.00,402001,13001
03/08/2020,ZAV680933,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,510.00,402001,13001
03/08/2020,ZAV680933,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"6,270.00",402001,13001
03/08/2020,ZAV680933,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,450.00,402001,13001
03/08/2020,ZAV680933,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,150.00,402001,13001
03/08/2020,ZAV680933,5,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,825.00,402001,13001
18/08/2020,ZAV681462,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,578.00,402001,13001
18/08/2020,ZAV681462,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"5,950.00",402001,13001
18/08/2020,ZAV681462,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,510.00,402001,13001
18/08/2020,ZAV681462,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,170.00,402001,13001
18/08/2020,ZAV681462,5,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,825.00,402001,13001
25/08/2020,ZAV681715,1,9441,Softcat Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"7,646.00",400105,13001
25/08/2020,ZAV681715,2,9441,Softcat Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"1,982.60",400105,13001
16/09/2020,ZAV682450,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Service,"6,578.92",400110,11417
17/09/2020,ZAV682524,1,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"5,783.40",400110,13001
17/09/2020,ZAV682524,2,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,120.00,400110,13001
17/09/2020,ZAV682524,3,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,423.28,400110,13001
17/09/2020,ZAV682524,4,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"1,380.00",400110,13001
17/09/2020,ZAV682524,5,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,117.50,400110,13001
17/09/2020,ZAV682524,6,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"1,215.00",400110,13001
17/09/2020,ZAV682524,7,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,197.61,400110,13001
21/09/2020,ZAV682617,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Service,"40,304.60",400110,11417
24/09/2020,ZAV682826,1,13068,addNetworks,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"4,960.00",400110,13001
24/09/2020,ZAV682826,2,13068,addNetworks,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"4,440.00",400110,13001
24/09/2020,ZAV682826,3,13068,addNetworks,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,15.00,400110,13001
24/09/2020,ZAV682826,4,13068,addNetworks,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"4,380.00",400110,13001
03/07/2020,ZES679857,1,2718,Virgin Media Business,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"110,479.64",402002,11324
03/07/2020,ZES679857,2,2718,Virgin Media Business,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"96,121.67",402002,11324
08/07/2020,ZES680054,1,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"4,396.32",402001,11324
08/07/2020,ZES680054,2,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"6,422.02",402001,11324
28/07/2020,ZES680782,1,7684,CDW Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"1,747,139.45",402001,11324
30/07/2020,ZES680836,1,5814,Prosperon Networks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,951.00,402002,11324
30/07/2020,ZES680836,2,5814,Prosperon Networks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"4,640.00",402002,11324
30/07/2020,ZES680836,3,5814,Prosperon Networks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"5,514.00",402002,11324
30/07/2020,ZES680836,4,5814,Prosperon Networks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"2,889.00",402002,11324
30/07/2020,ZES680836,5,5814,Prosperon Networks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"6,136.00",402002,11324
18/08/2020,ZES681493,1,2718,Virgin Media Business,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"110,479.64",402064,11324
29/09/2020,ZES682926,1,13177,Trustmarque Solutions Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT School,"9,182.63",402001,11418
29/09/2020,ZES682926,2,13177,Trustmarque Solutions Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT School,"1,500.00",402001,11418
22/07/2020,ZHS680537,1,8323,Wilkinson Cowan Partnership Lt,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"10,372.73",200311,C.10923.002
16/09/2020,ZHS682486,1,13730,Greg Robinson,390000,Supplies and services,Supplies and services,#N/A,#N/A,"5,050.00",401600,C.10945.002
23/09/2020,ZHS682790,1,14356,Fraigneaux Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"5,950.00",200311,C.11617.033
07/09/2020,ZPC682120,1,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Pendlebury PRU,"2,875.50",100290,10318
07/09/2020,ZPC682120,2,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Cedars PRU,"1,917.00",100290,10317
07/09/2020,ZPC682120,3,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Pendlebury PRU,"2,875.50",100290,10318
07/09/2020,ZPC682120,4,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Cedars PRU,"1,917.00",100290,10317
07/09/2020,ZPC682120,5,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Pendlebury PRU,"2,875.50",100290,10318
07/09/2020,ZPC682120,6,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Cedars PRU,"1,917.00",100290,10317
07/09/2020,ZPC682120,7,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Pendlebury PRU,"2,875.50",100290,10318
07/09/2020,ZPC682120,8,11021,The Laurus Trust (Cheadle Hulm,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Cedars PRU,"1,917.00",100290,10317
04/09/2020,ZSA682064,1,1644,Tameside MBC,999999,Fees and Charges,Fees and Charges,Services to People,PH-Programme Mngmt,"17,522.00",402407,12732
28/09/2020,ZSH682886,1,12567,Building  Research  Establishm,999999,Fees and Charges,Fees and Charges,Services to Place,Housing Strategy,"5,908.00",401035,10955
31/07/2020,ZTR680894,1,12445,Barbour Logic Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Car Parks Admin,"15,713.00",402001,10005
02/07/2020,ZZC679806,1,12793,Aspire Therapy Services Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"10,000.00",401035,12968
02/07/2020,ZZC679807,1,13335,Family Action,150000,Consultancy   ,Professional Fees,Services to People,RAA Adoption Count,"29,167.00",401020,12957
02/07/2020,ZZC679808,1,13335,Family Action,150000,Consultancy   ,Professional Fees,Services to People,RAA Adoption Count,"8,333.00",401020,12957
03/07/2020,ZZC679867,1,4771,Paritor Ltd,999999,Fees and Charges,Fees and Charges,Services to People,SI - Music Service,"5,177.06",401035,10417
07/07/2020,ZZC679981,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"10,000.00",401035,12968
07/07/2020,ZZC679984,1,13510,Children's Therapy Solutions,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"8,141.00",401035,12968
15/07/2020,ZZC680325,1,12646,Child in Mind Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"6,710.00",401035,12968
28/07/2020,ZZC680742,1,8766,ADOPTION MATTERS NORTHWEST,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"9,961.66",401035,12968
28/07/2020,ZZC680743,1,12723,Chrysalis Associates Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
03/08/2020,ZZC680946,1,13509,Cuffe and Lacey,150000,Consultancy   ,Professional Fees,Services to People,FP - Special Guardia,"6,003.00",401007,13012
10/08/2020,ZZC681216,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
10/08/2020,ZZC681219,1,12793,Aspire Therapy Services Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"10,000.00",401035,12968
10/08/2020,ZZC681220,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
14/08/2020,ZZC681400,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
26/08/2020,ZZC681750,1,13335,Family Action,#N/A,#N/A,#N/A,Services to People,RAA - ASF Grant,"19,800.00",400999,12968
26/08/2020,ZZC681751,1,12298,One Education Ltd,150000,Consultancy   ,Professional Fees,Services to People,RAA - Ctr Excellence,"15,210.00",401020,12967
08/09/2020,ZZC682190,1,12793,Aspire Therapy Services Ltd,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
08/09/2020,ZZC682191,1,8766,ADOPTION MATTERS NORTHWEST,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
10/09/2020,ZZC682259,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
18/09/2020,ZZC682586,1,8249,Creative Concern Ltd,190000,Facilities & Management Services  ,Office Expenses,Services to People,RAA Adoption Count,"23,775.50",400700,12957
18/09/2020,ZZC682587,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
18/09/2020,ZZC682588,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"5,000.00",401035,12968
21/09/2020,ZZC682637,1,1756,CoramBAAF,200000,Financial Services  ,Fees and Charges,Services to People,RAA Adoption Count,"11,105.55",402401,12957
22/09/2020,ZZC682698,1,12675,Tiptoes Child Therapy Services,999999,Fees and Charges,Fees and Charges,Services to People,RAA - ASF Grant,"11,290.00",401035,12968
01/07/2020,ZZH679751,1,628,Life Leisure,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Sports Client,"7,000.00",400115,11309
01/07/2020,ZZH679757,1,7025,CBRE Limited,150000,Consultancy   ,Professional Fees,Services to Place,Town Centre Devt Tea,"44,000.00",401007,10072
01/07/2020,ZZH679758,1,7025,CBRE Limited,150000,Consultancy   ,Professional Fees,Services to Place,Town Centre Devt Tea,"120,000.00",401007,10072
02/07/2020,ZZH679781,1,13684,University of Essex,150000,Consultancy   ,Professional Fees,Services to People,Partners In Practice,"5,294.00",401007,12997
02/07/2020,ZZH679787,1,10985,Broadstones School Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"34,000.00",401024,10372
02/07/2020,ZZH679788,1,10985,Broadstones School Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"34,000.00",401024,10372
02/07/2020,ZZH679789,1,10985,Broadstones School Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"39,000.00",401024,10372
02/07/2020,ZZH679791,1,12268,The Orchards,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,OLA pupils,"5,851.00",401024,10371
02/07/2020,ZZH679811,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"14,901.93",200304,C.00965.203
02/07/2020,ZZH679812,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"8,606.32",401600,C.00621.203
02/07/2020,ZZH679829,1,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,T.Union facilities,"46,220.00",401020,10472
02/07/2020,ZZH679838,1,13083,Abbotsound Ltd,#N/A,#N/A,#N/A,Services to People,COVID-19,"5,000.00",500999,12926
02/07/2020,ZZH679840,1,13083,Abbotsound Ltd,#N/A,#N/A,#N/A,Services to People,COVID-19,"80,000.00",500999,12926
02/07/2020,ZZH679841,1,13083,Abbotsound Ltd,#N/A,#N/A,#N/A,Services to People,COVID-19,"20,000.00",500999,12926
02/07/2020,ZZH679842,1,13083,Abbotsound Ltd,#N/A,#N/A,#N/A,Services to People,COVID-19,"20,000.00",500999,12926
02/07/2020,ZZH679843,1,13083,Abbotsound Ltd,#N/A,#N/A,#N/A,Services to People,COVID-19,"7,000.00",500999,12926
05/07/2020,ZZH679916,1,5214,WSP GROUP PLC,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"94,388.40",401020,11965
06/07/2020,ZZH679924,1,12268,Dunham Trust for The Orchards,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,OLA pupils,"5,851.00",401024,10371
06/07/2020,ZZH679955,1,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,I.T Business Relat,"8,574.00",102020,13044
07/07/2020,ZZH679975,1,13860,Howard Lynn Property Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,Property Client Acct,"6,941.21",100290,12328
07/07/2020,ZZH679976,1,13223,A Pacini Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,Property Client Acct,"5,276.50",100290,12328
07/07/2020,ZZH680001,1,1644,Tameside MBC,999999,Fees and Charges,Fees and Charges,Services to People,Adults Management,"15,000.00",401035,11873
07/07/2020,ZZH680002,1,8926,P88003 Manor Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,944.00",530348,12735
07/07/2020,ZZH680002,2,8926,P88003 Manor Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,944.00",530348,12737
07/07/2020,ZZH680002,3,8926,P88003 Manor Medical Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"2,944.00",561704,12748
07/07/2020,ZZH680002,4,8926,P88003 Manor Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"2,944.00",530348,12748
07/07/2020,ZZH680005,1,8956,P88005 The Family Surgery,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,292.00",530348,12735
07/07/2020,ZZH680005,2,8956,P88005 The Family Surgery,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"4,452.00",530348,12737
07/07/2020,ZZH680006,1,8933,P88007 Cheadle Hulme Health Ce,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"5,300.00",530348,12735
07/07/2020,ZZH680006,2,8933,P88007 Cheadle Hulme Health Ce,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,050.00",530348,12737
07/07/2020,ZZH680006,3,8933,P88007 Cheadle Hulme Health Ce,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"3,213.00",561704,12748
07/07/2020,ZZH680006,4,8933,P88007 Cheadle Hulme Health Ce,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"3,228.00",530348,12748
07/07/2020,ZZH680009,1,8942,P88008 Heaton Mersey Medical P,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,120.00",530348,12735
07/07/2020,ZZH680009,2,8942,P88008 Heaton Mersey Medical P,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,527.00",530348,12737
07/07/2020,ZZH680009,3,8942,P88008 Heaton Mersey Medical P,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"1,324.00",561704,12748
07/07/2020,ZZH680009,4,8942,P88008 Heaton Mersey Medical P,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,131.00,530348,12748
07/07/2020,ZZH680010,1,8963,P88011 Heaton Norris Health Ce,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,780.00",530348,12735
07/07/2020,ZZH680010,2,8963,P88011 Heaton Norris Health Ce,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"3,307.00",530348,12737
07/07/2020,ZZH680010,3,8963,P88011 Heaton Norris Health Ce,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"2,044.00",561704,12748
07/07/2020,ZZH680010,4,8963,P88011 Heaton Norris Health Ce,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"2,991.00",530348,12748
07/07/2020,ZZH680011,1,8950,P88012 Beech House Medical Pra,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,178.00",530348,12735
07/07/2020,ZZH680011,2,8950,P88012 Beech House Medical Pra,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,952.00",530348,12737
07/07/2020,ZZH680011,3,8950,P88012 Beech House Medical Pra,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"2,697.00",561704,12748
07/07/2020,ZZH680011,4,8950,P88012 Beech House Medical Pra,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"2,464.00",530348,12748
07/07/2020,ZZH680012,1,8947,P88013 Caritas General Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"5,202.00",530348,12735
07/07/2020,ZZH680012,2,8947,P88013 Caritas General Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"3,092.00",530348,12737
07/07/2020,ZZH680012,3,8947,P88013 Caritas General Practic,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"4,521.00",561704,12748
07/07/2020,ZZH680012,4,8947,P88013 Caritas General Practic,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"4,291.00",530348,12748
07/07/2020,ZZH680013,1,8949,P88015 Bramhall Health Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"5,138.00",530348,12735
07/07/2020,ZZH680013,2,8949,P88015 Bramhall Health Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,956.00",530348,12737
07/07/2020,ZZH680014,1,8952,ann.smith24@nhs.net,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"5,423.00",530348,12735
07/07/2020,ZZH680014,2,8952,ann.smith24@nhs.net,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"3,731.00",530348,12737
07/07/2020,ZZH680014,3,8952,ann.smith24@nhs.net,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,PH-Sexual Health LES,"2,329.00",561704,12748
07/07/2020,ZZH680014,4,8952,ann.smith24@nhs.net,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Sexual Health LES,"3,312.00",530348,12748
07/07/2020,ZZH680015,1,8944,P88017 Chadsfield Medical Prac,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,837.00",530348,12735
07/07/2020,ZZH680015,2,8944,P88017 Chadsfield Medical Prac,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,237.00",530348,12737
