Permanent secretary,Date,Person or organisation that meeting was with,Purpose of meeting
John Manzoni,16/11/2015,Telerealtrillium,Discuss government Property 
John Manzoni,23/11/2015,Catapult,Discuss Energy 
John Manzoni,27/11/2015,Dambisa Moyo ,Discuss Civil Service Issues
John Manzoni,30/11/2015,Tony Van Kralingen,Discuss procurement 
John Manzoni,03/12/2015,Hoggett-Bowers,Discuss Civil Service resources
John Manzoni,04/12/2015,Prof Fyfe,Discuss Civil Service Issues
John Manzoni,04/12/2015,Bechtel,Discuss Procurement
John Manzoni,09/12/2015,Miles Partnership,Discuss Civil Service resources
John Manzoni,10/12/2015,Natural England,Natual England
John Manzoni,11/12/2015,Microsoft,digital supplier relationship
John Manzoni,11/12/2015,Cap Gemini,digital supplier relationship
John Manzoni,11/12/2015,KPMG,Supplier relationship
John Manzoni,14/12/2015,Andrew Hinkley,Discuss government commercial function
John Manzoni,14/12/2015,G4S,digital supplier relationship
John Manzoni,17/12/2015,Interserve,Supplier relationship
John Manzoni,17/12/2015,London Business School,CS engagement with Business Schools
John Manzoni,21/12/2015,Open Data Institute,Discuss government data
John Manzoni,21/12/2015,Paul Warwick,Discuss government commerial function
John Manzoni,21/12/2015,Steve Lamey,Discuss government commerial function
John Manzoni,22/12/2015,Sopra Steria,Discuss shared services
Tom Scholar,01/11/2015,Wall Street Journal ,Discussion of European Issues
Tom Scholar,01/11/2015,HSBC ,Discussion of International Economic Issues
