Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
04/07/2023,Hotel & Accommodation UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524790,321.9,MF Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE
04/07/2023,Postage,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524844,84.92,MF Devolved Admin-Postage,,EMPLOYEE
04/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524871,3.6,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
04/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524871,20.25,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
04/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524871,28.35,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
04/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524871,34.2,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
04/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524871,36.9,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
04/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524871,108,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
04/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",524871,117.9,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
18/07/2023,Rail Travel UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,4.35,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
18/07/2023,Rail Travel UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,4.35,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,5.7,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,6.4,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,10.17,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,13.95,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,25,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527918,34.75,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527929,18.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527929,19.05,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527929,19.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527929,24.2,MF Devolved Admin-Subsistence UK,,EMPLOYEE
18/07/2023,Rail Travel,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",527929,30,MF Devolved Admin-Rail Travel,,EMPLOYEE
20/07/2023,Rail Travel UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,4.35,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
20/07/2023,Rail Travel UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,4.35,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
20/07/2023,Other Travel,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,4.5,MF Devolved Admin-Other Travel,,EMPLOYEE
20/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,4.55,MF Devolved Admin-Subsistence UK,,EMPLOYEE
20/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,5.3,MF Devolved Admin-Subsistence UK,,EMPLOYEE
20/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,14.08,MF Devolved Admin-Subsistence UK,,EMPLOYEE
20/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,16.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
20/07/2023,Subsistence UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,16.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
20/07/2023,Other Travel,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,39,MF Devolved Admin-Other Travel,,EMPLOYEE
20/07/2023,Motor Vehicle Hire,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",528487,52.7,MF Devolved Admin-Motor Vehicle Hire,,EMPLOYEE
24/07/2023,Mileage Allowance UK,"Net Zero, Nuclear & International - Nuclear Protection Directorate","Personal Expense, Name Withheld",529088,50.4,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
04/07/2023,Taxi Services UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",524837,13.4,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
04/07/2023,Taxi Services UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",524837,17,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
04/07/2023,Other Travel,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",524838,13.45,MF Devolved Admin-Other Travel,,EMPLOYEE
04/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",524838,14.7,MF Devolved Admin-Subsistence UK,,EMPLOYEE
04/07/2023,Rail Travel UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",524838,31.4,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
05/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",525223,5.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
10/07/2023,Publications,Business Sectors - Advanced Manufacturing,Defence Analysis Ltd,526347,800,MF Devolved Admin-Publications,N19 5BG,VENDOR
11/07/2023,Publications,Business Sectors - Advanced Manufacturing,Defence Analysis Ltd,526373,800,MF Devolved Admin-Publications,N19 5BG,VENDOR
21/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",528783,0.86,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",528783,2.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",528783,4.25,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",528783,4.45,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",528783,7.62,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Rail Travel UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",528783,8.99,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
21/07/2023,Subsistence UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",528783,10.95,MF Devolved Admin-Subsistence UK,,EMPLOYEE
24/07/2023,Taxi Services UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",529091,27,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
24/07/2023,Taxi Services UK,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",529091,27,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
21/07/2023,Rail Travel UK,Net Zero Buildings and Industry (NZBI) - Smart Metering Implementation Programme,"Personal Expense, Name Withheld",528765,5.5,Net Zero Costs - Admin-Rail Travel UK,,EMPLOYEE
07/07/2023,Enforcement,Market Frameworks - Labour Market,HM Revenue and Customs,525937,2411571,National Minimum Wage Enforcement-Enforcement,BN11 1UR,WGA ONLY
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526614,6.53,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526614,6618.2,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526617,23.39,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526617,23942.31,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526618,8.69,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526618,8953.14,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526619,27.97,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526619,28254.01,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526620,71.15,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,526620,71863.02,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
11/07/2023,Enforcement,Market Frameworks - Labour Market,HM Revenue and Customs,526625,16667,National Minimum Wage Enforcement-Enforcement,BN11 1UR,WGA ONLY
11/07/2023,Enforcement,Market Frameworks - Labour Market,HM Revenue and Customs,526627,55476,National Minimum Wage Enforcement-Enforcement,BN11 1UR,WGA ONLY
11/07/2023,Enforcement,Market Frameworks - Labour Market,HM Revenue and Customs,526628,6552,National Minimum Wage Enforcement-Enforcement,BN11 1UR,WGA ONLY
17/07/2023,Enforcement,Market Frameworks - Labour Market,HM Revenue and Customs,527791,61991.79,National Minimum Wage Enforcement-Enforcement,BN11 1UR,WGA ONLY
27/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,529194,24.51,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
27/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,529194,25419.46,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
27/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,529627,-6618.2,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
27/07/2023,Marketing and Media,Market Frameworks - Labour Market,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,529627,-6.53,National Minimum Wage Enforcement-Marketing and Media,SE1 0SW,VENDOR
13/07/2023,Taxi Services UK,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",527060,8.92,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
18/07/2023,Taxi Services UK,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",527892,7.8,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
18/07/2023,Subsistence UK,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",527892,15,MF Devolved Admin-Subsistence UK,,EMPLOYEE
27/07/2023,Rail Travel UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",529988,126.09,Net Zero Costs - Admin-Rail Travel UK,,EMPLOYEE
06/07/2023,Marketing and Media,"Science, Innovation and Growth - Technology and Innovation Regulation",PRICEWATERHOUSECOOPERS LLP,515615,7500,TSS Programme-Marketing and Media,SE1 2RD,VENDOR
27/07/2023,EXP - Miscellaneous Expenditure - iExpenses,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530028,54,Default-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
04/07/2023,Hotel & Accommodation Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",524853,220.85,MF Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE
07/07/2023,Other Travel,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",525813,2,MF Devolved Admin-Other Travel,,EMPLOYEE
07/07/2023,Other Travel,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",525813,2,MF Devolved Admin-Other Travel,,EMPLOYEE
07/07/2023,Subsistence UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",525813,3.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Other Travel,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",528760,45,MF Devolved Admin-Other Travel,,EMPLOYEE
21/07/2023,Subsistence UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",528809,1.35,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Other Travel,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",528809,2,MF Devolved Admin-Other Travel,,EMPLOYEE
21/07/2023,Other Travel,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",528809,2,MF Devolved Admin-Other Travel,,EMPLOYEE
21/07/2023,Subsistence UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",528809,8.7,MF Devolved Admin-Subsistence UK,,EMPLOYEE
21/07/2023,Subsistence UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",528809,12.67,MF Devolved Admin-Subsistence UK,,EMPLOYEE
24/07/2023,Other Travel,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",529095,4.8,MF Devolved Admin-Other Travel,,EMPLOYEE
24/07/2023,Rail Travel UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",529095,20.69,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
24/07/2023,Rail Travel UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",529095,26.49,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
27/07/2023,Rail Travel Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,2.66,MF Devolved Admin-Rail Travel Overseas,,EMPLOYEE
27/07/2023,Rail Travel Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,3.52,MF Devolved Admin-Rail Travel Overseas,,EMPLOYEE
27/07/2023,Rail Travel Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,9.27,MF Devolved Admin-Rail Travel Overseas,,EMPLOYEE
27/07/2023,Subsistence Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,11.28,MF Devolved Admin-Subsistence Overseas,,EMPLOYEE
27/07/2023,Subsistence Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,14.59,MF Devolved Admin-Subsistence Overseas,,EMPLOYEE
27/07/2023,Rail Travel Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,18.19,MF Devolved Admin-Rail Travel Overseas,,EMPLOYEE
27/07/2023,Rail Travel Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,19.05,MF Devolved Admin-Rail Travel Overseas,,EMPLOYEE
27/07/2023,Taxi Services Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,70,MF Devolved Admin-Taxi Services Overseas,,EMPLOYEE
27/07/2023,Hotel & Accommodation Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,121.11,MF Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE
27/07/2023,Hotel & Accommodation Overseas,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530021,183.3,MF Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE
27/07/2023,Rail Travel UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530026,20.6,MF Devolved Admin-Rail Travel UK,,EMPLOYEE
27/07/2023,Subsistence UK,"Science, Innovation and Growth - Technology and Innovation Regulation","Personal Expense, Name Withheld",530027,5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
11/07/2023,Taxi Services UK,Chief Scientific Adviser - CSA DG Office,"Personal Expense, Name Withheld",526459,13.5,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
25/07/2023,Mileage Allowance UK,Chief Scientific Adviser - CSA DG Office,"Personal Expense, Name Withheld",529455,20.97,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
18/07/2023,Contractor Expenditure,Net Zero Buildings and Industry (NZBI) - Industrial Decarbonisation and Emissions Trading,RICARDO-AEA LTD,527862,86973.48,CHP Quality Assurance Programme-Contractor Expenditure,OX11 0QR,VENDOR
07/07/2023,Consultancy Expenditure,Net Zero Buildings and Industry (NZBI) - Industrial Decarbonisation and Emissions Trading,The Public Service Consultants Ltd T/A The PSC,525351,39635,CCA and EII Strategy-Consultancy Expenditure,EC2M 2PF,VENDOR
18/07/2023,Outsourced Programme Management,Net Zero Buildings and Industry (NZBI) - Industrial Decarbonisation and Emissions Trading,RICARDO-AEA LTD,528090,6519.26,CCA and EII Strategy-Outsourced Programme Management,OX11 0QR,VENDOR
21/07/2023,Stationery,Net Zero Buildings and Industry (NZBI) - Industrial Decarbonisation and Emissions Trading,Banner Group Ltd,528944,-25.76,MF Devolved Admin-Stationery,S9 1XT,VENDOR
06/07/2023,Other Professional Services,Net Zero Buildings and Industry (NZBI) - Industrial Decarbonisation and Emissions Trading,Softwire Technology Ltd,525182,1422.69,Energy Savings Opportunity Scheme-Other Professional Services,NW5 1TL,VENDOR
10/07/2023,Grant-In-Aid to Arms Length Bodies,Energy Infrastructure - Energy Development,North Sea Transition Authority,526015,450000,OGA Grant in Aid-Grant-In-Aid to Arms Length Bodies,WC1B 3HF,WGA ONLY
12/07/2023,Capital Grants to Private Sector - Companies,Energy Infrastructure - Energy Development,Global Underwater Hub Ltd,526335,535465.85,Global Underwater Hub-Capital Grants to Private Sector - Companies,AB32 6FE,VENDOR
06/07/2023,Reprographic Services,Energy Infrastructure - Energy Development,HH Associates Ltd,524582,793.75,MF Devolved Admin-Reprographic Services,KT22 9DF,VENDOR
07/07/2023,Subsistence UK,Energy Infrastructure - Energy Development,"Personal Expense, Name Withheld",525827,5.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
07/07/2023,Subsistence UK,Energy Infrastructure - Energy Development,"Personal Expense, Name Withheld",525827,5.5,MF Devolved Admin-Subsistence UK,,EMPLOYEE
06/07/2023,Hire of Conference Facilities,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,UNIVERSITY OF LONDON,525615,7000,Net Zero Costs - Admin-Hire of Conference Facilities,WC1E 7HU,VENDOR
12/07/2023,Meals,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,UNIVERSITY OF LONDON,525626,3277.5,Net Zero Costs - Admin-Meals,WC1E 7HU,VENDOR
12/07/2023,Taxi Services UK,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,"Personal Expense, Name Withheld",526834,10.94,Net Zero Costs - Admin-Taxi Services UK,,EMPLOYEE
12/07/2023,Taxi Services UK,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,"Personal Expense, Name Withheld",526834,12.19,Net Zero Costs - Admin-Taxi Services UK,,EMPLOYEE
21/07/2023,Stationery,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,Banner Group Ltd,528944,10.2,MF Devolved Admin-Stationery,S9 1XT,VENDOR
21/07/2023,Stationery,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,Banner Group Ltd,528944,21,MF Devolved Admin-Stationery,S9 1XT,VENDOR
21/07/2023,Stationery,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,Banner Group Ltd,528944,105.8,MF Devolved Admin-Stationery,S9 1XT,VENDOR
21/07/2023,Stationery,Energy Infrastructure - Hydrogen and Industrial Carbon Capture,Banner Group Ltd,528944,353.38,MF Devolved Admin-Stationery,S9 1XT,VENDOR
07/07/2023,Losses and Compensation,Net Zero Buildings and Industry (NZBI) - Net Zero Buildings - Domestic,Mary Beach,526013,250,Green Homes Grant Project-Losses and Compensation,BN20 8JD,GRANT
05/07/2023,Hire of Agency Staff,Net Zero Buildings and Industry (NZBI) - Net Zero Buildings - Domestic,Alexander Mann Solutions Ltd,524367,2268.18,Net Zero Costs - Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
06/07/2023,Subsistence UK,Net Zero Buildings and Industry (NZBI) - Net Zero Buildings - Domestic,"Personal Expense, Name Withheld",525526,4.2,Net Zero Costs - Admin-Subsistence UK,,EMPLOYEE
06/07/2023,Subsistence UK,Net Zero Buildings and Industry (NZBI) - Net Zero Buildings - Domestic,"Personal Expense, Name Withheld",525526,5.25,Net Zero Costs - Admin-Subsistence UK,,EMPLOYEE
06/07/2023,Subsistence UK,Net Zero Buildings and Industry (NZBI) - Net Zero Buildings - Domestic,"Personal Expense, Name Withheld",525526,5.27,Net Zero Costs - Admin-Subsistence UK,,EMPLOYEE
