Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,330
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,149.76
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,124.8
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,124.8
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,330
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,149.76
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,124.8
Social Care Services,*Redact - Personal Information,Services to People,Care Payments,30/11/2022,124.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,549.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,698.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,549.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1098.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,998.4
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,240
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,200.1
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,100.05
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,200.1
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,100.05
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,499.2
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,89.14
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-53.49
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,726.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1002.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,772.5
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Fees and Charges,30/11/2022,772.5
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,544.68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,213.98
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-213.98
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,404.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,269.52
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,630
Education Services,Wonder Why Learning,Services to People,Fees and Charges,30/11/2022,549.25
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Fees and Charges,30/11/2022,1705.68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,423.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,136.17
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Fees and Charges,30/11/2022,1152
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,61.05
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,26.16
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,252
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,30/11/2022,252
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,200
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,150
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Property Management,Intact Projects Ltd,Services to People,Care Payments,30/11/2022,61.05
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,584.99
Childcare Provision,Boat House Day Nursery,Services to People,Care Payments,30/11/2022,561.5
Childcare Provision,Boat House Day Nursery,Services to People,Care Payments,30/11/2022,127.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,300
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,252
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-272.2
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,3262
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-707.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,3219.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-214
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,621.4
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-128.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,371.84
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2561.68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,873.6
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1082
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,446.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,720
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-15.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,600
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-160.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,3180
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1040
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,179.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,179.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,77.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-217.94
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-554.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-554.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-77.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-179.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-179.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-179.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1148.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1148.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1148.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,451.06
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,748.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-150.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1320
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,7734.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,768
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-464.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1680
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-342.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2240
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,86.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,61.2
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-22.61
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-86.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,877.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,877.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,877.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,657.84
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-554.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-776
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-776
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,304.87
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-179.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,684
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-342.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1905.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-137.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,660
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1397.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-7.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-9.4
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-13.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-41.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,698.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,226.56
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,159.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,120
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2344
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2329.4
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,752.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1686.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-165.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1497.6
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2602.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1400
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,960
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,4524.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-93.36
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1475.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-52.68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2660
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1240
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2520
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,917.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-108.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1456
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1856
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-133.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1131.36
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-186.84
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1552.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-165.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1083
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,3445.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,702.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-24.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,778
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,796.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,619
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1743.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-8.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1495
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2782.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1727.68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-182.52
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,755
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,6.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-3.97
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-13.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-20.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,552
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,349.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,245.7
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,10495.52
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-145.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,903.2
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-149.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,690.56
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-342.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,5610
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1597.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,3192.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-112.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1200
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,860
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2032
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,599.04
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-64.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,600
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,998.4
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-17.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,660
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-152
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,935
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1000
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-155.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1173
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1563.84
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-63.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1840
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,916.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,920
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1039
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1896.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-130.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1060
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1183.6
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,3824.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1939.2
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-115.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2331.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,680
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1567.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,7607.04
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-325.68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2592
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1640.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-71.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,824
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,70.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-5.24
