UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Council Directorate
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Healey Care Ltd,SME,4577158,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Home Instead Senior Care,Medium,5564869,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Hourglass,VCSE,6485019,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Making Space,VCSE,"Company:01642033
Charity: 512907",Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Mary and Joseph House Care Home part of The Joseph Cox Charity,VCSE,507626,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Newbarn Ltd,SME,2871713,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,NL Group Ltd,Large,4295083,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,People First,VCSE,"company: 
6339300, charity: 1124426.",Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Perpetual (Bolton),Large,5304989,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Petrus Community,VCSE,1523836,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Potens (Pendleton Care) Potentials Ltd,Large,5846789,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Premier Care Ltd,Large,5213770,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Rethink,VCSE,1227970,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Richmond Fellowship,VCSE,662712,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,RMBC Community Restart,VCSE,Supplier does not have company number,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Shelter,SME,1664057,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,Stepping Stones Services,SME,7486128,Rochdale- Adult
195,Rochdale Council,322001-Social Community Care Supplies & Services - Adult : Mental Health Services : ,Social Care Provision for People with Mental Health issues in the Rochdale Borough,-,-,-,-,-,-,-,-,-, - , - ,THE NEXT STEP SUPPORTED HOUSING LIMITED,SME,4744421,Rochdale- Adult
237,Rochdale Council,SOCIAL CARE SERVICES : Adult,Provision of Telecare Monitoring and Responder Services,OJEU Tender,Contract,01-Apr-14,12,36,30-Nov-18,Yes,30-Nov-18,01-Aug-17,"£180,000.00","£540,000.00",Eldercare,SME,2163445,Rochdale- Adult
251,Rochdale Council,SOCIAL CARE SERVICES : Adult,Service Provision for Physical Disabilities and Sensory Impairment,OJEU Tender,Framework Agreement,01-Sep-13,36,67,31-Mar-19,Yes,31-Mar-19,01-Aug-18,"£1,439,240.00","£6,476,580.00",Various - See below,Various - See below,Various - See below,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Action on hearing loss (formally RNID),VCSE,207720,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Allied Healthcare Group,Large,1963820,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Alternative Futures Group,Large,1008587,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Comfort Call,Large,5763279,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Crossroads Care in Greater Manchester,Medium,3219229,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,DHP t/as Prestige Nursing and Care,SME,980410728,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Future Directions,Large,8041420,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Leyton Healthcare (The Mews),Large,7549202,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,mears,Large,4320403,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Mencap,VCSE,550457,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Possabilities CIC ,SME,8837981,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Seva Support,SME,7842105,Rochdale- Adult
251,Rochdale Council,-,-,-,-,-,-,-,-,-,-,-, - , - ,Voyage Care,Large,2215899,Rochdale- Adult
278,Rochdale Council,201300-Financial Services : Cash Collection : ,Bailiff Services ,Call Off (External),Contract,01-Nov-14,60,60,31-Oct-19,Yes,31-Oct-19,03-Jan-19, nil , nil ,Various - See below,Various - See below,Various - See below,Rochdale- Resources
278,Rochdale Council,201300-Financial Services : Cash Collection : ,Bailiff Services ,-,-,-,-,-,-,-,-,-, - , - ,Equita,SME,3168371,Rochdale- Resources
278,Rochdale Council,201300-Financial Services : Cash Collection : ,Bailiff Services ,-,-,-,-,-,-,-,-,-, - , - ,Jacobs  ,Large,7923864,Rochdale- Resources
278,Rochdale Council,201300-Financial Services : Cash Collection : ,Bailiff Services ,-,-,-,-,-,-,-,-,-, - , - ,Phoenix,Large,3753408,Rochdale- Resources
278,Rochdale Council,201300-Financial Services : Cash Collection : ,Bailiff Services ,-,-,-,-,-,-,-,-,-, - , - ,Rossendales,Large,5070065,Rochdale- Resources
370,Rochdale Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Highways Maintenance Contract Re-Procurement,OJEU Tender,Contract,12-Oct-14,56,90,12-Jun-19,No,12-Apr-22,15-Jan-19,"£5,250,000.00","£39,375,000.00",BALFOUR BEATTY INFRASTRUCTURE SERVICES LTD,Large,1890280,Rochdale- Neighbourhoods
382,Rochdale Council,181500-Environmental Services : Animal Services : Pest & Animal Control,Pest Control Chemicals,OJEU Tender,Contract,01-Oct-14,36,48,30-Sep-18,Yes,30-Sep-18,01-Jul-18,"£6,498.00","£19,494.00",Killgerm Chemicals Ltd,SME,2794829,Rochdale- Public Health
427,Rochdale Council,181700-Environmental Services : Street Lighting : ,Street Lighting PFI (Rochdale & Oldham),Tender,Contract,01-Jul-11,300,300,01-Jul-36,No,01-Jul-36,02-Jul-35,"£480,000.00","£12,000,000.00",Community Lighting Partnership - EON,Large,7538318,Rochdale- Economy
438,Rochdale Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),Refuse sacks,Tender,Contract,01-Aug-15,24,36,31-Jul-18,Yes,31-Jul-18,01-Mar-17,"£30,000.00","£60,000.00",Imperial Polythene Products Ltd ,SME,3082042,Rochdale- Neighbourhoods
538,Rochdale Council,301200-Mail Services : Postage : ,Docs on-Line - Incoming Mail Scanning,Exemption,Contract,08-Dec-15,12,36,07-Dec-18,Yes,07-Dec-18,15-May-18,"£17,250.00","£51,750.00",Northgate Public Services Ltd,Large,968498,Rochdale- Resources
539,Rochdale Council,301200-Mail Services : Postage : ,Docs On Line - Outbound Mailroom managed Services,Exemption,Contract,08-Dec-15,12,36,07-Dec-18,Yes,07-Dec-18,15-May-18,"£34,200.00","£102,600.00",Northgate Public Services Ltd,Large,968498,Rochdale- Resources
621,Rochdale Council,271501-Information Communication Technology : Services : ,Duplicate Payment finder,Quote,Contract,01-May-14,36,36,30-Apr-17,No,30-Apr-17,01-Aug-16,"£2,000.00","£6,000.00",Fiscal Technologies,SME,4801836,Rochdale- Resources
801,Rochdale Council,291200-Arts & Leisure Services : Outsourced Service : ,Leisure Partner,OJEU Tender,Contract,01-Apr-07,180,240,31-Mar-22,No,31-Mar-27,01-Apr-20,"£4,000,000.00","£60,000,000.00",Link4Life (Rochdale Leisure Centres),VCSE,6052980,Rochdale- Resources
822,Rochdale Council,271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,OJEU Tender,Contract,06-Jan-10,125,125,04-Jun-20,No,04-Jun-20,04-Jun-19,"£90,584.00","£951,132.00",Midland HR&Payroll Solutions,Large,1852206,Rochdale- Neighbourhoods
948,Rochdale Council,371000-Utilities : Electricity : ,Street Lighting: Electricity (Unmetered Supply),Call Off (External),Contract,01-Apr-15,48,48,31-Mar-19,No,31-Mar-19,01-Aug-17,"£920,000.00","£3,680,000.00",Npower,Large,3653277,Rochdale- Neighbourhoods
971,Rochdale Council,261100-Human Resources : Interpretation & Translation : ,Interpretation and Translation services,Call Off (External),Contract,01-Jun-16,36,60,31-May-19,No,31-May-21,05-Dec-18,"£85,000.00","£425,000.00",The Big Word  ,SME,5551907,Rochdale- Neighbourhoods
1094,Rochdale Council,201200-Financial Services : Banking : ,Bank Contract,Tender,Contract,02-Feb-14,60,60,01-Feb-19,No,01-Feb-19,01-Feb-18,"£5,400.00","£27,000.00",Barclays Bank PLC,Large,1026167,Rochdale- Resources
1186,Rochdale Council,261200-Human Resources : Professional & Advisory Services : ,Salary Sacrifice Employee Benefits - Cycles,Call Off (External),Contract,27-Apr-15,47,47,31-Mar-19,No,31-Mar-19,01-Sep-18, nil- framework , nil- framework ,Sodexo Motivation Solutions UK Limited,Large,2680629,Rochdale- Resources
1238,Rochdale Council,311600-Healthcare : Services : ,Integrated Sexual Health Service,OJEU Tender,Contract,01-Jan-16,39,63,31-Mar-19,No,31-Mar-21,01-May-18,"£1,240,700.00","£6,513,675.00",Virgin Care Services Ltd,Large,1240700,Rochdale- Public Health
1270,Rochdale Council,271600-Information Communication Technology : Software : Customised & Bespoke,ERP System,Call Off (External),Contract,01-Apr-15,60,60,31-Mar-20,No,31-Mar-20,31-Jul-19,"£42,058.17","£210,290.85",Civica UK Ltd,Large,1628868,Rochdale- Resources
1271,Rochdale Council,271600-Information Communication Technology : Software : Customised & Bespoke,Case management system for Legal Services,Call Off (External),Contract,01-Apr-15,60,60,31-Mar-20,No,31-Mar-20,31-Jul-19,"£9,600.00","£48,000.00",Civica UK Ltd,Large,1628868,Rochdale- Resources
1272,Rochdale Council,209999-Financial Services : Not Elsewhere Classified : ,Treasury Management Services ,Call Off (External),Contract,01-Apr-15,42,55,31-Oct-18,No,31-Oct-19,01-Jun-18,"£13,875.00","£55,500.00",Link Asset Services ,SME,2652033,Rochdale- Resources
1280,Rochdale Council,361300-Public Transport : Passenger Transport : ,Volunteer Driver Scheme (VDS) for Transporting Vulnerable Adults to Services,OJEU Tender,Contract,01-Jan-16,12,36,31-Dec-19,Yes,31-Dec-19,01-Nov-18,"£214,000.00","£60,000.00",CVS - Council for Voluntary Services,VCSE,2280025,Rochdale- Adult
1286,Rochdale Council,131000-Cleaning & Janitorial : Cleaning Materials : ,"Supply & Delivery, Maintenance and Repair of Electrical Cleaning Equipment ",Call Off (External),Contract,28-Jan-16,36,48,27-Jan-19,No,27-Jan-20,04-Jul-18,"£22,172.00","£88,688.00",Shorrock Trichem Ltd,SME,4179799,Rochdale- Neighbourhoods
1325,Rochdale Council,271300-Information Communication Technology : Services : Maintenance & Support,SIMS Annual Entitlement (including LA Charge),Call Off (External),Contract,01-Apr-16,36,72,31-Mar-19,No,31-Mar-19,31-Oct-18,"£157,523.44","£945,140.64",Capita Business Services Ltd,Large,2299747,Rochdale- Neighbourhoods
1350,Rochdale Council,SOCIAL CARE SERVICES : Adult,Prevention Services - Re-enablement & Outreach Lot 3,OJEU Tender,Contract,03-Aug-15,24,43,31-Mar-19,Yes,31-Mar-19,01-Aug-18,"£259,610.00","£519,220.00",Creative Support,VCSE,1867042,Rochdale- Adult
1439,Rochdale Council,192213-Facilities & Management Services : Security : Manned Guarding,Security Solution Manned Guarding,OJEU Tender,Contract,01-Sep-16,36,48,31-Aug-19,No,-,01-Jan-19,"£180,190.05","£720,760.20",Corps Security ,Large,863536505,Rochdale- Neighbourhoods
1473,Rochdale Council,321100-Social Community Care Supplies & Services - Children :  ,Young People's Support and Guidance Service ,OJEU Tender,Contract,01-Apr-16,12,36,31-Mar-19,Yes,31-Mar-19,01-Dec-18,"£630,000.00","£1,890,000.00",Positive Steps,SME,2563094,Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,OJEU Tender,Contract,01-Apr-16,36,36,31-Mar-19,No,31-Mar-19,01-Dec-18,"£620,000.00","£2,480,000.00",Various - see below,Various - see below,Various- see below,Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Barnardos,SME,"00061625
 ",Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Cauldwell,SME,"03864620
 ",Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Crossroads Care,SME,469481,Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Enlightening,SME,N/a,Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Link 4 Life,SME,6052980,Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Rainbow Scent Aromatherapy,SME,NY599254B,Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Redwood Secondary School,SME,149 2009 76,Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Rochdale Gateway Leisure,SME,"02774692
 ",Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Rochdale Youth Service,SME,"3594949
 ",Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Skylight Circus Arts,SME,"1641966
 ",Rochdale- Children's
1476,Rochdale Council,321212-Social Community Care Supplies & Services - Children : Disabled Children : Leisure Early Years,The provision of short break services for disabled children,-,-,-,-,-,-,-,-,-, - , - ,Sport Works,SME,9213501,Rochdale- Children's
1483,Rochdale Council,361450-Public Transport : Taxi Services : ,Taxi Services DPS,OJEU Tender,DPS (Dynamic Purchasing System),01-Mar-16,53,53,31-Jul-20,No,31-Jul-20,31-Jul-19,"£4,000,000.00","£17,666,666.67",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,N/A,N/A,Rochdale- Children's
1576,Rochdale Council,311500-Healthcare : Operations : ,School Nursing Service,OJEU Tender,Contract,01-Apr-16,36,36,31-Mar-19,No,31-Mar-19,01-Jun-18,"£1,100,000.00","£3,300,000.00",Pennine Care NHS Trust,NHS,1055205,Rochdale- Children's
1584,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,MH Housing Related Support Services,OJEU Tender,Contract,01-Apr-16,24,36,31-Mar-19,Yes,31-Mar-19,01-Nov-17,"£435,276.00","£1,305,828.00",Various - see below,Various - see below,Various - see below,Rochdale- Adult
1584,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,MH Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,Making Space (Lot 2) Vulnerable People HRS,VCSE,1642033,Rochdale- Adult
1584,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,MH Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,Making Space (Lot 3) Low Level HRS,VCSE,1642033,Rochdale- Adult
1584,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,MH Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,Rochdale Petrus Community (Lot 1) MH Gender Specific HRS,VCSE,1523836,Rochdale- Adult
1585,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,Housing Related Support Services,OJEU Tender,Contract,01-Apr-16,24,36,31-Mar-19,Yes,31-Mar-19,01-Nov-17,"£995,000.00","£2,985,000.00",Various - see below,Various - see below,Various - see below,Rochdale- Adult
1585,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,Barnardos (Lot 4) Young Parents Service,VCSE,61625,Rochdale- Adult
1585,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,The Bond Board (Lot 6) ,VCSE,2807564,Rochdale- Adult
1585,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,The Stepping Stone Project (Lot 2) Male only,VCSE,2647645,Rochdale- Adult
1585,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,The Stepping Stone Project (Lot 3) Complex needs,VCSE,2647645,Rochdale- Adult
1585,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,The Stepping Stone Project (Lot 5) Generic Floating Support,VCSE,2647645,Rochdale- Adult
1585,Rochdale Council,321021-Social Community Care Supplies & Services - Adult : Homeless Support : ,Housing Related Support Services,-,-,-,-,-,-,-,-,-, - , - ,WHAG (Lot 1) Female only,VCSE,3294852,Rochdale- Adult
1604,Rochdale Council,152100-Consultancy : Strategic Planning : ,Rochdale Town Centre Development Consultancy,Call Off (External),Contract,01-Oct-15,42,42,31-Mar-19,No,31-Mar-19,01-Dec-18,"£57,143.00","£200,000.50",Lambert Smith Hampton,Large,2521225,Rochdale Development Agency
2252,Rochdale Council,Animals : Dogs : ,Collection of stray dogs,OJEU Tender,Framework Agreement,01-Oct-15,36,48,30-Sep-18,Yes,30-Sep-19,30-May-18,"£18,500.00","£58,000.00",Animal Wardens,SME,3078092,Rochdale- Public Health
2263,Rochdale Council,271510-Information Communication Technology : Services : Application Service Provision,Framework Agreement for a Regional E-Learning Portal,OJEU Tender,Framework Agreement,01-Apr-16,24,48,31-Mar-20,Yes,31-Mar-20,01-Jul-18,"£98,000.00","£392,000.00",Me Learning Ltd,SME,5842638,Rochdale- Resources
2267,Rochdale Council,241212-Horticultural : Weed Control : ,Weed Spraying,Tender,Contract,14-Mar-16,24,36,13-Mar-19,Yes,13-Mar-19,01-Nov-18,"£42,484.00","£127,452.00",Dobson UK LLP,SME,0356055OC,Rochdale- Neighbourhoods
2289,Rochdale Council,201300-Financial Services : Cash Collection : ,Cash Collection ,Call Off (External),Contract,21-Aug-16,36,48,20-Aug-19,No,20-Aug-20,01-Jan-19,"£47,500.00","£190,000.00",Security Plus,SME,1325489,Rochdale- Resources
2298,Rochdale Council,182013-Environmental Services : Waste Management : Waste Collection,Biomass Woodchip Fuel,Tender,Contract,01-Aug-16,36,48,31-Jul-19,No,31-Jul-20,01-Apr-19,"£21,292.80","£85,171.20",Forest Fuels,SME,5735950,Rochdale- Neighbourhoods
2299,Rochdale Council,271440-Information Communication Technology : Software : ,Live Data Monitoring for three Solar Systems,Exemption,Contract,01-Sep-15,36,36,01-Dec-18,No,01-Dec-18,01-Aug-17,"£5,400.00","£10,800.00",Encome Energy Performance Ltd,SME,9606811,Rochdale- Neighbourhoods
2301,Rochdale Council,271510-Information Communication Technology : Services : Application Service Provision,E-Learning Call-Off Contract,Call Off (Internal),Contract,01-Apr-16,24,48,31-Mar-19,Yes,31-Mar-20,01-Dec-18,"£26,000.00","£35,987.00",Me Learning Ltd,SME,5842638,Rochdale- Resources
2322,Rochdale Council,182015-Environmental Services : Waste Management : Waste Disposal,Confidential Waste Shredding (Number One Riverside),Quote,Contract,01-Apr-16,36,48,31-Mar-19,No,31-Mar-20,01-Oct-18,"£2,639.00","£10,556.00",Shred Station Ltd ,SME,6359628,Rochdale- Neighbourhoods
2324,Rochdale Council,269999-Human Resources : Not Elsewhere Classified : ,Occupational Health and Associated Services,Call Off (External),Contract,01-Apr-16,48,48,31-Mar-20,No,31-Mar-20,30-Nov-19,"£87,500.00","£350,000.00",Health Management Ltd,Large,4369949,Rochdale- Resources
3006,Rochdale Council,209999-Financial Services : Not Elsewhere Classified : ,Payroll Services,Tender,Concession,01-May-16,36,60,30-Apr-19,Yes,30-Apr-21,05-Jan-19, nil , nil ,Various - See below,Various - See below,Various - See below,Rochdale- Resources
3006,Rochdale Council,209999-Financial Services : Not Elsewhere Classified : ,Payroll Services,-,-,-,-,-,-,-,-,-, - , - ,Barrie Bookkeeping and Payroll Solutions,SME,SC411894,Rochdale- Resources
