"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"FIN164","N/D","SCS PB1","Head of Finance Operations","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","FIN161","1182876","1.00","N/A","N/A","","Finance","","1"
"FIN250","Vacant","SCS PB1","Head of Construction Finance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","FIN161","N/D","1.00","N/A","N/A","","Finance","Team is too small to detail - cost allocated to FIN161","1"
"FIN201","N/D","SCS PB1","Head of Land and Property Finance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","FIN161","673396","1.00","N/A","N/A","","Finance","","1"
"ICT416","Andy Fullard","SCS PB2","Chief Information Officer","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1377459","1.00","190000","194999","","Information Technology","","1"
"ICT417","N/D","SCS PB1","Head of Information Management","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","ICT416","1049450","1.00","N/A","N/A","","Information Technology","","1"
"ICT460","Vacant","SCS PB1","Head of Service Design","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","ICT416","1241989","1.00","N/A","N/A","","Information Technology","","1"
"ICT513","N/D","SCS PB1","Head of Service Transition","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","ICT416","1607995","1.00","N/A","N/A","","Information Technology","","1"
"ICT532","N/D","SCS PB1","Head of IT Service Delivery","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","ICT416","1012190","1.00","N/A","N/A","","Information Technology","","1"
"ICT559_U","Vacant","SCS PB1","Head of Enterprise Architecture","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","ICT416","N/D","1.00","N/A","N/A","","Information Technology","Team is too small to detail - cost allocated to ICT416","1"
"INF2044","N/D","SCS PB1","Head of Enterprise Architecture and Design","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","ICT416","1092530","1.00","N/A","N/A","","Information Technology","","1"
"INF2045","N/D","SCS PB1","Head of IT Portfolio","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","ICT416","0","1.00","N/A","N/A","","Information Technology","","1"
"INF2046","Vacant","SCS PB1","Head of Platforms Command and Controls","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","ICT416","0","1.00","N/A","N/A","","Information Technology","","1"
"INF2047","N/D","SCS PB1","Head of Products","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","ICT416","0","1.00","N/A","N/A","","Information Technology","","1"
"INF2048","Vacant","SCS PB1","Head of Information Management","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","ICT416","0","1.00","N/A","N/A","","Information Technology","","1"
"LEG028","N/D","SCS PB1","Company Secretary","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG001","N/D","1.00","N/A","N/A","","Law","Team is too small to detail - cost allocated to LEG001","1"
"LEG001","Nicole Geoghegan","SCS PB2","General Counsel","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1793820","1.00","230000","234999","","Law","","1"
"LEG026","N/D","SCS PB1","Insurance Manager","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG001","0","1.00","N/A","N/A","","Law","","1"
"LEG002","N/D","SCS PB1","Head of Counter Fraud","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG001","N/D","1.00","N/A","N/A","","Law","Team is too small to detail - cost allocated to LEG001","1"
"LEG004","N/D","SCS PB1","Assistant General Counsel","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG001","N/D","1.00","N/A","N/A","","Law","Team is too small to detail - cost allocated to LEG001","1"
"LEG006","N/D","SCS PB1","Head Property Counsel","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG001","0","1.00","N/A","N/A","","Law","","1"
"LEG007","N/D","SCS PB1","Head Counsel, Operating Railway","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG001","0","1.00","N/A","N/A","","Law","","1"
"INF1916E","N/D","SCS PB1","Head of Integration and Performance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1919E","1075311","1.00","N/A","N/A","","Operational Delivery","","1"
"INF1917E","N/D","SCS PB1","Head of Project Controls","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1919E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1919E","1"
"INF1918E","N/D","SCS PB1","Head of Project Controls","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1919E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1919E","1"
"INF1919E","Rob Doran","SCS PB2","Phase 1 Project Controls Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1078951","1.00","200000","204999","","Operational Delivery","","1"
"INF1921E","N/D","SCS PB1","Head of Project Controls","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1920E","344670","1.00","N/A","N/A","","Operational Delivery","","1"
"INF998","Vacant","SCS PB2","Phase One Project Controls Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CFO001","200823","1.00","N/A","N/A","","Operational Delivery","","1"
"INF1915E","N/D","SCS PB1","Head of Project Controls","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1919E","284523","1.00","N/A","N/A","","Operational Delivery","","1"
"INF1920E","Vacant","SCS PB1","Project Controls Director (MWCC)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","INF1919E","680004","1.00","N/A","N/A","","Operational Delivery","","1"
"INF1922E","N/D","SCS PB1","Head of Project Controls","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1919E","344670","1.00","N/A","N/A","","Operational Delivery","","1"
"CD385E","N/D","SCS PB1","Head of Commercial - Align","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD406E","298039","1.00","N/A","N/A","","Procurement","","1"
"CD406E","Vacant","SCS PB1","Commercial Delivery Director - Civils & Services","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","INF1561E","595320","1.00","N/A","N/A","","Procurement","","1"
"INF018","N/D","SCS PB1","Head of Commercial - SCS","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD406E","425659","1.00","N/A","N/A","","Procurement","","1"
"INF154","N/D","SCS PB1","Head of Commercial - EK","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD406E","451279","1.00","N/A","N/A","","Procurement","","1"
"INF290","Vacant","SCS PB1","Head of Commercial - BBV","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD406E","885379","1.00","N/A","N/A","","Procurement","","1"
"INF418","N/D","SCS PB1","Head of Commercial - Client Services","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD406E","983250","1.00","N/A","N/A","","Procurement","","1"
"CD005","N/D","SCS PB1","Corporate Procurement Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","395897","1.00","N/A","N/A","","Procurement","","1"
"CD015","N/D","SCS PB1","Contract Management Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","1247479","1.00","N/A","N/A","","Procurement","","1"
"CD321","N/D","SCS PB1","Policy and Process Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","1164636","1.00","N/A","N/A","","Procurement","","1"
"CD384E","N/D","SCS PB1","Corporate Procurement Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","1197411","1.00","N/A","N/A","","Procurement","","1"
"CD416E","N/D","SCS PB1","Supplier Relationship Management Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","373953","1.00","N/A","N/A","","Procurement","","1"
"CD417E","Vacant","SCS PB1","Supply Chain Management Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD005","348333","1.00","N/A","N/A","","Procurement","","1"
"CD386E","N/D","SCS PB1","Head of Commercial - Euston","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD407E","361849","1.00","N/A","N/A","","Procurement","","1"
"CD387E","N/D","SCS PB1","Head of Commercial - Old Oak Common","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD407E","315303","1.00","N/A","N/A","","Procurement","","1"
"CD407E","Vacant","SCS PB1","Commercial Delivery Director - Euston & Stations","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","INF1561E","N/D","1.00","N/A","N/A","","Procurement","Team is too small to detail - cost allocated to INF1561E","1"
"CD419E","N/D","SCS PB1","Head of Commercial - Curzon Street & Birmingham Interchange","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD407E","532268","1.00","N/A","N/A","","Procurement","","1"
"INF1561E","David Poole","SCS PB2","Procurement & Commercial Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","658552","1.00","215000","219999","","Procurement","","1"
"CD059","Vacant","SCS PB1","Procurement Lead - Track & IMD","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD102","429513","1.00","N/A","N/A","","Procurement","","1"
"CD090","Vacant","SCS PB1","Procurement Lead - Comms & Control Systems","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD102","453849","1.00","N/A","N/A","","Procurement","","1"
"CD097","Vacant","SCS PB1","Procurement Lead - Depots, Power and M&E","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD102","553009","1.00","N/A","N/A","","Procurement","","1"
"CD102","N/D","SCS PB1","Rail Systems Procurement Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","154324","1.00","N/A","N/A","","Procurement","","1"
"CD104","Vacant","SCS PB1","Head of Third Party Agreements","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD102","463826","1.00","N/A","N/A","","Procurement","","1"
"CD106","Vacant","SCS PB1","Head of Rolling Stock Procurement","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD102","N/D","1.00","N/A","N/A","","Procurement","Team is too small to detail - cost allocated to CD102","1"
"CD388E","N/D","SCS PB1","Head of Commercial - Rolling Stock, Signalling, Common Components, NICC, Comms","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD418E","N/D","1.00","N/A","N/A","","Procurement","Team is too small to detail - cost allocated to CD418E","1"
"CD389E","Vacant","SCS PB1","Head of Commercial - Track, OCS, M&E, Slab, CPD, Power, Depots","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD418E","344670","1.00","N/A","N/A","","Procurement","","1"
"CD418E","Vacant","SCS PB1","Rolling Stock and Systems, Commercial Delivery Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","INF1561E","390570","1.00","N/A","N/A","","Procurement","","1"
"CD206","Vacant","SCS PB1","Procurement Lead - Midland Stations","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD415E","356473","1.00","N/A","N/A","","Procurement","","1"
"CD306","Vacant","SCS PB1","Procurement Lead - Stations & Common Components","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD415E","429513","1.00","N/A","N/A","","Procurement","","1"
"CD390E","Vacant","SCS PB1","Head of Procurement - Phase 2b","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD415E","340330","1.00","N/A","N/A","","Procurement","","1"
"CD391E","Vacant","SCS PB1","Lead Technical Author","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD415E","0","1.00","N/A","N/A","","Procurement","","1"
"CD415E","N/D","SCS PB1","Stations and Phase 2 Procurement Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","30828","1.00","N/A","N/A","","Procurement","","1"
"CD446E","Vacant","SCS PB1","Head of Procurement - Phase 2a","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD415E","437461","1.00","N/A","N/A","","Procurement","","1"
"PRG114E","N/D","SCS PB1","Head of Cost & Estimating","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","2157930","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG115E","N/D","SCS PB1","Head of Monitoring, Reporting and Analytics","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","284523","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG116E","N/D","SCS PB1","Head of Planning and Integration","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","1849618","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG001","Amy Morley","SCS PB2","Programme Management Office Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1702901","1.00","170000","174999","","Programme and Project Management (PPM)","Post holder on maternity leave","1"
"PRG095","Vacant","SCS PB1","Head of Project Risk (Infrastructure Directorate)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","PRG001","N/D","1.00","N/A","N/A","","Programme and Project Management (PPM)","Team is too small to detail - cost allocated to PRG001","1"
"PRG096","Vacant","SCS PB1","Head of Project Risk (Phase Two)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","PRG001","0","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG101","Vacant","SCS PB1","Head of Project Risk - Phase Two A","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","PRG001","N/D","1.00","N/A","N/A","","Programme and Project Management (PPM)","Team is too small to detail - cost allocated to PRG001","1"
"PRG108","N/D","SCS PB1","Head of Project Risk - Phase Two B","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","DEV589","0","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG170","Vacant","SCS PB1","Head of Planning & Integration (Phase One)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","PRG001","0","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG171","Vacant","SCS PB1","Head of Cost & Estimating (Phase One)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","PRG001","0","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG117E","N/D","SCS PB1","Head of Programme Management Capability","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","N/D","1.00","N/A","N/A","","Programme and Project Management (PPM)","Team is too small to detail - cost allocated to PRG001","1"
"PRG139E","N/D","SCS PB1","Head of Risk","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","863403","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"PRG119E","N/D","SCS PB1","Head of Systems and Tools","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","336229","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"CSP002","N/D","SCS PB1","Head of Analysis and Corporate Sponsorship","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP001","1049298","1.00","N/A","N/A","","Other","","1"
"CSP005","N/D","SCS PB1","Head of Benefits","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP001","328513","1.00","N/A","N/A","","Other","","1"
"CSP005A","Vacant","SCS PB1","Head of Benefits","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CSP001","0","1.00","N/A","N/A","","Other","","1"
"CSP050","N/D","SCS PB1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","0","1.00","N/A","N/A","","Other","","1"
"CSP053","N/D","SCS PB1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","0","1.00","N/A","N/A","","Other","","1"
"CSP054","N/D","SCS PB1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","441870","1.00","N/A","N/A","","Other","","1"
"CSP077","N/D","SCS PB1","Head of Delivery Sponsorship","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP001","505092","1.00","N/A","N/A","","Other","","1"
"CSP078E","N/D","SCS PB1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","0","1.00","N/A","N/A","","Other","","1"
"CSP083","N/D","SCS PB1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","0","1.00","N/A","N/A","","Other","","1"
"INF2027","Vacant","SCS PB1","Head of Delivery Unit","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CSP077","0","1.00","N/A","N/A","","Other","","1"
"CSP001","Oliver Bayne","SCS PB2","Sponsorship Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","684383","1.00","145000","149999","","Other","","1"
"CSP058","N/D","SCS PB1","Phase Two Sponsorship Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP001","619915","1.00","N/A","N/A","","Other","","1"
"CSP059","N/D","SCS PB1","Phase 2A Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP058","0","1.00","N/A","N/A","","Other","","1"
"CSP060","N/D","SCS PB1","Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP058","N/D","1.00","N/A","N/A","","Other","Team is too small to detail - cost allocated to CSP058","1"
"CSP061","N/D","SCS PB1","Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP058","0","1.00","N/A","N/A","","Other","","1"
"CSP068","N/D","SCS PB1","Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP058","0","1.00","N/A","N/A","","Other","","1"
"INF029","N/D","SCS PB1","Senior Project Manager","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1007E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1007E","1"
"INF1007E","Mike Lyons","SCS PB2","Civils Client Director","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1000","2323218","1.00","240000","244999","","Operational Delivery","","1"
"INF103","N/D","SCS PB1","Project Director – Civils (Interim)","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1007E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1007E","1"
"INF2062","N/D","SCS PB1","Head of Construction Assurance Management","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1007E","0","1.00","N/A","N/A","","Operational Delivery","","1"
"INF110","N/D","SCS PB1","Senior Project Manager - Align","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1883E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1883E","1"
"INF1883E","N/D","SCS PB1","Project Client - Align","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1007E","1454788","1.00","N/A","N/A","","Operational Delivery","","1"
"INF1887E","N/D","SCS PB1","Senior Project Manager - Align","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1883E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1883E","1"
"INF1884E","N/D","SCS PB1","Project Client - BBV","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1007E","1252191","1.00","N/A","N/A","","Operational Delivery","","1"
"INF1888E","N/D","SCS PB1","Senior Project Manager - BBV","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1884E","342243","1.00","N/A","N/A","","Operational Delivery","","1"
"INF2078","Vacant","SCS PB1","Senior Project Manager - BBV","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","N/A","N/A","INF1884E","0","1.00","N/A","N/A","","Operational Delivery","","1"
"INF307","N/D","SCS PB1","Senior Project Manager - BBV","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1884E","384750","1.00","N/A","N/A","","Operational Delivery","","1"
"INF310","N/D","SCS PB1","Senior Project Manager - BBV","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1884E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1884E","1"
"INF1885E","N/D","SCS PB1","Project Client - EK","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1007E","1591334","1.00","N/A","N/A","","Operational Delivery","","1"
"INF1889E","N/D","SCS PB1","Senior Project Manager - EK","Programme Delivery","Department for Transport","High Speed Two Ltd","Construction Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1885E","N/D","1.00","N/A","N/A","","Operational Delivery","Team is too small to detail - cost allocated to INF1885E","1"
