A3131. Expenditure Over Threshold (AP),,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,37541222,"25,697.55",C&M-GMS Prem Notional Rent,G05000004156
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,37541222,865.04,C&M-GMS Prem Water Rates,G05000004156
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,37541222,"5,396.69",C&M-GMS QOF Aspiration,G05000004156
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,37554746,"33,992.35",C&M-GMS Cost of Drugs -Dispensing,G05000006295
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,37554746,"9,264.89",C&M-GMS Prof Fees Dispensing,G05000006295
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,CLINICAL AND MEDICAL GOODS & SERVICES - HOSPITAL DISCHARGE PROGRAMME,CHC ADULT FULLY FUNDED,AUTUMN VALE,37486524,"9,582.86",CLINICAL AND MEDICAL GOODS & SERVICES - HOSPITAL DISCHARGE PROGRAMME,AUT016899
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,AUTUMN VALE,37486524,"21,177.14",Cont Care- Prior Year Payments,AUT016899
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,37541245,"10,960.61",C&M-GMS Cost of Drugs -Dispensing,G05000005057
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,37541245,"134,887.27",C&M-GMS Global Sum,G05000005057
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,37541245,"2,666.01",C&M-GMS PCN DES Participation,G05000005057
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,37541245,"12,370.60",C&M-GMS QOF Aspiration,G05000005057
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,37541245,"3,213.18",ME - GMS GP Prior Year ERs,G05000005057
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,37541245,"3,400.28",ME-GMS GP Prior Year EEs,G05000005057
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,37401944,"49,477.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072101
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,37401945,"137,526.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072102
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Audit Fees: Statutory,FINANCE,BDO LLP,37303705,"32,100.00",Audit Fees: Statutory,INV00034984
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),37299478,171.72,C&M-APMS Voluntary Levy,107552-30-JUN-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),37299478,"64,897.47",C&M-GMS GP Statutory Levy,107552-30-JUN-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),37299478,"4,424.87",C&M-GMS Voluntary Levy,107552-30-JUN-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),37299478,"2,518.56",C&M-PMS GP Statutory Levy,107552-30-JUN-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,37401966,"250,358.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072114
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,140.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,"93,982.79",C&M-GMS Global Sum,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,"1,873.70",C&M-GMS PCN DES Participation,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,"9,687.50",C&M-GMS Prem Notional Rent,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,127.72,C&M-GMS Prem Water Rates,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,"9,711.74",C&M-GMS QOF Aspiration,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,150.97,ME-GMS GP Pension EEs,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,37541294,208.74,ME-GMS GP Pension ERs,G05000006077
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,37541283,"1,400.00",C&M-GMS DES Learn Dsblty Hlth Chk,G05000006047
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,37541283,"97,843.41",C&M-GMS Global Sum,G05000006047
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,37541283,"1,888.53",C&M-GMS PCN DES Participation,G05000006047
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,37541283,"25,900.00",C&M-GMS Prem Actual Rent,G05000006047
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,37541283,"11,159.66",C&M-GMS QOF Aspiration,G05000006047
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,37326084,"137,792.96",Clinical&Medical-Independent Sector,IAP072100306K
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,37326085,"180,334.88",Clinical&Medical-Independent Sector,IAP072103206K
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,37556642,"-28,349.94",Clinical&Medical-Independent Sector,REC052103206K
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,NCAS/OATS,BMI HEALTHCARE LTD,37574869,"40,176.89",Clinical&Medical-Independent Sector,NCA052106K
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BPAS,37396719,"27,897.89",Clinical&Medical-Voluntary Sector,47780
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,37541226,"123,237.59",C&M-GMS Global Sum,G05000004990
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,37541226,"2,318.80",C&M-GMS PCN DES Participation,G05000004990
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,37541226,"27,106.25",C&M-GMS Prem Notional Rent,G05000004990
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,37541226,"12,202.25",C&M-GMS QOF Aspiration,G05000004990
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,37541226,913.56,ME - GMS GP Prior Year ERs,G05000004990
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,37541226,921.19,ME-GMS GP Prior Year EEs,G05000004990
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,37541261,"83,208.09",C&M-GMS Global Sum,G05000005115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,37541261,"1,514.75",C&M-GMS PCN DES Participation,G05000005115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,37541261,"17,250.00",C&M-GMS Prem Actual Rent,G05000005115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,37541261,"8,123.66",C&M-GMS QOF Aspiration,G05000005115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,37541261,381.69,ME-GMS GP Pension EEs,G05000005115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,37541261,406.57,ME-GMS GP Pension ERs,G05000005115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,37541230,140.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000005002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,37541230,"82,242.74",C&M-GMS Global Sum,G05000005002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,37541230,"1,732.38",C&M-GMS PCN DES Participation,G05000005002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,37541230,"17,148.66",C&M-GMS Prem Notional Rent,G05000005002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,37541230,"7,734.21",C&M-GMS QOF Aspiration,G05000005002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,37401947,"1,640,444.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072104
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541288,"106,831.50",C&M-GMS Global Sum,G05000006065
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541288,"2,209.91",C&M-GMS PCN DES Participation,G05000006065
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541288,"9,093.00",C&M-GMS PCO Other,G05000006065
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541288,"7,110.75",C&M-GMS Prem Rates,G05000006065
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541288,"11,088.98",C&M-GMS QOF Aspiration,G05000006065
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541289,"-22,797.25",C&M-GMS Prem Rates,G05000006067
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension Added Years EEs,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541289,-193.87,ME-GMS GP Pension Added Years EEs,G05000006067
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541289,"-4,337.14",ME-GMS GP Pension EEs,G05000006067
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,37541289,"-5,070.11",ME-GMS GP Pension ERs,G05000006067
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,37541274,140.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000006009
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,37541274,"105,698.30",C&M-GMS Global Sum,G05000006009
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,37541274,"2,372.65",C&M-GMS PCN DES Participation,G05000006009
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,37541274,"19,280.00",C&M-GMS Prem Actual Rent,G05000006009
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,37541274,"16,950.00",C&M-GMS Prem Notional Rent,G05000006009
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,37541274,"11,278.26",C&M-GMS QOF Aspiration,G05000006009
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,37541279,"59,758.09",C&M-GMS Global Sum,G05000006041
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,37541279,"1,266.45",C&M-GMS PCN DES Participation,G05000006041
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,37541279,"14,656.25",C&M-GMS Prem Notional Rent,G05000006041
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,37541279,"6,503.42",C&M-GMS QOF Aspiration,G05000006041
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,37541281,560.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000006044
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,37541281,"96,392.36",C&M-GMS Global Sum,G05000006044
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,37541281,"1,912.59",C&M-GMS PCN DES Participation,G05000006044
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,37541281,"9,889.90",C&M-GMS QOF Aspiration,G05000006044
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,37541292,"103,363.22",C&M-GMS Global Sum,G05000006074
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,37541292,"2,135.95",C&M-GMS PCN DES Participation,G05000006074
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,37541292,"6,600.00",C&M-GMS Prem Actual Rent,G05000006074
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,37541292,"12,479.49",C&M-GMS QOF Aspiration,G05000006074
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,37401948,"21,866,013.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072105
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,37401949,"2,206,327.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072106
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,37261484,"65,701.60",Computer Maintenance,EMINV032302
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,37306884,"98,399.94",Computer Maintenance,EMINV032300
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,37306885,"94,157.70",Computer Maintenance,EMINV032301
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,37369961,"41,387.38",Clinical&Medical-Clinical Other,FSEN07210007
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,37401951,"79,784.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072107
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- IIF ACHIEVEMENT,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"13,754.35",C&M- IIF ACHIEVEMENT,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"3,050.00",C&M- PCN DES CARE HOME PREMIUM,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS C&M-APMS PCN DES Physician Assoc,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"4,150.48",C&M-GMS C&M-APMS PCN DES Physician Assoc,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"4,069.44",C&M-GMS DES Extended Hours Access,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"79,388.68",C&M-GMS Global Sum,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"21,846.01",C&M-GMS PCN DES Clin Pharmacist,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"2,079.94",C&M-GMS PCN DES Clinical Director,G05000005028
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Home/RR paramedic,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,37554153,"4,570.08",C&M-GMS PCN DES Home/RR paramedic,G05000005028
