Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTH EASTERN REGIONAL COLLEGE*GRANTEE,112368,"£44,620.00",BT30 6ND
DFE,Department for the Economy,28/09/2023,Grants to private sector - Persons and NPISH (Current),NORTHERN REGIONAL COLLEGE*GRANTEE,132741,"£43,920.00",BT43 7DF
DFE,Department for the Economy,28/09/2023,Grants to private sector - Persons and NPISH (Current),NORTHERN REGIONAL COLLEGE*GRANTEE,117441,"£43,070.00",BT43 7DF
DFE,Department for the Economy,29/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTH EASTERN REGIONAL COLLEGE*GRANTEE,130768,"£40,118.00",BT30 6ND
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),DFPF LTD*GRANTEE,128025,"£37,824.00",BT17 0AW
DFE,Department for the Economy,05/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTH EASTERN REGIONAL COLLEGE*GRANTEE,121667,"£36,418.00",BT30 6ND
DFE,Department for the Economy,06/09/2023,A - Other Computer Costs,EXPLEO TECHNOLOGY UK LTD,NI2023-00258,"£35,300.40",EC2R 6DA
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),DFPF LTD*GRANTEE,125622,"£34,644.00",BT17 0AW
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTH EASTERN REGIONAL COLLEGE*GRANTEE,112366,"£34,457.00",BT30 6ND
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),INSPIRO LEARNING LTD*GRANTEE,126187,"£33,231.00",W1J 7NJ
DFE,Department for the Economy,28/09/2023,Grants to private sector - Persons and NPISH (Current),ACADEMY HAIR & BEAUTY TRAINING SCHOOL*GRANTEE,13218,"£32,823.00",BT1 1QD
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTH EASTERN REGIONAL COLLEGE*GRANTEE,112367,"£32,240.00",BT30 6ND
DFE,Department for the Economy,01/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTHERN REGIONAL COLLEGE*GRANTEE,112574,"£31,650.00",BT35 8DN
DFE,Department for the Economy,05/09/2023,A - Other Professional Costs,ERNST & YOUNG LLP,GB01G000454257,"£31,170.78",SE1 2AF
DFE,Department for the Economy,06/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTH EASTERN REGIONAL COLLEGE*GRANTEE,121868,"£30,940.00",BT30 6ND
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),RIVERPARK TRAINING*GRANTEE,124647,"£30,816.00",BT36 4TZ
DFE,Department for the Economy,06/09/2023,Grants to private sector - Persons and NPISH (Current),SOUTH EASTERN REGIONAL COLLEGE*GRANTEE,121867,"£30,730.00",BT30 6ND
DFE,Department for the Economy,06/09/2023,A - Hardware Maintenance - Contract,VERSION1,INVIE153538,"£30,600.00",IE
DFE,Department for the Economy,01/09/2023,Grants to private sector - Persons and NPISH (Current),RUTLEDGE JOBLINK*GRANTEE,126455,"£29,363.00",BT52 1AD
DFE,Department for the Economy,28/09/2023,Grants to private sector - Persons and NPISH (Current),SPRINGBOARD OPPORTUNITIES LTD*GRANTEE,130070,"£28,336.00",BT1 2GX
DFE,Department for the Economy,05/09/2023,Grants to private sector - Persons and NPISH (Current),BRITISH COUNCIL*GRANTEE,ERS-DFE-EF00757507-ERS-11,"£28,270.38",E20 1JQ
DFE,Department for the Economy,04/09/2023,Grants to private sector - Persons and NPISH (Current),SKILLED NI*GRANTEE,127311,"£27,090.00",BT1 2GW
DFE,Department for the Economy,01/09/2023,Grants to private sector - Persons and NPISH (Current),RUTLEDGE JOBLINK*GRANTEE,126448,"£26,539.00",BT52 1AD
DFE,Department for the Economy,06/09/2023,Grants to private sector - Persons and NPISH (Current),WORKFORCE TRAINING SERVICES*GRANTEE,126685,"£26,489.00",BT12 7AJ
DFE,Department for the Economy,06/09/2023,Grants to private sector - Persons and NPISH (Current),LOUGHVIEW TS LTD*GRANTEE,126535,"£26,297.00",BT36 5DZ
DFE,Department for the Economy,28/09/2023,A - Other Computer Costs,VERSION1,INVIE153722,"£25,243.96",IE
DFE,Department for the Economy,05/09/2023,A - Consultancy Advice - Programme & Project Management,ERNST & YOUNG LLP,GB01G000454257,"£5,690.82",SE1 2AF
