Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number,Purchase Invoice Number
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,DH OPCO UK LTD,45129140,"57,761.25",372714884,5970002336
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Clinical Costs,Radiology (STH),SECTRA LTD,45129157,"60,401.80",810256369,SIN004928
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Transport Costs,Medical Records,RESTORE PLC,45131856,"21,408.99",843863011,1316302
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Clinical Costs,Ultrasound (STH),EXPRESS DIAGNOSTIC IMAGING LTD,45132008,"49,494.00",,4000536
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contractual Clinical Srv,Renal Central (STH),RENAL SERVICES TRADING LTD,45132071,"65,106.66",,0000002137
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Transport Costs,Patient Transport In House,WOKING TAXIS & WOKING CARS,45132483,"30,835.48",,1495
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,45139777,"-44,688.00",908946778,12072
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Ext Contr Laundry,Sterile Linen (STH),ELIS UK,45139781,"34,737.31",GB 226 5161 79,SN3522770
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,45139789,"-44,688.00",908946778,12073
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,45140935,"223,989.48",,631578
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Refuse & Clin Waste,Waste (EPS),SHARPSMART LTD,45143178,"-21,127.55",GB 801 4496 49,177026
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,45154201,"244,332.03",290885854,1123216568
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,45154218,"109,632.66",290885854,1123222800
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Ext Contr Laundry,Linen Laundry (STH),SYNERGY HEALTH MANAGED SERVICES LTD,45155316,"68,208.99",GB 243 8296 87,30013697
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contractual Clinical Srv,Renal Central (STH),RENAL SERVICES TRADING LTD,45155344,"534,948.35",,0000002143
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contractual Clinical Srv,Renal Central (STH),RENAL SERVICES TRADING LTD,45155344,"106,989.67",,0000002143
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Commercial Sector,Renal Central (STH),RENAL SERVICES OPERATIONS LTD,45155347,"218,600.95",,0000007908
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,45157036,"53,625.00",908946778,20585
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,45157041,"77,950.83",908946778,20584
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Ext Contr Laundry,Linen Laundry (EPS),SYNERGY HEALTH MANAGED SERVICES LTD,45157099,"43,124.28",GB 243 8296 87,30013698
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Computer Software/License,Nursing Director Management,TENDABLE LTD,45157112,"54,837.00",,237401
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Computer Software/License,Nursing Director Management,TENDABLE LTD,45157112,"10,967.40",,237401
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45157383,"1,798.50",654943703,78788870
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45157383,"2,177.52",654943703,78788870
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45157383,275.00,654943703,78788870
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45157383,"37,210.00",654943703,78788870
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45157383,"1,478.20",654943703,78788870
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45157383,47.20,654943703,78788870
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,JANSSEN CILAG LTD,45157402,"71,539.20",207929448,0930899850
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,JANSSEN CILAG LTD,45157605,"71,539.20",207929448,0930900109
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Rent,JUBILEE HEALTH CENTRE E and F,NHS PROPERTY SERVICES LTD,45176382,"85,418.53",156725100,H651077
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Rent,SH and C - Rent Rates and Licences,NHS PROPERTY SERVICES LTD,45176383,"45,223.66",156725100,H651075
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,G & M BUILDING CONTRACTORS ESSEX LTD,45177687,"70,754.10",,5988
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other recvables - Current,Balance Sheet,ROYAL FREE LONDON NHS FOUNDATION TRUST,45206864,"78,212.13",GB 654946987,I0214300
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Rent,Rent and Rates (STH),NHS PROPERTY SERVICES LTD,45206973,"28,376.84",156725100,H651076
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,CSL BEHRING UK LTD,45207555,"32,256.00",583602338,994052240
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Fleet Vehicle Leases,Patient Transport In House,TP LEASING LTD,45217569,"25,086.29",196 4365 69,MI003970601
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Fleet Vehicle Leases,Patient Transport In House,TP LEASING LTD,45217569,"5,017.26",196 4365 69,MI003970601
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"4,238.74",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"2,251.59",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"1,908.81",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"5,906.83",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"2,087.29",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"3,145.02",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"1,901.09",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"1,695.50",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221242,"5,353.83",654943703,78780573
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Extrnl Rehrge : Recivd,Epsom Health and Care Recharges,GP HEALTH PARTNERS LTD,45221562,"25,516.47",,GPHP656
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-4,238.74",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-2,251.59",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-1,908.81",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-5,906.83",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-2,087.29",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-3,145.02",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-1,901.09",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-1,695.50",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45221754,"-5,353.83",654943703,78789118
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,NATIONWIDE AIR CONDITIONING LTD,45223609,"51,611.07",789697822,109598
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,NRT BUILDING SERVICES GROUP LTD,45223703,"60,669.87",,0000044795
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Fleet Vehicle Leases,Patient Transport In House,DAYSFLEET,45223799,"21,489.12",,INV00348809
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Fleet Vehicle Leases,Patient Transport In House,DAYSFLEET,45223799,"4,297.92",,INV00348809
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Gen Supplies & Srv,Radiology Medical (STH),MEDICA REPORTING LTD,45238959,"137,694.38",858701107,SI100062
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Electricity,Energy (STH),EDF ENERGY CUSTOMERS PLC,45239139,"157,063.59",GB 523041202,000013914538
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,45239264,"39,031.56",290885854,1123226590
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Managed Service,Electrical Medical Engineering (STH),DRIVE DEVILBISS SIDHIL LTD,45241621,"22,362.12",296056867,778971
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Other Transport Costs,Patient Transport In House,MOVR LIMITED,45241630,"35,001.40",241 3366 32,12802
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Computer Maintenance,IT Bureau,KHIPU NETWORKS LTD,45242217,"30,764.70",866341116,22469
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Computer Maintenance,IT Bureau,KHIPU NETWORKS LTD,45242217,"6,152.94",866341116,22469
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,45249620,"4,459,758.02",,846PS001486722309
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,45249620,"4,667,825.74",,846PS001486722309
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Stat Adoption Pay - Curr,Balance Sheet,INLAND REVENUE CIS,45249620,-864.78,,846PS001486722309
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,45249620,"-110,300.75",,846PS001486722309
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Statutory Pat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,45249620,-288.26,,846PS001486722309
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,CAPSTICKS SOLICITORS,45256858,"22,589.00",340301321,73056479
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Postage & Carriage,IT Bureau,CANON (UK) LTD,45257249,"25,373.19",GB 523797128,2037184
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Services Received - NHSTs,S Unit Mayday (STH),CROYDON HEALTH SERVICES NHS TRUST,45263304,"32,540.00",654929301,76683026
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Premises Security,Security Trustwide,ICTS UK LTD,45265164,"98,375.76",,SPINV202212000037
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Ophthalmic Implants,A2/B4 Theatre (STH),ALCON EYE CARE UK LTD,45271915,"10,875.96",566549987,9248862669
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Ophthalmic Implants,A2/B4 Theatre (STH),ALCON EYE CARE UK LTD,45271918,"6,165.36",566549987,9248877687
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Purch Tang FA Addns Gr,Balance Sheet,CHANGE HEALTHCARE UK HOLDINGS LTD,45302155,"99,139.93",GB174668567,141883
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,SrvcsRecd-FoundationTrust,SWL Pathology,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45302180,"1,513,680.00",654943703,78788040
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Contr Refuse & Clin Waste,Waste (STH),SHARPSMART LTD,45310250,"23,315.53",GB 801 4496 49,178185
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,BAYER PLC,45311451,"82,121.04",641958611,824C465306
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,120.00,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"1,093.61",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,64.44,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"1,620.00",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,163.25,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,645.92,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"1,288.98",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"1,094.40",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"2,413.08",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"1,697.26",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,57.00,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,15.84,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,14.39,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,125.64,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,13.20,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,55.10,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,63.68,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"1,159.78",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,350.20,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,288.00,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"1,958.04",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,13.61,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,"4,860.00",GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,47.12,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,131.54,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,27.05,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,55.20,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,7.20,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,159.60,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,260.74,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,1.76,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,43.08,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,2.76,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,16.20,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,14.98,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,9.25,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,46.37,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,220.32,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,6.07,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,19.99,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,160.20,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,701.56,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,31.50,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,66.00,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,23.63,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,21.56,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,17.93,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,14.74,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,56.05,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,43.60,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,67.94,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,16.20,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,6.60,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,29.23,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,343.87,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,587.52,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,167.76,GB386334767,B31A53818
Department of Health,Epsom & ST Helier University Hospital,31/01/2023,Drugs,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,45318114,257.70,GB386334767,B31A53818
