Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Document Total 
Department of Health,East Sussex Healthcare NHS Trust,18/07/2024,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001834698,104446.91,"109,804.21"
Department of Health,East Sussex Healthcare NHS Trust,18/07/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0012108763,91245.60,"91,245.60"
Department of Health,East Sussex Healthcare NHS Trust,18/07/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0012109071,54720.00,"54,720.00"
Department of Health,East Sussex Healthcare NHS Trust,18/07/2024,CARBON & ENERGY FUND,Commercial,LOW CARBON SOLUTIONS LTD(PRUDENTIAL TRUS,0026135986,113326.21,"113,326.21"
Department of Health,East Sussex Healthcare NHS Trust,18/07/2024,COMPUTER MAINT - SOFTWARE,Corporate Services,CLINISYS SOLUTIONS LTD,0026136499,126769.55,"152,123.54"
Department of Health,East Sussex Healthcare NHS Trust,18/07/2024,CONTRACT-SECURITY,Commercial,CONTINENTAL FACILITIES MANAGEMENT GROUP,0026137431,71803.20,"86,163.84"
Department of Health,East Sussex Healthcare NHS Trust,24/07/2024,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001834789,3804.32,"92,952.91"
Department of Health,East Sussex Healthcare NHS Trust,24/07/2024,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001834789,88387.73,"92,952.91"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,SA-FPC REF FP10S,Cross Site,NHS BUSINESS SERVICES AUTHORITY,0000160740,92949.60,"92,949.60"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160954,202584.70,"202,584.70"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160955,291198.19,"291,198.19"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,GENERAL RATES,Commercial,NHS PROPERTY SERVICES LTD,0000160974,3897.56,"32,653.62"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CAP EXP LEASED BUILDINGS,Other Central,NHS PROPERTY SERVICES LTD,0000160974,28756.06,"32,653.62"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160993,-25885.43,"-25,885.43"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0001629391,-108959.93,"-130,751.92"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,ELECTRICITY,Commercial,EDF ENERGY,0001629430,163651.10,"163,651.10"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,WATER-RATES & METERED,Commercial,SMARTA WATER LIMITED,0001834439,28935.36,"28,935.36"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,PROFESSIONAL FEES,Commercial,SALISBURY TRADING LIMITED,0001834440,163742.43,"196,490.92"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CAPITAL EXPEND BUILDINGS,Other Central,RELIANCE HIGH TECH LTD,0001834736,65298.91,"65,298.91"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CAPITAL EXPEND BUILDINGS,Other Central,PD HARRIS LTD,0001834780,40355.51,"40,355.51"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0012109226,91245.60,"91,245.60"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0012109228,54720.00,"54,720.00"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012109229,45849.17,"45,849.17"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012109241,43161.78,"43,161.78"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012109526,44019.40,"44,019.40"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,OCTAPHARMA LTD,0013157782,25534.80,"25,534.80"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,CSL BEHRING,0013158032,116000.00,"116,000.00"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLOGA UK LTD,0013158037,29000.00,"29,000.00"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,M&S GENERAL SUPPLIES-OTHER,Integrated Care,SECTRA LTD,0026091930,33615.00,"40,338.00"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,COMPUTER SOFTWARE,Corporate Services,PHOENIX SOFTWARE LTD,0026122247,25702.29,"30,842.75"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,COMPUTER SOFTWARE,Corporate Services,PHOENIX SOFTWARE LTD,0026125005,32269.80,"32,269.80"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,COMPUTER SOFTWARE,Corporate Services,PHOENIX SOFTWARE LTD,0026128472,31350.26,"31,350.26"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,COMPUTER SOFTWARE,Corporate Services,PHOENIX SOFTWARE LTD,0026131095,35264.32,"35,264.32"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,COMPUTER SOFTWARE,Corporate Services,PHOENIX SOFTWARE LTD,0026133827,31652.98,"37,983.58"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CAPITAL EXPEND BUILDINGS,Other Central,BAUVILL LTD,0026136080,106683.66,"106,683.66"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,COMPUTER SOFTWARE,Corporate Services,PHOENIX SOFTWARE LTD,0026136466,40930.92,"40,930.92"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,SURGICAL INSTRUMENTS,Integrated Care,INTUITIVE SURGICAL LIMITED,0026137490,25107.60,"25,107.60"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,WASTE DISPOSAL SERVICES,Commercial,VEOLIA ENVIRONMENTAL SERVICES (UK) PLC,0026137567,31862.02,"31,862.02"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0026137614,397440.00,"476,928.00"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CONTRACT-SCANNING SERVICE,Integrated Care,INHEALTH LIMITED,0026137638,201733.33,"242,080.00"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,POSTAGE - FRANKING MACHINE,Commercial,PITNEY BOWES LTD,0026137703,44554.43,"44,554.43"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CAPITAL EXPEND BUILDINGS,Other Central,INVICTA BUILDING SERVICES LIMITED,0026138169,30210.00,"30,210.00"
Department of Health,East Sussex Healthcare NHS Trust,25/07/2024,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,MEDICAL IMAGING PARTNERSHIP LTD,0026138416,70978.70,"85,174.44"
