,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Net Amount,VAT Amount,Gross Amount,Description
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Business Services-Finance,Redfern,338466,384.50,0.00,384.50,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Business Services-Information Technology,Redfern,338466,890.78,0.00,890.78,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Business Services-Information Technology,Redfern,338466,241.80,0.00,241.80,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Central-Central District Office,Redfern,338466,1882.18,0.00,1882.18,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Central-Fc Cannock,Redfern,338466,93.15,0.00,93.15,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Central-Fc Salcey,Redfern,338466,111.15,0.00,111.15,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Central-Newlands,Redfern,338466,59.94,0.00,59.94,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Central-Sherwood East,Redfern,338466,444.95,0.00,444.95,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Corporate Function-Chief Executive'S Office,Redfern,338466,80.99,0.00,80.99,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Corporate Function-Chief Executive'S Office,Redfern,338466,868.90,0.00,868.90,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Customer Relations-Customer Relations,Redfern,338466,98.10,0.00,98.10,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,East-East District Office,Redfern,338466,252.39,0.00,252.39,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,East-Fc Bedgebury,Redfern,338466,427.04,0.00,427.04,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,East-Fc Bedgebury,Redfern,338466,297.10,0.00,297.10,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,East-Forest Planning,Redfern,338466,190.00,0.00,190.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,East-Forest Planning,Redfern,338466,129.00,0.00,129.00,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,East-Thetford - Conservation,Redfern,338466,92.70,0.00,92.70,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,East-Weald,Redfern,338466,60.80,0.00,60.80,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Estates-Estates,Redfern,338466,82.99,0.00,82.99,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Estates-Estates,Redfern,338466,978.40,0.00,978.40,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Estates-Office Management,Redfern,338466,85.00,0.00,85.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Human Resources-Human Resources,Redfern,338466,223.00,0.00,223.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Digital",Redfern,338466,197.40,0.00,197.40,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Digital",Redfern,338466,261.60,0.00,261.60,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Engagement",Redfern,338466,216.00,0.00,216.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Engagement",Redfern,338466,21.10,0.00,21.10,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Marketing And Supporters",Redfern,338466,150.00,0.00,150.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Marketing And Supporters",Redfern,338466,93.25,0.00,93.25,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Membership",Redfern,338466,196.10,0.00,196.10,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Marketing, Comms, Strategy-Membership",Redfern,338466,216.80,0.00,216.80,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Mechanical And Engineering-Bellingham,Redfern,338466,432.96,0.00,432.96,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Mechanical And Engineering-Mes Overhead,Redfern,338466,1075.43,0.00,1075.43,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,North-Fc Gisburn,Redfern,338466,360.00,0.00,360.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,North-Fc Kielder,Redfern,338466,443.46,0.00,443.46,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,North-Fe Dp Fleet,Redfern,338466,19.00,0.00,19.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,North-Harvesting And Marketing,Redfern,338466,197.98,0.00,197.98,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,North-Kielder North,Redfern,338466,19.00,0.00,19.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,North-North District Office,Redfern,338466,55.09,0.00,55.09,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Operations Nt-Active Forests - Staff & Overheads,Redfern,338466,178.99,0.00,178.99,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Operations Nt-Do Not Use - Active Forest,Redfern,338466,96.90,0.00,96.90,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Operations Nt-Health, Safety And Training",Redfern,338466,945.43,0.00,945.43,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Operations Nt-Health, Safety And Training",Redfern,338466,158.20,0.00,158.20,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Operations Nt-Operations Nt,Redfern,338466,2240.59,0.00,2240.59,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Operations Nt-Operations Nt,Redfern,338466,1140.20,0.00,1140.20,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Operations Nt-Sr21 Biodiversity,Redfern,338466,1050.39,0.00,1050.39,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Operations Nt-Sr21 Biodiversity,Redfern,338466,416.90,0.00,416.90,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Operations Nt-Woodland Creation Programme,Redfern,338466,487.64,0.00,487.64,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Plant, Seed  And Supply-Delamere Bareroot",Redfern,338466,126.56,0.00,126.56,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,"Plant, Seed  And Supply-Pss Overhead",Redfern,338466,370.80,0.00,370.80,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,South-Forest Planning & Heritage,Redfern,338466,215.60,0.00,215.60,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,South-Harvesting And Marketing,Redfern,338466,99.00,0.00,99.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,South-New Forest Hls,Redfern,338466,180.50,0.00,180.50,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,South-Other Estates Business,Redfern,338466,76.03,0.00,76.03,Travel - Public Transport
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,South-Rpa New Forest,Redfern,338466,160.00,0.00,160.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,South-South District Office,Redfern,338466,297.75,0.00,297.75,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-Fc Cardinham Woods,Redfern,338466,409.59,0.00,409.59,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-Fc Haldon Forest Park,Redfern,338466,80.00,0.00,80.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-Forest Planning & Environment,Redfern,338466,599.95,0.00,599.95,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-Forest Planning & Environment,Redfern,338466,283.85,0.00,283.85,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-Harvesting And Marketing,Redfern,338466,74.99,0.00,74.99,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Westonbirt-Learning And Interpretation,Redfern,338466,183.98,0.00,183.98,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Westonbirt-Project Development,Redfern,338466,365.00,0.00,365.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Westonbirt-Project Development,Redfern,338466,162.90,0.00,162.90,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Westonbirt-Tree Team,Redfern,338466,328.72,0.00,328.72,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Westonbirt-Tree Team,Redfern,338466,183.86,0.00,183.86,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-West District Office,Redfern,338466,469.21,0.00,469.21,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-West District Office,Redfern,338466,30.40,0.00,30.40,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-Wildlife/Species Mgmt,Redfern,338466,102.98,0.00,102.98,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,West-Wyre,Redfern,338466,50.40,0.00,50.40,Travel - Rail
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Yorkshire-Fc Dalby,Redfern,338466,196.20,0.00,196.20,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Yorkshire-Heritage,Redfern,338466,200.00,0.00,200.00,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Yorkshire-North Riding - West,Redfern,338466,545.94,0.00,545.94,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Yorkshire-Yorkshire District Office,Redfern,338466,282.95,0.00,282.95,Hotels And Accommodation
Defra,Forestry England,23/05/2024,Travel And Staff-Related Costs,Yorkshire-Yorkshire District Office,Redfern,338466,17.55,0.00,17.55,Travel - Rail
Defra,Forestry England,09/05/2024,"Buildings, Services, Utilities",Central-Project Development,Rise Adaptations Ltd,336640,28742.70,5748.54,34491.24,Ops Building - Repaird And
Defra,Forestry England,14/05/2024,"Buildings, Services, Utilities",Central-Project Development,Rise Adaptations Ltd,337545,32848.80,6569.76,39418.56,Ops Building - Repaird And
Defra,Forestry England,28/05/2024,Harvesting And Forest Regen,Central-Clipsham,Rwsf Ltd,339310,22666.30,4533.26,27199.56,Ground Preparation Services
Defra,Forestry England,21/05/2024,Harvesting And Forest Regen,North-Harvesting And Marketing,Sgs Timber Haulage Limited,338253,22243.35,4448.67,26692.02,Timber Haulage
Defra,Forestry England,30/05/2024,Harvesting And Forest Regen,South-Harvesting And Marketing,Southern Counties Forestry,339591,30052.50,6010.50,36063.00,Dp Contracted Services
Defra,Forestry England,02/05/2024,"Buildings, Services, Utilities",North-Estates,Stone Technical Services Group Ltd,336151,22491.29,4498.26,26989.55,Ops Building - Repaird And
Defra,Forestry England,23/05/2024,Harvesting And Forest Regen,East-Thetford East,Tomorrow'S Forests Ltd,338973,17243.67,3448.73,20692.40,Beating Up Services
Defra,Forestry England,23/05/2024,Harvesting And Forest Regen,East-Thetford East,Tomorrow'S Forests Ltd,338973,19042.20,3808.44,22850.64,Restocking Services
Defra,Forestry England,23/05/2024,Vehicles Machinery Equipment,Mechanical And Engineering-Mes Overhead,Toyota (Gb) Plc,339085,35213.68,7042.74,42256.42,Ovme Additions
Defra,Forestry England,14/05/2024,Harvesting And Forest Regen,North-Kielder South,T.P.H Limited,337613,23976.00,4795.20,28771.20,Dp Contracted Services
Defra,Forestry England,14/05/2024,Professional Services,North-Ecology,Treeclear Uk Ltd,337072,66000.00,13200.00,79200.00,Ecological Services
Defra,Forestry England,09/05/2024,"Buildings, Services, Utilities",Central-Project Development,Wealden Rehab Ltd (09783709),336155,-35281.00,-7056.20,-42337.20,Ops Building - Repaird And
Defra,Forestry England,09/05/2024,"Buildings, Services, Utilities",Central-Project Development,Wealden Rehab Ltd (09783709),336525,60504.00,12100.81,72604.81,Ops Building - Repaird And
Defra,Forestry England,16/05/2024,Assets Under Construction,"Plant, Seed  And Supply-Pss Projects",Willmott Dixon Construction Ltd,337897,305476.08,61095.22,366571.30,Auc Additions
Defra,Forestry England,02/05/2024,Civil Engineering,North-Civil Engineering,W L Straughan & Son Ltd,335783,31086.50,6217.31,37303.81,Harvesting Repairs
