UID,Council,Contract Status,Classification,Name,STAR Category Manager,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postcode,Supplier Type,Customer Name
10277,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Provision of supported living services 2, Shirella Simms,Mini Competition (Internal), Contract,17/09/2018,16/09/2023,16/09/2023,"£112,910.78","£451,643.10",Liberty Support Services,7842105,OL9 0EW,-,"SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
10041,Stockport Metropolitan Borough Council,Live (On-going),401501 - Social Community Care Supplies & Services - Children - Support Services & Advocacy Services,"SEND Information, Advice and Support Service (SENDIASS)", Rachael Tither,RBS - Med/High - Advanced (Open), Contract,01/04/2021,31/03/2024,31/03/2026,"£90,000.00","£270,000.00",Together Trust,-,SK8 1JE,-,"SMBC - PPL Education, Work & Skills"
8592,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,The Supply of SEN Transport Routing and Scheduling Software, Samantha Power,RBS - Low/Med - Simple (RFQ), Contract,01/01/2021,31/12/2023,31/12/2025,"£12,000.00","£31,600.00",Data Images Software Solutions Ltd,7013789,TS10 5SH,-,"SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
10320,Stockport Metropolitan Borough Council,Live (On-going),322002 - Social Community Care Supplies & Services - Children - Early Intervention Health Services - Advice & Counselling,Mediation and Disagreement Resolution Service 2021, Rachael Tither,RBS - Med/High - Advanced (Open), Contract,04/05/2021,31/03/2024,-,"£5,000.00","£15,000.00",KIDS,-,N1 8HX,-,"SMBC - PPL Education, Work & Skills"
9351,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Surfacing, Jamie Cooper,OJEU Tender, Framework Agreement,01/01/2021,31/12/2024,31/12/2030,"£3,000,000.00","£30,000,000.00",Tarmac Ltd,-, M6 6JH,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9355,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Civils, Sarah Keating,OJEU Tender, Framework Agreement,01/01/2021,31/12/2024,31/12/2030,"£3,000,000.00","£30,000,000.00",George Cox and Sons Ltd,2775128,BL4 7QF,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9357,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Structures Maintenance <£50k, Sarah Keating,OJEU Tender, Framework Agreement,01/01/2021,31/12/2024,31/12/2030,"£150,000.00","£1,500,000.00",George Cox and Sons Ltd,2775128,BL4 7QF,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9358,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Structures >50k <500k, Sarah Keating,OJEU Tender, Framework Agreement,01/01/2021,31/12/2024,31/12/2030,"£500,000.00","£5,000,000.00",Bethell Constructions Ltd,-,M26 1GE,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
5243,Stockport Metropolitan Borough Council,Live (On-going),211200 - Furniture & Soft Furnishings - Office Furniture,Office Furniture 2, Sarah Keating,Mini Competition (External), Contract,01/12/2018,01/12/2022,01/12/2022,"£50,000.00","£200,000.00",H Jenkinson & Co Ltd,169844,L34 9JR,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
4770,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Provision of an enhanced Speech and Language and Occupational Therapy service , Rachael Tither,Exemption, Contract,01/09/2019,31/08/2022,31/07/2021,£0.00,"£362,755.50",Manchester Occupational Therapy Services,9873589,M41 9JQ ,-,"Stockport Metropolitan Borough Council, SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
10030,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Statutory Advocacy Services, Shirella Simms,OJEU Tender (Light Touch), Contract,01/04/2020,31/03/2023,31/03/2024,"£280,000.00","£1,400,000.00",Stockport Advocacy,-,SK1 3DL,-,"Stockport Metropolitan Borough Council, SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
10199,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living 2, Shirella Simms,OJEU Tender, Contract,01/04/2021,31/03/2024,-,"£429,072.86","£2,145,364.00",Ross Auto Engineering Ltd T/a Ross Care,-,SK16 4PW,-,"Stockport Metropolitan Borough Council, SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
6090,Stockport Metropolitan Borough Council,Live (On-going),271516 - Information Communication Technology - Services - Cloud Services,Remote Call Centre, Samantha Power,OJEU Tender, Contract,01/04/2019,09/01/2024,31/03/2023,"£100,954.00","£504,770.00",Netcall Telecom Limited,-,-,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management"
8940,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,Schools Central Web filtering solution, Samantha Power,Call Off (External), Call-off Contract,04/05/2021,03/05/2024,-,"£87,457.89","£87,457.89",Insight Direct,-,S9 2BU,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - People, SMBC - Corporate & Support Services, SMBC - PPL Adult Social Care, SMBC - Public Health, SMBC - PPL Children's Social Care , SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - PPL Education, Work & Skills, SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration, SMBC - PLA Estates & Asset Management"
9349,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Planned Structural Maintenance, Sarah Keating,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£500,000.00","£5,000,000.00",J Hopkins (Contractors) Ltd,1112562,M17 1LP,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9350,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Surface Dressing/ Slurry/Micro Seal, Jamie Cooper,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£1,500,000.00","£15,000,000.00",Eurovia Infrastructure Ltd,7388667,RH12 2RW,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9352,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Lining, Sarah Keating,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£100,000.00","£1,000,000.00",WJ North Ltd,-,-,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9353,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Anti-Skid/Coloured Surfacing, Sarah Keating,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£100,000.00","£1,000,000.00",WJ North Ltd,-,-,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9354,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Street Lighting and Signing, Jamie Cooper,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£500,000.00","£5,000,000.00",Jones Lighting,-,-,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9356,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",CCTV – Jetting/Inspection, Sarah Keating,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£100,000.00","£1,000,000.00",Sapphire Utility Solutions Ltd,8368213,PR5 8AQ,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9359,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Structures >500k, Sarah Keating,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£1,000,000.00","£10,000,000.00",Story Contracting Ltd,3709861,CA2 7NA,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
9360,Stockport Metropolitan Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Highway Coring, Sarah Keating,OJEU Tender, Contract,01/01/2021,31/12/2024,31/12/2030,"£30,000.00","£300,000.00",Pavement Testing Services Ltd,4374737,PR2 5AR,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
8897,Stockport Metropolitan Borough Council,Live (On-going),261100 - Human Resources - Interpretation & Translation,British Sign Language,Gary Lee,RBS - Low/Med - Simple (RFQ), Contract,01/07/2021,30/06/2024,30/06/2026,"£12,987.00","£38,961.00",Manchester Deaf Centre,-,M13 9GH,-,"Stockport Metropolitan Borough Council, SMBC - PPL Education, Work & Skills"
8348,Stockport Metropolitan Borough Council,Live (On-going),190000 - Facilities & Management Services,The Appointment of Principal Designer and Construction Health and Safety Advisor,Gary Lee,OJEU Tender, Contract,01/06/2021,01/06/2024,01/09/2025,"£35,000.00","£105,000.00",Bellrock Property and Facilites Management Limited,-,LE1 6LP,-,"Stockport Metropolitan Borough Council, SMBC - PLA Estates & Asset Management"
10434,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Stockport Youth LGBT Provision, Rachael Tither,Procured by Other, Contract,01/04/2021,31/03/2024,31/03/2024,"£9,652.00","£19,124.00",The Proud Trust,-,M15 6SE,-,"Stockport Metropolitan Borough Council, SMBC - PPL Children's Social Care "
9375,Stockport Metropolitan Borough Council,Live (On-going),371300 - Utilities - Water,Supply of Water and Ancillary Services in Stockport, Paul Atherton,Call Off (External), Call-off Contract,01/07/2021,30/06/2024,-,"£1,061,720.00","£3,185,160.00",Wave,3017251,EH7 4NS,-,"Stockport Metropolitan Borough Council, SMBC - PLA Estates & Asset Management"
8615,Stockport Metropolitan Borough Council,Live (On-going),201200 - Financial Services - Banking,Stockport Bill Payment Services ,Gary Lee,Call Off (External), Call-off Contract,01/07/2021,30/06/2024,-,"£75,000.00","£225,000.00",allPay,-,HR1 3SE,-,"Stockport Metropolitan Borough Council, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy"
8735,Stockport Metropolitan Borough Council,Live (On-going),291000 - Arts & Leisure Services - Events,The Management & Promotion of Stockport Town Centre managed Sites, Michael Halsall,RBS - Low/Med - Simple (RFQ),Concession,01/04/2021,31/03/2024,31/03/2026,"£56,400.00","£169,000.00",Shoppertainment Management Ltd ,-,M2 2BY,-,"Stockport Metropolitan Borough Council, SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
10295,Stockport Metropolitan Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Independent Travel Training 2021 - Stockport , Rachael Tither,RBS - Med/High - Advanced (Open), Contract,16/10/2021,31/08/2023,-,"£135,000.00","£254,000.00",Pure Innovations Ltd,-,SK7 5ER,-,"SMBC - PPL Education, Work & Skills"
3882,Stockport Metropolitan Borough Council,Live (On-going),182000 - Environmental Services - Waste Management,Purchase of Wheeled Bins - Stockport Council, Jamie Cooper,Mini Competition (External), Call-off Contract,28/07/2021,27/07/2024,27/07/2023,"£146,689.80","£293,379.60",IPL Plastics Inc.,-,S61 4RJ,-,"Stockport Metropolitan Borough Council, SMBC - PLA Highways & Transport"
9521,Stockport Metropolitan Borough Council,Live (On-going),192200 - Facilities & Management Services - Security,Recruitment of SIA Register Security Guards, Paul Atherton,RBS - Low/Med - Simple (RFQ), Contract,01/11/2021,31/10/2023,-,"£11,200.00","£22,400.00",The Exclusec Group Ltd,-,BL1 4TQ,-,"SMBC - PLA Culture & Leisure, STAR"
