Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2507,General Repairs and Maintenance,04/11/2021,236610,540,Revenue,J K  Build Ltd,1239
Rushmoor Borough Council,Community,2518,Electricity,04/11/2021,236617,2722.42,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2518,Temporary Staff,04/11/2021,236618,270,Revenue,Tango Security Ltd,1412
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/11/2021,236619,351,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Community,2517,Playground Apparatus,04/11/2021,236624,991.49,Revenue,Hags-Smp Ltd,4499
Rushmoor Borough Council,Legal,1242,Temporary Staff,04/11/2021,236626,847.5,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1209,Temporary Staff,04/11/2021,236626,282.5,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,04/11/2021,236626,847.5,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1230,Temporary Staff,04/11/2021,236626,282.5,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1240,Temporary Staff,04/11/2021,236626,282.5,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2554,Food Waste,04/11/2021,236627,564.25,Revenue,Wendy B Employment Consultancy,1743
Rushmoor Borough Council,Financial Services,3401,Conferences and Seminars,25/11/2021,236628,275,Revenue,Solace Group Ltd,8897
Rushmoor Borough Council,Community,2554,Food Waste,04/11/2021,236629,24400,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Democratic Services,1327,Postages,04/11/2021,236630,2307.29,Revenue,Royal Mail,821
Rushmoor Borough Council,Community,2506,Electricity,04/11/2021,236639,277.48,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2537,Electricity,11/11/2021,236640,1132.52,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1208,Electricity,04/11/2021,236641,311.48,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2555,Electricity,04/11/2021,236644,574.83,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2518,Payment to Artistes,04/11/2021,236646,5826.97,Revenue,Avalon Promotions Limited,4015
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/11/2021,236647,585,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Community,2552,Grounds Maintenance,04/11/2021,236651,6579.92,Revenue,Mark Harrod Ltd,14889
Rushmoor Borough Council,Community,2517,Playground Apparatus,04/11/2021,236652,1053,Revenue,Hags-Smp Ltd,4499
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,04/11/2021,236653,1032,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,04/11/2021,236654,2112,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,04/11/2021,236656,1380,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,04/11/2021,236658,420.24,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Environmental Health and Housing,2246,Consultancy,04/11/2021,236660,962.5,Revenue,Browne Jacobson Llp,15516
Rushmoor Borough Council,Community,2538,Gantry/Barriers,04/11/2021,236662,3096,Revenue,Apt Security Systems Ltd,12127
Rushmoor Borough Council,Community,2507,Electricity,11/11/2021,236664,2081.91,Revenue,Sse Metering Ltd,912
Rushmoor Borough Council,Information Technology,3305,Water,18/11/2021,236666,2739.83,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Community,2555,Water,04/11/2021,236668,284.37,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Community,2561,Water,04/11/2021,236679,520,Revenue,Secure Site (Uk) Ltd,14068
Rushmoor Borough Council,Democratic Services,1300,Poppy Wreaths,04/11/2021,236681,300,Revenue,Royal British Legion Poppy Appeal,11361
Rushmoor Borough Council,Director of Community and Environment Services,2102,Consultancy,04/11/2021,236683,3000,Revenue,Dexter Moren Associates,16593
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,04/11/2021,236692,1219.84,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,04/11/2021,236693,460,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Legal,1202,Conferences and Seminars,04/11/2021,236695,860,Revenue,Llg Legal Training,13146
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,04/11/2021,236696,700.68,Revenue,Bellstan Ltd,4489
Rushmoor Borough Council,Community,2560,Contract Costs,11/11/2021,236697,3500,Revenue,Strategic Leisure Ltd,15855
Rushmoor Borough Council,Legal,1202,Counsels Fees,04/11/2021,236700,1887,Revenue,Bevan Brittan Llp,8417
Rushmoor Borough Council,Director of Community and Environment Services,2102,Consultancy,04/11/2021,236701,2700,Revenue,The Big Picture Ltd,16594
Rushmoor Borough Council,Environmental Health and Housing,2213,A331 AQ Office Costs,04/11/2021,236702,1500,Revenue,Atkins International,2053
Rushmoor Borough Council,Community,2551,Memorial Vaults,04/11/2021,236703,16010,Revenue,The Columbaria Company,993
Rushmoor Borough Council,Director of Community and Environment Services,2102,Consultancy,11/11/2021,236704,1794,Revenue,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Community,6507,Contract Costs,04/11/2021,236705,8397.8,Capital,Baydale Control Systems,12558
Rushmoor Borough Council,Community,2549,Maintenance Team Non-Core Client Expenditure,11/11/2021,236708,1820,Revenue,Barricade Ltd,15939
Rushmoor Borough Council,Community,6518,Contract Costs,18/11/2021,236709,13416,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,11/11/2021,236710,431.9,Revenue,Signway Supplies,884
Rushmoor Borough Council,Information Technology,3304,Gov Connect,04/11/2021,236711,1009.61,Revenue,Nominet Uk,16166
Rushmoor Borough Council,Community,2518,Training Expenses,04/11/2021,236713,875,Revenue,Aluminium Access Products Ltd,14079
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,11/11/2021,236716,576.82,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Community,2518,Refreshment Purchases,04/11/2021,236721,645.12,Revenue,Consort Frozen Foods Ltd,260
Rushmoor Borough Council,Community,2537,Electricity,04/11/2021,236723,272.02,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2560,Water,11/11/2021,236728,-785.37,Revenue,Business Stream,15959
Rushmoor Borough Council,Community,2560,Water,11/11/2021,236729,-622.79,Revenue,Business Stream,15959
Rushmoor Borough Council,Information Technology,3304,Network Software,04/11/2021,236732,12968.4,Revenue,Power On Platforms Ltd,15605
Rushmoor Borough Council,Information Technology,3302,Application Software,11/11/2021,236733,5940,Revenue,Goss Interactive Limited,5830
Rushmoor Borough Council,Information Technology,3302,Application Software,11/11/2021,236734,20280,Revenue,Goss Interactive Limited,5830
Rushmoor Borough Council,Environmental Health and Housing,2218,Taxi Plate Supplies,11/11/2021,236738,252.75,Revenue,Vip-System Limited,11630
Rushmoor Borough Council,Legal,1209,Legionela Maintenance,11/11/2021,236739,550,Revenue,Rock Compliance Limited,16356
Rushmoor Borough Council,Planning,2609,Local Plan Preparation,11/11/2021,236740,3000,Revenue,Hampshire County Council,1206
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,11/11/2021,236745,270,Revenue,Brand Pest Control,3284
Rushmoor Borough Council,Community,2517,Tree Survey Works,11/11/2021,236747,880,Revenue,Sapling Arboriculture Limited,9448
Rushmoor Borough Council,Community,2543,High Street Reopening After Covid 19,11/11/2021,236748,1573,Revenue,Orchid Digital Ltd,13123
Rushmoor Borough Council,Strategy and Communiations,1415,Commission,04/11/2021,236753,540.58,Revenue,Avc Wise Ltd,15680
Rushmoor Borough Council,Customer Services,3804,Contract Staff,04/11/2021,236755,1035,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Community,2551,Memorial Expenses,11/11/2021,236757,1535,Revenue,Vivedia Ltd,13434
Rushmoor Borough Council,Community,2538,Telecommunications,04/11/2021,236758,271.6,Revenue,Metric Group Ltd,4436
Rushmoor Borough Council,Community,2538,NPAS Fees,04/11/2021,236759,947.1,Revenue,Patrol,5572
Rushmoor Borough Council,Information Technology,3302,Application Software,11/11/2021,236760,-3381.7,Revenue,Goss Interactive Limited,5830
Rushmoor Borough Council,Environmental Health and Housing,6224,Contract Costs,11/11/2021,236763,1395,Capital,Environtec Limited,15633
Rushmoor Borough Council,Legal,1248,General Repairs and Maintenance,11/11/2021,236764,710,Revenue,Jackson Fire And Security Uk Ltd,15502
Rushmoor Borough Council,Community,2526,General Repairs and Maintenance,11/11/2021,236765,1100,Revenue,Jackson Fire And Security Uk Ltd,15502
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,11/11/2021,236767,3796.2,Revenue,Hardcastle Electrical Limited,8301
Rushmoor Borough Council,Environmental Health and Housing,2204,Stray Dog Out of Hours Service,11/11/2021,236772,275,Revenue,Bowenhurst Kennels,167
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,11/11/2021,236772,813.75,Revenue,Bowenhurst Kennels,167
Rushmoor Borough Council,Community,2554,Food Waste,11/11/2021,236773,564.25,Revenue,Wendy B Employment Consultancy,1743
Rushmoor Borough Council,Community,2543,Aldershot Promotions,18/11/2021,236776,256,Revenue,Oxenford Farm Ltd,13364
Rushmoor Borough Council,Community,2518,Temporary Staff,25/11/2021,236777,375,Revenue,Tango Security Ltd,1412
Rushmoor Borough Council,Legal,1210,Contract Staff,11/11/2021,236778,559,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,18/11/2021,236779,1680,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Contract Staff,11/11/2021,236780,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Contract Staff,11/11/2021,236780,600,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2543,High Street Reopening After Covid 19,11/11/2021,236782,350,Revenue,Henry Douthwaite,16093
Rushmoor Borough Council,Information Technology,3304,Telephones,25/11/2021,236784,1320,Revenue,Nss Partners Limited,15033
Rushmoor Borough Council,Community,2551,Memorial Expenses,11/11/2021,236785,273.56,Revenue,Town And Country Memorials Ltd,1052
Rushmoor Borough Council,Legal,1248,Electricity,11/11/2021,236788,1279.97,Revenue,Drax Energy Solutions,15551
Rushmoor Borough Council,Legal,1202,Temporary Staff,11/11/2021,236790,1155,Revenue,Sellick Partnership Ltd,15486
Rushmoor Borough Council,Legal,1202,Temporary Staff,11/11/2021,236791,1155,Revenue,Sellick Partnership Ltd,15486
Rushmoor Borough Council,Legal,1202,Counsels Fees,11/11/2021,236792,400,Revenue,12 Cp Barristers,13792
Rushmoor Borough Council,Community,2517,Electricity,11/11/2021,236793,1471.14,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1208,Electricity,11/11/2021,236794,281.43,Revenue,E.On Next,14884
Rushmoor Borough Council,Community,6518,Contract Costs,11/11/2021,236799,12924,Capital,Mgb Plastics,11093
Rushmoor Borough Council,Planning,6621,Contract Costs,11/11/2021,236800,831.6,Capital,Arcus Consulting Limited,16491
Rushmoor Borough Council,Planning,6621,Contract Costs,11/11/2021,236801,3737.5,Capital,Arcus Consulting Limited,16491
Rushmoor Borough Council,Community,2553,Computer Equipment and Software,11/11/2021,236803,1875,Revenue,Blackburn It Services T/A Bbits,14365
Rushmoor Borough Council,Legal,1242,Service Charges,11/11/2021,236806,300.02,Revenue,Mobius Sps,15944
Rushmoor Borough Council,Customer Services,3804,Contract Staff,11/11/2021,236811,1110,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Community,2538,Card Transaction Fees,11/11/2021,236812,427.5,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Community,2543,Aldershot Promotions,11/11/2021,236817,3236,Revenue,Giant Cheese Ltd,16505
Rushmoor Borough Council,Community,2543,Aldershot Promotions,25/11/2021,236819,325,Revenue,Kelly'S Donkeys,16589
Rushmoor Borough Council,Community,2543,Aldershot Promotions,25/11/2021,236820,400,Revenue,Berkshire Birds Of Prey,15615
Rushmoor Borough Council,Legal,1206,Temporary Staff,11/11/2021,236826,300,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1209,Temporary Staff,11/11/2021,236827,254.25,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1242,Temporary Staff,11/11/2021,236827,762.75,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,11/11/2021,236827,762.75,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1230,Temporary Staff,11/11/2021,236827,254.25,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1240,Temporary Staff,11/11/2021,236827,254.25,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1206,Temporary Staff,11/11/2021,236828,300,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1206,Temporary Staff,11/11/2021,236829,300,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1206,Temporary Staff,11/11/2021,236830,400,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,11/11/2021,236830,320,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,11/11/2021,236831,320,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1206,Temporary Staff,11/11/2021,236831,400,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1206,Temporary Staff,11/11/2021,236832,300,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Democratic Services,1302,External Printing,18/11/2021,236833,1963.63,Revenue,Civica Election Services,6506
Rushmoor Borough Council,Democratic Services,1302,External Printing,18/11/2021,236834,952.87,Revenue,Civica Election Services,6506
Rushmoor Borough Council,Community,2551,Floris Plaques,11/11/2021,236837,487.46,Revenue,Hilton Cabinet Co Ltd,24
Rushmoor Borough Council,Community,2565,Trade Refuse,11/11/2021,236838,333,Revenue,Chambers Waste Management Plc,217
Rushmoor Borough Council,Legal,1202,Counsels Fees,11/11/2021,236839,300,Revenue,12 Cp Barristers,13792
Rushmoor Borough Council,Community,2517,Tree Maintenance,11/11/2021,236840,537,Revenue,Transform Landscapes,16032
Rushmoor Borough Council,Community,2537,Security Services,11/11/2021,236841,1674.38,Revenue,Bdi Securities,16534
Rushmoor Borough Council,Community,2507,General Repairs and Maintenance,11/11/2021,236842,425,Revenue,Drain & Sewer Services,310
Rushmoor Borough Council,Director of Community and Environment Services,2100,Professional Subscriptions,18/11/2021,236843,386.68,Revenue,Solace Group Ltd,8897
Rushmoor Borough Council,Community,2517,Tree Maintenance,11/11/2021,236845,998.4,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Community,2517,Tree Maintenance,11/11/2021,236846,1175.2,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Environmental Health and Housing,2218,Housing Medical Reports,11/11/2021,236849,324.6,Revenue,Hml Independent Medical Advice Ltd,15214
Rushmoor Borough Council,Customer Services,3805,Tracing Fees,11/11/2021,236850,1620,Revenue,Experian Ltd,5686
Rushmoor Borough Council,Director of Community and Environment Services,2102,FLC Project Delivery Costs,11/11/2021,236851,2469.3,Revenue,Artelia Uk,15969
Rushmoor Borough Council,Community,2565,Trade Refuse,11/11/2021,236852,557,Revenue,Chambers Waste Management Plc,217
Rushmoor Borough Council,Community,2542,Aldershot Christmas Lights,11/11/2021,236853,500,Revenue,Height For Hire Ltd,15616
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,11/11/2021,236854,309.38,Revenue,Mr M Conway,3755
Rushmoor Borough Council,Legal,1231,General Repairs and Maintenance,11/11/2021,236855,295,Revenue,Rock Compliance Limited,16356
Rushmoor Borough Council,Information Technology,3304,Telephones,25/11/2021,236857,606.4,Revenue,Daisy Corporate Services Trading Ltd,9349
Rushmoor Borough Council,Community,2551,Telephones,11/11/2021,236860,276.54,Revenue,Southern Communications,12514
Rushmoor Borough Council,Community,2518,Refreshment Purchases,11/11/2021,236861,1185.25,Revenue,H H Clark (Caterers) Ltd,1393
Rushmoor Borough Council,Community,2518,Refreshment Purchases,11/11/2021,236863,1386.15,Revenue,H H Clark (Caterers) Ltd,1393
Rushmoor Borough Council,Information Technology,3304,Telephones,25/11/2021,236865,609.86,Revenue,Daisy Corporate Services Trading Ltd,9349
Rushmoor Borough Council,Information Technology,3302,Application Software,11/11/2021,236868,8340,Revenue,Goss Interactive Limited,5830
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Process Redesign,11/11/2021,236869,3570,Revenue,Idox Software Ltd,661
Rushmoor Borough Council,Legal,1202,Counsels Fees,25/11/2021,236870,405,Revenue,Geldards Llp,15716
