"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"CIO001","Sonia Zahiroddiny","SCS2","Chief Information Officer","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","719528","1","170000","174999","","Government IT Profession","West Midlands","nan","1.00"
"CIO030","Vacant","SCS1","Head of Performance & Vendor Management","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CIO001","629726","1","N/A","N/A","","Government IT Profession","West Midlands","nan","1.00"
"CIO015","N/D","SCS1","Head of Delivery Integration & Management","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CIO001","817032","1","N/A","N/A","","Government IT Profession","West Midlands","nan","1.00"
"CIO041","N/D","SCS1","Head of Data & Analytics","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CIO001","792266","1","N/A","N/A","","Government IT Profession","London","nan","1.00"
"CIO082","N/D","SCS1","Head of Infrastructure & Operations","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CIO001","1284541","1","N/A","N/A","","Government IT Profession","West Midlands","nan","1.00"
"CIO056","N/D","SCS1","Head of Products","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CIO001","1881286","1","N/A","N/A","","Government IT Profession","West Midlands","nan","1.00"
"LP173","N/D","SCS1","Data and Systems Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP259","N/D","1","N/A","N/A","","Government Planning Profession","London","Team is too small to detail - cost allocated to LP259","1.00"
"LP259","N/D","SCS1","Head of Business Delivery and Development","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP001","1403098","1","N/A","N/A","","Government Planning Profession","West Midlands","nan","1.00"
"LP031","N/D","SCS1","Head of Acquisitions","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP001","N/D","1","N/A","N/A","","Government Planning Profession","London","Team is too small to detail - cost allocated to LP001","1.00"
"LP110","N/D","SCS1","Head of Operations - Acquisitions","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP031","906138","1","N/A","N/A","","Government Planning Profession","West Midlands","nan","1.00"
"LP257","N/D","SCS1","Phase One Acquisitions Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP031","1128658","1","N/A","N/A","","Government Planning Profession","London","nan","1.00"
"LP258","N/D","SCS1","Phase Two Acquisitions Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP031","957946","1","N/A","N/A","","Government Planning Profession","West Midlands","nan","1.00"
"LP066","Vacant","SCS1","Head of Land Assembly","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","LP016","593609","1","N/A","N/A","","Government Planning Profession","West Midlands","nan","1.00"
"LP001","Mike Hickson","SCS2","Land and Property Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","760308","1","245000","249999","","Government Planning Profession","London","nan","1.00"
"LP247","N/D","SCS1","Head of Phase One Programme Delivery","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP001","468112","1","N/A","N/A","","Government Planning Profession","London","nan","1.00"
"LP254","N/D","SCS1","Head of Phase Two Programme Delivery","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP001","695690","1","N/A","N/A","","Government Planning Profession","West Midlands","nan","1.00"
"LP016","N/D","SCS1","Head of Property Services","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP001","1629784","1","N/A","N/A","","Government Planning Profession","London","nan","1.00"
"LP201","N/D","SCS1","Head of Operations - Property Services","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LP016","526516","1","N/A","N/A","","Government Planning Profession","West Midlands","nan","1.00"
"LEG002","N/D","SCS1","Head of Counter Fraud and Business Ethics","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG037A","560858","1","N/A","N/A","","Government Legal Profession","West Midlands","nan","1.00"
"LEG026","N/D","SCS1","Insurance Manager","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG037A","N/D","1","N/A","N/A","","Government Legal Profession","London","Team is too small to detail - cost allocated to LEG037A","1.00"
"LEG004","Vacant","SCS1","Assistant General Counsel","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","LEG037A","N/D","1","N/A","N/A","","Government Legal Profession","London","Team is too small to detail - cost allocated to LEG037","1.00"
"LEG007","N/D","SCS1","Head Counsel - Commercial","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG037A","N/D","1","N/A","N/A","","Government Legal Profession","West Midlands","Team is too small to detail - cost allocated to LEG037A","1.00"
"LEG015","N/D","SCS1","Head Counsel - L&P","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG037A","N/D","1","N/A","N/A","","Government Legal Profession","West Midlands","Team is too small to detail - cost allocated to LEG037A","1.00"
"LEG034","N/D","SCS1","Head Counsel - L&P Disputes","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","LEG037A","N/D","1","N/A","N/A","","Government Legal Profession","West Midlands","Team is too small to detail - cost allocated to LEG037A","1.00"
"0","N/D","SCS2","Not in Post","N/A","Department for Transport","High Speed Two Ltd","N/A","N/A","N/A","CFO001","N/D","1","N/A","N/A","","Government Legal Profession","West Midlands","Individual on long term leave. Temporary cover is in place for the individual's role: LEG037A","1.00"
"LEG037A","Graham Levy","SCS2","General Counsel (Interim)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1592920","1","155000","159999","","Government Legal Profession","London","nan","1.00"
"CD005","N/D","SCS1","Corporate Procurement Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","955386","1","N/A","N/A","","Procurement Profession","London","nan","1.00"
"CD015","N/D","SCS1","Contract Management Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","712945","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD104","N/D","SCS1","Head of Third Party Agreements","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","771626","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD321","N/D","SCS1","Policy and Process Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","1253719","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD384E","N/D","SCS1","Corporate Procurement Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","508146","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD416E","N/D","SCS1","Supplier Relationship Management Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","N/D","1","N/A","N/A","","Procurement Profession","West Midlands","Team is too small to detail - cost allocated to CD005","1.00"
"CD417E","N/D","SCS1","Supply Chain Management Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD005","548779","1","N/A","N/A","","Procurement Profession","London","nan","1.00"
"CCO0031","N/D","SCS1","Senior Project Manager","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","N/D","1","N/A","N/A","","Procurement Profession","West Midlands","Team is too small to detail - cost allocated to INF1561E","1.00"
"CCO0033","N/D","SCS1","Senior Project Manager","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","N/D","1","N/A","N/A","","Procurement Profession","West Midlands","Team is too small to detail - cost allocated to INF1561E","1.00"
"INF1561E","Andrew Cubitt","SCS2","Procurement & Supply Chain Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1355381","1","200000","204999","","Procurement Profession","West Midlands","nan","1.00"
"CD059","Vacant","SCS1","Procurement Lead - Track & IMD","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CD102","494230","1","N/A","N/A","","Procurement Profession","London","nan","1.00"
"CD090","N/D","SCS1","Procurement Lead - Comms & Control Systems","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD102","386876","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD097","N/D","SCS1","Procurement Lead - Depots & Power and M&E","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD102","498269","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD102","N/D","SCS1","Rail Systems Procurement Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","N/D","1","N/A","N/A","","Procurement Profession","London","Team is too small to detail - cost allocated to INF1561E","1.00"
"CD206","N/D","SCS1","Procurement Lead - Midland Stations","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD415E","573306","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD306","N/D","SCS1","Procurement Lead - Stations & Common Components","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD415E","421319","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD390E","N/D","SCS1","Head of Procurement - Phase 2b","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD415E","608172","1","N/A","N/A","","Procurement Profession","West Midlands","nan","1.00"
"CD391E","N/D","SCS1","Lead Technical Author","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD415E","N/D","1","N/A","N/A","","Procurement Profession","London","Team is too small to detail - cost allocated to CD415E","1.00"
"CD415E","N/D","SCS1","Stations and Phase 2 Procurement Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","INF1561E","1094520","1","N/A","N/A","","Procurement Profession","London","nan","1.00"
"CD446E","N/D","SCS1","Head of Procurement - Phase 2a","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD415E","N/D","1","N/A","N/A","","Procurement Profession","London","Team is too small to detail - cost allocated to CD415E","1.00"
"CD481","N/D","SCS1","Procurement Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CD415E","N/D","1","N/A","N/A","","Procurement Profession","London","Team is too small to detail - cost allocated to CD415E","1.00"
"CFO0022","N/D","SCS1","Head of Estimating MWCC","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG114E","N/D","1","N/A","N/A","","Project Delivery Profession","West Midlands","Team is too small to detail - cost allocated to PRG114E","1.00"
"PRG114E","N/D","SCS1","Cost and Estimating Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","1192556","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"PRG171","N/D","SCS1","Head of Cost & Estimating (Phase One)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG114E","1106656","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"PRG204","N/D","SCS1","Head of Cost (Phase 2 and Core)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG114E","N/D","1","N/A","N/A","","Project Delivery Profession","West Midlands","Team is too small to detail - cost allocated to PRG114E","1.00"
"ID121","N/D","SCS1","Head of Innovation","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","1070382","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"TSD0053","N/D","SCS1","Head of Internal Consultancy","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","ID121","N/D","1","N/A","N/A","","Project Delivery Profession","West Midlands","Team is too small to detail - cost allocated to ID121","1.00"
"INF2249","Vacant","SCS1","Performance Management Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","PRG115E","N/D","1","N/A","N/A","","Project Delivery Profession","West Midlands","Team is too small to detail - cost allocated to PRG115E","1.00"
"PRG115E","N/D","SCS1","Head of Monitoring & Reporting and Analytics","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","685071","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"DEV634","N/D","SCS1","Head of Planning","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG116E","429660","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"PRG116E","N/D","SCS1","Planning and Integration Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","1901815","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"PRG170","N/D","SCS1","Head of Planning & Integration (Phase One)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","N/D","1","N/A","N/A","","Project Delivery Profession","West Midlands","Team is too small to detail - cost allocated to PRG001","1.00"
"PRG218","N/D","SCS1","Head of Planning & Integration","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG116E","N/D","1","N/A","N/A","","Project Delivery Profession","London","Team is too small to detail - cost allocated to PRG116E","1.00"
"INF1915E","N/D","SCS1","Head of Project Controls","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","420499","1","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"INF2250","N/D","SCS1","Project Controls & Integration Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","N/D","1","N/A","N/A","","Project Delivery Profession","London","Team is too small to detail - cost allocated to PRG001","1.00"
"PRG001","Amy Morley","SCS2","Programme Controls Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1870193","1","210000","214999","","Project Delivery Profession","West Midlands","nan","1.00"
"PRG0248","Vacant","SCS1","Head of Value Management","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","PRG001","N/D","1","N/A","N/A","","Project Delivery Profession","West Midlands","Team is too small to detail - cost allocated to PRG001","1.00"
"PRG0219","N/D","SCS1","Quantitative Risk Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG139E","N/D","1","N/A","N/A","","Project Delivery Profession","London","Team is too small to detail - cost allocated to PRG139E","1.00"
"PRG0220","N/D","SCS1","Quantitative Risk Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG139E","N/D","1","N/A","N/A","","Project Delivery Profession","London","Team is too small to detail - cost allocated to PRG139E","1.00"
"PRG108","N/D","SCS1","Phase 2b Risk Lead","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG139E","N/D","1","N/A","N/A","","Project Delivery Profession","London","Team is too small to detail - cost allocated to PRG139E","1.00"
"PRG139E","N/D","SCS1","Risk Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","1563353","1","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"PRG181","N/D","SCS1","Risk Lead - Phase One","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG139E","617726","1","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"CFO0024","N/D","SCS1","Head of Scope & Change","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG114E","531976","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"PRG119E","N/D","SCS1","Head of Systems and Tools","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","PRG001","626762","1","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"SA041","N/D","SCS1","Head of Programme and Approvals Assurance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","SA079","571180","1","N/A","N/A","","Policy Profession","West Midlands","nan","1.00"
"SA079A","N/D","SCS1","Quality and Assurance Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","N/D","1","N/A","N/A","","Policy Profession","London","Team is too small to detail - cost allocated to CFO001","1.00"
"SA079","N/D","SCS1","Quality and Assurance Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1155003","1","N/A","N/A","","Policy Profession","London","nan","1.00"
"TSD0012","N/D","SCS1","Head of Operational and Corporate Assurance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","SA079","476059","1","N/A","N/A","","Policy Profession","London","nan","1.00"
"SA014","N/D","SCS1","Head of IMS and Quality","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","SA079","881326","1","N/A","N/A","","Policy Profession","West Midlands","nan","1.00"
"CSP002","N/D","SCS1","Head of Benefits, Value and Analysis","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP001","995894","1","N/A","N/A","","Government Social Research Profession","West Midlands","nan","1.00"
"CFO0028","N/D","SCS1","Head of Delivery Sponsorship","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP001","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP001","1.00"
"CSP050","Vacant","SCS1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CSP077","N/D","1","N/A","N/A","","Government Social Research Profession","London","Team is too small to detail - cost allocated to CSP077","1.00"
"CSP050A","N/D","SCS1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP077","1.00"
"CSP053","N/D","SCS1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP077","1.00"
"CSP054","Vacant","SCS1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CSP077","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP077","1.00"
"CSP059","N/D","SCS1","Phase 2A Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CFO001","1.00"
"CSP077","N/D","SCS1","Head of Delivery Sponsorship","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP001","924836","1","N/A","N/A","","Government Social Research Profession","London","nan","1.00"
"CSP078E","N/D","SCS1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO0028","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP001","1.00"
"CSP083","N/D","SCS1","Senior Delivery Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP077","N/D","1","N/A","N/A","","Government Social Research Profession","London","Team is too small to detail - cost allocated to CSP077","1.00"
"CSP001","Jack Grigg","SCS2","Sponsorship and Shareholder Relations Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","656483","1","145000","149999","","Government Social Research Profession","London","nan","1.00"
"CSP060","N/D","SCS1","Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP109","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP109","1.00"
"CSP061","N/D","SCS1","Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP109","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP109","1.00"
"CSP068","N/D","SCS1","Senior Sponsor","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CSP109","N/D","1","N/A","N/A","","Government Social Research Profession","West Midlands","Team is too small to detail - cost allocated to CSP109","1.00"
"CSP109","Vacant","SCS1","Head of Development Sponsorship","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CSP001","471498","1","N/A","N/A","","Government Social Research Profession","West Midlands","nan","1.00"
