Senior Salaries 2016/17 - Stockport Council,,,
,,,
"This addendum provides further information on the posts identified within the 2016/17 Statement of Accounts (p91) where remuneration was in excess of £50,000 for the year (excluding posts within schools). There were a further 19 posts during the year where the employee’s salary was under £50,000 but total remuneration was in excess of £50,000 due to additional payments such as voluntary severance and overtime payments.  Three posts highlighted with an * were post-holders whose salary was in excess of £50,000 and received additional remuneration in respect of redundancy or other related payments during the year. These are shown within their actual salary band rather than total remuneration.  This information supplements that published within the SoA on Senior Officer remuneration (91 - 94) and complies with the requirements of the 2016 Local Government Transparency Code. ",,,
,,,
Post Title, Salary Range (in £5K bands) ,Key Responsibilities,
CSS Manager - Band 2 (Specialist) - Internal Audit and Risk," £50,000 - £55,000 ",Leadership and management of the internal audit team. Creation and delivery of the annual internal audit plan. Ensuring the Council meets statutory and local requirements and provides value for money.,
Strategic Lead for SEN and Inclusion," £50,000 - £55,000 ","Providing leadership and the strategic development of inter-agency working to the Stockport Family approach that spans services to children, young people, adults and families in Stockport, ensuring innovative multi-disciplinary working across the public sector. ",
CSS Manager - Band 3 (Specialist) - Human Resources," £50,000 - £55,000 ","All aspects of enabling Human Resources services required to support both Client and Directorate Services including Technical Payroll & Pension, Occupational health, Human Resource Policy and Procedures, Disclosure and Barring Service, I-Trent.",
CSS Manager - Band 3 (Specialist) - Democratic Services," £50,000 - £55,000 ","Member support and advice, including servicing meetings. Strategic direction and support of the democratic services team.",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
