Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT MBC DOM,Care Payments,Social Community Care Supplies & Services  ,27.05.2021,16.06.2021,GPC05210000160,580.92
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT MBC DOM,Care Payments,Social Community Care Supplies & Services  ,13.05.2021,16.06.2021,GPC05210000161,257.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT MBC DOM,Care Payments,Social Community Care Supplies & Services  ,13.05.2021,16.06.2021,GPC05210000162,463.35
Stockport MBC,Services to People,Childrens & Educational Services,ZOOM.US 888-799-9666,Information and Communications Technology,Information Communication Technology  ,11.05.2021,16.06.2021,GPC05210000163,11.99
Stockport MBC,Services to People,Childrens & Educational Services,NRS HEALTHCARE,Staff Training,Human Resources  ,04.05.2021,16.06.2021,GPC05210000164,-145.79
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,26.05.2021,16.06.2021,GPC05210000165,8.50
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,24.05.2021,16.06.2021,GPC05210000166,42.95
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Catering Supplies,Catering Food & Beverages ,19.05.2021,16.06.2021,GPC05210000167,7.27
Stockport MBC,Services to People,Childrens & Educational Services,B&M 261 - STOCKPORT,Furniture and Equipment,Environmental Services Technical Equipment ,14.05.2021,16.06.2021,GPC05210000168,38.47
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,14.05.2021,16.06.2021,GPC05210000169,11.07
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,10.05.2021,16.06.2021,GPC05210000170,23.04
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,04.05.2021,16.06.2021,GPC05210000171,38.80
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,30.04.2021,16.06.2021,GPC05210000172,21.43
Stockport MBC,Services to People,Childrens & Educational Services,NETFLIX.COM,Fees and Charges,Financial Services  ,10.05.2021,16.06.2021,GPC05210000173,13.99
Stockport MBC,Services to People,Childrens & Educational Services,DISNEY PLUS,Fees and Charges,Financial Services  ,03.05.2021,16.06.2021,GPC05210000174,5.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK5JI16I4,Office Expenses,Stationery    ,11.05.2021,16.06.2021,GPC05210000175,23.64
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK33K5XN4,Library Equipment,Education Library Books ,06.05.2021,16.06.2021,GPC05210000176,11.98
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,28.05.2021,16.06.2021,GPC05210000177,28.48
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,28.05.2021,16.06.2021,GPC05210000178,41.70
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,27.05.2021,16.06.2021,GPC05210000179,11.25
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,25.05.2021,16.06.2021,GPC05210000180,45.00
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,25.05.2021,16.06.2021,GPC05210000181,18.00
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Clothing Uniforns and Laundry,Clothing  ,24.05.2021,16.06.2021,GPC05210000182,24.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK0G85Y14,Furniture and Equipment,Environmental Services Technical Equipment ,19.05.2021,16.06.2021,GPC05210000183,15.98
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,13.05.2021,16.06.2021,GPC05210000184,23.25
Stockport MBC,Services to People,Childrens & Educational Services,LIFE LEISURE BRINNINGT,Fees and Charges,Education  ,13.05.2021,16.06.2021,GPC05210000185,21.50
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,11.05.2021,16.06.2021,GPC05210000186,29.17
Stockport MBC,Services to People,Childrens & Educational Services,KAHOOT! AS,Furniture and Equipment,Environmental Services Technical Equipment ,10.05.2021,16.06.2021,GPC05210000187,72.36
Stockport MBC,Services to People,Adult Social Care,SP   RINKIT.COM,COVID,COVID,26.05.2021,16.06.2021,GPC05210000188,39.17
Stockport MBC,Services to People,Public Health,GO OUTDOORS,Office Expenses,Stationery    ,17.05.2021,16.06.2021,GPC05210000189,90.12
Stockport MBC,Services to People,Public Health,GO OUTDOORS,Office Expenses,Stationery    ,17.05.2021,16.06.2021,GPC05210000190,66.50
Stockport MBC,Services to People,Adult Social Care,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,06.05.2021,16.06.2021,GPC05210000191,16.36
Stockport MBC,Services to People,Childrens & Educational Services,RYMAN,Furniture and Equipment,Environmental Services Technical Equipment ,20.05.2021,16.06.2021,GPC05210000192,17.08
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 17 773,Catering Supplies,Catering Food & Beverages ,26.05.2021,16.06.2021,GPC05210000193,4.11
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Catering Supplies,Catering Food & Beverages ,24.05.2021,16.06.2021,GPC05210000194,14.50
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORE 4422,Catering Supplies,Catering Food & Beverages ,19.05.2021,16.06.2021,GPC05210000195,6.93
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 17 773,Catering Supplies,Catering Food & Beverages ,19.05.2021,16.06.2021,GPC05210000196,8.71
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 17 773,Catering Supplies,Catering Food & Beverages ,12.05.2021,16.06.2021,GPC05210000197,10.75
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORE 4422,Catering Supplies,Catering Food & Beverages ,12.05.2021,16.06.2021,GPC05210000198,1.05
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 17 773,Catering Supplies,Catering Food & Beverages ,05.05.2021,16.06.2021,GPC05210000199,12.34
Stockport MBC,Corporate and Support Services,Central Support Costs,TOGGLER-UK,Furniture and Equipment,Environmental Services Technical Equipment ,10.05.2021,16.06.2021,GPC05210000200,110.59
Stockport MBC,Services to Place,Highways & Transport Services,EB  PANEL TRAINING,Fees and Charges,Human Resources Training & Conferences ,28.05.2021,16.06.2021,GPC05210000201,75.00
Stockport MBC,Services to Place,Highways & Transport Services,EB  THE AUTISM SHOW WE,Staff Training,Human Resources  ,26.05.2021,16.06.2021,GPC05210000202,65.26
Stockport MBC,Services to Place,Highways & Transport Services,MICROSOFT STORE,Furniture and Equipment,Environmental Services Technical Equipment ,11.05.2021,16.06.2021,GPC05210000203,59.99
Stockport MBC,Services to Place,Environmental & Regulatory Services,POINT SAFETY LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,05.05.2021,16.06.2021,GPC05210000204,244.80
Stockport MBC,Corporate and Support Services,Planning Services,ZOOM.US 888-799-9666,Information and Communications Technology,Information Communication Technology  ,10.05.2021,16.06.2021,GPC05210000205,143.88
