BeneficiaryOtherID,BeneficiaryName,OrganisationalUnit,Purpose,ContractRef,Amount,IrrecoverableVATAmount,PaymentDate
300401,Alphabet (Gb) Limited,Public Health,Disallowable Vat,160954,493.21,493.21,17/06/2013
300401,Alphabet (Gb) Limited,Public Health,Lease Car Payment,160954,5511.19,0,17/06/2013
300401,Alphabet (Gb) Limited,Street Scene Support Services,Van Lease,160955,775.38,0,20/06/2013
300401,Alphabet (Gb) Limited,Car Parks,Van Lease,161987,212.2,0,12/07/2013
300401,Alphabet (Gb) Limited,Parks And Pleasure Grounds,Van Lease,161987,201.22,0,12/07/2013
300401,Alphabet (Gb) Limited,Street Scene Support Services,Van Lease,161987,642.46,0,12/07/2013
300401,Alphabet (Gb) Limited,Building Control,Annual Officers Lease Element,162414,328.66,0,11/07/2013
300401,Alphabet (Gb) Limited,Building Control,Disallowable Vat,162414,398.34,398.34,11/07/2013
300401,Alphabet (Gb) Limited,Building Control,Lease Car Payment,162414,4239.67,0,11/07/2013
300401,Alphabet (Gb) Limited,Democratic Representation,Annual Officers Lease Element,162415,315,0,11/07/2013
300401,Alphabet (Gb) Limited,Democratic Representation,Disallowable Vat,162415,354.42,354.42,11/07/2013
300401,Alphabet (Gb) Limited,Democratic Representation,Lease Car Payment,162415,3657.35,0,11/07/2013
300401,Alphabet (Gb) Limited,Economic Development,Annual Officers Lease Element,163885,245,0,15/08/2013
300401,Alphabet (Gb) Limited,Economic Development,Disallowable Vat,163885,455.09,455.09,15/08/2013
300401,Alphabet (Gb) Limited,Economic Development,Lease Car Payment,163885,4918.63,0,15/08/2013
300401,Alphabet (Gb) Limited,Property And Estates Services,Disallowable Vat,163887,294.87,294.87,15/08/2013
300401,Alphabet (Gb) Limited,Property And Estates Services,Lease Car Payment,163887,3191.12,0,15/08/2013
300401,Alphabet (Gb) Limited,Aonb And Countryside,Van Lease,163922,164.06,0,15/08/2013
300401,Alphabet (Gb) Limited,Car Parks,Van Lease,163922,219.17,0,15/08/2013
300401,Alphabet (Gb) Limited,Parks And Pleasure Grounds,Van Lease,163922,208.01,0,15/08/2013
300401,Alphabet (Gb) Limited,Street Scene Support Services,Van Lease,163922,444.54,0,15/08/2013
300401,Alphabet (Gb) Limited,Aonb And Countryside,Van Lease,165058,1417.79,0,23/09/2013
300401,Alphabet (Gb) Limited,Building Control,Disallowable Vat,165059,349.7,349.7,23/09/2013
300401,Alphabet (Gb) Limited,Building Control,Lease Car Payment,165059,4126.03,0,23/09/2013
300401,Alphabet (Gb) Limited,Supervision And Mgt General,Annual Officers Lease Element,166231,512.22,0,10/10/2013
300401,Alphabet (Gb) Limited,Supervision And Mgt General,Disallowable Vat,166231,384.41,384.41,10/10/2013
300401,Alphabet (Gb) Limited,Supervision And Mgt General,Lease Car Payment,166231,3730.63,0,10/10/2013
300401,Alphabet (Gb) Limited,Car Parks,Repair Of Vehicle,166233,63,0,17/10/2013
300401,Alphabet (Gb) Limited,Parks And Pleasure Grounds,Repair Of Vehicle,166233,461.2,0,17/10/2013
300401,Alphabet (Gb) Limited,Street Scene Support Services,Repair Of Vehicle,166233,286.03,0,17/10/2013
300401,Alphabet (Gb) Limited,Aonb And Countryside,Van Lease,166234,378.6,0,17/10/2013
300401,Alphabet (Gb) Limited,Parks And Pleasure Grounds,Van Lease,166234,80.52,0,17/10/2013
300401,Alphabet (Gb) Limited,Street Cleansing,Van Lease,166234,244.5,0,17/10/2013
300401,Alphabet (Gb) Limited,Street Scene Support Services,Van Lease,166234,156.54,0,17/10/2013
300401,Alphabet (Gb) Limited,Aonb And Countryside,Van Lease,167907,290.26,0,15/11/2013
300401,Alphabet (Gb) Limited,Street Cleansing,Van Lease,167907,252.65,0,15/11/2013
300401,Alphabet (Gb) Limited,Development Managment,Annual Officers Lease Element,168860,161.54,0,20/12/2013
300401,Alphabet (Gb) Limited,Development Managment,Disallowable Vat,168860,371.73,371.73,20/12/2013
300401,Alphabet (Gb) Limited,Development Managment,Lease Car Payment,168860,4078.03,0,20/12/2013
300401,Alphabet (Gb) Limited,Street Cleansing,Van Lease,168861,320.8,0,20/12/2013
300401,Alphabet (Gb) Limited,Car Parks,Van Lease,168862,2491.72,0,20/12/2013
300401,Alphabet (Gb) Limited,Aonb And Countryside,Travelling,168863,1374,0,03/01/2014
300401,Alphabet (Gb) Limited,Street Cleansing,Van Lease,169710,725.71,0,13/01/2014
300401,Alphabet (Gb) Limited,Street Cleansing,Van Lease,171399,717.56,0,13/02/2014
300401,Alphabet (Gb) Limited,Public Conveniences,Van Lease,171558,2433.86,0,17/02/2014
300401,Alphabet (Gb) Limited,Street Scene Support Services,Van Lease,171559,2292.9,0,17/02/2014
828700,A&M Defence & Marine Services Limited,Sports Centres And Swim Pools,Planned Mtce Sa Corp Budget,163232,750,0,15/08/2013
19221P,Andrea Stokes,Arts Development,Artist Fees,163053,600,0,29/07/2013
IF009391,Andrew J Brewer Landscapes,Improvements Hra,Hra Prop Contractors Interface,127789,1434.28,0,26/09/2013
IF009391,Andrew J Brewer Landscapes,Improvements Hra,Hra Prop Contractors Interface,128616,1579.9,0,28/10/2013
IF009391,Andrew J Brewer Landscapes,Improvements Hra,Hra Prop Contractors Interface,129144,767.4,0,31/10/2013
IF009391,Andrew J Brewer Landscapes,Improvements Hra,Hra Prop Contractors Interface,131186,586.9,0,03/01/2014
IF009391,Andrew J Brewer Landscapes,Improvements Hra,Hra Prop Contractors Interface,132393,1093.9,0,23/01/2014
322784,Andrew Taylor,Aonb And Countryside,Technical Support,168270,1600,0,25/11/2013
322784,Andrew Taylor,Aonb And Countryside,Technical Support,169249,2122.67,0,03/01/2014
410222,Anglesey Bollard Ltd,Beaches & Foreshores,Property Contractors,163238,2355,0,05/08/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,157611,3178.38,0,04/04/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,157611,762.7,0,04/04/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,158730,3280.08,0,25/04/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,158730,787.11,0,25/04/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,160709,756.66,0,06/06/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,161251,3280.08,0,17/06/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,161251,787.11,0,17/06/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,161719,3280.08,0,27/06/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,161719,787.11,0,27/06/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,163062,3280.08,0,25/07/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,163062,787.11,0,25/07/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,165205,3280.08,0,16/09/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,165205,787.11,0,16/09/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,165881,3280.08,0,30/09/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,165881,787.11,0,30/09/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,166996,3280.08,0,28/10/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,166996,787.11,0,28/10/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,168068,3280.08,0,21/11/2013
6066927,Animal Wardens Ltd,Public Health,Vet Fees,168068,787.11,0,21/11/2013
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,169486,3280.08,0,03/01/2014
6066927,Animal Wardens Ltd,Public Health,Vet Fees,169486,787.11,0,03/01/2014
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,170958,3280.08,0,30/01/2014
6066927,Animal Wardens Ltd,Public Health,Vet Fees,170958,787.11,0,30/01/2014
6066927,Animal Wardens Ltd,Public Health,Kennelling Contract,172394,3280.08,0,03/03/2014
6066927,Animal Wardens Ltd,Public Health,Vet Fees,172394,787.11,0,03/03/2014
810911,Anna Lodge Consulting,Capital Regeneration Economy,Consultancy=Advice,163580,3043.38,0,08/08/2013
810911,Anna Lodge Consulting,Capital Regeneration Economy,Consultancy=Advice,165101,2485.5,0,12/09/2013
810911,Anna Lodge Consulting,Capital Regeneration Economy,Consultancy=Advice,167030,693.45,0,28/10/2013
810911,Anna Lodge Consulting,Capital Regeneration Economy,Consultancy=Advice,170217,2428.4,0,16/01/2014
352049,Antalis Limited,Ict Services,Consumables,170903,559.72,0,06/02/2014
352049,Antalis Limited,Ict Services,Consumables,171907,733.29,0,19/02/2014
633771,A P G Services (Irrigation),Parks And Pleasure Grounds,Non Property Contractors,167427,1250.41,0,25/11/2013
633771,A P G Services (Irrigation),Parks And Pleasure Grounds,Equipment Repair & Maintenance,171639,800,0,03/03/2014
AQUARIUS,Aquarius Solutions,Street Cleansing,Materials,167003,1299.2,0,07/11/2013
437271,Archant South West,Development Managment,Advertising General,156866,220,0,08/04/2013
437271,Archant South West,Hsg And Council Tax Admin,Advertising General,156866,3520,0,08/04/2013
437271,Archant South West,Planning Policy,Advertising General,158178,1188,0,15/04/2013
437271,Archant South West,Public Health,Advertising General,158178,2376,0,15/04/2013
437271,Archant South West,Development Managment,Advertising General,160507,880,0,03/06/2013
437271,Archant South West,Coastal Protection Revenue,Advertising General,160772,176,0,06/06/2013
437271,Archant South West,Development Managment,Advertising General,160772,440,0,06/06/2013
437271,Archant South West,Parks And Pleasure Grounds,Advertising General,160772,50,0,06/06/2013
437271,Archant South West,Development Managment,Advertising General,160773,440,0,06/06/2013
437271,Archant South West,Public Health,Advertising General,160773,1683,0,06/06/2013
437271,Archant South West,Development Managment,Advertising General,160775,660,0,06/06/2013
437271,Archant South West,Development Managment,Advertising General,161454,1100,0,20/06/2013
437271,Archant South West,Planning Policy,Advertising General,161454,726,0,20/06/2013
437271,Archant South West,Car Parks,Advertising General,162437,374,0,11/07/2013
437271,Archant South West,Development Managment,Advertising General,162437,1024,0,11/07/2013
437271,Archant South West,Car Parks,Advertising General,162438,198,0,11/07/2013
437271,Archant South West,Development Managment,Advertising General,162438,880,0,11/07/2013
437271,Archant South West,Development Managment,Advertising General,162642,880,0,18/07/2013
437271,Archant South West,Development Managment,Advertising General,163385,660,0,05/08/2013
437271,Archant South West,Capital Public Halls Pavilion,Advertising General,164095,176,0,19/08/2013
437271,Archant South West,Development Managment,Advertising General,164095,440,0,19/08/2013
437271,Archant South West,Planning Policy,Advertising General,164095,858,0,19/08/2013
437271,Archant South West,Development Managment,Advertising General,164176,660,0,19/08/2013
437271,Archant South West,Development Managment,Advertising General,164548,616,0,30/08/2013
437271,Archant South West,Public Halls,Advertising General,164806,535,0,09/09/2013
437271,Archant South West,Development Managment,Advertising General,165237,1320,0,16/09/2013
437271,Archant South West,Development Managment,Advertising General,165238,660,0,16/09/2013
437271,Archant South West,Development Managment,Advertising General,165740,660,0,26/09/2013
437271,Archant South West,Development Managment,Advertising General,165741,1188,0,26/09/2013
437271,Archant South West,Development Managment,Advertising General,166220,660,0,07/10/2013
437271,Archant South West,Development Managment,Advertising General,166434,660,0,10/10/2013
437271,Archant South West,Development Managment,Advertising General,167550,660,0,07/11/2013
437271,Archant South West,Development Managment,Advertising General,168528,1320,0,03/12/2013
437271,Archant South West,Growth Point,Advertising General,168528,300,0,03/12/2013
437271,Archant South West,Development Managment,Advertising General,169092,660,0,13/12/2013
437271,Archant South West,Development Managment,Advertising General,169888,440,0,09/01/2014
437271,Archant South West,Planning Policy,Advertising General,169888,1188,0,09/01/2014
437271,Archant South West,Development Managment,Advertising General,170722,660,0,27/01/2014
437271,Archant South West,Economic Development,Advertising General,170722,154,0,27/01/2014
437271,Archant South West,Development Managment,Advertising General,170723,1760,0,27/01/2014
437271,Archant South West,Development Managment,Advertising General,171446,1100,0,10/02/2014
437271,Archant South West,Development Managment,Advertising General,171647,1540,0,13/02/2014
437271,Archant South West,Org Development Services,Advertising General,171647,245,0,13/02/2014
437271,Archant South West,Development Managment,Advertising General,172037,2640,0,24/02/2014
437271,Archant South West,Legal Services,Advertising General,172037,176,0,24/02/2014
437271,Archant South West,Development Managment,Advertising General,172038,220,0,24/02/2014
437271,Archant South West,Planning Policy,Advertising General,172038,594,0,24/02/2014
437271,Archant South West,Development Managment,Advertising General,172724,660,0,11/03/2014
437271,Archant South West,Development Managment,Advertising General,173393,1276,0,24/03/2014
437271,Archant South West,Development Managment,Advertising General,173394,440,0,24/03/2014
437271,Archant South West,Economic Development,Advertising General,173394,154,0,24/03/2014
437271,Archant South West,Development Managment,Advertising General,173396,14051.74,0,24/03/2014
437271,Archant South West,Development Managment,Advertising General,173397,660,0,24/03/2014
437271,Archant South West,Economic Development,Advertising General,173397,352,0,24/03/2014
437271,Archant South West,Hsg And Council Tax Admin,Advertising General,173397,3520,0,24/03/2014
388888,Architects Design Group,Corporate Buildings,Consultancy=Advice,169507,1477.05,0,03/01/2014
138012,Architecture Centre Devon & Cornwall,Development Managment,Consultancy=Advice,165236,2365,0,16/09/2013
138012,Architecture Centre Devon & Cornwall,Development Managment,Consultancy=Advice,167998,2200,0,21/11/2013
138012,Architecture Centre Devon & Cornwall,Growth Point,Consultancy=Advice,169330,5500,0,20/12/2013
138012,Architecture Centre Devon & Cornwall,Development Managment,Consultancy=Advice,170721,1650,0,27/01/2014
138012,Architecture Centre Devon & Cornwall,Development Managment,Consultancy=Advice,172035,1375,0,24/02/2014
213465,Arlo Green Design & Marketing Ltd,Capital Parks And Pleasure Grn,Property Contractors,162233,4308.6,0,08/07/2013
169467,Arturus Architects Llp,Economic Development,Consultancy=Advice,171488,1850,0,10/02/2014
887000,Arval Uk Limited,Public Conveniences,Van Lease,163611,3745.41,0,08/08/2013
439313,Ascot Doors Ltd,Sports Centres And Swim Pools,Property Maintenance Ad Hoc,167226,731.19,0,31/10/2013
82,Ashfords,Hsg And Council Tax Admin,Legal Fees,161116,994.6,0,13/06/2013
82,Ashfords,Hsg And Council Tax Admin,Legal Fees,170149,550,0,16/01/2014
30666,Ashton Cleaning Services Sw,Public Halls,Property Cleansing Service,165713,607.5,0,30/09/2013
598372,A S Mooring Services,Water Safety,Non Property Contractors,161567,4227.05,0,24/06/2013
598372,A S Mooring Services,Coastal Protection Revenue,Property Contractors,173555,535.34,0,28/03/2014
813281,Astra Printing Group,Financial Services,External Printing,170400,1034.65,0,03/02/2014
264183,At 90 Degrees Ltd,Corporate Buildings,Non Property Contractors,163424,4950,0,05/08/2013
444755,Atamis Ltd,Financial Services,It Software Purchase/Upgrade,173530,8550,0,28/03/2014
456900,Ats Euromaster Limited,Street Cleansing,Tyres,173592,635.65,0,28/03/2014
557552,Audit Commission,Public Accountability,Audit Fees,160958,1150,0,24/06/2013
405051,Autoglass,Payments In Advance,Ins Repairs To Vehicle,165993,611.78,0,03/10/2013
1447,Avoncrop Amenity Products Ltd,Sports Grounds,Materials,157570,637.5,0,04/04/2013
1447,Avoncrop Amenity Products Ltd,Sports Grounds,Materials Land And Build,160322,1521,0,06/06/2013
1447,Avoncrop Amenity Products Ltd,Sports Grounds,Materials Land And Build,160323,1014,0,10/06/2013
1447,Avoncrop Amenity Products Ltd,Sports Grounds,Materials Land And Build,160450,775.76,0,30/05/2013
1447,Avoncrop Amenity Products Ltd,Sports Grounds,Materials Land And Build,160451,771.6,0,30/05/2013
1447,Avoncrop Amenity Products Ltd,Sports Grounds,Materials Land And Build,160587,2877.42,0,20/06/2013
1447,Avoncrop Amenity Products Ltd,Sports Grounds,Materials Land And Build,160588,2859.57,0,06/06/2013
