Entity,Posted Date,Merchant name, Amount ,Description
Core Defra,13/01/2012,EAST OF ENGLAND AMB         01603 422724 ,£586.80,Training course for one person
Core Defra,17/01/2012,TRIBE HOTEL LTD          NAIROBI      ,£977.31,Accommodation for one for four nights to attend Intergovernmental Platform on Biodiversity and Ecosystem Services meeting in Nairobi
Core Defra,17/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,108.26",Air fare for one person attending the Effects of Geo-engineering on Bio-diversity meeting in Adis Ababa 
Core Defra,17/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,064.86",Air fare for one person attending the Effects of Geo-engineering on Bio-diversity meeting in Montreal 
Core Defra,17/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,596.76",Air fare for one person attending the Effects of Geo-engineering on Bio-diversity meeting in Sau Paulo 
Core Defra,17/01/2012,NATIONAL SCHOOL OF GOVERNMENT   ASCOT        ,£740.00,Training course for one
Core Defra,17/01/2012,NATIONAL SCHOOL OF GOVERNMENT   ASCOT        ,£740.00,Training course for one
Core Defra,17/01/2012,CLARION ADMIRAL          BERGEN       ,£531.70,Accommodation for one for four nights to attend the Coastal States meeting on North East Atlantic mackerel in Bergen
Core Defra,17/01/2012,IBISWORLD LTD            LONDON W6    ,£594.00,IBIS World research on Second Hand Goods Stores Publication
Core Defra,17/01/2012,WWW.CIPS.ORG             01780 761515 ,£972.00,Training course for one
Core Defra,17/01/2012,IACCM                    2034318741   ,£523.68,Training course for one
Core Defra,19/01/2012,PREMIER INN44512655      EUSTON       ,£610.00,"Accommodation for delegation, for four nights attending the EU-funded Global Network for Anmial Disease Research (STAR-IDAZ) global research network launch meeting and EMIDA research coordination network dissemination conference.  Covered by EU project funds."
Core Defra,19/01/2012,PREMIER INN44512655      EUSTON       ,£725.50,Accommodation for delegation for five nights attending the EU-funded Global Network for Anmial Disease Research  (STAR-IDAZ) global research network launch meeting and Coordination of European Research on Emerging and Major Infectious Diseases of Livestock (EMIDA) research coordination network dissemination conference.  Covered by EU project funds.
Core Defra,19/01/2012,KENYAAIR                 NAIROBI      ,£728.81,Air fare for delegation attending the EU-funded Global Network for Anmial Disease Research (STAR-IDAZ) global research network launch meeting.  Covered by EU project funds.
Core Defra,19/01/2012,CONTINENTAL 0052174546489LONDON       ,£920.73,Air fare for delegation attending the EU-funded Global Network for Anmial Disease Research (STAR-IDAZ) global research network launch meeting.  Covered by EU project funds.
Core Defra,19/01/2012,AMATHUS BEACH HOTEL      LIMASSOL     ,£968.42,Hospitality for twenty five people relating to EU funded Coordination of European Research on Emerging and Major Infectious Diseases of Livestock (EMIDA ERA-NET) coordination project research call recommendation meeting and Collaborative Working Group meetings - covered by EU grant
Core Defra,19/01/2012,AMATHUS BEACH HOTEL      LIMASSOL     ,£880.58,Hospitality for twenty five people relating to EU funded Global Network for Anmial Disease Research (EMIDA ERA-NET) coordination project research call recommendation meeting and Collaborative Working Group meetings in Limassol - covered by EU grant
Core Defra,19/01/2012,AMATHUS BEACH HOTEL      LIMASSOL     ,£857.76,Accommodation for for one person for six nights - attending the Global Network for Anmial Disease Research (EMIDA ERA-NET) research call recommendation meeting and collaborative working meeting and subgroup meetings in Limassol - covered by EU grant for Global Network for Anmial Disease Research (EMIDA ERA-NET) coordination project.
Core Defra,19/01/2012,AMATHUS BEACH HOTEL      LIMASSOL     ,£546.64,"Accommodation and meals for delegation, for four nights attending the Global Network for Anmial Disease Research (EMIDA ERA-NET) research call recommendation meeting and collaborative working meetings in Limassol "
Core Defra,19/01/2012,UNIVERSITY OF ABERDEEN   ABERDEEN     ,"£3,099.25",Science Advisory Panel conference fees and expenses.
Core Defra,19/01/2012,HOTEL IBIS               READING      ,£500.00,Facilities hire for Waste infrastructure Delivery Programme event on Private Finance Initiative  projects
Core Defra,19/01/2012,HOTEL IBIS               READING      ,£700.00,Facilities hire for Waste infrastructure Delivery Programme event on Private Finance Initiative  projects
Core Defra,19/01/2012,HOTEL IBIS               READING      ,£800.00,Facilities hire for Waste infrastructure Delivery Programme event on Private Finance Initiative  projects
Core Defra,19/01/2012,QA-IQ LTD                SLOUGH       ,£960.00,Training course for one
Core Defra,23/01/2012,DOD`S PARLIAMENTARY COMPANION   LONDON  SE1  ,£576.00,Training course for one
Core Defra,23/01/2012,STEPHANIE WHEELER ASSOCIATION   WANTAGE      ,"£1,043.04",Training course for four
Core Defra,25/01/2012,CHATHAM HOUSE            LONDON SW1Y  ,"£1,459.50",Food Security 2011 Conference fees for two people
Core Defra,26/01/2012,REDFERN TRAVEL LTD       BRADFORD     ,£566.43,Rail Fare for two people attending the Environment Council Meeting in Brussels
Core Defra,26/01/2012,CROWNE PLAZA             PORT GHALEB  ,£764.45,"Accommodation for one person for ten nights attending the Meeting of the Parties to the Montreal Protocol on Substances that Deplete the Ozone Layer,  in Port Ghalib, Egypt."
Core Defra,27/01/2012,B S R I A                BRACKNELL    ,"£1,074.00",DEFRA 's annual membership of the Building Service Research and Information Association Benchmarking club.
Core Defra,27/01/2012,EAST ANGLIA RAIL         0845 600 7245,£642.10,Rail fare for four people to attend bioenergy meeting and Home Grown Cereals Authority workshop.
Core Defra,27/01/2012,PAYPAL  IMAGEBOX         35314369001  ,£560.45,Furnishing items for Nobel house waiting area
Core Defra,27/01/2012,MILLMOLL LTD             BELVEDERE    ,"£1,595.15",Furniture hire for Departmental awards. 
Core Defra,27/01/2012,SERCO DEFENCE SCIENCE    YORK         ,£834.00,Training course for one person. 
Core Defra,27/01/2012,FAIRMONT QUEEN ELIZABETH MONTREAL     ,£884.09,Accommodation for one person for seven nights attending the Working Group on Ocean Fertilisation under the auspices of the London Dumping Convention in Montreal .
Core Defra,27/01/2012,RADISSON SAS             OSLO         ,£516.87,Accommodation for one person for three nights attending the Forest Europe Ministerial meeting in Oslo.
Core Defra,02/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,157.28",Single air travel and single rail travel for two people attending the Agri-Environment Council in Brussels.
Core Defra,06/02/2012,SWEET & MAXWELL          MAIL ORDER   ,£670.00,Legal Library
Core Defra,06/02/2012,SWEET & MAXWELL          MAIL ORDER   ,"£1,043.00",Legal Library
Core Defra,06/02/2012,JOHN SMITH & SON         RINGWOOD     ,£569.00,Legal Library
Core Defra,06/02/2012,JOHN SMITH & SON         RINGWOOD     ,"£1,010.00",Legal Library
Core Defra,06/02/2012,LEXISNEXIS UK            LONDON       ,£599.97,Legal Library
Core Defra,06/02/2012,SWEET & MAXWELL          MAIL ORDER   ,£545.00,Legal Library
Core Defra,06/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,330.09","Return air fare for one person attending the Conferences of Parties to the Basel Convention on the Control of Transboundary Movements of Hazardous Waste and their disposal in Cartagena, Columbia"
Core Defra,06/02/2012,BRITISH A   1252460732897 HEATHROW    ,"£2,405.50",Return air fare for one person attending the Conference of the Parties to the UN Convention to Combat Desertification (UNCCD) in Buenos Aires
Core Defra,10/02/2012,STATIONERY OFFICE BOOK   LONDON SW8   ,£500.00,Parliamentary Statutory Instrument publication
Core Defra,14/02/2012,TRIBE HOTEL LTD          NAIROBI      ,"£1,129.87",Accommodation for one person staying seven nights attending the United Nations Environment Programme 3rd Intergovernmental Negotiating Committee for a global Legally Binding Instrument on mercury in Nairobi
Core Defra,14/02/2012,BRITISH A   1252485274992LONDON       ,"£1,818.23","Air travel for one person to United States Government hosted Intergovernmental Science-policy Platform on Biodiversity and Ecosystem Services (IPBES) Workshop in Anapolis, Maryland, US"
Core Defra,14/02/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£683.50,"Return rail travel for five people attending a ""Future of FERA"" workshop in York"
Core Defra,16/02/2012,WINDERMERE HOTEL         LONDON       ,£630.00,Accommodation for three people staying two nights attending several meetings in London
Core Defra,16/02/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,"£1,196.92",Rail travel for six people attending Annual Career Home Conference.
Core Defra,16/02/2012,NAT SCHOOL OF GOVERNME   ASCOT        ,"£1,300.00",Training course for two people for three days
Core Defra,16/02/2012,NAT SCHOOL OF GOVERNME   ASCOT        ,"£1,300.00",Training course for two people for three days
Core Defra,16/02/2012,NAT SCHOOL OF GOVERNME   ASCOT        ,"£1,300.00",Training course for two people for three days
Core Defra,16/02/2012,DEFRA FOSSE HOUSE        YORK         ,£652.50,Hospitality costs for 58 delegates attending the Green House Gas Platform Project - to be reimbursed
Core Defra,16/02/2012,DEFRA FOSSE HOUSE        YORK         ,£652.50,Hospitality costs for 90 delegates attending the Green House Gas Platform Project  to be reimbursed 
Core Defra,16/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,£597.24,Return air fare for one person attending a meeting on Common Fisheries Policy (CFP) Reform in Copenhagen and Council Working Group discussions on CFP in Brussels.
Core Defra,16/02/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£775.98,Return rail travel for three people attending a transactional service workshop in Weybridge
Core Defra,16/02/2012,GOVNET COMMUNICATI       MANCHESTER   ,£534.00,Training course for one person
Core Defra,16/02/2012,R.H.S MEDIA              PETERBOROUGH ,"£1,020.00",Facilities cost for UK Chemicals Stakeholder Forum at the Royal Horticultral Society. 
Core Defra,16/02/2012,RS CHEMISTRY/ACCOUNTS    CAMBRIDGE    ,"£2,500.00","Defra's contribution for 60 people attending the Royal Society of Chemistry/UK Chemicals Stakeholder Forum workshop on 29 March on socio-economic assessment for Registration, Evaluation and Authorisation of Chemicals (REACH) Authorisation"
Core Defra,16/02/2012,TWO TOMORROWS(EURO       LONDON W1U   ,£600.00,Three day training course for one person
Core Defra,16/02/2012,WWW.CIPS.ORG             01780 761515 ,£852.00,Training course for one person
Core Defra,20/02/2012,OFFICE FOR NAT STATS     NEWPORT      ,£504.00,"Payment for data provided by Office of National Statistics, Economics Library"
Core Defra,20/02/2012,WWW.IGC.ORG.UK           0207 5131122 ,£500.00,"Subscription to International Grains Council (IGC) Journal, Economics Library"
Core Defra,20/02/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£775.80,Rail travel for three people attending a workshop at Kew  from York
Core Defra,20/02/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£533.09,Rail travel  for two people attending a workshop at Weybridge from York
Core Defra,20/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,£693.08,Return air fare for one person attending a two day workshop on Global Network on Animal Disease Research in Delhi 
Core Defra,20/02/2012,FIRST GTR WESTERN        BRISTOL      ,£580.60,Train tickets  (Bristol to London) for two people attending various meetings in London
Core Defra,20/02/2012,BRITISH A   1252485503356LONDON       ,£913.56,Return air travel for one person attending the Convention on Biological Diversity (CBD) in Montreal 
Core Defra,20/02/2012,EXPEDIA CO UK            0871 226 0808,"£1,258.38",Return air travel for one person attending the National Biodiversity Strategies and Action Plans meeting in Brasilia
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,20/02/2012,OPODO ID 0013785298      WWW.OPODO.CO.,"£2,478.51",Return air travel for one person to attend a meeting to discuss establishment of Intergovernmental Science-policy Platform on Biodiversity and Ecosystem Services (IPBES) in Panama 
Core Defra,20/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,123.66","Air travel for one person to discuss agriculture and the US presidency of the G8 in Washington, USA"
Core Defra,22/02/2012,CENTRAL HALL WESTM       LONDON SW1H  ,"£1,800.00",Facilities costs for meeting with European Commission Food and Veterinary Office (FVO)
Core Defra,22/02/2012,WWW.GALAHOTELS.COM       ISTANBUL     ,£689.59,Accommodation for one person for six nights attending the Convention on International Trade in Endangered Species (CITES) meeting in Istanbul
Core Defra,22/02/2012,GOVNET COMMUNICATI       MANCHESTER   ,"£1,020.00",Training course for two people
Core Defra,22/02/2012,CILIP.ORG.UK             LONDON  WC1E ,£602.00,Membership fees for 3 staff for the Chartered Institute of Library and Information Professionals (CILIP) 
Core Defra,22/02/2012,CLARION ADMIRAL          BERGEN       ,£516.79,Accommodation for one person for four nights attending North East Atlantic mackerel stock negotiations  in Bergen
Core Defra,22/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,£853.77,Air fare for one person attending the Geo-engineering meeting held in London travelling from USA
Core Defra,22/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,426.09",Air fare for one person attending the Geo-engineering meeting held in London travelling from USA
Core Defra,22/02/2012,PITMAN TRAINING  C       LONDON WC1V  ,£772.32,Training course for two people
Core Defra,22/02/2012,NOVOTEL MONTPAR 4510573  75PARIS 15   ,£635.81,Accommodation for one person for four nights attending World Organisation for Animal Health (OIE) general session meeting in Paris
Core Defra,24/02/2012,CMS                      KEMPLEY      ,£666.00,"Conference fee for three people attending the Insurance, Communities, Flood Risk – What will the future hold? conference"
Core Defra,24/02/2012,GOVNET COMMUNICATI       MANCHESTER   ,£534.00,Training course for one person
Core Defra,24/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,£623.93,Air travel for one person attending a 'Life' meeting in Brussels
Core Defra,24/02/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£706.46,Rail travel for delegation attending the Olympic regional cabinet in York
Core Defra,24/02/2012,OPODO ID 0013785849      WWW.OPODO.CO.,"£2,447.41",Return air fare for one person attending the Intergovernmental science-policy Platform on Biodiversity and Ecosystem Services (IPBES) Plenary Meeting in Panama City.
Core Defra,28/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,318.04",Air fare for one person attending the Rio+20 negotiation in New York 
Core Defra,28/02/2012,REDFERN TRAVEL LTD       BRADFORD     ,£595.69,Return air travel for one person to attend the Agricultural and Fisheries Council in Luxembourg
Core Defra,28/02/2012,PARK PLAZA WESTMINSTER BRLONDON       ,£500.00,Accommodation for one person for three nights attending Interserve Strategic Review contract discussions in London
Core Defra,28/02/2012,"PARK PLAZA COUNTY HALL HOLONDON, .    ",£500.00,Accommodation for one person for three nights attending Interserve Strategic Review contract discussions in London
Core Defra,28/02/2012,PARK PLAZA WESTMINSTER BRLONDON       ,£500.00,Accommodation for one person for three nights attending Interserve Strategic Review contract discussions in London
Core Defra,01/03/2012,TRFSA   TCD SMG          08456009355  ,£649.69,Legal Library
Core Defra,01/03/2012,WWW.AES.AC.UK            01295 750182 ,£792.00,Conference fees for seven people attending the annual Agricultural Economics Society (AES)
Core Defra,01/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£567.52,Return air travel to attend the Oslo and Paris Convention for the Protection of the North East Atlantic (Ospar) Biodiversity Committee meeting in Brest
Core Defra,01/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,313.34",Return air travel to attend the UN Environmental Programme Governing Council (UNEP) in Nairobi
Core Defra,01/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,313.33",Return air travel for one person attending the UN Environmental Programme Governing Council (UNEP) in Nairobi
Core Defra,01/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£889.18,Air travel for one person attending the Geo-engineering meeting in London travelling from USA
Core Defra,01/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,788.80",Air travel for one person attending the Geo-engineering meeting in London travelling from USA
Core Defra,05/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£800.61,Rail travel for three people attending a Council Working Group meeting on a Single Common Market Organisation in Brussels 
Core Defra,07/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,459.20",Return air travel for one person attending the Intergovernmental Platform for the Biodiversity and Ecosystem Service Science and policy interface plenary meeting in Panama
Core Defra,07/03/2012,WESTLANDS HOTELS LIMITED NAIROBI      ,£686.72,Accommodation for one person staying five nights attending the United Nations Environment Programme General Council meeting in Nairobi
Core Defra,07/03/2012,MILLENNIUM UN PLAZA      NEW YORK     ,£867.64,Accommodation for one person staying five nights attending the Rio intersessional meeting in New York
Core Defra,07/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,257.41",Return air travel for one person attending the Rio intersessional in New York
Core Defra,07/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,202.89",Return air travel for one person attending the Rio intersessional meeting in New York
Core Defra,07/03/2012,FOCUS PROJECT MGMNT (E   INTERNET     ,"£1,434.00",Training course for one person
Core Defra,07/03/2012,WINDMILL VILLAGE HOTEL   COVENTRY     ,£909.55,Accommodation and meals for two people staying four nights attending six sigma training in Coventry
Core Defra,07/03/2012,COMFORT HOLBERG          BERGEN       ,£538.28,Accommodation for one person staying three nights attending the Discard Ban Meeting in Bergen 
Core Defra,07/03/2012,BRITISH A   1252486023601LONDON       ,£913.86,"Return air travel for one person attending the Convention on Biological Diversity's Subsiduary Body on Scientific, Technical and Technological Advice (CBD SBSTTA-16) and Working Group on the Review of the Implementation of the Convention (WGRI-4) meetings in Montreal."
Core Defra,07/03/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£749.19,Return rail travel for three people from York attending Customer Away Day in London 
Core Defra,07/03/2012,THE CINNAMON CLUB        LONDON       ,£777.94,Hospitality costs for twelve people attending a working dinner on Green Growth
Core Defra,07/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,692.68",Air travel to attend the UN Environmental Programme General Council (UNEP) meeting in Nairobi
Core Defra,07/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£2,998.51",Air travel to attend the UN Environmental Programme General Council (UNEP) meeting in Nairobi
Core Defra,07/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£673.04,Air travel to attend the UN Environmental Programme General Council (UNEP) meeting in Nairobi
Core Defra,09/03/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£614.31,Return rail travel for four people attending the UK Marine Protected Areas meeting in Edinburgh
Core Defra,09/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£1,222.80",Return air travel for one person attending a Convention on Biological Diversity (CBD) seminar on Finance for Biodiversity in Quito Ecuador
Core Defra,09/03/2012,WWW.CIMAGLOBAL/BPP       08450751100  ,£644.40,Training course for one person
Core Defra,09/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,"£3,239.48",Return air travel for one person attending Global Workshop on Biodiversity in Brazil 
Core Defra,09/03/2012,EXPEDIA CO UK            0871 226 0808,"£3,233.95",Return air travel for person attending a joint UK-Brazil National Biodiversity Strategy and Action Plan workshop in Brasilia
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,NOVOTEL LEEDS CENTRE     LEEDS .      ,£500.00,Facilities hire for public inquiry for Sites of Special Scientific Interest (SSSI) appeal
Core Defra,09/03/2012,EUROSTAR INTERNET        LONDON       ,£580.00,Return rail travel for two people attending the Ecodesign meeting on Professional Refrigeration products in Brussels 
Core Defra,09/03/2012,NAT SCHOOL OF GOVERNMENT   ASCOT        ,"£1,570.00",Training course for one person 
Core Defra,09/03/2012,GOVNET COMMUNICATION       MANCHESTER   ,£534.00,Training course for one person 
Core Defra,09/03/2012,EC MAINLINE CO T/O       YORK 8263    ,£552.50,Return rail travel for one person attending various meetings in London and Newcastle
Core Defra,09/03/2012,NOVOTEL MONTPAR 4510573  75PARIS 15   ,£804.64,Accomodation for one person staying five nights attending World Organisation for Animal Health (OIE) general session meeting in Paris
Core Defra,09/03/2012,WWW.REDFERN-TRAVEL.COM   INTERNET     ,£539.18,Return rail travel for two people attending various meetings in London
Core Defra,09/03/2012,FIRST GTR WESTERN        BRISTOL      ,£519.65,Return rail travel for four people attending various meetings in London 
Core Defra,09/03/2012,PACKAGE                  69LYON 6EME  ,£767.53,Accommodation for two people staying two nights attending the World Water Forum in Marseille 
Core Defra,09/03/2012,BPP PROF EDUCATION       08450751100  ,£555.00,Training course for one person  
Core Defra,09/03/2012,BPP PROF EDUCATION       08450751100  ,£560.00,Training course for one person  
Core Defra,09/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£527.41,Return rail travel for two people attending the Working Group on Rural Development meeting in Brussels
Core Defra,09/03/2012,HOLIDAY INN              BRUSSELS     ,£532.96,Accommodation for two people staying three nights attending Working Group on Rural Development meeting in Brussels
Core Defra,13/03/2012,THE VINCENT ROOMS        LONDON SW1P  ,£708.88,Hospitality for 17 people attending a working dinner for the Green Food Project Steering Group
Core Defra,13/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£513.06,Return air travel for one person attending the Inter-Departmental meeting on Electronic Reporting Systems (ERS). 
Core Defra,13/03/2012,REDFERN TRAVEL LTD       BRADFORD     ,£541.74,Return air travel for one person attending the Inter-Departmental meeting on Electronic Reporting Systems (ERS). 
Core Defra,13/03/2012,CAPITA BUS SVS-MOTO      LONDON       ,"£2,040.00",Training course for two people
Core Defra,13/03/2012,L'AMIRAUTE     0108849   BREST        ,£583.52,Accommodation for one person staying for five nights attending Oslo and Paris Convention for the Protection of the North East Atlantic (Ospar) Biodiversity Committee meeting in Brest
Core Defra,13/03/2012,GOVNET COMMUNICATI       MANCHESTER   ,£534.00,Training course for one person
Core Defra,13/03/2012,BPP PROF EDUCATION       08450751100  ,£500.00,Training course for one person
Core Defra,13/03/2012,GOVNET COMMUNICATI       MANCHESTER   ,£594.00,Training course for one person
Core Defra,13/03/2012,WWW.CIMAGLOBAL/BPP       08450751100  ,"£1,501.20",Two day training course for one person
Core Defra,13/03/2012,L'AMIRAUTE     0108849   BREST        ,£583.52,Accommodation for one person staying five nights attending the Biodiversity Committee for the protection of marine environment of the North East Atlantic in Brest
