Id,Indicator,CollectionFrequency,YearType,Year,Total,Apr,May,Jun,Q1,Jul,Aug,Sep,Q2,Oct,Nov,Dec,Q3,Jan,Feb,Mar,Q4,Polarity
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2018/2019,5.72,4.9,4.8,4.1,4.1,5.17,5.12,4.94,4.94,5,4.86,4.52,4.52,4.98,5.31,5.72,5.72,Up is Good
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2019/2020,4.87,5.1,5.06,5.2,5.2,5.16,5.14,4.84,4.84,4.67,4.4,3.85,3.85,3.82,3.94,4.87,4.87,Up is Good
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2020/2021,5.36,5.31,5.96,5.69,5.69,5.87,6.45,7.14,7.14,7.7,7.45,7.93,7.93,7.12,5.97,5.36,5.36,Up is Good
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2021/2022,8.26,5.67,5.48,6.07,6.07,5.39,6.13,5.75,5.75,6.8,6.57,6.96,6.96,7.87,7.84,8.26,8.26,Up is Good
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2022/2023,11.99,7.81,7.74,7.45,7.45,7.3,8.2,8.67,8.67,9.32,9.85,10.53,10.53,11.44,11.11,11.99,11.99,Up is Good
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2023/2024,11.23,11.53,11.6,12.22,12.22,12.04,11.12,10.64,10.64,11.08,11.33,11.68,11.68,11.39,11.56,11.23,11.23,Up is Good
ASC01f,Percentage of reviews that result in a recommendation to reduce level of formal care and support (rolling 12 months),Monthly,Financial Year,2024/2025,,11.26,10.98,10.85,10.85,,,,,,,,,,,,,Up is Good
ASC14,Total number of Adults receiving paid packages of care - (Snapshot),Monthly,Financial Year,2019/2020,2123,2149,2134,2135,2135,2166,2196,2209,2209,2187,2170,2169,2169,2169,2143,2123,2123,Neutral
ASC14,Total number of Adults receiving paid packages of care - (Snapshot),Monthly,Financial Year,2020/2021,2158,2154,2161,2209,2209,2199,2226,2258,2258,2250,2253,2222,2222,2154,2147,2158,2158,Neutral
ASC14,Total number of Adults receiving paid packages of care - (Snapshot),Monthly,Financial Year,2021/2022,2037,2153,2176,2179,2179,2164,2132,2123,2123,2111,2106,2084,2084,2068,2063,2037,2037,Neutral
ASC14,Total number of Adults receiving paid packages of care - (Snapshot),Monthly,Financial Year,2022/2023,2090,2034,2057,2071,2071,2076,2096,2114,2114,2090,2092,2068,2068,2064,2073,2090,2090,Neutral
ASC14,Total number of Adults receiving paid packages of care - (Snapshot),Monthly,Financial Year,2023/2024,2065,2070,2090,2082,2082,2097,2089,2088,2088,2091,2087,2078,2078,2052,2063,2065,2065,Neutral
ASC14,Total number of Adults receiving paid packages of care - (Snapshot),Monthly,Financial Year,2024/2025,,2052,2076,2089,2089,,,,,,,,,,,,,Neutral
ASCOF1B1a,Percentage of people who use services who have control over their daily life - Disabled People (ASC User Survey),Annual,Financial Year,2017/2018,75,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1a,Percentage of people who use services who have control over their daily life - Disabled People (ASC User Survey),Annual,Financial Year,2018/2019,79,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1a,Percentage of people who use services who have control over their daily life - Disabled People (ASC User Survey),Annual,Financial Year,2019/2020,76,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1a,Percentage of people who use services who have control over their daily life - Disabled People (ASC User Survey),Annual,Financial Year,2020/2021,80,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1a,Percentage of people who use services who have control over their daily life - Disabled People (ASC User Survey),Annual,Financial Year,2021/2022,79,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1a,Percentage of people who use services who have control over their daily life - Disabled People (ASC User Survey),Annual,Financial Year,2022/2023,78,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1b,Percentage of people who use services who have control over their daily life - Older People (ASC User Survey),Annual,Financial Year,2017/2018,68,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1b,Percentage of people who use services who have control over their daily life - Older People (ASC User Survey),Annual,Financial Year,2018/2019,73,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1b,Percentage of people who use services who have control over their daily life - Older People (ASC User Survey),Annual,Financial Year,2019/2020,72,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1b,Percentage of people who use services who have control over their daily life - Older People (ASC User Survey),Annual,Financial Year,2020/2021,73,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1b,Percentage of people who use services who have control over their daily life - Older People (ASC User Survey),Annual,Financial Year,2021/2022,71,,,,,,,,,,,,,,,,,Up is Good
ASCOF1B1b,Percentage of people who use services who have control over their daily life - Older People (ASC User Survey),Annual,Financial Year,2022/2023,77,,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2011/2012,73.1,,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2012/2013,63.2,,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2013/2014,82.6,,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2014/2015,91.8,,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2015/2016,82.6,81.8,81.8,82,81.9,81.9,81.7,81.7,81.8,81.6,81.5,81.3,81.5,81.6,81.6,84.2,82.47,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2016/2017,82.26,84.1,84.3,84.5,84.3,84.68,84.29,84,84.32,84.16,81.44,81.72,82.44,79.33,79.76,80.65,79.91,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2017/2018,82,80.18,79.7,79.7,79.86,79.59,79.41,79.01,79.33,78.96,78.41,77.53,78.29,77.31,77.29,77.07,77.22,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2018/2019,81.4,77.12,77.12,76.23,76.82,76.31,76.38,76.38,76.36,76.13,76.28,76.05,76.15,74.93,74.93,74.93,74.93,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2019/2020,81.8,,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2020/2021,84.1,NA,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2021/2022,84.8,,,,,,,,,,,,,,,,,Up is Good
ASCOF1G,Proportion of adults with a learning disability who live in their own home or with family,Annual,Financial Year,2022/2023,84.4,,,,,,,,,,,,,,,,,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2011/2012,53.9,,,,,,,,,,,,,,,,,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2012/2013,63.9,,,,,,,,,,,,,,,,,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2013/2014,68.7,,,,,,,,,,,,,,,,,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2014/2015,55.1,,,,,,,,,,,,,,,,,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2015/2016,28.5,,,,,,,,,,,,,,,,,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2016/2017,39.21,20.22,20.53,21.26,20.69,37.55,38.05,38.97,38.19,44.67,46.49,46.22,45.83,50.46,52.64,53.24,52.14,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2017/2018,69,48,47,52,49,58,67,70,57,79,81,81,65,82,82,83,69,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2018/2019,84,83,83,84,83,86,86,85,85,85,84,83,84,83,83,82,84,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2019/2020,80,84,82,82,83,81,81,80,82,80,80,80,81,79,78,77,80,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2020/2021,73,78,77,76,77,75,73,72,75,73,71,71,74,71,71,68,73,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2021/2022,46,53,53,51,52,48,47,45,47,45,44,44,44,42,41,41,41,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2022/2023,34,40,39,36,38,37,35,35,37,35,35,34,36,32,31,25,35,Up is Good
ASCOF1H,"Proportion of adults in contact with secondary mental health services living independently, with or without support (New definition from 2021/22)",Monthly,Financial Year,2023/2024,,30,24,30,28,30,24,24,27,23,22,22,25,21,20,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2013/2014,43,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2014/2015,46.6,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2015/2016,45.8,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2016/2017,49.5,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2017/2018,44.5,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2018/2019,43.4,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2019/2020,45.5,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2020/2021,35.4,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2021/2022,39.7,,,,,,,,,,,,,,,,,Up is Good
ASCOF1I1,Proportion of people who use services who reported that they had as much social contact as they would like,Annual,Financial Year,2022/2023,41.3,,,,,,,,,,,,,,,,,Up is Good
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2011/2012,7,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2012/2013,7.7,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2013/2014,11.5,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2014/2015,9.9,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2015/2016,11.3,2.28,2.28,3.05,3.05,3.81,6.09,7.61,7.61,8.37,9.9,10.66,10.66,13.7,14.46,16.75,16.75,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2016/2017,11.18,0.75,0.75,2.25,2.25,3,3,3.76,3.76,5.26,6.01,8.26,8.26,9.01,11.27,11.27,11.27,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2017/2018,15.7,1.49,3.73,4.47,4.47,5.96,6.71,7.45,7.45,8.95,11.93,13.42,13.42,14.16,15.65,16.4,16.4,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2018/2019,10.4,3.73,5.22,6.71,6.71,7.45,7.45,8.95,8.95,11.18,12.67,14.16,14.16,15.65,15.65,15.65,15.65,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2019/2020,19.2,2.98,4.47,7.45,7.45,8.95,11.18,12.67,12.67,13.42,14.91,14.91,14.91,16.4,19.38,19.38,19.38,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2020/2021,13.3,2.24,3.73,5.22,5.22,5.22,7.45,9.69,9.69,11.93,11.93,13.42,13.42,14.16,14.91,14.91,14.91,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2021/2022,22.1,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A1,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults)",Annual,Financial Year,2022/2023,16.4,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A1a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults) - (Monthly Snapshot)",Monthly,Financial Year,2015/2016,11.42,2.28,0,0.76,3.05,0.76,2.28,1.52,4.57,0.76,1.52,0.76,3.05,3.05,0.76,2.28,6.09,Up is Bad
ASCOF2A1a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults) - (Monthly Snapshot)",Monthly,Financial Year,2016/2017,11.27,0.75,0,1.5,2.25,0.75,0,0.75,1.5,1.5,0.75,2.25,4.5,0.75,2.25,0,3,Up is Bad
ASCOF2A1a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults) - (Monthly Snapshot)",Monthly,Financial Year,2017/2018,15.7,1.49,2.24,0.75,4.48,1.49,0.75,0.75,2.98,1.49,2.98,1.49,5.96,0.75,1.49,0.75,2.99,Up is Bad
ASCOF2A1a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults) - (Monthly Snapshot)",Monthly,Financial Year,2018/2019,10.4,3.73,1.49,1.49,6.71,0.75,0,1.49,2.24,2.24,1.49,1.49,5.22,1.49,0,0,1.49,Up is Bad
ASCOF2A1a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults) - (Monthly Snapshot)",Monthly,Financial Year,2019/2020,NC,2.98,1.49,2.98,7.45,1.49,2.24,1.49,5.22,0.75,1.49,0,2.24,1.49,2.98,0,4.47,Up is Bad
ASCOF2A1a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults) - (Monthly Snapshot)",Monthly,Financial Year,2020/2021,NC,2.24,1.49,1.49,5.22,0,2.24,2.24,4.47,2.24,0,1.49,3.73,0.75,0.75,0,1.49,Up is Bad
ASCOF2A1a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (younger adults) - (Monthly Snapshot)",Monthly,Financial Year,2021/2022,,1.49,1.49,4.47,7.45,2.24,1.49,1.49,5.22,,,,,,,,,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2011/2012,608.4,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2012/2013,617.7,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2013/2014,767.5,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2014/2015,630.8,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2015/2016,683.1,76.8,126.17,202.97,202.97,255.08,312.68,394.96,394.96,430.62,474.51,543.08,543.08,606.16,658.27,713.13,713.13,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2016/2017,647.8,91.8,148.5,189,189,251.1,299.7,372.6,372.6,407.7,456.3,515.7,515.7,569.7,629.1,669.6,669.6,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2017/2018,649.4,45.32,95.97,162.62,162.62,215.94,287.92,349.23,349.23,394.55,447.87,546.51,546.51,586.49,634.48,655.81,655.81,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2018/2019,668.6,93.31,186.61,239.93,239.93,303.91,354.56,399.88,399.88,466.53,517.18,567.83,567.83,623.82,645.14,671.8,671.8,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2019/2020,539.6,58.65,130.63,181.28,181.28,261.26,317.24,346.57,346.57,378.56,418.54,453.2,453.2,495.85,530.51,546.51,546.51,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2020/2021,347.3,29.32,42.65,71.98,71.98,106.64,146.62,191.94,191.94,221.27,261.26,333.24,333.24,378.56,415.88,458.53,458.53,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2021/2022,499,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A2,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people)",Annual,Financial Year,2022/2023,479.5,,,,,,,,,,,,,,,,,Up is Bad
ASCOF2A2a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people) - (Monthly Snapshot)",Monthly,Financial Year,2015/2016,693.93,76.8,49.37,76.8,202.97,52.11,57.6,82.28,191.99,35.66,43.88,68.57,148.11,63.08,52.11,54.86,170.05,Up is Bad
ASCOF2A2a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people) - (Monthly Snapshot)",Monthly,Financial Year,2016/2017,656.1,91.8,56.7,40.5,189,62.1,48.6,72.9,183.6,35.1,48.6,59.4,143.1,54,59.4,40.5,153.9,Up is Bad
ASCOF2A2a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people) - (Monthly Snapshot)",Monthly,Financial Year,2017/2018,649.4,45.32,50.65,66.65,162.62,53.32,71.98,61.32,186.62,45.32,53.32,98.64,197.28,39.99,47.99,21.33,109.31,Up is Bad
ASCOF2A2a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people) - (Monthly Snapshot)",Monthly,Financial Year,2018/2019,668.6,93.31,93.31,53.32,239.93,63.98,50.65,45.32,159.95,66.65,50.65,50.65,167.95,55.98,21.33,26.66,103.97,Up is Bad
ASCOF2A2a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people) - (Monthly Snapshot)",Monthly,Financial Year,2019/2020,NC,58.65,71.98,50.65,181.28,79.98,55.98,29.32,165.28,31.99,39.99,34.66,106.64,31.99,34.66,16,82.64,Up is Bad
ASCOF2A2a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people) - (Monthly Snapshot)",Monthly,Financial Year,2020/2021,NC,29.32,13.33,29.32,71.98,34.66,39.99,45.32,119.96,29.32,39.99,71.98,141.29,45.32,37.32,42.65,125.3,Up is Bad
ASCOF2A2a,"Long-term support needs met by admission to residential and nursing care homes, per 100,000 population (older people) - (Monthly Snapshot)",Monthly,Financial Year,2021/2022,,42.65,50.65,47.99,141.29,50.65,39.99,16,106.64,,,,,,,,,Up is Bad
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2011/2012,100,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2012/2013,69.8,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2013/2014,80.9,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2014/2015,81.5,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2015/2016,75.7,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2016/2017,79.25,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2017/2018,92.5,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2018/2019,83,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2019/2020,80.6,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2020/2021,84.8,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2021/2022,88.2,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B1,Proportion of older people (65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Annual,Financial Year,2022/2023,83.6,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B2,Proportion of older people (65 and over) who were offered reablement services following discharge from hospital,Annual,Financial Year,2011/2012,0.4,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B2,Proportion of older people (65 and over) who were offered reablement services following discharge from hospital,Annual,Financial Year,2012/2013,0.7,,,,,,,,,,,,,,,,,Up is Good
ASCOF2B2,Proportion of older people (65 and over) who were offered reablement services following discharge from hospital,Annual,Financial Year,2013/2014,1.1,,,,,,,,,,,,,,,,,Up is Good
