"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Regions Group: West Midlands","DFE-2406","Grade 7 - National","51357","59332","Manager - Regions Group: West Midlands Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","School Rebuilding","DFE-2568","HEO - London","34031","37494","Higher Executive Officer - School Rebuilding HEO-London","2.00","Other","London"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2502","HEO - London","34031","37494","Higher Executive Officer - Digital Delivery - Schools HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Customer Service","DFE-2334","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Business Operations & Transformation SEO-North East","3.00","Other","North East"
"Department for Education","Department for Education","Workforce Skills, Strategy and Inclusion","DFE-2457","HEO - National","30332","33371","Higher Executive Officer - Workforce Skills, Strategy and Inclusion HEO-Yorkshire and The Humber","1.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Skills Programme Development","DFE-2197","Senior Executive Officer - National","37593","41506","Senior Executive Officer - FE Provider Infrastructure​ SEO-Yorkshire and The Humber","5.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Financial Business Partnering: Schools and Families","DFE-2479","Grade 6 - National","62540","69061","Job Share - Manager - Financial Business Partnering: Schools and Families Grade 6-North East","1.00","Other","North East"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","Grade 7 - National","51357","59332","Manager - Ministerial and Public Communications Division Grade 7-North East","2.00","Other","North East"
"Department for Education","Department for Education","Regions Group: East Midlands","DFE-2144","Grade 6 - National","62540","69061","Manager - Regions Group: East Midlands Grade 6-Yorkshire and The Humber","4.43","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Commercial School Resource Management (Protected)","DFE-2354","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Commercial School Resource Management (Protected) SEO-North East","9.00","Other","North East"
"Department for Education","Department for Education","Regions Group: South East","DFE-2439","Grade 7 - London","55022","63601","Job Share - Manager - Regions Group: South East Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Adoption, Family Justice and Care Leavers","DFE-2458","HEO - National","30332","33371","Higher Executive Officer - Adoption, Family Justice and Care Leavers HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","School Rebuilding","DFE-2568","Grade 7 - London","55022","63601","Manager - School Rebuilding Grade 7-London","2.00","Other","London"
"Department for Education","Department for Education","Improvement and Insight","DFE-2223","HEO - London","34031","37494","Higher Executive Officer - Improvement and Insight HEO-London","2.00","Other","London"
"Department for Education","Department for Education","Technical Education & Qualification Reforms","DFE-2093","Grade 7 - National","51357","59332","Manager - Technical Education & Qualification Reform​s Grade 7-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Strategy, Funding and CR Sponsor","DFE-2564","EO: EO (Experienced) - London","30562","30562","Job Share - Executive Officer - Strategy, Funding and CR Sponsor EO-London","0.62","Other","London"
"Department for Education","Department for Education","Private Office","DFE-2257","EO: EO (Experienced) - London","30562","30562","Job Share - Executive Officer - Private Office EO-London","1.00","Other","London"
"Department for Education","Department for Education","Strategic Analysis, Research, Data, Intelligence & Science (SARDIS)","DFE-2534","SEO (Senior Research Officer) - National","43249","47560","Senior Executive Officer - Families Analysis SEO-Yorkshire and The Humber","11.38","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","DFE-2130","Grade 7 - London","55022","63601","Manager - Supporting and Rewarding Teachers and Leaders Grade 7-London","5.46","Other","London"
"Department for Education","Department for Education","London & South East Territorial Team","DFE-2489","Grade 7 - London","55022","63601","Job Share - Manager - London & South East Territorial Team Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Commercial Specialist - Skills SEO-Yorkshire and The Humber","4.00","Other","Yorkshire and The Humber"
"Department for Education","Education and Skills Funding Agency","Operational Delivery – South & East","DFE-2085","Grade 7 - London","55022","63601","Manager - Operational Delivery – South & East Grade 7-London","8.00","Other","London"
"Department for Education","Department for Education","STEM","DFE-2316","Senior Executive Officer - London","41435","45875","Senior Executive Officer - STEM SEO-London","1.66","Other","London"
"Department for Education","Department for Education","Skills Bootcamps","DFE-2091","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Skills Bootcamps SEO (On Leave)-London","1.00","Other","London"
"Department for Education","Department for Education","Corporate Assurance and Academy Returns","DFE-2185","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Corporate Assurance and Academy Returns SEO-London","3.00","Other","London"
"Department for Education","Department for Education","SEND Improvement and Intervention","DFE-2383","Grade 6 - National","62540","69061","Manager - SEND Improvement and Intervention Grade 6-Yorkshire and The Humber","2.68","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Data Protection Office","DFE-2411","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Knowledge and Information Management SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Adoption, Family Justice and Care Leavers","DFE-2458","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Adoption, Family Justice and Care Leavers SEO-Yorkshire and The Humber","5.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Customer Service","DFE-2334","HEO - London","34031","37494","Higher Executive Officer - Customer Experience Digital & Technology Directorate Support HEO-London","3.00","Other","London"
"Department for Education","Department for Education","Performance and Major Projects","DFE-2417","EO: EO (Experienced) - London","30562","30562","Executive Officer - Performance and Major Projects EO-London","1.00","Other","London"
"Department for Education","Department for Education","Early Years Quality Recovery and Welfare","DFE-2240","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Early Years Workforce and Quality SEO-London","4.00","Other","London"
"Department for Education","Department for Education","Capital","DFE-2242","Grade 6 - National","62540","69061","Manager - Free Schools, FE and Skills Grade 6-Yorkshire and The Humber","3.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2563","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Regions Group: East of England SEO-London","4.85","Other","London"
"Department for Education","Department for Education","Innovation, Practice and Digital","DFE-2010","Grade 7 - National","51357","59332","Manager - Innovation, Practice and Digital Grade 7-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Education and Skills Funding Agency","School Resource Management","DFE-2089","HEO - London","34031","37494","Higher Executive Officer - School Resource Management HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Data Protection Office","DFE-2411","SEO (Information Officer) - National","43249","47560","Job Share - Senior Executive Officer - Knowledge and Information Management SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","EO: EO (Experienced) - London","30562","30562","Job Share - Executive Officer - Ministerial and Public Communications Division EO-London","1.00","Other","London"
"Department for Education","Department for Education","Further Education Provider Oversight","DFE-2394","Grade 7 - London","55022","63601","Manager - Further Education Provider Oversight Grade 7-London","6.00","Other","London"
"Department for Education","Department for Education","Innovation, Practice and Digital","DFE-2010","Grade 7 - London","55022","63601","Manager - Innovation, Practice and Digital Grade 7-London","4.00","Other","London"
"Department for Education","Department for Education","T - Level Delivery ​","DFE-2156","Grade 7 - London","55022","63601","Job Share - Manager - T - Level Delivery ​ Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Regions Group: East Midlands","DFE-2144","Grade 7 - National","51357","59332","Manager - Regions Group: East Midlands Grade 7-Yorkshire and The Humber","7.86","Other","Yorkshire and The Humber"
"Department for Education","Education and Skills Funding Agency","Operational Excellence","DFE-2292","EO: EO (Experienced) - National","26936","26936","Executive Officer - Operational Excellence EO-North East","2.64","Other","North East"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2563","HEO - London","34031","37494","Higher Executive Officer - Regions Group: East of England HEO-London","5.64","Other","London"
"Department for Education","Education and Skills Funding Agency","Specialist Restructuring","DFE-2173","SEO (Accountant) - National","43793","48150","Senior Executive Officer - Specialist Restructuring SEO-North East","7.49","Other","North East"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","Grade 7 - London","55022","63601","Manager - Independent Education and School Safeguarding Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Free Schools, FE and Skills","DFE-2003","Grade 6 - London","65783","73146","Manager - Free Schools, FE and Skills Grade 6-Unknown","45.24","Other","Unknown"
"Department for Education","Department for Education","Data Protection Office","DFE-2411","HEO - National","30332","33371","Higher Executive Officer - Knowledge and Information Management HEO-Yorkshire and The Humber","1.80","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","Senior Executive Officer - National","37593","41506","Job Share - Senior Executive Officer - Regions Group: National SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","Grade 7 - National","51357","59332","Manager - Central Analysis Unit Grade 7-Yorkshire and The Humber","4.50","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Adoption, Family Justice and Care Leavers","DFE-2458","EO: EO (Experienced) - National","26936","26936","Executive Officer - Adoption, Family Justice and Care Leavers EO (On Leave)-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: London","DFE-2217","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Regions Group: London SEO-London","10.95","Other","London"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2502","Senior Executive Officer - National","37593","41506","Job Share - Senior Executive Officer - Digital Delivery - Funding Services SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Social Work Workforce","DFE-2558","HEO - London","34031","37494","Higher Executive Officer - Social Work Workforce HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Digital Delivery 1","DFE-2504","EO: EO (Experienced) - London","30562","30562","Executive Officer - Digital Delivery - Teacher Services EO-London","4.00","Other","London"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Schools System Accountability SEO-London","2.55","Other","London"
"Department for Education","Department for Education","Technical Education & Qualification Reforms","DFE-2093","Grade 6 - National","62540","69061","Manager - Technical Education & Qualification Reforms​ Grade 6-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Life Skills","DFE-2456","Grade 7 - National","51357","59332","Manager - Life Skills Grade 7-Yorkshire and The Humber","1.75","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","SEND AP System Outcomes and Experiences","DFE-2353","Senior Executive Officer - National","37593","41506","Senior Executive Officer - SEND AP System Outcomes and Experiences SEO-Yorkshire and The Humber","2.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","Grade 7 - London","55022","63601","Manager - Regions Group: CSC National Programme Grade 7-London","2.00","Other","London"
"Department for Education","Department for Education","FE - South West and South Territory","DFE-2508","Grade 7 - National","51357","59332","Manager - South West and South Territorial Team Grade 7-Unknown","6.60","Other","Unknown"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","Grade 7 - National","51357","59332","Manager - Regions Group: National Grade 7-North East","4.76","Other","North East"
"Department for Education","Department for Education","Skills Policy Analysis​","DFE-2520","SEO (Statistical Officer) - London","46604","51910","Senior Executive Officer - Skills Policy Analysis​ SEO-London","5.00","Other","London"
"Department for Education","Department for Education","Data Operations","DFE-2366","Grade 7 - London","55022","63601","Manager - Data Operations Grade 7-London","2.83","Other","London"
"Department for Education","Department for Education","Data Engineering","DFE-2392","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Data Engineering SEO-Yorkshire and The Humber","3.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Regions Group: National SEO-London","9.00","Other","London"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","EO: EO (Experienced) - London","30562","30562","Executive Officer - Regions Group: National EO-London","5.90","Other","London"
"Department for Education","Department for Education","SEND AP System Outcomes and Experiences","DFE-2353","HEO - London","34031","37494","Higher Executive Officer - SEND AP System Outcomes and Experiences EO-London","1.00","Other","London"
"Department for Education","Department for Education","Outcomes of Children with a Social Worker","DFE-2347","HEO - London","34031","37494","Higher Executive Officer - Outcomes of Children with a Social Worker HEO-London","0.69","Other","London"
"Department for Education","Department for Education","Customer Experience Digital & Technology Directorate Support","DFE-2124","EO: EO (Experienced) - London","30562","30562","Executive Officer - Customer Experience Digital & Technology Directorate Support EO-London","0.58","Other","London"
"Department for Education","Department for Education","Strategy and Operations Financial Management","DFE-2199","SEO (Accountant) - London","47752","52498","Senior Executive Officer - Strategy and Operations Financial Management SEO-London","3.00","Other","London"
"Department for Education","Department for Education","Regions Group: South East","DFE-2439","Grade 6 - London","65783","73146","Manager - Regions Group: South East Grade 6-London","4.00","Other","London"
"Department for Education","Department for Education","Regions Group: North East","DFE-2056","Grade 7 - National","51357","59332","Manager - Regions Group: North East Grade 7-North East","9.00","Other","North East"
"Department for Education","Department for Education","Behaviour, Exclusions and School Food","DFE-2232","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Behaviour, Exclusions and School Food SEO-North East","2.60","Other","North East"
"Department for Education","Department for Education","Free Schools Policy and Programme","DFE-2346","Grade 6 - London","65783","73146","Job Share - Manager - Free Schools Policy and Programme Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","School Rebuilding","DFE-2222","Grade 6 - London","65783","73146","Manager - School Rebuilding Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","Higher Education Strategy and Portfolio","DFE-2239","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Higher Education Strategy and Portfolio SEO-North East","2.91","Other","North East"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2563","Grade 6 - National","62540","69061","Manager - Regions Group: East of England Grade 6-East Of England","2.00","Other","East Of England"
"Department for Education","Department for Education","Northern Territorial Team & ESF","DFE-2332","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Northern Territorial Team & ESF SEO-Unknown","7.72","Other","Unknown"
"Department for Education","Department for Education","Becoming a Teacher","DFE-2539","Grade 7 - London","55022","63601","Manager - Becoming a Teacher Grade 7-London","4.00","Other","London"
"Department for Education","Department for Education","Capital","DFE-2242","Grade 6 - National","62540","69061","Job Share - Manager - Free Schools, FE and Skills Grade 6-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","SINs and Multi-Agency Safeguarding","DFE-2299","HEO - London","34031","37494","Higher Executive Officer - SINs and Multi-agency Safeguarding HEO-London","3.00","Other","London"
"Department for Education","Department for Education","Behaviour, Exclusions and School Food","DFE-2232","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Behaviour, Exclusions and School Food SEO-London","7.06","Other","London"
"Department for Education","Department for Education","Northern Territorial Team & ESF","DFE-2332","Grade 7 - National","51357","59332","Manager - Northern Territorial Team & ESF Grade 7-Unknown","15.70","Other","Unknown"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2563","HEO - National","30332","33371","Higher Executive Officer - Regions Group: East of England HEO-East Of England","1.64","Other","East Of England"
"Department for Education","Department for Education","Workforce Skills, Strategy and Inclusion","DFE-2457","HEO - National","30332","33371","Higher Executive Officer - Workforce Skills, Strategy and Inclusion HEO-North East","4.81","Other","North East"
"Department for Education","Standard and Testing Agency","Assessment Operations and Services","DFE-2057","HEO - National","30332","33371","Higher Executive Officer - Assessment Operations and Services HEO-West Midlands","7.00","Other","West Midlands"
"Department for Education","Department for Education","Pupil Premium and Curriculum Support","DFE-2324","Grade 7 - National","51357","59332","Manager - Pupil Premium and Curriculum Support Grade 7-Yorkshire and The Humber","2.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","End User Compute Services","DFE-2461","Grade 7 - National","51357","59332","Manager - End User Compute Services Grade 7-West Midlands","3.00","Other","West Midlands"
"Department for Education","Department for Education","Technical Standards","DFE-2208","Grade 7 - National","51357","59332","Manager - Technical Standards Grade 7-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Central Capital Unit","DFE-2228","Grade 6 - London","65783","73146","Manager - Central Capital Unit Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","EO: EO (Experienced) - National","26936","26936","Executive Officer - Commercial Specialist - Schools EO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Customer Experience & Design","DFE-2478","HEO - National","30332","33371","Higher Executive Officer - Customer Experience & Design HEO-West Midlands","1.00","Other","West Midlands"
