Jun-23,,,,,
,,,,,
Organisation Name,Supplier (Beneficiary),Procurement (Merchant) Category,Purchase Date,Settlement Date,Gross Amount (£)
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,14/06/2023,16.07.2023,28.99
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",14/06/2023,16.07.2023,-0.47
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,14/06/2023,16.07.2023,28.2
Stockport MBC,ASDA STORES,"GROCERY STORES, SUPERMARKETS",13/06/2023,16.07.2023,63.5
Stockport MBC,BKG HOTEL AT BOOKING.C,TRAVEL AGENCIES AND TOUR OPERATORS,13/06/2023,16.07.2023,219
Stockport MBC,SOUTH,CATERERS,13/06/2023,16.07.2023,158.7
Stockport MBC,KAPLAN FINANCIAL LTD,"SCHOOLS, BUSINESS AND SECRETARIAL",13/06/2023,16.07.2023,94
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",13/06/2023,16.07.2023,7.78
Stockport MBC,SAINSBURYS SMKTS,"GROCERY STORES, SUPERMARKETS",13/06/2023,16.07.2023,36
Stockport MBC,AUTH0.COM,COMPUTER SOFTWARE STORES,13/06/2023,16.07.2023,9.9
Stockport MBC,MARKS&SPENCER PLC,"GROCERY STORES, SUPERMARKETS",13/06/2023,16.07.2023,35
Stockport MBC,AMAZON.CO.UK JP3V02AA5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,13/06/2023,16.07.2023,4.25
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",13/06/2023,16.07.2023,16.69
Stockport MBC,SHEIN.COM,MEN'S AND WOMEN'S CLOTHING STORES,13/06/2023,16.07.2023,31.98
Stockport MBC,ALDI 84 773,"GROCERY STORES, SUPERMARKETS",13/06/2023,16.07.2023,68.88
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,13/06/2023,16.07.2023,12.99
Stockport MBC,AMAZON.CO.UK HA7KB9185,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,13/06/2023,16.07.2023,15.57
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",13/06/2023,16.07.2023,0.95
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,12/06/2023,16.07.2023,11.98
Stockport MBC,AMAZON.CO.UK XS2LB4RO5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,13/06/2023,16.07.2023,39.95
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,13/06/2023,16.07.2023,11.96
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,13/06/2023,16.07.2023,82.5
Stockport MBC,REVIVE YOUR MOBILE,ELECTRONIC REPAIR SHOPS,12/06/2023,16.07.2023,25
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",12/06/2023,16.07.2023,103.68
Stockport MBC,TESCO STORES 5128,"GROCERY STORES, SUPERMARKETS",12/06/2023,16.07.2023,11.14
Stockport MBC,POWERLEAGUE,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),12/06/2023,16.07.2023,30
Stockport MBC,KR & JD POOLE LIMITED,MISCELLANEOUS AND SPECIALTY RETAIL STORES,12/06/2023,16.07.2023,4.63
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,12/06/2023,16.07.2023,65.41
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",12/06/2023,16.07.2023,99.15
Stockport MBC,PRIME VIDEO  4W5CF0KD5,RECORD SHOPS,12/06/2023,16.07.2023,5.99
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",12/06/2023,16.07.2023,68.89
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",12/06/2023,16.07.2023,-0.65
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,11/06/2023,16.07.2023,79.98
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,12/06/2023,16.07.2023,107.96
Stockport MBC,ZOOM.US 888-799-9666,TELECOM INCL PREPAID/RECURRING PHONE SVCS,11/06/2023,16.07.2023,12.99
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",11/06/2023,16.07.2023,4.7
Stockport MBC,AMAZON PRIME UV9Q502E5,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,11/06/2023,16.07.2023,8.99
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,11/06/2023,16.07.2023,99.9
Stockport MBC,GOOGLE ADS8179771860,ADVERTISING SERVICES,11/06/2023,16.07.2023,500
Stockport MBC,FASTHOSTS,COMPUTER NETWORK/INFORMATION SERVICES,10/06/2023,16.07.2023,39.47
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",10/06/2023,16.07.2023,5.66
Stockport MBC,TIMPSON LTD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,10/06/2023,16.07.2023,75
Stockport MBC,TIMPSON LTD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,10/06/2023,16.07.2023,67.5
Stockport MBC,LINKEDIN ADS 127264264,ADVERTISING SERVICES,10/06/2023,16.07.2023,21.5
Stockport MBC,NETFLIX.COM,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS",10/06/2023,16.07.2023,15.99
Stockport MBC,MCDONALDS,"EATING PLACES, RESTAURANTS",09/06/2023,16.07.2023,13.25
Stockport MBC,WWW.CONTENTFUL.COM,COMPUTER SOFTWARE STORES,09/06/2023,16.07.2023,521.97
Stockport MBC,AMBA HOTEL MARBLE ARCH,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",09/06/2023,16.07.2023,219
Stockport MBC,AMBA HOTEL MARBLE ARCH,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",09/06/2023,16.07.2023,219
Stockport MBC,AMBA HOTEL MARBLE ARCH,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",09/06/2023,16.07.2023,219
Stockport MBC,AMBA HOTEL MARBLE ARCH,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",09/06/2023,16.07.2023,219
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",09/06/2023,16.07.2023,20.55
Stockport MBC,AMBA HOTEL MARBLE ARCH,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",09/06/2023,16.07.2023,219
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,09/06/2023,16.07.2023,19.96
Stockport MBC,CORUS HOTEL HYDE PARK,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",09/06/2023,16.07.2023,164
Stockport MBC,DECATHLON,SPORTING GOODS STORES,09/06/2023,16.07.2023,47.98
Stockport MBC,AMBA HOTEL MARBLE ARCH,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",09/06/2023,16.07.2023,219
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,09/06/2023,16.07.2023,81.42
Stockport MBC,WWW.ARGOS.CO.UK,DEPARTMENT STORES,09/06/2023,16.07.2023,34.99
Stockport MBC,EB  REVIEWING THE BIG,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,09/06/2023,16.07.2023,144
Stockport MBC,AMAZON.CO.UK 3U2CG8EI5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,09/06/2023,16.07.2023,10
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,09/06/2023,16.07.2023,77.62
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",08/06/2023,16.07.2023,20.42
Stockport MBC,STOCKPORT T/O,PASSENGER RAILWAYS,08/06/2023,16.07.2023,14.6
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",08/06/2023,16.07.2023,10.49
Stockport MBC,TRAINSPLIT,PASSENGER RAILWAYS,08/06/2023,16.07.2023,21
Stockport MBC,GOOGLE ADS8179771860,ADVERTISING SERVICES,08/06/2023,16.07.2023,500.01
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",08/06/2023,16.07.2023,2.75
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",08/06/2023,16.07.2023,59.4
Stockport MBC,ATLASSIAN,COMPUTER SOFTWARE STORES,08/06/2023,16.07.2023,417.17
Stockport MBC,AMAZON.CO.UK 278W458S5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,08/06/2023,16.07.2023,56.95
Stockport MBC,PREMIER INN,PREMIER INN,07/06/2023,16.07.2023,106.89
Stockport MBC,FASTHOSTS,COMPUTER NETWORK/INFORMATION SERVICES,07/06/2023,16.07.2023,6.94
Stockport MBC,NETS AJPRODUCTS.CO.U,OFFICE AND COMMERCIAL FURNITURE,07/06/2023,16.07.2023,156
Stockport MBC,WWW.ARGOS.CO.UK,DEPARTMENT STORES,07/06/2023,16.07.2023,100.95
Stockport MBC,DREAMHOUSE INC,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",07/06/2023,16.07.2023,"2,000.00"
Stockport MBC,NHS SUPPLYCHAIN PORTAL,"HEALTH PRACTITIONERS, MEDICAL SRVCS-NOT ELSEWHERE",07/06/2023,16.07.2023,136.5
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",07/06/2023,16.07.2023,13.75
Stockport MBC,WHITE PEAK ALPACAS,"PIECE GOODS,NOTIONS,AND OTHER DRY GOODS",07/06/2023,16.07.2023,150
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",07/06/2023,16.07.2023,19.52
Stockport MBC,B&M 518 - EDGELEY,MISCELLANEOUS GENERAL MERCHANDISE,07/06/2023,16.07.2023,26
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",07/06/2023,16.07.2023,24.59
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,07/06/2023,16.07.2023,18.55
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",07/06/2023,16.07.2023,4.65
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",07/06/2023,16.07.2023,109.62
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",07/06/2023,16.07.2023,-5.39
Stockport MBC,ASDA SUPERSTORE,"GROCERY STORES, SUPERMARKETS",07/06/2023,16.07.2023,12.5
Stockport MBC,B&M 518 - EDGELEY,MISCELLANEOUS GENERAL MERCHANDISE,07/06/2023,16.07.2023,-26
Stockport MBC,PREMIER INN,PREMIER INN,06/06/2023,16.07.2023,118.49
Stockport MBC,FASTHOSTS,COMPUTER NETWORK/INFORMATION SERVICES,06/06/2023,16.07.2023,6.94
Stockport MBC,POST OFFICE COUNTER,POSTAL SERVICES-GOVERNMENT ONLY,06/06/2023,16.07.2023,80
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,06/06/2023,16.07.2023,6.5
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,06/06/2023,16.07.2023,33.01
Stockport MBC,ASDA SUPERSTORE,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,10.24
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,06/06/2023,16.07.2023,108.92
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,3.85
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,5
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,6.6
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,10.6
Stockport MBC,AMAZON PRIME W67733QE5,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,06/06/2023,16.07.2023,8.99
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,49.42
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,16.65
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",06/06/2023,16.07.2023,-12.6
Stockport MBC,PREMIER INN,PREMIER INN,05/06/2023,16.07.2023,95.99
Stockport MBC,PREMIER INN,PREMIER INN,05/06/2023,16.07.2023,75
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,05/06/2023,16.07.2023,13.99
Stockport MBC,AUTH0.COM,COMPUTER SOFTWARE STORES,05/06/2023,16.07.2023,165.31
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",05/06/2023,16.07.2023,25.8
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",05/06/2023,16.07.2023,89.07
Stockport MBC,STOCKPORT METROPOLITAN,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,05/06/2023,16.07.2023,633.96
Stockport MBC,ALDI 84 773,"GROCERY STORES, SUPERMARKETS",05/06/2023,16.07.2023,57
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",05/06/2023,16.07.2023,4.6
Stockport MBC,PPOINT_ BEACON NEWS 31,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",05/06/2023,16.07.2023,3.78
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",05/06/2023,16.07.2023,76.8
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,05/06/2023,16.07.2023,55.68
Stockport MBC,ASDA STORES,"GROCERY STORES, SUPERMARKETS",04/06/2023,16.07.2023,8.6
Stockport MBC,DISNEY PLUS,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS",03/06/2023,16.07.2023,7.99
Stockport MBC,SAINSBURY'S S/MKTS,"GROCERY STORES, SUPERMARKETS",03/06/2023,16.07.2023,9.66
Stockport MBC,TESCO STORES 5128,"GROCERY STORES, SUPERMARKETS",03/06/2023,16.07.2023,24
Stockport MBC,CANVA  03805-9676023,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",03/06/2023,16.07.2023,99.99
Stockport MBC,AWS EMEA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,03/06/2023,16.07.2023,"1,360.10"
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",02/06/2023,16.07.2023,4.32
Stockport MBC,TOTALLY T SHIRTS LTD,MEN'S AND WOMEN'S CLOTHING STORES,02/06/2023,16.07.2023,150
Stockport MBC,ALDI 84 773,"GROCERY STORES, SUPERMARKETS",02/06/2023,16.07.2023,23.28
Stockport MBC,BKG HOTEL AT BOOKING.C,TRAVEL AGENCIES AND TOUR OPERATORS,02/06/2023,16.07.2023,397
Stockport MBC,TRAINLINE.COM,PASSENGER RAILWAYS,02/06/2023,16.07.2023,298.35
Stockport MBC,THE Z HOTEL VICTORIA,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",01/06/2023,16.07.2023,220
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,01/06/2023,16.07.2023,189.5
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,01/06/2023,16.07.2023,-188
Stockport MBC,TRAINLINE,PASSENGER RAILWAYS,01/06/2023,16.07.2023,189.5
