UID,Council,Contract Status,Classification,Name,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date, Annual Contract Value (average) , Value ,Supplier Name,Company Registration Number,Postcode,Supplier Type,Customer Name
10004,Rochdale Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Short breaks – Sunday Sports Provision (Term Time),-, Contract,01/02/2020,30/09/2023,-,"£79,282.25","£79,282.25",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,-,"Rochdale Borough Council, RBC - Children's Services"
9242,Rochdale Borough Council,Live (On-going),190000 - Facilities & Management Services,Servicing of Passenger and Goods Lifts,Call Off (External), Contract,01/03/2021,28/02/2025,-,"£13,295.00","£53,180.00",Caledonian Lifts Ltd,SC590708 -,ML4 3GF,-,"Rochdale Borough Council, RBC - Neighbourhoods"
5284,Rochdale Borough Council,Live (On-going),190000 - Facilities & Management Services,Servicing of Fire Alarms and Emergency Lighting within various Educational Establishments and Public Buildings 2018 - 2020,OJEU Tender, Contract,01/09/2019,31/08/2021,-,"£134,349.16","£537,396.60",GTM Electrical Services,-,x,-,"Rochdale Borough Council, RBC - Neighbourhoods"
5289,Rochdale Borough Council,Live (On-going),190000 - Facilities & Management Services,Servicing and Maintenance to BMS Controls at various sites within Rochdale,RBS - Low/Med - Simple (RFQ), Contract,01/06/2020,31/05/2024,-,"£35,452.50","£71,574.26",Syntax Controls Ltd,4722984,M20 3BN,-,"Rochdale Borough Council, RBC - Neighbourhoods"
5134,Rochdale Borough Council,Live (On-going),192213 - Facilities & Management Services - Security - Manned Guarding,Security Manned Guarding at Number One Riverside & Green Lane ,OJEU Tender, Contract,15/04/2019,14/04/2022,-,"£198,448.87","£764,013.80",The Exclusec Group Ltd,-,BL1 4TQ,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9376,Rochdale Borough Council,Live (On-going),371300 - Utilities - Water,Supply of Water and Ancillary Services,Call Off (External), Call-off Contract,01/09/2021,31/08/2024,-,"£559,180.00","£1,677,540.00",Wave,3017251,EH7 4NS,-,"Rochdale Borough Council, RBC - Neighbourhoods"
8499,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,Secondary Data Centre Infrastructure,Mini Competition (External), Call-off Contract,01/04/2020,31/03/2025,-,"£74,060.00","£370,300.00",European Electronique,-,OX29 4TT,-,"Rochdale Borough Council, RBC - Neighbourhoods"
10223,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Provision of Mobility and Orientation Services,RBS - Med/High - Advanced (Open), Contract,01/01/2021,31/12/2024,-,"£12,000.00","£36,000.00",Guide Dogs for The Blind,291646, RG7 3YG,-,"Rochdale Borough Council, RBC - Adult Services"
6221,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Performance Management System,Exemption, Contract,01/09/2018,31/12/2023,-,"£22,910.00","£54,730.00",Ideagen PLC,-,x,-,"Rochdale Borough Council, RBC - Resources"
9032,Rochdale Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Supply and Installation of Modular Build Ramps,Modification, Call-off Contract,01/04/2021,31/03/2025,-,"£50,000.00","£100,000.00",A&K Building Services Ltd,4607167,M8 5DT,-,Rochdale Borough Council
8722,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,On Demand Technology Skills Development Platform Enterprise Licences,Call Off (External), Call-off Contract,09/10/2020,08/10/2022,-,"£15,910.00","£63,643.32",Pluralsight LLC,-,x,-,"Rochdale Borough Council, RBC - Neighbourhoods"
4036,Rochdale Borough Council,Live (On-going),271400 - Information Communication Technology - Office & Reprographics Equipment,Multi-functional devices (MFD’s) 2,Mini Competition (External), Call-off Contract,01/06/2018,31/05/2024,-,"£180,000.00","£969,400.00",Xerox (UK) Ltd,575914,M12 6LB,-,"Rochdale Borough Council, RBC - Neighbourhoods"
3989,Rochdale Borough Council,Live (On-going),201800 - Financial Services - Insurance,"Lots: 2,3,5,7,8,10 and 13 of Rochdale Council Insurance tender UID 3566",OJEU Tender, Contract,01/06/2017,31/05/2020,-,"£697,267.00","£3,486,335.00",Risk Management Partners Ltd,-,EC3V 9LJ,-,"Rochdale Borough Council, RBC - Resources"
8212,Rochdale Borough Council,Live (On-going),200000 - Financial Services,RM6118: Payment Acceptance,Call Off (External), Call-off Contract,01/10/2020,30/09/2023,30/09/2024,"£44,701.96","£134,105.90",Global Payments Limited,-,x,-,"Rochdale Borough Council, RBC - Resources"
5241,Rochdale Borough Council,Live (On-going),190000 - Facilities & Management Services,Lift Service and Maintenance,RBS - Med/High - Advanced (Open), Call-off Contract,01/11/2019,31/10/2023,-,"£45,000.00","£170,000.00",Sheridan Lifts Ltd,5286889,M40 8FY,-,"Rochdale Borough Council, RBC - Adult Services"
801,Rochdale Borough Council,Live (On-going),291200 - Arts & Leisure Services - Outsourced Service,Leisure Partner,OJEU Tender, Contract,01/04/2007,31/03/2022,-,"£4,000,000.00","£60,000,000.00",Link4Life,-,x,-,"Rochdale Borough Council, RBC - Resources"
3396,Rochdale Borough Council,Live (On-going),271501 - Information Communication Technology - Services,Jobs Website,Exemption, Contract,01/11/2016,31/10/2024,-,"£5,104.25","£20,417.00",Wigan Council,-,x,-,Rochdale Borough Council
3830,Rochdale Borough Council,Live (On-going),271600 - Information Communication Technology - Software - Customised & Bespoke,Integrated Education Case Management System,Call Off (External), Call-off Contract,14/07/2017,13/07/2024,13/07/2024,"£71,000.00","£355,000.00",Liquidlogic Ltd,-,LS25 1NB,-,"Rochdale Borough Council, RBC - Neighbourhoods"
8457,Rochdale Borough Council,Live (On-going),150000 - Consultancy,Insurance Brokerage Services - Rochdale 2,Call Off (External), Contract,01/11/2019,31/10/2022,31/10/2023,"£1,500.00","£3,000.00",Arthur J Gallagher Insurance Brokers Limited,-,x,-,"Rochdale Borough Council, RBC - Resources"
8902,Rochdale Borough Council,Live (On-going),271501 - Information Communication Technology - Services,Rochdale CCTV Monitoring Centre,Call Off (External), Call-off Contract,08/07/2021,08/07/2024,-,"£152,473.00","£457,421.00",Synectics Security Ltd,-,NG9 5JN,-,"Rochdale Borough Council, RBC - Neighbourhoods"
6372,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,Income Management Payments System - Rochdale,Call Off (External), Call-off Contract,01/02/2019,31/01/2024,-,"£24,843.00","£174,450.00",Civica UK Ltd,-,SW15 6AR,-,"Rochdale Borough Council, RBC - Resources"
8432,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,HR & Payroll Solution - Rochdale,Call Off (External), Contract,01/07/2020,30/06/2024,-,"£129,000.00","£459,115.20",MHR,-,NG11 6LL,-,"Rochdale Borough Council, RBC - Neighbourhoods"
3990,Rochdale Borough Council,Live (On-going),201800 - Financial Services - Insurance,Lots: 1 and 4 of Rochdale Council Insurance tender UID 3566,OJEU Tender, Contract,01/06/2017,31/05/2022,-, £-   ,"£1,647,908.00",Travelers Insurance Company Limited,-,RH1 1NA,-,"Rochdale Borough Council, RBC - Resources"
6166,Rochdale Borough Council,Live (On-going),271700 - Information Communication Technology - Telecommunications - Fixed,Health and Social Care Network (HSCN) connection,Procured by Other, Contract,10/09/2018,10/09/2023,-, £-   ,"£36,332.64",Virgin Media Business,-,RG2 6UU,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9100,Rochdale Borough Council,Live (On-going),181900 - Environmental Services - Testing & Inspection,Fountain Repair & Maintenance - Rochdale,RBS - Med/High - Advanced (Open), Contract,01/11/2020,31/10/2024,-,"£16,500.00","£66,000.00",The Fountain Company,3654927,SK13 1BE,-,"Rochdale Borough Council, RBC - Neighbourhoods"
3191,Rochdale Borough Council,Live (On-going),209999 - Financial Services - Not Elsewhere Classified,Early Payment Scheme - Early payment of suppliers 2,Call Off (Internal),Concession,02/04/2019,23/02/2025,23/02/2025, £-   , £-   ,Oxygen Finance Ltd,-,B2 5QB,-,"Rochdale Borough Council, RBC - Resources"
3953,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Development of Specialist Residential Provision for People With Dementia,OJEU Tender (Light Touch), Contract,01/11/2018,31/10/2025,-,"£1,500,000.00","£7,500,000.00",GP Care Services Ltd,6561284,BL9 7HR,-,"Rochdale Borough Council, RBC - Adult Services"
6154,Rochdale Borough Council,Live (On-going),271400 - Information Communication Technology - Office & Reprographics Equipment,Annual Examination Results analysis software (NCER EPAS & KEYPASS Subscription),Exemption, Contract,01/04/2019,31/03/2024,-,"£8,314.80","£41,574.00",National Consortium for Examination Results,7960839,CH63 0ND,-,"Rochdale Borough Council, RBC - Neighbourhoods"
6405,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,ArchiveONE C2C Email Archiving Solution - Barracuda,Exemption, Contract,01/03/2019,29/02/2024,-,"£8,000.00","£40,000.00",Specialist Computer Centres Plc (SCC),1428210,B11 2LE,-,"Rochdale Borough Council, RBC - Neighbourhoods"
10046,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Careline Service,OJEU Tender, Contract,01/04/2020,31/03/2022,31/03/2024,"£98,000.00","£554,000.00",Eldercare UK Ltd,-,x,-,"Rochdale Borough Council, RBC - Adult Services"
6414,Rochdale Borough Council,Live (On-going),150000 - Consultancy,Business Planner for Rochdale Town Hall HLF Project,Procured by Other, Contract,01/03/2019,01/05/2023,-,"£23,822.50","£23,822.50",Focus Consultants 2010 LLP,-,x,-,Rochdale Development Agency
4754,Rochdale Borough Council,Live (On-going),310000 - Healthcare,Children and Young Peoples Integrated Community Health Service in the Borough of Rochdale,OJEU Tender (Light Touch), Contract,01/10/2019,30/09/2024,30/09/2026,"£10,171,000.00","£50,855,000.00",Salford Royal NHS Foundation Trust,-,x,-,"Rochdale Borough Council, STAR, RBC - Public Health"
8484,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,Coroners Case Management System - Rochdale,Call Off (External), Call-off Contract,31/01/2020,31/01/2024,-,"£11,000.00","£61,000.00",Civica UK Ltd,-,SW15 6AR,-,"Rochdale Borough Council, RBC - Neighbourhoods"
4462,Rochdale Borough Council,Live (On-going),"121300 - Cemetery & Crematorium - Body Transport Service, 129999 - Cemetery & Crematorium - Not Elsewhere Classified",Coroners' Body Removal Service (North Coronial District) 1,OJEU Tender, Framework Agreement,01/04/2018,31/03/2022,-,"£126,240.00","£504,960.00",Bate & Holland,10703888,WA10 2JJ,-,"Rochdale Borough Council, RBC - Neighbourhoods"
8037,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,Content Management System,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2023,-,"£50,000.00","£150,000.00",JADU CREATIVE LTD,8538777,LE19 1SX,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9118,Rochdale Borough Council,Live (On-going),180000 - Environmental Services,Confidential Waste Shredding (Number One Riverside),RBS - Low - Quick Quote, Contract,01/04/2020,31/03/2024,-,"£2,639.00","£7,917.00",Shred Station Ltd,6359628,NR13 6LH,-,"Rochdale Borough Council, RBC - Neighbourhoods"
3769,Rochdale Borough Council,Live (On-going),271430 - Information Communication Technology - Software - Commercial Off-The-Shelf,Computer Application Software and Services Revenues and Benefits System,Exemption, Contract,01/04/2017,31/03/2024,-,"£61,598.00","£301,834.00",Capita Business Services Ltd,2299747,EC2V 7NQ,-,"Rochdale Borough Council, RBC - Resources"
6507,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,Civica Financials Live,Call Off (External), Call-off Contract,01/09/2020,31/08/2024,31/08/2023,"£96,750.00","£193,500.00",Civica UK Ltd,-,SW15 6AR,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9288,Rochdale Borough Council,Live (On-going),180000 - Environmental Services,Silt Trap Pre-Planned and Reactive Maintenance,RBS - Med/High - Advanced (Open), Contract,11/10/2021,10/10/2024,-,"£20,420.00","£60,000.00",Lanes Group Plc,-,PR5 8AN,-,"Rochdale Borough Council, RBC - Neighbourhoods"
10043,Rochdale Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,SEND Information and Advice Service,RBS - Med/High - Advanced (Open), Contract,01/04/2021,31/03/2024,-,"£50,533.00","£151,599.00",Barnardos,-,x,-,"Rochdale Borough Council, RBC - Children's Services"
6400,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Data Centre refresh and backup solution.,Mini Competition (External), Call-off Contract,01/06/2020,31/05/2024,-,"£94,901.20","£474,506.00",Specialist Computer Centres Plc (SCC),1428210,B11 2LE,-,"STAR, RBC - Neighbourhoods"
8372,Rochdale Borough Council,Live (On-going),300000 - Mail Services,Outbound Mailing Services,Call Off (External), Call-off Contract,07/12/2020,06/12/2024,06/12/2024,"£15,000.00","£30,000.00",Northgate Public Services (UK) Ltd,9338960,SK9 7RR,-,"STAR, RBC - Resources"
10603,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Community Volunteer Transport Service,RBS - Med/High - Advanced (Open), Contract,03/01/2022,31/03/2025,-,"£40,075.25","£159,499.50",Rochdale Circle CIC,-,x,-,"Rochdale Borough Council, STAR, RBC - Adult Services, RBC - Children's Services, RBC - Economy, RBC - Neighbourhoods, RBC - Public Health, RBC - Resources"
10321,Rochdale Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Mediation and Disagreement Resolution Service-Rochdale,RBS - Med/High - Advanced (Open), Contract,04/05/2021,31/03/2024,-,"£10,000.00","£40,000.00",KIDS,-,N1 8HX,-,"STAR, RBC - Children's Services"
10579,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Specialist Mental Health Residential Home,Exemption, Contract,26/07/2021,31/07/2023,-,"£244,750.00","£489,500.00",Nestlings Care Limited,-,OL16 3TS,-,"Rochdale Borough Council, STAR, RBC - Children's Services"
8822,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,"Parkmap,Linemap, Signplot and  Hosted Services",Exemption, Contract,01/10/2020,30/09/2024,-,"£13,109.39","£53,094.00",Buchanan Computing,-,W6 7AS,-,"STAR, RBC - Neighbourhoods"
10173,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Young Parents Service,OJEU Tender, Contract,01/05/2021,31/03/2025,31/03/2026,"£194,889.75","£976,479.20",WHAG,-,x,-,"Rochdale Borough Council, RBC - Adult Services"
10174,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Short Term Tenancy and Life Support Service,OJEU Tender, Contract,01/05/2021,31/03/2025,-,"£612,244.00","£3,061,220.00",Stepping Stone Projects,-,x,-,"Rochdale Borough Council, RBC - Adult Services"
10175,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Private Sector Housing Floating Support Service,OJEU Tender, Contract,01/05/2021,31/03/2025,-,"£74,188.10","£373,631.10",The Bond Board,-,x,-,"Rochdale Borough Council, RBC - Adult Services"
11728,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,SAP Business Objects Support and Maintenance,RBS - Low - Quick Quote, Contract,01/01/2022,31/12/2023,-,"£16,962.86","£16,962.86",DS Callards,-,TQ13 7EF,-,"STAR, RBC - Neighbourhoods"
11087,Rochdale Borough Council,Live (One Off),150000 - Consultancy,Upperbanks Construction Clerk of Works ,RBS - Low/Med - Simple (RFQ), Contract,13/01/2022,31/01/2024,-,"£29,452.00","£58,905.00",Aegis Services Ltd ,-,PR2 2YP,-,Rochdale Development Agency
11088,Rochdale Borough Council,Live (One Off),150000 - Consultancy,Upperbanks Mechanical & Electrical Clerk of Works ,RBS - Low/Med - Simple (RFQ), Contract,13/01/2022,31/01/2024,-,"£23,655.00","£47,310.00",Aegis Services Ltd ,-,PR2 2YP,-,Rochdale Development Agency
11724,Rochdale Borough Council,Live (On-going),271800 - Information Communication Technology - Telecommunications - Mobile,Mobile Voice and  Data Services Aggregation –  NFC137  ,Procured by Other, Contract,17/01/2022,16/01/2024,-,"£34,000.00","£34,000.00",Gamma Telecom Limited,-,x,-,"Rochdale Borough Council, STAR, RBC - Adult Services, RBC - Children's Services, RBC - Economy, RBC - Neighbourhoods, RBC - Public Health, RBC - Resources"
8772,Rochdale Borough Council,Live (On-going),150000 - Consultancy,Owners Engineer Contract (Work Plan),RBS - Med/High - Advanced (Open), Contract,07/02/2022,06/02/2023,-,"£90,000.00","£103,405.00",*Work Plan Item*,-,M32 0TH,-,"Rochdale Borough Council, STAR, RBC - Adult Services, RBC - Children's Services, RBC - Economy, RBC - Neighbourhoods, RBC - Public Health, RBC - Resources"
8772,Rochdale Borough Council,Live (On-going),150000 - Consultancy,Owners Engineer Contract,RBS - Med/High - Advanced (Open), Contract,07/02/2022,06/02/2023,06/02/2024,"£62,839.00","£105,226.70",LocoGen,SC5212029,EH3 5BD,-,"Rochdale Borough Council, STAR, RBC - Adult Services, RBC - Children's Services, RBC - Economy, RBC - Neighbourhoods, RBC - Public Health, RBC - Resources"
10055,Rochdale Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,"OP Nursing , Residential and Mental Health, Phys dis FPS",OJEU Tender, Flexible Purchasing System,01/04/2021,31/03/2026,31/03/2026, £-   , £-   ,WELLINGTON HEALTHCARE (ARDEN) LTD (Bloomcare),-,x,-,"STAR, RBC - Adult Services"
9635,Rochdale Borough Council,Live (One Off),381210 - Vehicle Management - Hire,Lease of 7 x Tippers,Call Off (External), Call-off Contract,01/04/2022,31/03/2027,-,"£132,860.00","£664,300.00",Dawsongroup sweepers limited,-,HD6 1PT,-,"Rochdale Borough Council, RBC - Neighbourhoods"
11128,Rochdale Borough Council,Live (One Off),150000 - Consultancy,Upperbanks (Rochdale Riverside Phase 2) – PM Role RIBA Stages 5 -7,Call Off (External), Contract,22/02/2022,31/01/2024,-,"£129,453.00","£199,873.10",Walker Sime Limited ,-,M17 1DB,-,"Rochdale Borough Council, Rochdale Development Agency"
11129,Rochdale Borough Council,Live (One Off),150000 - Consultancy,Upperbanks (Rochdale Riverside Phase 2) –  QS/EA Role RIBA Stages 5 to 7,Call Off (External), Contract,22/02/2022,30/11/2024,-,"£218,580.00","£241,089.00",Walker Sime Limited ,-,M17 1DB,-,"Rochdale Borough Council, Rochdale Development Agency"
10033,Rochdale Borough Council,Live (On-going),"151510 - Healthcare - Public Health, 151514 - Healthcare - Public Health - Specialist Services",Rochdale Borough Council Specialist Health Improvement Service ,OJEU Tender (Light Touch), Contract,01/04/2022,31/03/2025,31/03/2027,"£973,000.00","£5,100,042.00",The Big Life Company Limited,-,x,-,"STAR, RBC - Public Health"
11118,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Provision of Audio Visual equipment,RBS - Low/Med - Simple (RFQ), Contract,01/02/2022,31/01/2026,31/01/2026,"£32,000.00","£133,104.90",Public-I-Group Ltd,-,BN3 1DD,-,"STAR, RBC - Neighbourhoods"
8995,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Contact Centre Telephony Services,Mini Competition (External), Contract,01/04/2022,31/03/2025,-,"£88,306.66","£264,920.00",Foehn Limited,-,TW9 1AA,-,"STAR, RBC - Neighbourhoods"
6374,Rochdale Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Call-off from AGMA: Electoral Management System  - Rochdale,Call Off (Internal), Contract,08/01/2019,07/01/2025,07/01/2023,"£11,500.00","£69,000.00",Various Suppliers,-,Various,-,"STAR, RBC - Neighbourhoods"
8598,Rochdale Borough Council,Live (On-going),171060 - Education - Library Services,Replacement of RFID self-check library equipment,Call Off (External), Call-off Contract,01/09/2020,31/08/2025,-,"£14,413.00","£72,066.46",Bibliotheca,-,SK8 7BS,-,"STAR, RBC - Resources"
8939,Rochdale Borough Council,Live (On-going),271000 - Information Communication Technology - Call Systems,SIP Infrastructure & SIP Calls,Mini Competition (External), Contract,12/07/2021,11/07/2024,11/07/2026,"£49,033.00","£147,101.40",Gamma Telecom Limited,-,x,-,"STAR, RBC - Neighbourhoods"
8635,Rochdale Borough Council,Live (On-going),"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services",Password Checker (nFront Security),RBS - Low - Quick Quote, Contract,10/07/2020,09/07/2024,-,"£8,525.00","£25,575.00","Altus Network Solutions, Inc (T/A nFront Security)",-,x,-,"STAR, RBC - Resources"
8942,Rochdale Borough Council,Live (On-going),270000 - Information Communication Technology,Microsoft Enterpirse Agreement including Microsoft Education Enterprise Agreement,Call Off (External), Call-off Contract,01/07/2021,30/06/2024,-, N/A ,"£1,865,570.00",Phoenix Software Ltd,-,YO42 1NS,-,"Rochdale Borough Council, STAR, RBC - Adult Services, RBC - Children's Services, RBC - Economy, RBC - Neighbourhoods, RBC - Public Health, RBC - Resources"
11796,Rochdale Borough Council,Live (On-going),271600 - Information Communication Technology - Software - Customised & Bespoke,Elemental Supply Agreement,Call Off (External), Contract,-,31/03/2024,31/03/2024,"£29,670.00","£59,340.00",Access UK Ltd,-, CO7 6LZ,-,"STAR, RBC - Public Health"
4788,Rochdale Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Short Breaks for Children with Disabilities - Sports Arts,RBS - Med/High - Advanced (Open), Contract,19/07/2019,31/03/2023,-, - ,"£161,098.00",Barnardos,-,x,-,"STAR, RBC - Adult Services"
9549,Rochdale Borough Council,Live (On-going),381400 - Vehicle Management - Maintenance,"Supply, Repair and Fitment of Tyres",OJEU Tender, Contract,01/04/2022,31/03/2025,31/03/2026,"£85,000.00","£340,000.00",The Lodge Tyre Company Limited,-,ST18 0GE,-,"Rochdale Borough Council, RBC - Neighbourhoods"
8207,Rochdale Borough Council,Live (On-going),201300 - Financial Services - Cash Collection,Cash Collection - Rochdale,Mini Competition (External), Call-off Contract,21/08/2020,20/08/2024,20/08/2024,"£35,000.00","£105,000.00",Security Plus,-,WN7 3XJ,-,"Rochdale Borough Council, RBC - Adult Services, RBC - Children's Services, RBC - Economy, RBC - Neighbourhoods, RBC - Public Health, RBC - Resources"
11866,Rochdale Borough Council,Live (On-going),150000 - Consultancy,Level 3 payroll administrator Apprenticeship June 2022,RBS - Low/Med - Simple (RFQ), Contract,01/07/2022,01/07/2026,01/07/2026,"£9,000.00","£27,000.00",Smart Training & Recruitment Ltd.,-,PO30 5BA,-,Rochdale Borough Council
11900,Rochdale Borough Council,Live (One Off),150000 - Consultancy,Independent Medical Assessments for the Blue Badge Scheme,RBS - Low/Med - Simple (RFQ), Contract,01/07/2022,31/01/2024,31/01/2024,"£14,500.00","£23,500.00",Access Independent Ltd,-,CB1 2SN,-,Rochdale Borough Council
11776,Rochdale Borough Council,Live (On-going),271000 - Information Communication Technology - Call Systems,VPN service and call charges,Call Off (External), Call-off Contract,01/06/2022,31/05/2025,-, - ,"£48,068.80",Daisy Communications,-,x,-,"Rochdale Borough Council, RBC - Neighbourhoods"
9084,Rochdale Borough Council,Live (On-going),381210 - Vehicle Management - Hire,MPS Vehicle Fleet,Call Off (External), Call-off Contract,25/04/2022,24/04/2025,-,"£10,704.96","£32,114.88",Northgate Plc,-,DL1 4PZ,-,"Rochdale Borough Council, RBC - Neighbourhoods"
