Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,03/10/2017,Non Stock Machine Co,Group Commercial Services,XMA LIMITED GOSC,2000011556,1107.36,#,NG11 7EP
Department for Transport,Department for Transport,03/10/2017,Property Maintenance,Marine Accident Investigation Branch,ZIP HEATERS (UK) LTD,2000011549,1344,#,NR19 1TE
Department for Transport,Department for Transport,03/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000011538,1439.02,#,DL1 9HN
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",BMM Contracts Ltd,2000011563,1500,BMM Energy Solutions Jun 17 #1500,ML6 8NY
Department for Transport,Department for Transport,03/10/2017,Agency Staff Costs,Transport Security Co-ordination & Response,CAPITA BUSINESS SERVICES LTD,2000011538,1600.13,#,DL1 9HN
Department for Transport,Department for Transport,03/10/2017,LGV/PCV Tax & Insura,DG_IS - Rail Accident Investigation Branch,Driver & Vehicle Standards Agency,2000011570,1644.25,#,NG1 6LP
Department for Transport,Department for Transport,03/10/2017,Recruitment Advertis,Group Communications,HM REVENUE & CUSTOMS,2000011545,1875,#,BN12 4XH
Department for Transport,Department for Transport,03/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000011537,1962.18,#,UB8 1PH
Department for Transport,Department for Transport,03/10/2017,Security,Group Human Resources,HM REVENUE & CUSTOMS,2000011545,3325,#,BN12 4XH
Department for Transport,Department for Transport,03/10/2017,Research,Local,HALCROW GROUP LTD,2000011544,3800,Road Safety Research,W6 7EF
Department for Transport,Department for Transport,03/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000011537,5051.9,#,UB8 1PH
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,Eversheds Sutherland (Inter-,2000011559,6986.99,#,CF10 5BT
Department for Transport,Department for Transport,03/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000011538,7113.36,#,DL1 9HN
Department for Transport,Department for Transport,03/10/2017,Publicity,Group Communications,ABBOTT MEAD VICKERS BBDO LTD,2000011539,8090,#,SE1 0SW
Department for Transport,Department for Transport,03/10/2017,Transport  Consult,DG_RAIL - Network Services,STEER DAVIES & GLEAVE LTD,2000011547,11628.14,Technical advice,SE1 9PD
Department for Transport,Department for Transport,03/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000011548,16250,#,BS24 9BP
Department for Transport,Department for Transport,03/10/2017,Publicity,Group Communications,ABBOTT MEAD VICKERS BBDO LTD,2000011539,18444.66,#,SE1 0SW
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",McNally Electrical Yorkshire,2000011567,20000,"""McNally Electrical Yorkshire Aug 17 #20,000""",BD22 7AA
Department for Transport,Department for Transport,03/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000011537,20929.92,#,UB8 1PH
Department for Transport,Department for Transport,03/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000011537,23413.32,#,UB8 1PH
Department for Transport,Department for Transport,03/10/2017,Support Services,Local,Pell Frischmann Consultants Ltd,2000011566,29837.03,Technical Research and Information,W1U 3PD
Department for Transport,Department for Transport,03/10/2017,Research,Analysis & Strategy,ATKINS LTD (TRANSPORT PLANNING),2000011541,31416.36,#,WR5 1TX
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,Med Food Wholesale Ltd,2000011569,63374.33,#,NW10 6NJ
Department for Transport,Department for Transport,03/10/2017,Agency Staff Costs,DG_RAIL - Network Services,CAPITA BUSINESS SERVICES LTD,2000011538,84925.45,Interim resource,DL1 9HN
Department for Transport,Department for Transport,03/10/2017,Support Services,Group Finance,Irwin Mitchell,2000011558,90000,#,S3 8DT
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,Eversheds Sutherland (Inter-,2000011559,171107.67,#,CF10 5BT
Department for Transport,Department for Transport,03/10/2017,Purchasing Card Char,Group Finance,The Royal Bank of Scotland plc,2000011564,185119.02,Natwest  - EPCS - September 2017,EC2M 4RB
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,Eversheds Sutherland (Inter-,2000011559,303800,#,CF10 5BT
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,Eversheds Sutherland (Inter-,2000011559,312205.91,#,CF10 5BT
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Volkswagen UK,2000011561,717000,"""PICG Volkswagen July 2017 #717,000""",MK14 5AN
Department for Transport,Department for Transport,03/10/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,SNCF Caisse Generale,2000011535,5585595.59,SEPTEMEBER 2017 GBP EXCHANGE PLUS TVA,93633
Department for Transport,Department for Transport,03/10/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,SNCF TRESORERIE ENC RHT VFE,2000011534,5889419.05,SEPTEMEBER 2017 EUR EXCHANGE PLUS TVA,75014
Department for Transport,Department for Transport,04/10/2017,YR-Dental,DfTc Total,National Dental Plan Limited,2000011616,594,3rd Party Payment Sept 2017,EC3N 1DY
Department for Transport,Department for Transport,04/10/2017,Training,Air Accident Investigation Branch,SYNERGY AVIATION LTD,2000011643,595.83,#,GU24 8HX
Department for Transport,Department for Transport,04/10/2017,Car Hire and Leasing,"Road Safety, Standards and Services",Toyota Financial Services (UK) Ltd,2000011657,690,#,KT18 5UZ
Department for Transport,Department for Transport,04/10/2017,Support Services,Group Commercial Services,DWP Shared Services,2000011637,915.85,#,FY5 3TA
Department for Transport,Department for Transport,04/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000011658,1366,#,HU10 6DN
Department for Transport,Department for Transport,04/10/2017,Printing,Group Communications,Williams Lea,2000011654,1411.74,#,NR3 1PD
Department for Transport,Department for Transport,04/10/2017,IT Ser Running Costs,Group Commercial Services,Content & Code Ltd,2000011665,2892,#,EC3M 5DJ
Department for Transport,Department for Transport,04/10/2017,Travel Expenses UK,DG_Rail - Passenger Services,RAIL STAFF TRAVEL LTD,2000011646,2908.72,#,WC1N 1BY
Department for Transport,Department for Transport,04/10/2017,IT Ser Running Costs,Group Commercial Services,Basware Holdings Limited,2000011653,3058.8,#,EC2N 1AR
Department for Transport,Department for Transport,04/10/2017,Training,DG_RAIL - Network Services,Labinah Management Training Ltd,2000011647,3400,Staff training costs,EC1M 7AP
Department for Transport,Department for Transport,04/10/2017,IT Ser Running Costs,Group Human Resources,INVOTRA Ltd,2000011662,3576,#,GU21 5BN
Department for Transport,Department for Transport,04/10/2017,IT Ser Running Costs,Group Commercial Services,BASEMAP LIMITED,2000011655,3807,#,GU2 7YG
Department for Transport,Department for Transport,04/10/2017,IT Ser Running Costs,"Energy, Technology and International",BRAMBLE HUB LTD,100017362,4053.6,CCS Procurment Service Agreement - 21/08/17,SE1 7SP
Department for Transport,Department for Transport,04/10/2017,Legal Consultancy,"Road Safety, Standards and Services",GOVERNMENT ACTUARY'S DEPARTMENT,2000011641,5985.19,#,EC4A 1AB
Department for Transport,Department for Transport,04/10/2017,Car Hire and Leasing,Group Finance,Enterprise Rent-A-Car,2000011652,7341.79,Enterprise - Car Hire - September 2017,TW20 9FB
Department for Transport,Department for Transport,04/10/2017,Other Advertising,Local,Penna Communications,2000011649,7755.52,Statutory Advertising,EC4M 7RD
Department for Transport,Department for Transport,04/10/2017,IT Ser Running Costs,Group Commercial Services,Content & Code Ltd,2000011665,9122.5,#,EC3M 5DJ
Department for Transport,Department for Transport,04/10/2017,Publicity,"Road Safety, Standards and Services",ATKINS LTD (TRANSPORT PLANNING),2000011640,15000,#,WR5 1TX
Department for Transport,Department for Transport,04/10/2017,Publicity,"Road Safety, Standards and Services",ATKINS LTD (TRANSPORT PLANNING),2000011640,16233,#,WR5 1TX
Department for Transport,Department for Transport,04/10/2017,Research,"Energy, Technology and International",INSPEC INTERNATIONAL LTD,2000011642,19748.66,#,M6 6AJ
Department for Transport,Department for Transport,04/10/2017,Support Services,Aviation,CORNWALL AIRPORT LTD,2000011648,32299.8,#,TR8 4RQ
Department for Transport,Department for Transport,04/10/2017,Traffic Survey & Cou,Local,Jenoptik Traffic Solutions UK Ltd,2000011663,93469.8,Vehicle and Admin data,GU16 7SG
Department for Transport,Department for Transport,04/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000011658,145359.82,#,HU10 6DN
Department for Transport,Department for Transport,04/10/2017,Cap Grt NDPBs & CG,DG_Rail - Passenger Services,Rail Settlement Plan LTD,2000011660,189517.18,IOP Capital payment P7,EC1A 4H
Department for Transport,Department for Transport,04/10/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,EUROTUNNEL,2000011572,4875662.99,ET re Opex and usage charges Sept 17,CT18 8XY
Department for Transport,Department for Transport,04/10/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,Eurotunnel,2000011573,5297219.06,ET re Opex and usage charges Sept 17,CT18 8XX
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Diamond Controls Ltd,2000011767,500,Diamond Controls Jul 17 #500,NR5 9JR
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Greenwolf Electrical Ltd,2000011778,500,Greenwolf Electrical Jun 17 #500,NG9 1NL
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Retroflo Limited,2000011754,500,Retroflo Jun 17 #500,DH6 2UZ
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Retroflo Limited,2000011754,500,Retroflo Jul 17 #500,DH6 2UZ
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Smart Power Electrical Ltd,2000011768,500,Smart Power Electrical Jul 17 #500,BL2 3BR
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Solaris Installations Ltd,2000011780,500,Solaris Installations Jun 17 #500,ME14 2EX
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SRG Electrical Ltd,2000011765,500,SRG Electrical Jul 17 #500,CR8 1HA
Department for Transport,Department for Transport,05/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000011710,561,#,UB8 1PH
Department for Transport,Department for Transport,05/10/2017,Conferences / Semina,DG_RAIL - Network Services,Calder Conferences Limited,2000011760,571.67,Staff training venue costs,LS16 6RF
Department for Transport,Department for Transport,05/10/2017,Non Stock Machine Co,Group Commercial Services,XMA LIMITED GOSC,2000011744,577.32,#,NG11 7EP
Department for Transport,Department for Transport,05/10/2017,Conferences / Semina,DG_Rail - Passenger Services,Calder Conferences Limited,2000011760,706,#,LS16 6RF
Department for Transport,Department for Transport,05/10/2017,Agency Staff Costs,Group Commercial Services,BROOK STREET (UK) LIMITED,2000011721,841.68,#,AL1 4JB
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Carbon Zero Renewables Ltd,2000011761,900,Carbon Zero Renewables Jul 17 #900,LL17 0LG
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Rolec Services Limited,2000011748,1000,Rolec Dec 16 #1000,PE20 1Q
Department for Transport,Department for Transport,05/10/2017,Non Stock Machine Co,Group Commercial Services,XMA LIMITED GOSC,2000011744,1154.64,#,NG11 7EP
Department for Transport,Department for Transport,05/10/2017,Infrastructure Maint,Group Human Resources,Managed Information Technologies,2000011715,1300,#,SG12 9PZ
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Phoenix Renewables Ltd,2000011759,1500,Phoenix Renewables Jul 17 #1500,LS28 5LY
Department for Transport,Department for Transport,05/10/2017,Non Stock Machine Co,Group Commercial Services,XMA LIMITED GOSC,2000011744,1962.89,#,NG11 7EP
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Armstrong Renewables,2000011756,2000,Armstrong Renewables Jun 17 #2000,NE37 2SH
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",BMM Contracts Ltd,2000011764,2000,BMM Energy Solutions Mar 17 #2000,ML6 8NY
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Phoenix Renewables Ltd,2000011759,2000,Phoenix Renewables May 17 #2000,LS28 5LY
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Phoenix Renewables Ltd,2000011759,2500,Phoenix Renewables Jun 17 #2500,LS28 5LY
Department for Transport,Department for Transport,05/10/2017,Recruitment Advertis,Group Commercial Services,HM REVENUE & CUSTOMS,2000011717,2845.2,#,BN12 4XH
Department for Transport,Department for Transport,05/10/2017,Legal Consultancy,Group Commercial Services,Blake Morgan LLP,2000011758,2858.4,#,PO6 4ST
Department for Transport,Department for Transport,05/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000011713,2963.16,#,DL1 9HN
Department for Transport,Department for Transport,05/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000011713,2963.16,#,DL1 9HN
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Zero Motorcycles Europe,2000011782,3000,"""PICG Zero Motorcycles August 2017 #3,000""",1723HW
Department for Transport,Department for Transport,05/10/2017,Training,Air Accident Investigation Branch,Cellebrite UK Ltd,2000011753,3200,CELLEBRITE FDR TRAINING APB DEC 2017,EC4V 6JA
Department for Transport,Department for Transport,05/10/2017,Support Services,"Road Safety, Standards and Services",Department Of Energy & Climate,2000011734,3611.5,#,NP10 8FZ
Department for Transport,Department for Transport,05/10/2017,Training,Aviation,Westminster Aviation Security,2000011771,4000,#,OX17 2BS
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Phoenix Renewables Ltd,2000011759,4500,Phoenix Renewables Aug 17 #4500,LS28 5LY
Department for Transport,Department for Transport,05/10/2017,Recruitment,"Road Safety, Standards and Services",HM Revenue & Customs,2000011711,4560,#,BN12 4XH
Department for Transport,Department for Transport,05/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000011713,5353.2,#,DL1 9HN
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SRG Electrical Ltd,2000011765,5500,SRG Electrical Aug 17 #5500,CR8 1HA
Department for Transport,Department for Transport,05/10/2017,Legal Consultancy,Group Human Resources,Government Legal Department,2000011709,5893.08,#,WC2B 4TS
Department for Transport,Department for Transport,05/10/2017,Publicity,Group Communications,Young and Rubicam Ltd,2000011776,6505,#,NW1 7QP
Department for Transport,Department for Transport,05/10/2017,Legal Consultancy,Group Human Resources,Government Legal Department,2000011709,6653.4,#,WC2B 4TS
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Armstrong Renewables,2000011756,7000,Armstrong Renewables Jul 17 #7000,NE37 2SH
Department for Transport,Department for Transport,05/10/2017,Travel Expenses UK,Air Accident Investigation Branch,Mawasem Limited T/A Clarity Travel,2000011766,7645.9,Clarity - September 2017,ST18 0WN
Department for Transport,Department for Transport,05/10/2017,Other Professional F,Group Human Resources,Arvato Ltd,2000011749,9497.74,#,HU10 6DN
Department for Transport,Department for Transport,05/10/2017,Cars Fuel,"Road Safety, Standards and Services",Allstar Business Solutions Ltd,2000011714,10059.52,#,SN5 6PS
Department for Transport,Department for Transport,05/10/2017,Other Professional F,Group Human Resources,Arvato Ltd,2000011749,10741.14,#,HU10 6DN
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Jorro Ltd,2000011757,13000,"""Jorro Jul 17 #13,000""",FK8 1JR
Department for Transport,Department for Transport,05/10/2017,Training,Aviation,Westminster Aviation Security,2000011771,13300,#,OX17 2BS
Department for Transport,Department for Transport,05/10/2017,Other Professional F,Group Human Resources,Arvato Ltd,2000011749,16610,#,HU10 6DN
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Volvo Car UK Limited,2000011750,25000,"""PICG Volvo August 2017 #25,000""",SL6 4FL
Department for Transport,Department for Transport,05/10/2017,CurrGrt Las in AEF/A,"Energy, Technology and International",Kia Motors (UK) Ltd,2000011763,25500,"""PICG Kia August 2017 #25,500""",KT12 1FJ
Department for Transport,Department for Transport,05/10/2017,Publicity,Group Communications,Young and Rubicam Ltd,2000011776,29657,#,NW1 7QP
Department for Transport,Department for Transport,05/10/2017,Publicity,Group Communications,Young and Rubicam Ltd,2000011776,31701.75,#,NW1 7QP
Department for Transport,Department for Transport,05/10/2017,Support Services,Aviation,NEWCASTLE INTERNATIONAL AIRPORT LTD,2000011719,32299.8,#,NE13 8BZ
Department for Transport,Department for Transport,05/10/2017,Transport  Consult,Aviation & Maritime Analysis,Ricardo AEA,2000011773,34714.24,#,OX11 0QR
Department for Transport,Department for Transport,05/10/2017,Transport  Consult,Aviation & Maritime Analysis,Ricardo AEA,2000011773,37305.9,#,OX11 0QR
Department for Transport,Department for Transport,05/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",TOYOTA (GB) PLC,2000011743,40000,"""PICG Toyota August 2017 #40,000""",KT18 5XS
Department for Transport,Department for Transport,05/10/2017,Printing,Airport Capacity,Williams Lea,2000011742,52098.51,#,NR3 1PD
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,FORUM OF MOBILITY CENTRES,2000011733,54171,Mobility Centres Payment Q3 2017-18,IP24 3RL
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,Bridgewater Community Healthcare,2000011779,54295,Mobility Centres Payment Q3 2017-18,WN3 6PR
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,HERTFORDSHIRE ACTION ON DISABILITY,2000011732,54676,Mobility Centres Payment Q3 2017-18,AL7 4DD
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,DISABLED LIVING CENTRE,2000011725,55202,Mobility Centres Payment Q3 2017-18,BS16 2QQ
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,DERBY HOSPITALS,2000011724,58480,Mobility Centres Payment Q3 2017-18,DE1 2QY
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,"Northumberland, Tyne & Wear NHS",2000011727,62909,Mobility Centres Payment Q3 2017-18,NE3 3XT
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,WESSEX DRIVEABILITY,2000011730,74632,Mobility Centres Payment Q3 2017-18,SO17 2LJ
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,William Merritt Disabled Living,2000011731,76913,Mobility Centres Payment Q3 2017-18,LS13 1HP
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,Community Transport Association,2000011722,84000,Community Transport Association - Admin,M1 2NQ
Department for Transport,Department for Transport,05/10/2017,CurrGrtPriSec-P&NPIS,Local,Cornwall Mobility Centre Ltd,2000011723,84457,Mobility Centres Payment Q3 2017-18,TR1 3LJ
