"PAYMENTS OVER £25,000",,,,,,
Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Ref,Line No,Line Value
20130107,NHS Clinical Services,Caludon Patient Costs SLA,University Hosp Cov&Warwick NHS Trust,174283,3,3212
20130107,NHS Clinical Services,Psychology Eating Disorders,University Hosp Cov&Warwick NHS Trust,174283,4,768
20130107,non - healthcare - nhs trusts,Chaplaincy,University Hosp Cov&Warwick NHS Trust,174283,5,4333
20130107,NHS Clinical Services,Lakeview Clinic,University Hosp Cov&Warwick NHS Trust,174283,6,3000
20130107,Med & Surg Equip Mtce Contract,Estates,University Hosp Cov&Warwick NHS Trust,174283,7,203
20130107,NHS Clinical Services,Community Services Pathway Mgmt,University Hosp Cov&Warwick NHS Trust,174283,8,16662
20130107,NHS Clinical Services,Audiology,University Hosp Cov&Warwick NHS Trust,174283,9,358
20130107,NHS Clinical Services,Audiology,University Hosp Cov&Warwick NHS Trust,174283,10,1364
20130107,NHS Clinical Services,Audiology,University Hosp Cov&Warwick NHS Trust,174283,11,582
20130107,NHS Clinical Services,Child Health,University Hosp Cov&Warwick NHS Trust,174283,12,4189
20130107,NHS Clinical Services,Child Health,University Hosp Cov&Warwick NHS Trust,174283,13,2978
20130107,bldg-fittings,Hazelwood Inpatient Rehab,J F Kay & Co.,175125,1,84620.03
20130107,Patients Travel Exp / Allowanc,Woodleigh Beeches EDU Non IP,South Warwickshire General Hosp NHS Trust,161951,1,238
20130107,Contract : Premises Security,Recharges,South Warwickshire General Hosp NHS Trust,161951,2,1617
20130107,Other Utility Fuels,Recharges,South Warwickshire General Hosp NHS Trust,161951,3,6167
20130107,rent,Recharges,South Warwickshire General Hosp NHS Trust,161951,4,21016
20130107,Other Utility Fuels,Recharges,South Warwickshire General Hosp NHS Trust,161951,5,231
20130107,Contract : Clinical Waste,Recharges,South Warwickshire General Hosp NHS Trust,161951,6,2420
20130107,Other General Supplies & Servi,Recharges,South Warwickshire General Hosp NHS Trust,161951,7,173
20130107,NHS Clinical Services,Recharges,South Warwickshire General Hosp NHS Trust,161951,8,8254
20130107,Med & Surg Equip Mtce Contract,Recharges,South Warwickshire General Hosp NHS Trust,161951,9,6667
20130107,Med & Surg Equip Mtce Contract,Estates,South Warwickshire General Hosp NHS Trust,161951,10,11667
20130107,NHS Clinical Services,S Warwickshire Gen SLA,South Warwickshire General Hosp NHS Trust,161951,11,18026
20130107,NHS Clinical Services,S Warwickshire Gen SLA,South Warwickshire General Hosp NHS Trust,161951,12,392
20130107,Srv Rec NonHcare Other,Child Health,South Warwickshire General Hosp NHS Trust,161951,13,7119
20130107,Srv Rec NonHcare Other,Child Health,South Warwickshire General Hosp NHS Trust,161951,14,1216
20130107,Other General Supplies & Servi,Corporate - Dir Of Finance,Warwickshire PCT,174281,1,48015.55
20130107,non - healthcare - nhs trusts,Unscheduled Care,West Midlands Ambulance Service NHS Trust,173974,1,29439.42
20130104,Srv Rec Non Hcare FT's,Payroll SLA,Calderstones Partnership NHS FT,173971,1,25045
20130104,bldg-fittings,Brooklands Business Case,Harrabin Construction Ltd,173852,1,137243.56
20130104,hardware,Network Topups,ANS Group,174045,1,46751.93
20130104,Continence Products,Continence,Abena UK  Limited,173415,1,1584.94
20130104,Continence Products,Continence,Abena UK  Limited,173415,2,60455.66
20130104,hardware,Network Topups,ANS Group,173118,1,37792.8
20130104,Data Lines,IT Services,BT Global Services,173129,1,26609
20130104,Drugs,Integrated Sexual Health Servi,Lloyds Pharmacy,174226,1,273550.64
20130104,Drugs,Director of Op Management,Lloyds Pharmacy,174753,1,34643.7
20130104,Drugs,Director of Op Management,Lloyds Pharmacy,174753,2,38.94
20130104,Drugs,Director of Op Management,Lloyds Pharmacy,174753,3,43246.67
20130104,Drugs,Pharmacy South Warwickshire,Lloyds Pharmacy,174753,4,14003.71
20130104,Drugs,Pharmacy South Warwickshire,Lloyds Pharmacy,174753,5,82.26
20130104,Drugs,Pharmacy South Warwickshire,Lloyds Pharmacy,174753,6,17622.96
20130104,Drugs,LD - Medical,Lloyds Pharmacy,174753,7,665.38
20130104,Drugs,LD - Medical,Lloyds Pharmacy,174753,8,25.35
20130104,Drugs,LD - Medical,Lloyds Pharmacy,174753,9,32714.84
20130104,Drugs,MH Management,Lloyds Pharmacy,174753,10,16594.23
20130104,Drugs,MH Management,Lloyds Pharmacy,174753,11,9.75
20130104,Drugs,MH Management,Lloyds Pharmacy,174753,12,21163.07
20130104,Drugs,MH Management,Lloyds Pharmacy,174753,13,2255.69
20130104,External Contracts Pharmacy,Medicine Management,Lloyds Pharmacy,174753,14,43630.75
20130104,External Contracts Pharmacy,Medicine Management,Lloyds Pharmacy,174753,15,546
20130104,External Contracts Pharmacy,Medicine Management,Lloyds Pharmacy,174753,16,202.55
