Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Document Total 
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,CARL ZEISS LTD,0026128229,9414.60,"33,048.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,CARL ZEISS LTD,0026128229,2284.80,"33,048.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,COMPUTER SOFTWARE,Integrated Care,CURRENT HEALTH LTD,0026130409,62208.00,"62,208.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONTRACT-SCANNING SERVICE,Integrated Care,INHEALTH LIMITED,0026132331,198186.61,"237,823.93"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,M&S EQUIPMENT - OTHER,Integrated Care,RESMED (UK) LTD,0026132915,60600.00,"60,600.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONTRACT-SECURITY,Commercial,CONTINENTAL FACILITIES MANAGEMENT GROUP,0026133403,28792.80,"34,551.36"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONTRACT-SECURITY,Commercial,CONTINENTAL FACILITIES MANAGEMENT GROUP,0026133519,43189.20,"51,827.04"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,SX COMMUNITY DERMATOLOGY SERV,Integrated Care,SUSSEX COMMUNITY DERMATOLOGY SERVICE,0026133714,107432.00,"107,432.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0026133823,397440.00,"476,928.00"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,COMPUTER SOFTWARE,Corporate Services,INSIGHT DIRECT (UK) LTD,0026134086,41230.48,"52,379.34"
Department of Health,East Sussex Healthcare NHS Trust,06/06/2024,CAPITAL EXPEND I.T.,Other Central,INSIGHT DIRECT (UK) LTD,0026134086,11148.86,"52,379.34"
Department of Health,East Sussex Healthcare NHS Trust,11/06/2024,"BOOKS, JOURNALS & SUBCRIPTIONS",Corporate Services,WOLTERS KLUWER,0026136003,45535.75,"45,535.75"
Department of Health,East Sussex Healthcare NHS Trust,12/06/2024,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0026135996,3652.21,"90,427.71"
Department of Health,East Sussex Healthcare NHS Trust,12/06/2024,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0026135996,86045.06,"90,427.71"
Department of Health,East Sussex Healthcare NHS Trust,12/06/2024,PURCHASING CARDS,Cross Site,LLOYDS TSB CORPORATE MARKETS,0026136004,62695.46,"62,695.46"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160756,352403.66,"352,403.66"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160820,5413.01,"27,848.01"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,CAP EXP LEASED BUILDINGS,Other Central,NHS PROPERTY SERVICES LTD,0000160820,22435.00,"27,848.01"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160823,25817.92,"25,817.92"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160824,27321.25,"27,321.25"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160825,39806.67,"39,806.67"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160826,29408.94,"29,408.94"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,MEDICAL IMAGING PARTNERSHIP LTD,0001832735,87735.89,"105,283.07"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,GAS,Commercial,TOTALENERGIES GAS & POWER LIMITED,0001833754,193754.06,"193,754.06"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,POSTAGE - FRANKING MACHINE,Commercial,PITNEY BOWES LTD,0001833756,34629.23,"34,629.23"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,BAUVILL LTD,0001833979,129007.91,"129,007.91"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0012107232,54720.00,"54,720.00"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0012107265,91245.60,"91,245.60"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012107996,27980.70,"27,980.70"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012108000,43168.50,"43,168.50"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,AAH PHARMACEUTICALS LTD,0013156366,38197.73,"38,197.73"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLOGA UK LTD,0013156465,27000.00,"27,000.00"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,CAPITAL EXPEND PLANT&MACHINERY,Other Central,OMNICELL LTD,0026123784,36600.00,"36,600.00"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,PACEMAKERS,Integrated Care,MEDTRONIC LTD,0026131379,30600.00,"30,600.00"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,M&S EQUIPMENT - OTHER,Integrated Care,OLYMPUS KEYMED,0026133640,31026.90,"31,026.90"
Department of Health,East Sussex Healthcare NHS Trust,13/06/2024,CONTRACT-SECURITY,Commercial,CONTINENTAL FACILITIES MANAGEMENT GROUP,0026134914,78126.00,"93,751.20"
Department of Health,East Sussex Healthcare NHS Trust,17/06/2024,NHSLA-CNST INSURANCE,Corporate Services,NHS RESOLUTION,0026135993,1698118.40,"1,729,675.50"
Department of Health,East Sussex Healthcare NHS Trust,17/06/2024,OTHER INSURANCE NOT PROP/VHCL,Corporate Services,NHS RESOLUTION,0026135993,31557.10,"1,729,675.50"
Department of Health,East Sussex Healthcare NHS Trust,19/06/2024,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001834152,3751.70,"92,094.67"
Department of Health,East Sussex Healthcare NHS Trust,19/06/2024,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001834152,87592.63,"92,094.67"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160755,214387.10,"214,387.10"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,NHS SUPPLY CHAIN,0000160784,16874.38,"296,603.74"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,NHS SUPPLY CHAIN,0000160784,181593.15,"296,603.74"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,ENGINEERING MATERIALS,Integrated Care,NHS SUPPLY CHAIN,0000160784,5586.00,"296,603.74"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CONT.MAIN-MED & SURG EQUIP,Commercial,NHS SUPPLY CHAIN,0000160784,43116.21,"296,603.74"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160788,183668.68,"183,668.68"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160789,242075.28,"242,075.28"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160846,80658.06,"80,658.06"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,GENERAL RATES,Commercial,NHS PROPERTY SERVICES LTD,0000160847,8493.14,"56,006.33"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CAP EXP LEASED BUILDINGS,Other Central,NHS PROPERTY SERVICES LTD,0000160847,47513.19,"56,006.33"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0000160882,-29904.50,"-29,904.50"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PROVISIONS,Commercial,THE CUISINE CENTRE,0001564426,41613.72,"41,613.72"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PROVISIONS,Commercial,THE CUISINE CENTRE,0001564428,42443.32,"42,443.32"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,COMPUTER SOFTWARE,Integrated Care,HICOM TECHNOLOGY,0001833038,49200.00,"49,200.00"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PHOTOCOPIER HIRE,Corporate Services,CANON (UK) LTD,0001833532,38489.84,"46,187.81"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,INVICTA BUILDING SERVICES LIMITED,0001833793,50160.00,"50,160.00"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,BOOKER & BEST LIMITED,0001834144,30452.40,"30,452.40"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,QUANTUM PHARMACEUTICAL LIMITED,0012107924,32352.98,"32,352.98"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0012108140,54720.00,"54,720.00"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,AAH PHARMACEUTICALS LTD,0013156598,34852.10,"34,852.10"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,JANSSEN-CILAG LTD,0013156888,32450.52,"32,450.52"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PACEMAKERS,Integrated Care,MEDTRONIC LTD,0026134323,76000.00,"91,200.00"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PACEMAKERS,Integrated Care,MEDTRONIC LTD,0026134536,85680.00,"85,680.00"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PHOTOCOPIER HIRE,Corporate Services,CANON (UK) LTD,0026134801,25264.04,"30,316.85"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PROFESSIONAL FEES,Integrated Care,SOUTH DOWNS HEALTH AND CARE LTD,0026134880,28617.10,"28,617.10"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CONTRACT - MANAGEMENT FEE,Integrated Care,ROCHE DIAGNOSTICS LTD,0026134990,397440.00,"476,928.00"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,CONTRACT-SCANNING SERVICE,Integrated Care,INHEALTH LIMITED,0026135415,209221.15,"251,065.38"
Department of Health,East Sussex Healthcare NHS Trust,20/06/2024,PROFESSIONAL FEES,Commercial,SALISBURY TRADING LIMITED,0026135424,172382.29,"206,858.75"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,NHS SUPPLY CHAIN,0000160778,27553.89,"33,064.67"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160848,195031.65,"195,031.65"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000160849,215899.61,"215,899.61"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONT.MAIN-MED & SURG EQUIP,Integrated Care,NHS SUPPLY CHAIN,0000160851,58725.00,"70,470.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),0000160893,57258.68,"57,258.68"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,BLOOD PRODUCTS - NBS ST CONTRA,Integrated Care,NHS BLOOD AND TRANSPLANT (NHSBT),0000160896,72468.21,"72,468.21"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001781894,37436.12,"37,436.12"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0001782589,26145.22,"26,145.22"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,HEARING AIDS & BATTERIES,Integrated Care,ACTION FOR DEAFNESS,0001833875,33600.00,"85,600.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,PROFESSIONAL FEES,Integrated Care,ACTION FOR DEAFNESS,0001833875,52000.00,"85,600.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,WATER-RATES & METERED,Commercial,SMARTA WATER LIMITED,0001833928,27733.78,"27,733.78"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,WATER-RATES & METERED,Commercial,SMARTA WATER LIMITED,0001834184,30622.17,"30,622.17"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,MOBILE PHONES EE,Corporate Services,EE LTD,0001834206,33055.81,"33,055.81"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,BOOKER & BEST LIMITED,0001834264,26827.20,"26,827.20"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,QUANTUM PHARMACEUTICAL LIMITED,0012107911,32766.07,"32,766.07"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0012107954,91245.60,"91,245.60"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0012107962,28727.96,"28,727.96"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0012108069,54720.00,"54,720.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,ALLOGA UK LTD,0013156871,31900.00,"31,900.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,CSL BEHRING,0013156970,121800.00,"121,800.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,STOCK-ASCRIBE EDGH,Pharmacy Stock,OCTAPHARMA LTD,0013156989,25534.80,"25,534.80"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,SLA NHS PROPERTY SERVICES,Commercial,NHS PROPERTY SERVICES LTD,0026120805,78785.68,"78,785.68"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONTINENCE PRODUCTS,Integrated Care,ESSITY UK LTD,0026132261,45128.84,"45,128.84"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONTINENCE PRODUCTS,Integrated Care,ESSITY UK LTD,0026132262,34503.70,"34,503.70"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,PROFESSIONAL FEES,Integrated Care,EMIS HEALTH,0026133686,-426.19,"26,788.57"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,COMPUTER MAINT - SOFTWARE,Integrated Care,EMIS HEALTH,0026133686,22750.00,"26,788.57"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONTINENCE PRODUCTS,Integrated Care,ESSITY UK LTD,0026135007,43224.92,"43,224.92"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONTINENCE PRODUCTS,Integrated Care,ESSITY UK LTD,0026135010,33743.06,"33,743.06"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,GENERAL CHEMICALS,Integrated Care,CEPHEID UK LTD,0026135186,26160.00,"26,160.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CAPITAL EXPEND BUILDINGS,Other Central,BLOOM PROCUREMENT SERVICES LTD,0026135275,27023.65,"27,023.65"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,SCANNING FEES,Corporate Services,HUGH SYMONS INFO MANAGEMENT LTD,0026135426,41717.21,"50,060.65"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,PROFESSIONAL FEES,Corporate Services,TPX IMPACT LTD,0026135783,109097.50,"130,917.00"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,COMPUTER SOFTWARE,Integrated Care,PHILIPS ELECTRONICS UK LIMITED,0026135820,41890.26,"41,890.26"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,MEDICAL IMAGING PARTNERSHIP LTD,0026136074,103650.20,"124,380.23"
Department of Health,East Sussex Healthcare NHS Trust,27/06/2024,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,MEDICAL IMAGING PARTNERSHIP LTD,0026136075,56386.88,"67,664.25"
