Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - West,HCL NURSING,HNSI0000484,11786.92
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,City West CMHT MHSOP,HCL NURSING,HNSI0000484,2762.71
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000484,1371.39
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000484,56.25
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000484,395.68
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000484,878.75
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000484,254.97
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000484,1994.63
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000484,452.96
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000484,4464.71
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Dalgliesh Ward,HCL NURSING,HNSI0000484,56.25
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,"East Planned Care - Oadby,Wigston & Harborough",HCL NURSING,HNSI0000484,3147.03
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000484,1702.58
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000484,2513.04
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,H&B Comm Hosp East Ward,HCL NURSING,HNSI0000484,597.95
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000484,1261.06
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000484,796.52
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Lough Swithland Ward,HCL NURSING,HNSI0000484,142.64
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000484,2010.21
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,St Lukes Stroke Ward,HCL NURSING,HNSI0000484,116.97
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000484,240.37
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000484,1416.08
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000484,561.10
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000484,4112.93
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Welford Ward,HCL NURSING,HNSI0000484,267.82
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Welford Ward,HCL NURSING,HNSI0000484,302.58
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,West Planned Care  - Charnwood Hub,HCL NURSING,HNSI0000484,1188.23
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000479,962.62
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000479,1989.17
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - East,HCL NURSING,HNSI0000479,20786.08
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - West,HCL NURSING,HNSI0000479,9924.17
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,City West CMHT MHSOP,HCL NURSING,HNSI0000479,1046.16
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000479,1230.21
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000479,329.81
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000479,324.04
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000479,26.23
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000479,286.99
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000479,772.89
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000479,511.80
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000479,3660.54
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,"East Planned Care - Oadby,Wigston & Harborough",HCL NURSING,HNSI0000479,2709.69
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000479,1228.87
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000479,513.58
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,H&B Comm Hosp East Ward,HCL NURSING,HNSI0000479,201.06
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000479,229.81
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000479,639.60
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000479,180.21
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000479,392.89
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000479,2671.63
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000479,4145.72
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Welford Ward,HCL NURSING,HNSI0000479,572.82
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Welford Ward,HCL NURSING,HNSI0000479,941.53
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,West Planned Care  - Charnwood Hub,HCL NURSING,HNSI0000479,622.53
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Unitary Payment,"The Agnes Unit (AKA Assessment and Treatment Centre) (P85, LPT)",ARDEN PARTNERSHIP (LEICESTER),SI0057,115653.43
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,WIP Project Not in BS - Buildings excl Dwellings,Work in Progress,INTERSERVE CONSTRUCTION LTD,TMP00718,429418.64
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,External Data Processing / Storage,Records & information Governance,H COATES LTD/TA C&V DATA,4002801,32704.15
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Payroll Deductions -Home Electronics 48 Sep 20,Balance Sheet Collection,SME HCI LTD,133352,24667.50
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Computer Hardware,COVID 19,DELL COMPUTERS,7402647025,44880.00
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Computer Hardware,COVID 19,DELL COMPUTERS,7402648360,44880.00
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Computer Hardware,COVID 19,DELL COMPUTERS,7402648177,26928.00
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,HR / Payroll Services,HR Employment Services,LINCOLNSHIRE PART NHSFT(RP7),2000020916,29360.83
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Beaumont Leys Health Centre (P94, LPT)",WATER PLUS,0865005329/INV03999601,91.84
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,Bridge Park Road (Unit C18) (LPT),WATER PLUS,0865005329/INV03999601,25.82
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Bridge Park Road - Units 2 and 3 (P148, LPT)",WATER PLUS,0865005329/INV03999601,852.49
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Coalville Community Hospital (P138, LPT)",WATER PLUS,0865005329/INV03999601,526.27
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Coalville Health Centre (P121, LPT)",WATER PLUS,0865005329/INV03999601,259.29
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Evington Centre (P6, LPT)",WATER PLUS,0865005329/INV03999601,1665.79
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Feilding Palmer Hospital (Lutterworth) (P131, LPT)",WATER PLUS,0865005329/INV03999601,110.91
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,HIS,WATER PLUS,0865005329/INV03999601,59.56
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,Hinckley & District Hospital (PROPCO),WATER PLUS,0865005329/INV03999601,111.39
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Hinckley and Bosworth Community Hospital (Sunnyside) (P133, LPT)",WATER PLUS,0865005329/INV03999601,2815.52
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Hynca Lodge (P33, LPT)",WATER PLUS,0865005329/INV03999601,187.02
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Conferences And Seminars,"Loughborough Hospital (P136, LPT)",WATER PLUS,0865005329/INV03999601,16129.60
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Loughborough Hospital (P136, LPT)",WATER PLUS,0865005329/INV03999601,84266.60
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Narborough Health Centre (P117, LPT)",WATER PLUS,0865005329/INV03999601,946.96
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"OSL House (P54, LPT)",WATER PLUS,0865005329/INV03999601,334.63
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Orchard Resource Centre (P15, LPT)",WATER PLUS,0865005329/INV03999601,395.80
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Prince Philip House (P96, LPT)",WATER PLUS,0865005329/INV03999601,203.91
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,Rothesay -  London Road 352A (LPT),WATER PLUS,0865005329/INV03999601,268.72
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Rubicon Close 3 (P56, LPT)",WATER PLUS,0865005329/INV03999601,59.59
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Rutland Memorial Hospital (P134, LPT)",WATER PLUS,0865005329/INV03999601,774.71
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Shepshed Health Centre (P123, LPT)",WATER PLUS,0865005329/INV03999601,277.94
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Springfield Road Health Centre (P92, LPT)",WATER PLUS,0865005329/INV03999601,228.12
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Stewart House (P61, LPT)",WATER PLUS,0865005329/INV03999601,899.82
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Swithland House - London Road 352 (P44, LPT)",WATER PLUS,0865005329/INV03999601,113.46
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"The Agnes Unit (AKA Assessment and Treatment Centre) (P85, LPT)",WATER PLUS,0865005329/INV03999601,731.12
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"The Cedars (P19, LPT)",WATER PLUS,0865005329/INV03999601,265.88
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"The Grange 1 (P4, LPT)",WATER PLUS,0865005329/INV03999601,88.17
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"The Grange 2 (P41, LPT)",WATER PLUS,0865005329/INV03999601,85.57
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"The Willows - Cordelia Close (P22, LPT)",WATER PLUS,0865005329/INV03999601,1707.38
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Westcotes Group - Tanglewood Resource Centre (P77, LPT)",WATER PLUS,0865005329/INV03999601,131.86
Department of Health,Leicestershire Partnership NHS Trust,06/10/20,Water & Sewerage Charges,"Westcotes Group -Westcotes House (P78, LPT)",WATER PLUS,0865005329/INV03999601,96.56
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,GP IT Expenditure,Area Team,SYNTAX CONSULTANCY LTD,1265,25000.00
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,GP IT Expenditure,Area Team,SYNTAX CONSULTANCY LTD,1266,25000.00
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,GP IT Expenditure,Area Team,SYNTAX CONSULTANCY LTD,1267,25000.00
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,GP IT Expenditure,Area Team,SYNTAX CONSULTANCY LTD,1268,25000.00
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,Network Costs - WAN Maint,HIS Infrastructure,VIRGIN MEDIA BUSINESS,262421-172,41181.47
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,Computer License  Fees,Information Services,PHOENIX SOFTWARE LTD,OP/I877694,35428.67
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,Electricity,Estates & Facilities Central,UHL NHS TRUST (RWE),L0244971,37515.15
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,Electricity,Estates & Facilities Central,UHL NHS TRUST (RWE),L0244970,37515.15
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,UHL Facilities Management SLA,Estates Central Invoices To Recharge,UHL NHS TRUST (RWE),L0244968,927445.43
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,UHL Facilities Management SLA,Estates Central Invoices To Recharge,UHL NHS TRUST (RWE),L0244969,927445.43
Department of Health,Leicestershire Partnership NHS Trust,07/10/20,Rent,County Hall,LEIC COUNTY COUNCIL,6285765,34488.50
Department of Health,Leicestershire Partnership NHS Trust,08/10/20,Network Costs - WAN Maint,HIS Infrastructure,VIRGIN MEDIA BUSINESS,262421-173,41181.47
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,AMH - Central Access Point,HCL NURSING,HNSI0000503,2164.06
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Adult City East CMHT - Merlyn Vaz,HCL NURSING,HNSI0000503,4626.83
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Adult County Charnwood CMHT - Loughborough Base,HCL NURSING,HNSI0000503,1069.88
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Adult County South Leicestershire CMHT,HCL NURSING,HNSI0000503,627.70
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Adult County West Leicestershire CMHT,HCL NURSING,HNSI0000503,1069.88
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Agnes Unit Management,HCL NURSING,HNSI0000503,5444.62
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 5 - AGENCY,Agnes Unit Management,HCL NURSING,HNSI0000503,7151.91
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Ashby Ward (Bradgate Unit),HCL NURSING,HNSI0000503,429.70
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Assertive Outreach Services,HCL NURSING,HNSI0000503,1069.88
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Aston Ward (Bradgate Unit),HCL NURSING,HNSI0000503,430.63
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Beaumont Ward - Bradgate Unit,HCL NURSING,HNSI0000503,1120.42
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 5 - AGENCY,Beaumont Ward - Bradgate Unit,HCL NURSING,HNSI0000503,320.14
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Belvoir Psychiatric Intensive Care Unit,HCL NURSING,HNSI0000503,327.30
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Crisis Resolution,HCL NURSING,HNSI0000503,5514.70
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Griffin Ward (HPC),HCL NURSING,HNSI0000503,574.91
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 5 - AGENCY,Griffin Ward (HPC),HCL NURSING,HNSI0000503,2990.24
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Heather Ward,HCL NURSING,HNSI0000503,714.77
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 5 - AGENCY,Heather Ward,HCL NURSING,HNSI0000503,320.14
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Leicestershire Psych-oncology Service,HCL NURSING,HNSI0000503,855.90
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Nurse - Band 6 -Agency,Mental Health Triage Team,HCL NURSING,HNSI0000503,1068.92
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Mill Lodge,HCL NURSING,HNSI0000503,517.15
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 5 - AGENCY,Mill Lodge,HCL NURSING,HNSI0000503,633.11
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 2 - AGENCY,Phoenix Ward (HPC),HCL NURSING,HNSI0000503,565.67
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,NURSE - BAND 5 - AGENCY,Stewart House,HCL NURSING,HNSI0000503,278.43
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Computer License  Fees,Finance Department,VERSION 1,INVSOL007415,35825.70
Department of Health,Leicestershire Partnership NHS Trust,12/10/20,Med Trainees - FY1,Medical Trainees,UHL NHS TRUST (RWE),L0245042,28846.02
Department of Health,Leicestershire Partnership NHS Trust,13/10/20,WIP Project Not in BS - Buildings excl Dwellings,Work in Progress,INTERSERVE CONSTRUCTION LTD,TMP00770,28875.18
Department of Health,Leicestershire Partnership NHS Trust,13/10/20,CHP Estates Management,Merlyn Vaz Centre (CHP),COMM HLTH PARTNERSHIPS LTD,0060168855,28677.33
Department of Health,Leicestershire Partnership NHS Trust,13/10/20,WIP Project Not in BS - Information Technology,Work in Progress,DELL COMPUTERS,7402652025,28980.00
Department of Health,Leicestershire Partnership NHS Trust,14/10/20,Insurance Costs,Chief Executives Office,NHS LITIGATION AUTHORITY,SICX403322,141476.10
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,Computer Hardware,FYPC Covid-19,DELL COMPUTERS,7402650595,43680.00
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000500,2296.90
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000500,835.64
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - East,HCL NURSING,HNSI0000500,20487.85
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - West,HCL NURSING,HNSI0000500,12536.29
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,Nurse - Band 6 -Agency,City West CMHT MHSOP,HCL NURSING,HNSI0000500,2116.04
Department of Health,Leicestershire Partnership NHS Trust,16/10/20,NURSE - BAND 2 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000500,432.73
