Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,East Sussex Healthcare NHS Trust,20/01/2016,LEASE OF LAND,Commercial,RYE WINCHELSEA & DISTRICT MEM HOSP LTD,0001544705,30000.00,
Department of Health,East Sussex Healthcare NHS Trust,20/01/2016,DRUGS-OTHER,Integrated Care,AAH PHARMACEUTICALS LTD,0001619941,36000.00,
Department of Health,East Sussex Healthcare NHS Trust,20/01/2016,CAPITAL EXPENDITURE,Other Central,DRAEGER MEDICAL UK LTD,0002253054,26811.88,
Department of Health,East Sussex Healthcare NHS Trust,20/01/2016,SURGICAL INSTRUMENTS,Integrated Care,INTUITIVE SURGICAL LIMITED,0002253084,25070.00,
Department of Health,East Sussex Healthcare NHS Trust,20/01/2016,CONT.MAIN-MED & SURG EQUIP,Integrated Care,MEDICA REPORTING LTD,0002253482,32935.00,
Department of Health,East Sussex Healthcare NHS Trust,20/01/2016,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0002302422,62928.00,
Department of Health,East Sussex Healthcare NHS Trust,20/01/2016,STOCK-ASCRIBE EDGH,Pharmacy Stock,ROCHE PRODUCTS LTD,0013037550,32826.95,
Department of Health,East Sussex Healthcare NHS Trust,26/01/2016,SLA WITH BSUH,Integrated Care,BRIGHTON AND SUSSEX UNIV HOSPS NHS TRUST,0000143973,137746.25,
Department of Health,East Sussex Healthcare NHS Trust,26/01/2016,NHS SUPPLY CHAIN CREDITORS,Cross Site,NHS SUPPLY CHAIN,0000144488,196033.56,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,COMPUTER SOFTWARE,Corporate Services,DATIX  LTD,0000628015,28703.75,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,PACS/RIS MANAGED SERVICE,Integrated Care,PHILIPS MEDICAL SYSTEMS UK LTD,0000628067,71180.40,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,PACS/RIS MANAGED SERVICE,Integrated Care,PHILIPS MEDICAL SYSTEMS UK LTD,0000628068,71240.40,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,ROCHE PRODUCTS LTD,0001262373,87168.12,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,CAPITAL EXPENDITURE,Other Central,H WILSON (ALFRISTON) LTD,0001436987,33560.84,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,GAS,Commercial,CORONA ENERGY,0001437270,42621.17,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,ELECTRICITY,Commercial,EDF ENERGY,0001437385,74164.57,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,CONTINENCE PRODUCTS,Integrated Care,PAUL HARTMANN LTD,0001543693,67961.33,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,PROVISIONS,Commercial,THE CUISINE CENTRE,0001914572,33329.77,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,COMPUTER SOFTWARE,Corporate Services,KAINOS SOFTWARE LTD,0002164614,506800.80,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,COMPUTER MAINTENANCE-HARDWARE,Corporate Services,ALLSCRIPTS HEALTHCARE (IT) UK LTD,0002253472,119528.71,
Department of Health,East Sussex Healthcare NHS Trust,27/01/2016,STOCK-ASCRIBE EDGH,Pharmacy Stock,ROCHE PRODUCTS LTD,0013036494,40018.34,
