"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD114","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD116","Eliminated","SCS1","Head of Operation Performance Group","Benefits and Credits directorate (B&C) deal with Tax Credits, Child Benefit, Childcare Services and Help to Save Programme. B&C deliver Tax Credits to nearly 5 million families and more than 8 million children: and Child Benefit to nearly 8 million f","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","contactUs@hmrc.gov.uk","OD770","0","1.00","N/A","N/A","","Other","Unknown","nan","1"
"OD117","JAMES MITTON","SCS2","Director Benefits & Credits Operations","Benefits and Credits directorate (B&C) deal with Tax Credits, Child Benefit, Childcare Services and Help to Save Programme. B&C deliver Tax Credits to nearly 5 million families and more than 8 million children: and Child Benefit to nearly 8 million f","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","4094911","1.00","125000","129999","","Operational Delivery Profession","North West","nan","1"
"OD121","N/D","SCS1","VAT and Penalty Reform Delivery - Making Tax Digital (Business)","HMRC's ambition is to become one of the most digitally advanced tax administrations in the world and Making Tax Digital is making fundamental changes to the way the tax system works - transforming tax administration so that it is more effective, more","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD151","1501350","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1"
"OD122","Eliminated","SCS1","Customer & Stakeholders Lead - Making Tax Digital (Business)","HMRC's ambition is to become one of the most digitally advanced tax administrations in the world and Making Tax Digital is making fundamental changes to the way the tax system works - transforming tax administration so that it is more effective, more","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","contactUs@hmrc.gov.uk","OD151","0","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1"
"OD127","N/D","SCS1","DD Financial Products & Services Team","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1789375","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD131","N/D","SCS1","Head of CT Innovation & Growth","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1887419","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD133","N/D","SCS1","Head of International Relations & Capability Building","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","3022874","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD136","JONATHAN SHERMAN","SCS2","Director for Business , Assets & International","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","1801785","1.00","105000","109999","","Government Tax Profession","London","nan","1"
"OD137","N/D","SCS1","Deputy Director - Customs International","Customs Policy & Startegy are the policy making unit responsible for HMRC departmental policy linked to EU Transition.","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","1782301","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD140","N/D","SCS1","Deputy Director CT Structure","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","2994922","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD141","N/D","SCS1","Head of Base Protection Policy","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1505891","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD143","N/D","SCS1","Head of Business Profits","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1735082","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD144","N/D","SCS1","Deputy Director Transfer Pricing","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","2400863","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD146","N/D","SCS1","Head of Customer Design and Journey Team","Customer Insight and Design provide the voice of the customer in all areas of HMRC's business, and lead on the design of easy-to-use services. They gather and analyse insight based on customer experience and feed this into the design and testing of p","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD230","8616056","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD148","N/D","SCS1","Deputy Director Strategy Development","We will provide the department with a precise articulation of what HMRC's strategies means for customers and its business. We will develop and mature HMRC enterprise level strategies based on agreed priorities of strategy committee and ensure HMRC tr","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD606","1717707","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD151","CRAIG OGILVIE","SCS2","Programme Director - Making Tax Digital (Business)","HMRC's ambition is to become one of the most digitally advanced tax administrations in the world and Making Tax Digital is making fundamental changes to the way the tax system works - transforming tax administration so that it is more effective, more","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","4244404","1.00","105000","109999","","Project Delivery Profession","Scotland","nan","1"
"OD153","N/D","SCS1","Deputy Director  Improving Customer Experience","Improving Customer Experience Team is responsible for setting, overseeing, and delivering the HMRC Charter standards and HMRC's customer experience facing performance objectives. Business sponsor for the Customer Experience Committee and business lea","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD230","3527923","1.00","N/A","N/A","","Operational Delivery Profession","Wales","nan","1"
"OD155","N/D","SCS1","Deputy Director for Excise & Environmental Taxes (Delivery)","Indirect Tax has a vital role in securing revenue, facilitating trade, and preparing to exit the European Union. We deliver the government's fiscal and policy objectives, working proactively with HM Treasury to design and implement changes. We tackle","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","2955962","1.00","N/A","N/A","","Other","North West","nan","1"
"OD159","N/D","SCS1","Deputy Director Customs Policy - Tariff Management & Duty Liability","Customs Policy & Startegy are the policy making unit responsible for HMRC departmental policy linked to EU Transition.","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","4835000","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD162","N/D","SCS1","Head of Stamp Taxes","BAI brings together all tax policy and technical work on direct business taxes, taxation of assets, and a wide range of international tax work. BAI also provides an expert, professional valuation service, which supports HMRC's compliance effort as we","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1083896","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1"
"OD163","N/D","SCS1","Deputy Director for Excise & Environmental Taxes (Design)","Indirect Tax has a vital role in securing revenue, facilitating trade, and preparing to exit the European Union. We deliver the government's fiscal and policy objectives, working proactively with HM Treasury to design and implement changes. We tackle","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","2574202","1.00","N/A","N/A","","Policy Profession","North West","nan","1"
"OD164","N/D","SCS1","Customer Strategy and Tax Design Finance","Customer Strategy and Tax Design delivers fiscal and policy objectives across direct and indirect taxes for businesses and individuals and leads on customer focused design and delivery across HMRC. Overseeing Customer Strategy and Tax Design Group co","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","3626969","1.00","N/A","N/A","","Government Finance Profession","London","nan","1"
"OD165","N/D","SCS1","HR Director Human Resources & Comms","As HMRC's Chief People Officer Group, our aim is to ensure we support all our people to be at their best at work. Led by insight, driven by our organisation's values and focused on outcomes, we work with colleagues to create a great experience for ev","HM Revenue and Customs","HM Revenue and Customs","Chief People Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD990T","1189810","1.00","N/A","N/A","","Human Resources Profession","London","nan","1"
"OD167","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD170","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD172","N/D","SCS1","Head of Function - Litigation & CCG Case Governance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","1607504","1.00","N/A","N/A","","Government Tax Profession","North East","nan","1"
"OD173","Vacant","SCS1","Deputy Director Governance","Deputy Director Governance","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","contactUs@hmrc.gov.uk","OD555","0","1.00","N/A","N/A","","Government Finance Profession","West Midlands","nan","1"
"OD174","N/D","SCS1","DD Large Business Compliance London","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD175","N/D","SCS1","DD Large Business Compliance Scotland and Northern Ireland","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Scotland","nan","1"
"OD176","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1"
"OD177","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD220","0","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1"
"OD178","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","0","1.00","N/A","N/A","","Policy Profession","North West","nan","1"
"OD179","N/D","SCS1","Head of Function - CCG Accountancy Strategic Lead","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","0","1.00","N/A","N/A","","Corporate Finance Profession","North East","Reporting Costs included in OD185 |","1"
"OD180","Vacant","SCS1","LB Deputy Director Midlands","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","contactUs@hmrc.gov.uk","OD204","0","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1"
"OD181","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","0","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1"
"OD182","N/D","SCS1","DD Large Business Compliance Midlands","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Policy Profession","West Midlands","nan","1"
"OD184","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","0","1.00","N/A","N/A","","Other","North West","nan","1"
"OD185","N/D","SCS1","Deputy Director National Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","959760","1.00","N/A","N/A","","Operational Delivery Profession","Yorkshire and The Humber","nan","1"
"OD188","N/D","SCS1","Deputy Director Corporate Centre","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","2469534","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1"
"OD189","N/D","SCS1","Deputy Director – Large Business North East & Yorkshire","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","18097975","1.00","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1"
"OD190","N/D","SCS1","Assistant Director Large Business Tax Compliance Coordination","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD189","2507215","1.00","N/A","N/A","","Government Tax Profession","South West","Jobshare","1"
"OD190","N/D","SCS1","Assistant Director Large Business Tax Compliance Coordination","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD189","2507215","1.00","N/A","N/A","","Government Tax Profession","South West","Jobshare","1"
"OD192","Vacant","SCS1","Assistant Director","Assistant Director","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Unknown","nan","1"
"OD193","N/D","SCS1","Deputy Director London","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","17301046","1.00","N/A","N/A","","Other","London","nan","1"
"OD194","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Northern Ireland","nan","1"
"OD196","N/D","SCS1","Assistant Director","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD189","0","1.00","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1"
"OD197","N/D","SCS1","DD Large Business Compliance South & Wales","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD220","0","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1"
"OD198","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD189","0","1.00","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1"
"OD199","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD220","0","0.80","N/A","N/A","","Government Tax Profession","South West","nan","1"
"OD200","N/D","SCS1","DD Large Business Compliance Strategy & Change","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","1717925","1.00","N/A","N/A","","Operational Delivery Profession","Wales","nan","1"
"OD203","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD189","0","0.86","N/A","N/A","","Other","Unknown","nan","1"
"OD204","NICOLE NEWBURY","SCS2","Director Large Business","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","19723050","1.00","105000","109999","","Government Tax Profession","West Midlands","nan","1"
"OD206","N/D","SCS1","Large Business North West - Deputy Director","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","15726018","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1"
"OD207","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1"
"OD208","N/D","SCS1","LBM Deputy Director Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1"
"OD209","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1"
"OD212","Eliminated","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","contactUs@hmrc.gov.uk","OD204","0","1.00","N/A","N/A","","Other","Unknown","nan","1"
"OD213","Eliminated","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","contactUs@hmrc.gov.uk","OD204","0","1.00","N/A","N/A","","Other","Unknown","nan","1"
"OD214","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","0.60","N/A","N/A","","Government Tax Profession","Scotland","nan","1"
"OD215","Eliminated","SCS1","DPT","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","contactUs@hmrc.gov.uk","OD185","0","1.00","N/A","N/A","","Other","Unknown","nan","1"
"OD219","N/D","SCS1","Head of Function – Strategy and Policy","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","1455656","1.00","N/A","N/A","","Policy Profession","London","nan","1"
"OD220","N/D","SCS1","LB Deputy Director, South & Wales","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","17719464","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1"
"OD221","N/D","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Scotland","nan","1"
"OD224","Eliminated","SCS1","DD Large Business Compliance","HMRC's Large Business (LB) directorate handles the tax compliance of the UK's 2,000 largest and most complex businesses.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","contactUs@hmrc.gov.uk","OD220","0","1.00","N/A","N/A","","Other","Unknown","nan","1"
