Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Recruitment Costs,Corporate HR,Agenda Resource Management Ltd,99849260,"1,224.12",Professional Services,HU12 8YJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Recruitment Costs,People,Onefix Recruitment Ltd,99850936,"26,400.00",Recruitment Services,PO3 5EJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99851281,"2,740.74",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99851283,"6,775.32",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99851287,"6,930.60",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,D&I Management,Alexander Mann Solutions Ltd,99851291,"2,648.52",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99851315,"6,159.24",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99851321,"3,848.22",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,Corporate Commercial,Alexander Mann Solutions Ltd,99851323,"3,151.56",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99851325,"1,181.38",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Data Storage & Recovery,Finance Operations 1,The Maltings Document Storage Solutions Ltd,99851330,307.54,Computing Services,CF24 5EZ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,T&S - Subsistence,Resourcing,Unspecified,99851522,19.20,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,T&S - Subsistence,Resourcing,Unspecified,99851522,17.11,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,T&S - Subsistence,Resourcing,Unspecified,99851523,15.20,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,UK - Professional Memberships & Subscriptions,"Risk, Information & Security Compliance",Unspecified,99851524,152.00,Professional Subscriptions (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,T&S - Mileage,UK SBS Data,Unspecified,99851525,63.23,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,06/12/2022,Agency Staff,ROE Application Upgrade,Alexander Mann Solutions Ltd,99854700,"4,090.44",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,T&S - Mileage,Project Office,Unspecified,99846688,46.80,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,IT Cloud Services,Production Services,Fastvue Ltd,99848046,"3,712.50",Computing Software,Dublin 7
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,Staff Training,Production Services,PLURALSIGHT LLC,99848811,"19,859.16",Computer Consumables,60055-9719-USD
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,Contract Staff,Project Office,Alexander Mann Solutions Ltd,99854708,"3,649.14",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,T&S - Subsistence,Operational Assurance,Unspecified,99856477,7.50,Breakfast (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,T&S - Subsistence,Operational Assurance,Unspecified,99856477,50.00,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,T&S - Subsistence,Operational Assurance,Unspecified,99856477,16.05,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,T&S - Vehicle Hire,Operational Assurance,Unspecified,99856477,42.98,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,07/12/2022,T&S - Other Charges,Finance Operations 2,Unspecified,99856478,25.00,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/12/2022,Consultancy Services,Production Services,Premiertec Consulting Ltd t/a Claremont,99856774,"78,232.52","Consultancy and Professional Services to develop two key work areas around API re-development and re-use, and automation of features connected to the primary and sub-processes associated with the SML process. Also included: BAU, CIs and CRs",NE1 3DY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/12/2022,Contract Staff,Production Services,Proventeq Limited,99858223,"80,124.00",Computer Consumables,RG6 6BU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/12/2022,T&S - Parking Tolls Congestion Charges,UK SBS Data,Unspecified,99858298,11.00,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,08/12/2022,T&S - Parking Tolls Congestion Charges,Operational Excellence,Unspecified,99858299,30.00,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,Printing & Stationery,Finance Operations 1,Banner Group Ltd,99806738,7.20,Office Supplies,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,T&S - Subsistence,HR Ops,Unspecified,99846103,15.20,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,T&S - Vehicle Hire,HR Ops,Unspecified,99846103,54.82,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,Recruitment Costs,Corporate HR,Agenda Resource Management Ltd,99858177,485.58,Professional Services,HU12 8YJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,Staff Training,HRSD Recoverables,The Retirement Counselling Service Ltd,99858374,"1,320.00",Training,GU34 5HT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,Health & Safety (inc. Medicals & Opticians),Corporate HR,Swindon Occupational Medical Services Ltd,99858377,380.00,Professional Services,GL7 7AL
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,T&S - Other Charges,Tier 1 ROE Transactions,Unspecified,99858538,80.00,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,T&S - Other Charges,Finance Operations 1,Unspecified,99858539,20.75,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,T&S - Subsistence,Finance Operations 1,Unspecified,99858539,30.50,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,T&S - Vehicle Hire,Finance Operations 1,Unspecified,99858539,91.53,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,Staff Training,HRSD Recoverables,Feldman Ltd T/A Brian Feldman and Associates,99859589,780.00,Training,SW15 5RH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,09/12/2022,Staff Training,HRSD Recoverables,Feldman Ltd T/A Brian Feldman and Associates,99859590,780.00,Training,SW15 5RH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858715,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858717,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858718,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858720,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858726,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858727,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858729,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858730,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858731,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858744,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858745,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Nursery Deductions,Balance Sheet,EDENRED (UK GROUP) LTD,99858753,-10.00,SR 11419256 CHILDCARE VOUCHER,SW1V 2RS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Nursery Deductions,Balance Sheet,EDENRED (UK GROUP) LTD,99858755,-70.00,SR 11419256 CHILDCARE VOUCHER,SW1V 2RS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Nursery Deductions,Balance Sheet,EDENRED (UK GROUP) LTD,99858757,35.00,SR 11419256 CHILDCARE VOUCHER DECEMBER 2022,SW1V 2RS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Nursery Deductions,Balance Sheet,EDENRED (UK GROUP) LTD,99858758,253.00,SR 11419256 CHILDCARE VOUCHER DECEMBER 2022,SW1V 2RS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Nursery Deductions,Balance Sheet,EDENRED (UK GROUP) LTD,99861634,"1,116.00",SR 11419256 CHILDCARE VOUCHER DECEMBER 2022,SW1V 2RS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,UK - Professional Memberships & Subscriptions,Procurement Policy & Strategy,Dun & Bradstreet Ltd,99861750,"6,146.40",Professional Memberships,W2 1AF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Computing Consumables,Production Services,Unspecified,99861899,135.10,GPC_Computer Consumables,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99861899,-135.10,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99861900,-272.16,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Hardware/Software Maintenance,D&I Management,Unspecified,99861900,272.16,GPC_Computer Hardware/Software Maint,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,Computing Consumables,D&I Management,Unspecified,99861901,59.76,GPC_Computer Consumables,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99861901,-59.76,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,T&S - Subsistence,People,Unspecified,99861902,4.85,Breakfast (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,T&S - Vehicle Hire,People,Unspecified,99861902,108.00,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,12/12/2022,T&S - Parking Tolls Congestion Charges,UK SBS Data,Unspecified,99861903,11.00,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99858724,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,Staff Training,HRSD Recoverables,Indigo Business Services Ltd,99860435,"7,560.00",Training,TW9 2PR
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99861945,0.80,08/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99861945,150.00,08/11/2022-Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Central Services Management,Corporate Travel Management (North) Ltd,99861945,0.16,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Executive Function,Corporate Travel Management (North) Ltd,99861945,0.80,16/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Executive Function,Corporate Travel Management (North) Ltd,99861945,162.00,16/11/2022-Mercure London Brid-London City-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Executive Function,Corporate Travel Management (North) Ltd,99861945,0.16,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 1,Corporate Travel Management (North) Ltd,99861945,0.80,08/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 1,Corporate Travel Management (North) Ltd,99861945,140.00,08/11/2022-Holiday Inn Exp New-Cardiff-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 1,Corporate Travel Management (North) Ltd,99861945,0.80,08/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 1,Corporate Travel Management (North) Ltd,99861945,140.00,08/11/2022-Holiday Inn Exp New-Cardiff-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 1,Corporate Travel Management (North) Ltd,99861945,0.80,20/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 1,Corporate Travel Management (North) Ltd,99861945,0.80,20/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 1,Corporate Travel Management (North) Ltd,99861945,0.64,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.80,21/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,158.00,21/11/2022-Hampton By Hilton Stockton On-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.80,21/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,158.00,21/11/2022-Hampton By Hilton Stockton On-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Finance Operations 2,Corporate Travel Management (North) Ltd,99861945,0.32,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,1.60,15/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,90.00,15/11/2022-Dcmu 10460 Copthorne Hotel Man-Manchester-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,254.32,15/11/2022-Hilton Garden Inn McR-Manchester-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.80,21/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,106.60,21/11/2022-Hardwick Hall Sedgefield-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.80,21/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,231.20,21/11/2022-Hardwick Hall Sedgefield-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.80,21/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,158.00,21/11/2022-Hampton By Hilton Stockton On-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.80,22/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,124.10,22/11/2022-Hardwick Hall Sedgefield-Teesside-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,HR Ops,Corporate Travel Management (North) Ltd,99861945,0.96,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,0.80,29/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,150.00,29/11/2022-Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,0.80,29/11/2022----Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,150.00,29/11/2022-Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,0.80,29/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,150.00,29/11/2022-Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,0.80,29/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,75.00,29/11/2022-Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Assurance,Corporate Travel Management (North) Ltd,99861945,0.64,Travel & Hotel charges,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,0.80,14/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,279.00,14/11/2022-Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,0.80,14/11/2022---Hotel Fee,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Accommodation,Operational Excellence,Corporate Travel Management (North) Ltd,99861945,279.00,14/11/2022-Jurys Inn Swindon-Bristol-Hotel,BD1 5HQ
