OrganisationName,OrganisationCode,EffectiveDate,Mandatory,Category,Data,Notes
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,Yes,Total number of fraud cases investigated,201,Figures based on completed cases only
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2021,No,Total number of occasions on which  fraud was identified,87,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2022,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",28,"11 – Prevention of Social Housing Fraud Act 2013, 17 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2022,Yes,Total number of employees undertaking investigations and prosecutions of fraud,18,"18 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council. 1 prosecution solicitor – employed by the council
"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2022,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,16.8,"16.8 FTE investigation staff, 0.2 FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2022,Yes,Total number of professionally accredited counter fraud specialists,17,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2022,Yes,FTE number of professionally accredited counter fraud specialists,15.8,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2022,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"270,457","£270,457 – annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2022,Yes,Total number of fraud cases investigated,109,Figures based on completed cases only
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2023,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",34,"6 – Prevention of Social Housing Fraud Act 2013, 28 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2023,Yes,Total number of employees undertaking investigations and prosecutions of fraud,19,"19 investigation staff employed by Veritau – a shared services company wholly owned by City of York Council and North Yorkshire County Council. 1 prosecution solicitor – employed by the council
"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2023,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,17.1,"17.1 FTE investigation staff, 0.2 FTE solicitor"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2023,Yes,Total number of professionally accredited counter fraud specialists,16,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2023,Yes,FTE number of professionally accredited counter fraud specialists,14.1,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2023,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"283,648","£283,648 – annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2023,Yes,Total number of fraud cases investigated,124,Figures based on completed cases only
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2024,Yes,"Number of occasions the council has used powers under the Prevention of Social Housing Fraud Act, or similar powers",89,"17 – Prevention of Social Housing Fraud Act 2013, 72 – Council Tax Reduction Scheme Regulations 2013"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2024,Yes,Total number of employees undertaking investigations and prosecutions of fraud,19,19 investigation staff employed by Veritau
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2024,Yes,FTE number of employees undertaking investigations and prosecutions of fraud,17.1,17.1 FTE investigation staff
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2024,Yes,Total number of professionally accredited counter fraud specialists,19,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2024,Yes,FTE number of professionally accredited counter fraud specialists,17.1 FTE,
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2024,Yes,Total amount spent by the council on the investigation and prosecution of fraud (£),"294,224","£294,224 – annual cost of Veritau investigation team"
City of York Council,http://opendatacommunities.org/id/unitary-authority/york,31/03/2024,Yes,Total number of fraud cases investigated,115,Figures based on completed cases only
