2006,Number of Notifications,,,,,,,,,,,,,,,,,,
,Agricultural Holding,,,,,,Slaughterhouse,,,,Unallocated,,,,,,Totals,,
FLUKE,0,17,0,6,0,126,0,0,0,0,0,0,0,0,0,0,149,,
FOG FEVER,0,15,0,13,0,79,0,0,0,0,0,0,0,0,0,0,107,,
GRASS TETANY,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,,
HAEMORRHAGE,0,54,0,33,1,201,0,0,0,1,0,0,0,0,0,0,290,,
HEART PROBLEMS,0,530,0,294,0,"5,162",0,0,0,5,0,0,0,0,2,6,"5,999",,
HYPOMAGNESAEMIA,0,10,0,6,0,172,0,0,0,0,0,0,0,0,0,2,190,,
ILL THRIFT,0,300,0,154,1,"4,656",0,0,0,13,0,1,0,0,0,10,"9,029",,
INTERNAL BLEEDING,0,101,0,50,1,388,0,0,0,0,0,0,0,0,0,0,540,,
INTERNAL INFECTION,0,61,0,34,1,289,0,0,0,0,0,0,0,0,0,0,385,,
INTESTINAL PROBLEMS,0,35,0,14,0,129,0,0,0,0,0,0,0,0,0,0,178,,
JAUNDICE DISEASE,0,3,0,3,0,44,0,0,0,0,0,0,0,1,0,0,51,,
JOHNES DISEASE,0,448,0,312,0,"3,200",0,0,0,0,0,0,0,0,0,2,"3,962",,
KIDNEY PROBLEMS,0,25,0,16,0,255,0,0,0,0,0,0,0,0,1,0,297,,
LAME / LAMENESS,0,936,0,660,10,"12,068",0,0,0,1,0,0,0,0,2,5,"13,682",,
LAMINITIS,0,21,0,12,0,90,0,0,0,0,0,0,0,0,0,0,123,,
LISTERIA (CIRCLING DISEASE),0,54,0,31,0,249,0,0,0,0,0,0,0,0,0,0,334,,
LIVER FLUKE,0,57,0,29,0,310,0,0,0,0,0,0,0,0,0,0,396,,
LIVER PROBLEMS,0,116,0,75,0,863,0,0,0,0,0,1,0,0,0,1,"1,056",,
LUNG PROBLEMS,0,223,0,97,1,615,0,0,0,1,0,0,0,0,0,0,937,,
LUNGWORM,0,43,0,16,0,46,0,0,0,0,0,0,0,0,0,0,105,,
LYMPH NODE PROBLEMS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
MALIGNANT CATERROL FEVER,0,2,0,2,0,24,1,0,0,0,0,0,0,0,0,0,29,,
MASTITIS,0,573,0,368,0,"7,387",0,0,0,0,0,2,0,0,0,5,"8,335",,
METABOLIC IMBALANCE,0,17,0,3,0,81,0,0,0,0,0,0,0,0,0,0,101,,
METRITUS,0,2,0,2,0,39,0,0,0,0,0,0,0,0,0,0,43,,
MILK FEVER,0,84,0,84,0,"4,756",0,0,0,0,0,0,0,0,1,6,"4,931",,
MINERAL DEFICIENCY,0,7,0,2,0,140,0,0,0,0,0,0,0,0,0,0,149,,
NEURO MUSCULAR DAMAGE,0,8,0,5,0,65,0,0,0,0,0,0,0,0,0,0,78,,
NO DOCUMENTATION,0,56,0,28,0,156,5,2,0,40,0,0,0,0,0,5,292,,
OBTURATOR PARALYSIS,0,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,42,,
OLD AGE,0,13,0,7,6,"3,630",0,0,0,22,0,0,0,0,9,12,"3,699",,
OTHER,0,"8,447",0,"4,008","1,063","44,762",107,18,1,305,0,17,0,1,861,125,"59,715",,
OVER AGE AT ABATTOIR,0,10,0,1,2,33,4,1,0,37,0,0,0,0,1,2,91,,
PAPILLITTIS,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,37,,
PAPILLOMATOSIS,0,21,0,10,0,86,0,0,0,0,0,0,0,0,0,1,118,,
PARALYSIS,0,24,0,11,3,94,0,0,0,0,0,0,0,0,24,0,156,,
PELVIC INJURY,0,14,0,18,22,96,0,0,0,0,0,0,0,0,35,0,185,,
PERITONITIS,0,224,0,97,0,714,0,0,0,1,0,0,0,0,0,1,"1,037",,
PHOTOSYNTHESIS PROBLEMS,0,4,0,3,0,41,0,0,0,0,0,0,0,0,0,0,48,,
PNEUMONIA,0,"2,391",0,562,0,"2,872",1,1,0,0,0,3,0,0,0,5,"5,835",,
POISONING,0,274,0,83,0,737,0,0,0,0,0,1,0,0,0,0,"1,095",,
PROLAPSED EYE,0,4,0,2,2,42,0,0,0,0,0,0,0,0,1,0,51,,
PROLASPED UTERUS,0,78,0,46,0,711,0,0,0,0,0,0,0,0,0,0,835,,
RECUMBENT,0,36,0,15,0,207,0,0,0,0,0,0,0,0,0,0,258,,
RED WATER DISEASE,0,24,0,4,0,162,0,0,0,0,0,0,0,0,0,4,194,,
RHEUMATISM,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,26,,
SCOURS: SCOURING,0,85,0,30,2,389,0,0,0,0,0,0,0,0,0,0,506,,
SEPTIC LEG,0,3,0,2,0,17,0,0,0,0,0,0,0,0,0,0,22,,
SEPTICAEMIA,0,63,0,23,0,307,0,0,0,0,0,0,0,0,0,0,393,,
SPINAL PROBLEMS,0,107,0,41,23,474,0,0,0,0,0,0,0,0,49,1,695,,
SPLITS,0,468,0,319,77,"2,727",2,0,0,5,0,0,0,0,40,2,"3,640",,
STAGGERS,0,512,0,485,1,"10,538",0,1,0,5,0,1,0,0,1,10,"11,554",,
STOMACH PROBLEMS,0,176,0,102,0,957,0,0,0,0,0,0,0,0,0,1,"1,236",,
STRUCK BY LIGHTNING,0,77,0,22,0,238,0,0,0,0,0,0,0,0,0,0,337,,
SUB-SOLAR ABCESS,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,
SWALLOWED FOREIGN OBJECT,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,9,,
TB REACTOR - WELFARE CULL,0,7,0,2,0,41,0,0,0,0,0,0,0,0,0,0,50,,
TETANY,0,7,0,4,0,43,0,0,0,0,0,0,0,0,0,0,54,,
TORSION OF ABOMASUM,0,34,0,21,0,251,0,0,0,0,0,0,0,0,0,0,306,,
TOXCEMIA,0,8,0,2,0,58,0,0,0,0,0,0,0,0,0,0,68,,
TRAFFIC ACCIDENT,0,7,0,1,0,17,0,0,0,0,0,0,0,0,0,0,25,,
TWISTED STOMACH,0,451,0,259,1,"2,791",0,1,0,1,0,0,0,0,0,3,"3,507",,
TWISTED UTERUS,0,6,0,6,0,105,0,0,0,0,0,0,0,0,0,0,117,,
UDDER PROBLEMS,0,21,0,6,0,121,0,0,0,0,0,0,0,0,0,0,148,,
ULCERATION,0,22,0,17,0,135,0,0,0,0,0,0,0,0,0,0,174,,
UNABLE TO CALVE,0,9,0,8,1,52,0,0,0,0,0,0,0,0,0,0,70,,
UNKNOWN,0,"1,399",0,579,44,"6,810",6,0,0,30,0,3,0,0,43,27,"8,941",,
UTERINE HAEMORRHAGE,0,5,0,4,0,32,0,0,0,0,0,0,0,0,0,0,41,,
UTERUS PROBLEMS,0,18,0,9,3,158,0,0,0,0,0,0,0,0,2,0,190,,
WELFARE CASE,0,15,0,4,0,190,1,2,0,12,0,0,0,0,0,1,225,,
WOODEN TONGUE,0,6,0,8,0,28,0,0,0,0,0,0,0,0,0,0,42,,
YEW POISONING,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,10,,
Totals,0,"27,506",0,"13,302","1,816","170,391",147,31,2,574,0,37,0,3,"1,586",286,"215,681",,
