Property Reference,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Liable From,RV,Property Description,Charity Y/N,Disc %,Mand %,SBRR Y/N,s44a Y/N,Hardship Y/N,Local Discount,Retail Relief Y/N
10058X00100058     ,W S ALLELY LTD                  ,                                ,UNIT 9                          ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,01.04.2005                                               ,17250,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
10058X00110026     ,DAMAR INTERIORS (NORTH WEST) LTD,                                ,UNIT 10                         ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,21.03.2012                                               ,7000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
10058X001200X7     ,DAMAR INTERIORS (NORTH WEST) LTD,                                ,UNIT 11                         ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,21.10.2013                                               ,9300,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
10058X0014006B     ,G S ROCHDALE AUTOS LTD          ,                                ,                                ,                                ,UNIT 13A                           ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                        ,                                ,OL11 4JB,01.02.2019                                               ,5200,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
10058X00150019     ,BREEDON SOUTHERN LTD            ,                                ,TARMAC TOPMIX                   ,                                ,ALBION ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HQ,11.09.2015                                               ,19000,CONCRETE BATCHING PLANT AND PREMISES                        ,N,0,0,N,N,N,N,N
10058X46097239     ,JEM FIRE PUMPS LIMITED  ,Redacted Personal Data,UNIT 4-5                        ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HN,01.04.2005                                               ,24750,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
10058X97378008     ,ONE PT LTD                      ,                                ,                                ,                                ,UNIT 1 ALBION INDUTRIAL ESTATE     ,ROCHDALE                           ,                                ,                                ,OL11 4JB,01.04.2016                                               ,17750,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1010950010005B     ,ABM (LANCASHIRE) LTD            ,                                ,UNIT 10                         ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,27.04.2011                                               ,7400,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.01E+13,NUCLEUS MARKETING SERVICES      ,LTD                             ,                                ,                                ,"UNIT 3, 4 & PT 5 ALMA INDUSTRIAL   ",ESTATE                             ,ROCHDALE                        ,                                ,OL12 0HQ,01.05.2010                                               ,27750,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.01E+13,PURE FILTERS (INTERNATIONAL) LTD,                                ,                                ,                                ,UNIT 2 ALMA INDUSTRIAL ESTATE      ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,06.04.2018                                               ,40750,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.01E+13,PURE FILTERS (INTERNATIONAL)    ,LTD                             ,                                ,                                ,UNIT 1 ALMA INDUSTRIAL ESTATE      ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,01.01.2013                                               ,32750,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.01E+13,NUCLEUS MARKETING SERVICES LTD  ,                                ,UNIT 7                          ,                                ,ALMA INDUSTRIAL ESTATES            ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,24.04.2018                                               ,16750,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.01E+13,NEXUS DRINKS SYSTEMS LTD        ,                                ,UNIT 6                          ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,01.05.2007                                               ,16750,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.01E+13,TRI-CAST COMPOSITE TUBES LTD    ,                                ,UNIT 9                          ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,16.06.2010                                               ,7700,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.01E+13,ASPDEN & MIDDLETON PROPERTIES   ,LTD                             ,BOUNDARY WORKS                  ,                                ,BOUNDARY STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1QX,01.04.2007                                               ,1675,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.01E+13,BEEWEB LTD                      ,                                ,LANCASHIRE WORKS BEE WEBB       ,                                ,AMBROSE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QX,01.04.2005                                               ,5600,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.01E+13,THE CATHOLIC CLUB               ,                                ,CATHOLIC CLUB                   ,                                ,ANN STREET                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QQ,01.04.2005                                               ,6500,CLUB AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1.01E+13,A & A PLUMBING LTD              ,T/A DALE PLUMBING MERCHANTS     ,                                ,                                ,UNIT 3 ANN STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,01.03.2017                                               ,5000,OFFICE & PREMISES                                           ,N,0,0,Y,N,N,N,N
1.01E+13,CHUNKY DISTRIBUTION LTD         ,                                ,                                ,                                ,UNITS 1 & 2 ANN STREET             ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,29.09.2015                                               ,6200,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.02E+13,NW RESERVE FORCES & CADETS      ,ASSOC                           ,ATC HUT                         ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QH,01.04.2005                                               ,3400,HALL AND PREMISES                                           ,Y,100,0,N,N,N,N,N
1019620062002B     ,BNM LETTINGS LTD                ,                                ,                                ,                                ,224 ASHFIELD ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QH,20.05.2016                                               ,1850,SHOP AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1.02E+13,CASTLETON BOWLING CLUB          ,                                ,CASTLETON BOWLING CLUB          ,                                ,ASHTON STREET                      ,ROCHDALE                           ,                                ,                                ,OL11 3RT,01.04.2005                                               ,4600,BOWLING GREEN AND PREMISES                                  ,N,0,0,Y,N,N,N,N
1.02E+13,TELEFONICA UK LIMITED           ,                                ,T-MOBILE SITE REF 52068         ,                                ,HAMER LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UL,03.02.2011                                               ,5900,COMMUNICATION STATION AND PREMISES                          ,N,0,0,N,N,N,N,N
1.02E+13,ROCHDALE PETRUS COMM            ,                                ,UNIT 1 ASHWOOD HOUSE            ,                                ,HAMER LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UL,01.07.2013                                               ,20250,WORKSHOP AND PREMISES                                       ,Y,20,80,N,N,N,N,N
10268X95055701     ,FISHERFIELD FARM NURSERY LTD    ,                                ,THE GABLES                      ,                                ,34 BAGSLATE MOOR ROAD              ,ROCHDALE                           ,                                ,                                ,OL11 0HQ,01.04.2005                                               ,13750,DAY NURSERY AND PREMISES                                    ,N,0,0,N,N,N,N,N
1.03E+13,ROCHDALE MBC                    ,                                ,                                ,                                ,17A BAILLIE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,20.05.2013                                               ,13000,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.03E+13,ROCHDALE MBC                    ,                                ,                                ,                                ,19 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,01.06.2018                                               ,7900,SHOWROOM AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.03E+13,ROCHDALE MBC                    ,                                ,                                ,                                ,21 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,15.07.2015                                               ,5900,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.03E+13,A2 PROPERTY LIMITED             ,                                ,SHOP AT 1A-3A                   ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,03.04.2016                                               ,9000,SHOP AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1.03E+13,ROCHDALE MBC                    ,                                ,                                ,                                ,1ST FLR 19                         ,BAILLIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JJ,11.03.2014                                               ,5800,HAIRDRESSING SALON AND PREMISES                             ,N,0,0,N,N,N,N,N
1.03E+13,CASHIER LTD                     ,                                ,SHOP 1 AT 1A-3A                 ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,01.09.2008                                               ,12750,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.03E+13,ASHWORTH VIEW LIMITED           ,                                ,                                ,                                ,ASHWORTH VIEW NURSERY              ,EDENFIELD ROAD                     ,ROCHDALE                        ,                                ,OL12 7TY,16.09.2013                                               ,20750,DAY NURSERY AND PREMISES                                    ,N,0,0,N,N,N,N,N
1.03E+13,A2 SOLICITORS LLP               ,                                ,                                ,                                ,1ST FLR OFFICES AT 1A-3A           ,BAILLIE STREET                     ,ROCHDALE                        ,                                ,OL16 1JJ,01.04.2015                                               ,5700,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.03E+13,A2 SOLICITORS LLP               ,                                ,                                ,                                ,A2 SOLICITORS SHOP                 ,AT 1A-3A BAILLIE STREET            ,ROCHDALE                        ,                                ,OL16 1JJ,01.04.2015                                               ,8700,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.03E+13,FRENCH IMPORTS LTD              ,RETIREMENT BENEFITS SCHEME      ,                                ,                                ,2ND & 3RD FLR OFFICES 2-4          ,1A-3A BAILLIE STREET               ,ROCHDALE                        ,                                ,OL16 1JJ,14.02.2014                                               ,6800,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.03E+13,RUMMA CONSULTING LTD            ,                                ,                                ,                                ,2 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,30.11.2010                                               ,30000,SHOP AND PREMISES                                           ,N,0,0,N,N,N,Y,Y
1.03E+13,OLD HILL MARKET (HALESOWEN) LTD ,                                ,A2 ACCIDENT SOLICITORS          ,                                ,6 BULL BROW CHAMBERS               ,BAILIIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JG,26.03.2014                                               ,0,PROPERTY BEING CONVERTED                                    ,N,0,0,N,N,N,N,N
1027770002005B     ,WILLIAM HILL ORGANISATION LTD   ,                                ,                                ,                                ,4 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,01.04.2005                                               ,22250,BETTING SHOP AND PREMISES                                   ,N,0,0,N,N,N,N,N
1.03E+13,OLD HILL MARKET (HALES OWEN) LTD,                                ,BST                             ,6A                              ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,20.07.2010                                               ,0,PROPERTY BEYOND ECONOMIC REPAIR                             ,N,0,0,N,N,N,N,N
1027774472562B     ,THE HOPE GROUP     ,Redacted Personal Data,OFFICE 8 BULL BROW CHAMBERS     ,                                ,6 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,20.10.2005                                               ,0,PROPERTY BEING CONVERTED                                    ,N,0,0,Y,N,N,N,N
1.03E+13,SOCIAL NETWORK LIMITED          ,                                ,                                ,08-Oct,1ST FLR BAILLIE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,27.03.2014                                               ,7000,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.03E+13,OLDHILL MARKET(HALESOWEN) LTD   ,                                ,VACANT 2ND FLR                  ,BULL BROW CHAMBERS              ,6 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JG,30.11.2014                                               ,0,PROPERTY BEING CONVERTED                                    ,N,0,0,N,N,N,N,N
1.03E+13,ABRAHAMS POCKET LTD             ,                                ,GND FLR 6A                      ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,                                ,                                ,OL16 1JG,27.06.2017                                               ,8500,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.03E+13,NOS 4 LTD                       ,C/O THE LOCAL SHOPPING          ,                                ,                                ,BST & 1ST FLR 14 BAILLIE STREET    ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JG,22.12.2012                                               ,5500,DANCE SCHOOL AND PREMISES                                   ,N,0,0,N,N,N,N,N
1.03E+13,SOCIAL NETWORK LIMITED          ,                                ,3RD FLR                         ,08-Oct,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,27.03.2014                                               ,5100,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.03E+13,OLD HILL MARKET (HALES OWEN) LTD,                                ,                                ,                                ,1ST FLR 6A                         ,BAILLIE STREET                     ,ROCHDALE                        ,                                ,OL16 1JG,30.08.2014                                               ,0,BEING CONVERTED                                             ,N,0,0,N,N,N,N,N
1027790089002A     ,NAMEPLATE SERVICES LTD          ,                                ,                                ,                                ,89 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,01.04.2005                                               ,9900,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
10283X00010086     ,ROCHDALE MBC                    ,                                ,BALDERSTONE PARK                ,RMBC                            ,OLDHAM ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2HB,01.04.2005                                               ,14250,LIBRARY AND PREMISES                                        ,N,0,0,N,N,N,N,N
1035810009006A     ,T PICKERING & SONS              ,                                ,T AND J PICKERING               ,                                ,BARON STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1SJ,01.04.2005                                               ,6700,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
1.04E+13,MOBILE BROADBAND NETWORK LTD    ,                                ,HUTCHISON 3G UK SITE REF        ,OL0003 OFF                      ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UY,29.10.2009                                               ,5700,COMMUNICATION STATION AND PREMISES                          ,N,0,0,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,                                ,                                ,OFFICE 6 2ND FLR                   ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,22.02.2018                                               ,1525,OFFICE                                                      ,Y,20,80,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,ASHIANA HOUSING ASSOCIATION     ,                                ,3RD FLOOR UNIQUE ENTERPRISE CENTRE ,BELFIELD ROAD                      ,ROCHDALE                        ,                                ,OL16 2UP,01.02.2018                                               ,22000,OFFICES AND PREMISES                                        ,Y,20,80,N,N,N,N,N
1.04E+13,COMMUNITY HEALTH PARTNERSHIPS   ,LTD                             ,CROFT SHIFA HEALTH CENTRE       ,                                ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UY,01.04.2013                                               ,243000,HEALTH CENTRE AND PREMISES                                  ,N,0,0,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,KASHMIR YOUTH PROJECT           ,                                ,1ST FLOOR ENTERPRISE CENTRE        ,BELFIELD ROAD                      ,ROCHDALE                        ,                                ,OL16 2UP,06.11.2017                                               ,11000,OFFICES AND PREMISES                                        ,Y,20,80,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,                                ,                                ,UNITS 7& 8                         ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,22.02.2018                                               ,4400,"OFFICES, OFFICE AND PREMISES                                ",Y,20,80,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,OFFICE 5 2ND FLOOR              ,                                ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                      ,ROCHDALE                        ,                                ,OL16 2UP,01.08.2018                                               ,1550,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,                                ,                                ,KASHMIR YOUTH PROJECT              ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,01.04.2009                                               ,15000,COMMUNITY CENTRE AND PREMISES                               ,Y,20,80,N,N,N,N,N
1.04E+13,HEALTHWATCH ROCHDALE            ,                                ,                                ,                                ,OFFICE 10 2ND FLR                  ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,03.04.2017                                               ,3100,OFFICE                                                      ,N,0,0,Y,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,                                ,                                ,17-19 BELFIELD ROAD                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UP,16.11.2009                                               ,23250,COMMUNITY CENTRE AND PREMISES                               ,Y,20,80,N,N,N,N,N
1.04E+13,STROKE ASSOCIATION              ,                                ,                                ,                                ,UNIT 9 UNIQUE ENTERPRISE CENTRE    ,BELFIELD ROAD                      ,ROCHDALE                        ,                                ,OL16 2UP,09.04.2014                                               ,3100,"OFFICES, OFFICE AND PREMISES                                ",Y,0,80,N,N,N,N,N
1.04E+13,VOICES FOR ALL LTD              ,                                ,                                ,                                ,OFFICE 11 2ND FLR                  ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,01.03.2018                                               ,2750,OFFICE                                                      ,Y,20,80,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,STAFF PREP OFFICE FLOOR 1       ,UNIQUE ENTERPRISE CENTRE        ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UP,15.11.2013                                               ,3750,OFFICE                                                      ,Y,20,80,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,OFFICE 4 2ND FLR AT UNIQUE      ,ENTERPRISE CENTRE               ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UP,01.04.2018                                               ,1550,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.04E+13,THE HUB PHARMACY LTD            ,                                ,THE PHARMACY AT CROFT SHIFA     ,HEALTH CENTRE                   ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2XT,31.12.2017                                               ,86000,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.04E+13,COLBY ASSOCIATES LTD            ,                                ,OFFICE 3 2ND FLR                ,                                ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                      ,ROCHDALE                        ,                                ,OL16 2UP,03.10.2016                                               ,1475,OFFICES AND PREMISES                                        ,N,0,0,Y,N,N,N,N
1.04E+13,COMMUNITY HEALTH PARTNERSHIP LTD,                                ,DR BABAR SURGERY AT             ,CROFT SHIFA HEALTH CENTRE       ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UY,01.04.2013                                               ,17750,SURGERY AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,                                ,                                ,OFFICE B 2ND FLR                   ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,01.04.2009                                               ,1650,OFFICE                                                      ,Y,20,80,N,N,N,N,N
1.04E+13,KASHMIR YOUTH PROJECT           ,                                ,                                ,                                ,OFFICE 1 2ND FLR                   ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,31.10.2017                                               ,1600,OFFICE                                                      ,Y,20,80,N,N,N,N,N
1.04E+13,S M CASH & CARRY LTD            ,                                ,UNIT C TRAFALGAR CENTRE         ,                                ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UP,22.02.2019                                               ,10750,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.04E+13,SEEROS DAYCARE NURSERY LTD      ,                                ,KING'S CASTLE PRIVATE DAY       ,NURSERY                         ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UX,01.04.2011                                               ,12250,DAY NURSERY AND PREMISES                                    ,N,0,0,Y,N,N,N,N
1.04E+13,TRENDMOST LIMITED               ,                                ,UNIT D TRAFALGAR CENTRE         ,                                ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UP,25.05.2012                                               ,31500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.04E+13,UNITED UK REAL ESTATE INVESTMENT,INDUSTRIAL HOLDINGS 2 LTD       ,UNIT E TRAFALGAR CENTRE         ,                                ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UP,31.01.2019                                               ,28250,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.04E+13,NW RESERVE FORCES & CADETS ASSOC,                                ,                                ,                                ,CADET CENTRE HUT                   ,BAMFORD ROAD                       ,HEYWOOD                         ,                                ,OL10 4TA,01.04.2017                                               ,1725,Hall and Premises                                           ,Y,100,0,N,N,N,N,N
1.04E+13,NW RESERVE FORCES & CADETS ASSOC,                                ,                                ,                                ,CADET CENTRE HUT & STORES          ,BAMFORD ROAD                       ,HEYWOOD                         ,                                ,OL10 4TA,01.04.2017                                               ,11500,HALL AND PREMISES                                           ,Y,100,0,N,N,N,N,N
1.04E+13,BAPP INDUSTRIAL SUPPLIES LTD    ,                                ,UNIT B TRAFALGAR CENTRE         ,                                ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UP,05.03.2012                                               ,30000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.04E+13,SM DISTRIBUTION(UK) LTD         ,                                ,UNIT A TRAFALGAR CENTRE         ,                                ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UX,29.09.2017                                               ,21000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.04E+13,ESP ELECTRICITY LIMITED         ,                                ,                                ,                                ,INDEPENDENT DISTRIBUTION NETWORK   ,OPERATOR                           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UY,01.04.2017                                               ,54,Unclassified                                                ,N,0,0,N,N,N,N,N
104361001200X2     ,SACRED HEART F C                ,Redacted Personal Data,FOX PARK                        ,                                ,BELFIELD MILL LANE                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UB,01.04.2005                                               ,10500,PLAYING FIELD AND PREMISES                                  ,N,0,0,Y,N,N,N,N
