"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"DFE-2440","N/D","SCS1","Deputy Director","Schools COVID Response Deputy Director within COVID Response and Recovery Group","Department for Education","Department for Education","Attendance","0370 000 2288","N/D","DFE-2326","1148048","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2404","N/D","SCS1","Deputy Director","Schools COVID Response Deputy Director within COVID Response and Recovery Group","Department for Education","Department for Education","Attendance, Exclusion & VCU","0370 000 2288","N/D","DFE-2005","890371","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2326","Sophie Taylor","SCS2","Director","Schools COVID Response Director within COVID Response and Recovery Group","Department for Education","Department for Education","Attendance, Exclusion & VCU","0370 000 2288","N/D","DFE-2101","293971","1.00","95000","99999","","Other","London","nan","1"
"DFE-2104","N/D","SCS1","Deputy Director","Deputy Director, Skills Policy Analysis in the Career Learning, Analysis, Skills and Student Choice Group, Further Education analysys","Department for Education","Department for Education","Basic Skills and Multiply","0370 000 2288","N/D","DFE-2019","1104857","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2505","N/D","SCS1","Deputy Director","Becoming a Teacher Deputy Director","Department for Education","Department for Education","Becoming a Teacher","0370 000 2288","N/D","DFE-2174","2839617","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2460","N/D","SCS1","Deputy Director","Customer Experience, Data and Digital Deputy Director","Department for Education","Department for Education","Business Operations & Transformation","0370 000 2288","N/D","DFE-2124","2241605","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2242","Rory Kennedy","SCS2","Director","Responsible for overseeing the Department’s entire schools capital budget of c.£5bn a year.  This includes both the Department’s own capital delivery programmes of free schools and priority schools building programme – and the allocation of devolved capital funds to schools and responsible bodies, as well as the management of bid-based investment and repair programmes.","Department for Education","Department for Education","Capital","0370 000 2288","N/D","DFE-2139","3861131","1.00","105000","109999","","Other","London","nan","1"
"DFE-2036","N/D","SCS1","Deputy Director","Deputy Director for Child Protection, Safeguarding and Family Law policy in Children’s Social Care. Responsible for the framework within which local authorities discharge their responsibilities to children in need of help and protection, up to, and including, care proceedings.","Department for Education","Department for Education","Care Review and Implementation","0370 000 2288","N/D","DFE-2059","67006","1.00","N/A","N/A","","Other","London","nan","1"
"DFE2331","N/D","SCS1","Deputy Director","Careers and Basic Skills Deputy Director within Higher and Further Education Group","Department for Education","Department for Education","Careers","0370 000 2288","N/D","DFE-2224","1782508","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2224","N/D","SCS1","Deputy Director","Director of Careers and Further Education.  Responsible for policy on careers, basic and functional skills, post 16/FE funding, resilience of FE colleges, quality of the FE sector, FE teaching and leadership, and the work of the FE Commissioner.","Department for Education","Department for Education","Careers and Further Education Systems","0370 000 2288","N/D","DFE-2137","239815","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2238","N/D","SCS1","Deputy Director","Deputy Director of Central Analysis Unit (CAU) and Chief Economist. CAU provides analytical support for Ministers' top priorities, provide central economics capability and oversee the evidence base on issues of cross-cutting and a strategic importance to the Department","Department for Education","Department for Education","Central Analysis Unit","0370 000 2288","N/D","DFE-2374","1781853","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2228","N/D","SCS1","Deputy Director","Responsible for oversight of Capital Directorate’s delivery performance, budgets and systems.","Department for Education","Department for Education","Central Capital Unit","0370 000 2288","N/D","DFE-2159","933073","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2472","N/D","SCS1","Deputy Director","Central Operations, Finance and Performance Deputy Director","Department for Education","Department for Education","Central Operations, Finance & Performance","0370 000 2288","N/D","DFE-2242","1751438","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2390","N/D","SCS1","Deputy Director","HE International and Resilience Deputy Director","Department for Education","Department for Education","Central Research and Evaluation & Chief Social Researcher","0370 000 2288","N/D","DFE-2374","1490125","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2289","N/D","SCS1","Deputy Director","Deputy Director in the Central Operations directorate of the Operations Group.  As the Head of Strategic Operations the main responsibilities are for the creation and operation of a new Operations Portfolio for the Group, a management dashboard for the Department, reviewing MI data for the Department as well the creation an operations plan.","Department for Education","Department for Education","Central Strategic Finance","0370 000 2288","N/D","DFE-2159","774096","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2394","N/D","SCS1","Deputy Director","Regional Delivery Directorate Deputy Director within Education and Skills Funding Agency","Department for Education","Department for Education","Central Support and Strategy Team","0370 000 2288","N/D","DFE-2317","2561351","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2300","Jennifer Williams","SCS2","Director","Director of Commercial","Department for Education","0","Chief Comercial Officer","0370 000 2288","N/D","DFE-2139","0","1.00","110000","114999","","Other","London","nan","1"
"DFE-2337","N/D","SCS1","Deputy Director","Child Protection and Safeguarding Deputy Director within Children's Services, Communications and Strategy Group.","Department for Education","Department for Education","Child Protection and Safeguarding","0370 000 2288","N/D","DFE-2320","1094198","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2263","Claire Benham","SCS2","Director","Director of the Commercial Directorate which is comprised of two key areas DfE Commercial and the Schools Commercial Team (SCT). DfE Commercial supports DfE to secure best value from its commercial arrangements to meet DfE priorities, deliver savings and meet the Strategic Spending Review targets. The SCT supports the Schools Efficiency Programme – enabling delivery of £1bn of savings rough improved procurement and commercial activity to the schools sector.","Department for Education","0","Commercial Directorate","0370 000 2288","N/D","DFE-2139","352919","1.00","135000","139999","","Other","West Midlands","nan","1"
"DFE-2355","N/D","SCS1","Deputy Director","Commercial Operations Deputy Director within Operations Group","Department for Education","Department for Education","Commercial Operations","0370 000 2288","N/D","DFE-2263","2204723","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2354","N/D","SCS1","Deputy Director","Commercial Directorate Deputy Director within Operations Group","Department for Education","Department for Education","Commercial School Resource Management (Protected)","0370 000 2288","N/D","DFE-2263","125080","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2511","N/D","SCS1","Deputy Director","Commercial School Resource Management Deputy Director","Department for Education","Department for Education","Commercial School Resource Management (Protected)","0370 000 2288","N/D","DFE-2263","0","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2264","N/D","SCS1","Deputy Director","Commercial Directorate Deputy Director within Operations Group","Department for Education","0","Commercial Specialist - Schools","0370 000 2288","N/D","DFE-2263","0","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2098","James Cox","SCS2","Director","Director of Communications. I am responsible for Media Relations, Strategic Communications, Internal Communications, and the Ministerial and Public Communications Division.","Department for Education","Department for Education","Communications","0370 000 2288","N/D","DFE-2304","293378","1.00","100000","104999","","Other","London","nan","1"
"DFE-2344","N/D","SCS1","Deputy Director","School Estates and Post 16 Deputy Director within Operations Group","Department for Education","Department for Education","Condition Funding & Response","0370 000 2288","N/D","DFE-2242","1867801","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2359","N/D","SCS1","Deputy Director","Academies and Maintained Schools Directorate Director within Education and Skills Funding Agency","Department for Education","Education and Skills Funding Agency","Corporate Services & Sponsorship","0370 000 2288","N/D","DFE-2198","1549264","0.90","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2004","N/D","SCS1","Deputy Director","Job Share - Deputy Director, Independent Education and School Safeguarding Division.  Responsible for: policy on the registration and regulation of the independent school sector in England; taking regulatory action where schools fail to meet the independent school standards; taking action against unregistered independent schools; and policy on home education.  Also responsible for statutory guidance on safeguarding in schools and regulation of the teacher workforce in England.","Department for Education","Department for Education","Counter Extremism and Non-School Education","0370 000 2288","N/D","DFE-2078","2341871","0.60","N/A","N/A","","Other","Unknown","Job Share","1"
"DFE-2290","N/D","SCS1","Deputy Director","Deputy Director for Apprenticeship Compliance, Enforcement and Post 16 Investigations.  Responsible for ensuring compliance with the apprenticeship funding rules and monitoring and assessing areas of concern.  Detecting and developing strategies for non compliance, working across teams to reduce and prevent.  Leading the post 16 investigations team and taking appropriate enforcement actions, holding individuals and organisations to account.","Department for Education","Education and Skills Funding Agency","Counter Fraud  and Prevention","0370 000 2288","N/D","DFE-2146","2359320","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2369","N/D","SCS1","Deputy Director","FE Improvement and Oversight Deputy Director within Operations Group","Department for Education","Department for Education","Covid Inquiry & Rapid Response Policy (Ukraine)","0370 000 2288","N/D","DFE-2374","968012","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2467","N/D","SCS1","Deputy Director","National Tutoring Programme Deputy Director","Department for Education","Department for Education","Covid Mass Testing","0370 000 2288","N/D","DFE-2174","491740","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2335","N/D","SCS1","Deputy Director","CS Policy Profession Unit Deputy Director within Higher and Further Education","Department for Education","Department for Education","CS Policy Profession Unit","0370 000 2288","N/D","DFE-2325","1570492","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2498","N/D","SCS1","Deputy Director","CS Policy Profession Unit Deputy Director","Department for Education","Department for Education","CS Policy Profession Unit","0370 000 2288","N/D","DFE-2325","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2328","N/D","SCS1","Deputy Director","Curriculum Strategy Deputy Director within COVID Response and Recovery Group","Department for Education","Department for Education","Curriculum Body, Recovery and Pupil Premium","0370 000 2288","N/D","DFE-2490","717878","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2399","N/D","SCS1","Deputy Director","Sector Guidance and Information Deputy Director within COVID Response and Recovery Group","Department for Education","Department for Education","Customer Experience Digital & Technology","0370 000 2288","N/D","DFE-2124","154071","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2124","Charlotte Briscall","SCS2","Director","The Director for Customer Experience, Digital and Data is responsible for shared business services for the agency, covering, Customer Experience, Data Science and Digital, Data and Information. Their focus is on serving the needs of users, providing tools and analysis to improve decision making. The focus is on being a data led and user-centred organisation. These include: supporting smarter working across sites, creating an inclusive environment for staff; communications and customer experience teams designing communications and services that meet customer needs;  data and digital teams ensuring the right technology, data and analysis to make decisions, helping customers more efficiently manage their business","Department for Education","Department for Education","Customer Experience Digital & Technology Directorate","0370 000 2288","N/D","DFE-2139","2222894","1.00","115000","119999","","Other","West Midlands","nan","1"
"DFE-2334","N/D","SCS1","Deputy Director","Customer Experience, Data and Digital Deputy Director within Education and Skills Funding Agency","Department for Education","Department for Education","Customer Service","0370 000 2288","N/D","DFE-2124","2249518","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2485","N/D","SCS1","Deputy Director","Cyber and Information Security Deputy Director","Department for Education","Department for Education","Cyber and Information Security","0370 000 2288","N/D","DFE-2124","1902815","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2168","Neil McIvor","SCS2","Director","The Chief Data Officer and Chief Statistician is responsible for developing and leading the department’s data strategy, governance and data architecture function, transforming how the department collects, processes and publishes data to deliver a modernised system built using common open data standards, public registers and APIs.  The post holder ensures that the Department delivers high quality statistics in line with the Code of Practice for Official Statistics and modernises the publication of these, and works with the Chief Analyst to lead the department’s analytical community and with the Chief Technology Officer to lead the digital, data and technology communities.","Department for Education","Department for Education","Data","0370 000 2288","N/D","DFE-2139","2060498","1.00","115000","119999","","Other","South West","nan","1"
"DFE-2475","N/D","SCS1","Deputy Director","Data Directorate Deputy Director","Department for Education","Department for Education","Data Architecture and Governance","0370 000 2288","N/D","DFE-2168","847278","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2392","N/D","SCS1","Deputy Director","Data Engineering Division Deputy Director within Operations Group","Department for Education","Department for Education","Data Engineering","0370 000 2288","N/D","DFE-2168","3152776","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2366","N/D","SCS1","Deputy Director","Data Operations Division Deputy Director within Operations Group","Department for Education","Department for Education","Data Operations","0370 000 2288","N/D","DFE-2168","3997786","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2411","N/D","SCS1","Deputy Director","Departmental Data Protection Office Deputy Director within Operations Group","Department for Education","Department for Education","Data Protection Office","0370 000 2288","N/D","DFE-2168","1020842","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2509","N/D","SCS1","Deputy Director","Data Science (ESFA) Deputy Director","Department for Education","Education and Skills Funding Agency","Data Science (ESFA)","0370 000 2288","N/D","DFE-2168","3380719","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2474","N/D","SCS1","Deputy Director","Data Solutions Deputy Director","Department for Education","Department for Education","Data Solutions","0370 000 2288","N/D","DFE-2168","998818","0.81","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2501","N/D","SCS1","Deputy Director","Delivery Unit Deputy Director","Department for Education","Department for Education","Delivery Unit","0370 000 2288","N/D","DFE-2497","1435357","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2071","Susan Acland-Hood","SCS4","Permanent Secretary","The Permanent Secretary has three overall roles: 1. The Head of the Department.  2. The Accounting Officer.  3. The Chief Policy Non-Political Policy Advisor to the Secretary of State. He is responsible for the overall management of the Department and is accountable to Parliament for the actions the Department takes and the way in which taxpayers’ money is spent.","Department for Education","Department for Education","Department for Education","0370 000 2288","N/D","XX","809554","1.00","160000","164999","","Other","London","nan","1"
"DFE-2333","N/D","SCS1","Deputy Director","Delivering Teacher Development Deputy Director within Early Years and Schools Group","Department for Education","Department for Education","Developing Teachers and Leaders","0370 000 2288","N/D","DFE-2174","3564312","0.95","N/A","N/A","","Other","London","nan","1"
"DFE-2502","N/D","SCS1","Deputy Director","Digital Delivery - Schools Deputy Director","Department for Education","Department for Education","Digital Delivery - Schools","0370 000 2288","N/D","DFE-2124","1074313","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2503","N/D","SCS1","Deputy Director","Digital Delivery - Vulnerable Families and Children Deputy Director","Department for Education","Department for Education","Digital Delivery - Vulnerable Families & Children","0370 000 2288","N/D","DFE-2124","1390211","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2504","N/D","SCS1","Deputy Director","Digital Delivery - Teacher Services Deputy Director","Department for Education","Department for Education","Digital Delivery 1","0370 000 2288","N/D","DFE-2124","2942329","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2395","N/D","SCS1","Deputy Director","Digital Delivery - Funding Services Deputy Director","Department for Education","Education and Skills Funding Agency","Digital Delivery Funding Services","0370 000 2288","N/D","DFE-2124","2090720","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2380","N/D","SCS1","Deputy Director","Digital Delivery 1 Deputy Director within Operations Group","Department for Education","Department for Education","Digital Strategy","0370 000 2288","N/D","DFE-2124","960937","0.85","N/A","N/A","","Other","London","nan","1"
"DFE-2303","Graham Archer","SCS2","Director","Qualifications, Curriculum and Extra-Curricular Director within COVID Response and Recovery Group.","Department for Education","Department for Education","Disadvantage and International Directorate","0370 000 2288","N/D","DFE-2304","409484","1.00","95000","99999","","Other","London","nan","1"
"DFE-2311","N/D","SCS1","Deputy Director","Post 16 Skills & Strategy Deputy Director for Higher and Further Education Group","Department for Education","Department for Education","Disadvantage Strategy","0370 000 2288","N/D","DFE-2303","662645","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2438","N/D","SCS1","Deputy Director","Education Recovery Strategy Deputy Director","Department for Education","Department for Education","Disadvantage, Review and Insights","0370 000 2288","N/D","DFE-2303","644824","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2342","N/D","SCS1","Deputy Director","Early Years Sufficiency and Entitlements Deputy Director within Early Years and Schools Group","Department for Education","Department for Education","Early Years Sufficiency and Entitlements","0370 000 2288","N/D","DFE-2005","1484205","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2240","N/D","SCS1","Deputy Director","Deputy Director for Schools Strategy, Stakeholders and Support, leading on the development of strategies across the schools policy areas; ensuring effective relationships with key stakeholders including schools unions and stakeholder steering groups of Headteachers and teachers; overseeing the Flexible Resource Unit to ensure effective resourcing of priority areas across Early Years and Schools Group and managing the Director General’s and Director’s Support teams to ensure that the DG and wider group are provided with the necessary level of support","Department for Education","Department for Education","Early Years Workforce and Quality","0370 000 2288","N/D","DFE-2005","1861749","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2005","N/D","SCS1","Deputy Director","Early Years, Childcare, School Food & Teaching Regulation Director within Early Years and Schools Group.","Department for Education","Department for Education","Early Years, Childcare, School Food & Teaching Regulation","0370 000 2288","N/D","DFE-2101","735718","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2169","David Withey","SCS2","Director","CEO of Education and Skills Funding Agency","Department for Education","Education and Skills Funding Agency","Education and Skills Funding Agency","0370 000 2288","N/D","DFE-2139","384172","1.00","130000","134999","","Other","South West","nan","1"
"DFE-2492","N/D","SCS1","Deputy Director","Academies and School Reform Deputy Director","Department for Education","Department for Education","Education Bill Team","0370 000 2288","N/D","DFE-2312","291220","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2132","N/D","SCS1","Deputy Director","Digital Outcome Portfolio NCS Deputy Director","Department for Education","Department for Education","Employee and Employer Engagement - National Careers Service","0370 000 2288","N/D","DFE-2124","1288859","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2102","N/D","SCS1","Deputy Director","Deputy Director in the Education and Skills Funding Agency working on Apprenticeships Strategy, Policy and Delivery. Close joint working with the Institute for Apprenticeships, Ofsted and other partner bodies and departments.","Department for Education","Department for Education","Employer Engagement and Apprenticeship Performance","0370 000 2288","N/D","DFE-2129","3497974","0.91","N/A","N/A","","Other","London","nan","1"
"DFE-2461","N/D","SCS1","Deputy Director","User Services Deputy Director","Department for Education","Department for Education","End User Compute Services","0370 000 2288","N/D","DFE-2124","4031986","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2370","N/D","SCS1","Deputy Director","Education and Skills Funding Agency Deputy Director within Education and Skills Funding Agency","Department for Education","Education and Skills Funding Agency","ESFA Finance","0370 000 2288","N/D","DFE-2146","1631172","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2025","N/D","SCS1","Deputy Director","The Estates and Security Division is responsible for the development of our Estates Strategy, the running of our Head Office buildings and delivery of crucial security services. Key areas of responsibility are: Estates Strategy,  Facilities Management, Estates Management, Refurbishment projects, Incident Management, Crisis Management, Building security, Security culture and awareness,  Vetting and clearance. Our objective is to provide DfE with fit for purpose buildings where staff feel they have a safe environment that allows them to be productive.","Department for Education","Department for Education","Estates, Security and People","0370 000 2288","N/D","DFE-2139","2112303","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2304","Julia Kinniburgh","SCS3","Director General","Director General of Strategy","Department for Education","Department for Education","Exams 2021 Programme","0370 000 2288","N/D","DFE-2071","2666620","1.00","140000","144999","","Other","London","nan","1"
"DFE-2324","N/D","SCS1","Deputy Director","Future Qualifications Deputy Director within COVID Response and Recovery Group.","Department for Education","Department for Education","Extended Time","0370 000 2288","N/D","DFE-2490","990798","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2152","N/D","SCS1","Deputy Director","Deputy Director for Early Years and Schools Analysis and Research. My division has analytical units supporting policy development in: early years and disadvantage; qualifications, curriculum and extra-curricular; and, special educational needs and disability, alternative provision, exclusions and attendance and serious violence","Department for Education","Department for Education","Families Analysis","0370 000 2288","N/D","DFE-2005","3665948","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2101","Indra Morris","SCS3","Director General","Director General of Families","Department for Education","Department for Education","Families Group","0370 000 2288","N/D","DFE-2071","685545","1.00","140000","144999","","Other","London","nan","1"
"DFE-2317","Kirsty Evans","SCS2","Director","Director of Further Education within Education Skills and Funding Agency Group.","Department for Education","Department for Education","FE - South West and South Territory","0370 000 2288","N/D","DFE-2137","544544","1.00","95000","99999","","Other","North East","nan","1"
"DFE-2508","N/D","SCS1","Deputy Director","South West and South Territorial Deputy Director","Department for Education","Department for Education","FE - South West and South Territory","0370 000 2288","N/D","DFE-2317","911502","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2100","N/D","SCS1","Deputy Director","Higher Education Strategy and Delivery team are responsible for overseeing strategy development and delivery for HE; development of HE policy in key strategic areas (e.g. HE skills, HE workforce) and sponsorship of the Office for Students","Department for Education","Department for Education","FE Funding","0370 000 2288","N/D","DFE-2019","834016","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2004","N/D","SCS1","Deputy Director","Job Share - Deputy Director, Independent Education and School Safeguarding Division.  Responsible for: policy on the registration and regulation of the independent school sector in England; taking regulatory action where schools fail to meet the independent school standards; taking action against unregistered independent schools; and policy on home education.  Also responsible for statutory guidance on safeguarding in schools and regulation of the teacher workforce in England.","Department for Education","Department for Education","Counter Extremism and Non-School Education","0370 000 2288","N/D","DFE-2078","2341871","1.00","N/A","N/A","","Other","Unknown","Job Share","1"
"DFE-2179","N/D","SCS1","Deputy Director","FE Financial Resilience and Sustainability Division is responsible for the current and future arrangements for securing the financial resilience of Further Education and Sixth Form Colleges. It oversees policy on intervention where colleges get into financial difficulty, restructuring funding, the implementation of the new FE insolvency regime, the legacy of the FE area review process and FE pensions, as well as the DfE’s relationship with sixth form colleges including academisation.","Department for Education","Department for Education","FE/HE Covid Response, Recovery & FE Quality","0370 000 2288","N/D","DFE-2224","1262859","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2131","Sarah Whitehead","SCS2","Director","Finance Director in the Education and Skills Funding Agency, responsible for financial management of £57bn of spend that the ESFA administers. The division provides financial advice and support to the ESFA Accounting Officer to ensure effective stewardship of public funding, maximising value for money and is also responsible for reviewing and monitoring the internal control environment within the ESFA. We are leading on a plan to improve commercial capability and practices.","Department for Education","Education and Skills Funding Agency","Finance","0370 000 2288","N/D","DFE-2169","0","1.00","105000","109999","","Other","London","nan","1"
"DFE-2146","David Brown","SCS2","Director","Director of Provider Market Oversight. The directorate deploys expert audit, finance, counter fraud and investigation skills, underpinned by robust analysis to ensure the agency’s funding is spent for the purposes intended by Parliament. Delivering assurance to ESFA Chief Executive on the use of funds paid to educational establishments, monitor the financial health of academies, colleges and other pre-16 and post-16 providers. We intervene when problems arise – we investigate when providers are in serious financial difficulties and/or fraud or irregularity is suspected. We also provide restructuring support for Colleges who need it as well as assess and challenge college restructuring plans","Department for Education","Department for Education","Finance and Provider Market Oversight","0370 000 2288","N/D","DFE-2169","424950","1.00","95000","99999","","Other","London","nan","1"
"DFE-2479","N/D","SCS1","Deputy Director","Strategic Finance Deputy Director","Department for Education","Department for Education","Financial Business Partnering: Schools and Families","0370 000 2288","N/D","DFE-2159","921763","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2151","N/D","SCS1","Deputy Director","Deputy Director for Finance Business Partnering - We provide financial advisory services to the Higher and Further Education Group in the Department. This covers ensuring that there is effective financial management of the Group’s budgets, ensuring that the impact of policy decisions are translated into financial impact, compliance with managing public money, value for money, accounting, budgetary treatment and support through fiscal events such as supplementary estimates and annual budgeting.","Department for Education","Department for Education","Financial Business Partnering: Skills and Regions","0370 000 2288","N/D","DFE-2159","936101","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2185","N/D","SCS1","Deputy Director","Deputy Director in the Central Strategic Finance division, leading on cross-cutting strategic finance issues, including: coordinating the DfE business planning process to set departmental level budget allocations; coordinating strategic finance input into fiscal events and spending reviews; engaging with the HM Treasury Education & Skills spending team.","Department for Education","Department for Education","Financial Control, Assurance and Data Collection","0370 000 2288","N/D","DFE-2139","2314706","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2200","N/D","SCS1","Deputy Director","Responsible for the Department's Payment, Treasury and Debt Management Service. The service exists to: account for, effectively control and fulfil approximately £100 billion of payments accurately and on time each year, manage and recover over £100 million of recognised public debt; develop, maintain, secure and govern the Department’s financial systems.","Department for Education","Department for Education","Financial Operations","0370 000 2288","N/D","DFE-2139","2257448","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2454","N/D","SCS1","Deputy Director","Group Accounting Deputy Director","Department for Education","Department for Education","Financial Reporting","0370 000 2288","N/D","DFE-2139","2234060","1.00","N/A","N/A","","Other","North East","nan","1"
