Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,13/09/2017,744.83
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,13/09/2017,151.79
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,26/09/2017,663.64
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,26/09/2017,134.14
Health Services,ABL Health Ltd,Public Health,Third party payments - Public Sector,29/09/2017,61083.33
Healthcare Supplies,ABLE 2,Adult Social Care,Agency Staff,29/09/2017,4289.5
Social Care Services,ABLE COMMUNITY CARE,Adult Social Care,Care Payments,25/09/2017,11349
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,06/09/2017,1575
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,04/09/2017,1575
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,11/09/2017,1575
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,18/09/2017,1575
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,26/09/2017,1575
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,18/09/2017,-325
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,18/09/2017,-1746.43
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,18/09/2017,800
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,18/09/2017,2764.29
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,25/09/2017,-10390.47
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,25/09/2017,20287.43
Social Care Services,About Me Care and Support Ltd,Adult Social Care,Care Payments,06/09/2017,876.25
Social Care Services,Absolute care & support (UK)Ltd ISF,Adult Social Care,Care Payments,25/09/2017,-899.34
Social Care Services,Absolute care & support (UK)Ltd ISF,Adult Social Care,Care Payments,25/09/2017,3310.84
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,06/09/2017,120.02
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,06/09/2017,105.9
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,06/09/2017,434.19
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,264.75
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,194.15
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,35.3
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,105.9
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,741.3
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,6484.61
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,1309.63
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,384.77
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,250.63
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,42.36
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,134.14
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,988.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,6837.61
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,13/09/2017,1747.35
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,321.23
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,211.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,35.3
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,14.12
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,818.96
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,5686.83
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,1648.51
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,314.17
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,211.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,35.3
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,21.18
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,857.79
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,6053.95
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,26/09/2017,1680.28
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,70.6
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,2449.82
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,74.13
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,635.4
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,1680.28
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,105.9
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,56.48
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,2799.29
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,84.72
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,713.06
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,1937.97
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,13/09/2017,120.02
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,70.6
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,2513.36
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,74.13
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,582.45
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,1666.16
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,127.08
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,70.6
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,2523.95
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,74.13
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,645.99
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,1676.75
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,26/09/2017,130.61
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Care Payments,27/09/2017,16828.57
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Care Payments,27/09/2017,15500
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,870.5
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,571.25
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,650
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,555.5
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,776
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,671.25
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,602.75
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,650
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,791.75
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,28/09/2017,791.75
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Childrens & Educational Services,Capital Expenditure - Works,29/09/2017,9940
Counselling Services,Acorn Recovery Projects,Adult Social Care,Care Payments,18/09/2017,3680
Counselling Services,Acorn Recovery Projects,Adult Social Care,Care Payments,18/09/2017,1840
Counselling Services,Acorn Recovery Projects,Adult Social Care,Care Payments,20/09/2017,591.43
Health Advice / Awareness,Action on Hearing Loss,Childrens & Educational Services,Professional Fees,11/09/2017,1036.48
Health Advice / Awareness,Action on Hearing Loss,Childrens & Educational Services,Professional Fees,22/09/2017,1166
Health Advice / Awareness,Action on Hearing Loss,Childrens & Educational Services,Professional Fees,22/09/2017,1166.04
Health Advice / Awareness,Action on Hearing Loss,Childrens & Educational Services,Professional Fees,22/09/2017,1036.48
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,25/09/2017,-1215
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,25/09/2017,3395
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,25/09/2017,775.25
ICT Consultancy / Support,Adam Continuity,Planning Services,Information and Communications Technology,07/09/2017,6848
Business Services / Support,Additions Chartered Accountants,Adult Social Care,Professional Fees,28/09/2017,850
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,-686.55
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,-631.5
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,-769.3
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,-1263.15
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,3334.88
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,6008
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,2823
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,25/09/2017,5308
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,08/09/2017,978.92
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,08/09/2017,-978.92
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,08/09/2017,5984.17
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,08/09/2017,978.92
Welfare Services,Age Concern Manchester,Adult Social Care,Care Payments,06/09/2017,840
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Third party payments - Private/Voluntary Sector,26/09/2017,75000
Social Care Services,Agricultural Rural Centre CIC,Adult Social Care,Care Payments,12/09/2017,500
Professional / Consultancy Services,Alcumus ISOQAR LTD,Highways & Transport Services,Supplies and services,20/09/2017,1195
Forensics / Laboratories,Alere Toxicology Plc,Central Services to the public,Fees and Charges,05/09/2017,1342.5
Forensics / Laboratories,Alere Toxicology Plc,Central Services to the public,Fees and Charges,11/09/2017,1010
Forensics / Laboratories,Alere Toxicology Plc,Central Services to the public,Fees and Charges,18/09/2017,517.5
Education Services,ALEXANDRA PARK PRE-SCHOOL,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,20397.37
Transport and Travel,ALFA TRAVEL,Cultural & Related Services,Publicity and Promotion,20/09/2017,685.58
Social Care Services,Alice Chilton In-Home Care Services,Adult Social Care,Care Payments,18/09/2017,576.75
Childcare Provision,All Aboard Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,12774.83
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Central Support Costs,Cleaning,07/09/2017,919.25
Financial Services,Allpay-Net Ltd,Corporate & Democratic Core,Bank Charges,28/09/2017,3421.47
Financial Services,Allpay-Net Ltd,Corporate & Democratic Core,Bank Charges,28/09/2017,4308.18
Facilities / Room Hire,ALMA LODGE HOTEL,Childrens & Educational Services,Office Expenses,08/09/2017,779.17
Recruitment / Staffing,Alpha Care PVT Ltd,Adult Social Care,Care Payments,05/09/2017,5148
Foster Care,Alpha Plus Fostering Ltd,Childrens & Educational Services,Care Payments,27/09/2017,4060.46
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,07/09/2017,468
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,07/09/2017,156
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,07/09/2017,780
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,18/09/2017,2016
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,18/09/2017,771.43
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,18/09/2017,1000
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,18/09/2017,171.43
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,18/09/2017,121.43
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,-582.85
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,-12052.6
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,-9095.3
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,3288
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,41505.29
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,775.25
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,11628.75
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,3101
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,25/09/2017,42015.01
Health Services,Alvanley Family Practice,Adult Social Care,Professional Fees,01/09/2017,4355
Health Advice / Awareness,ALZHEIMER'S SOCIETY,Adult Social Care,Third party payments - Private/Voluntary Sector,05/09/2017,10495
Social Care Services,AMJ Support Services,Childrens & Educational Services,Care Payments,27/09/2017,7248.57
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,18/09/2017,-28.57
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,18/09/2017,4179.21
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,18/09/2017,988
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,18/09/2017,320
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,18/09/2017,1899.64
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,18/09/2017,531.9
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,-1833.05
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,-876.5
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,-631.5
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,-1673.3
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,7507.5
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,2594.5
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,2353.5
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,25/09/2017,7268.5
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,13/09/2017,289.46
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,13/09/2017,3120.52
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,13/09/2017,243.57
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,13/09/2017,645.99
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,13/09/2017,3445.28
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,13/09/2017,370.65
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,26/09/2017,660.11
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,26/09/2017,3180.53
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,26/09/2017,310.64
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,26/09/2017,670.7
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,26/09/2017,3099.34
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,26/09/2017,282.4
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,04/09/2017,-1078.5
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,04/09/2017,2644
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,04/09/2017,2077
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,04/09/2017,-1164.5
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,04/09/2017,-1008.5
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,04/09/2017,960
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,19/09/2017,1812.8
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,19/09/2017,-886
Childcare Provision,Annie's Childminding,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Communications and Technology,ANS Group Plc,Planning Services,Information and Communications Technology,12/09/2017,720.86
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,05/09/2017,719.91
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,20/09/2017,690
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,19/09/2017,600
Construction / Building Services,ARBORICULTURAL SERVICES TREEWORK LT,Highways & Transport Services,Grounds Maintenance,05/09/2017,25618.5
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Adult Social Care,Office Expenses,14/09/2017,28.5
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Adult Social Care,Office Expenses,14/09/2017,57
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Adult Social Care,Office Expenses,14/09/2017,28.5
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Adult Social Care,Office Expenses,14/09/2017,166.2
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Adult Social Care,Office Expenses,14/09/2017,166.2
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Adult Social Care,Office Expenses,14/09/2017,55.4
Building Services,Armitage Construction,Capital Expenditure,Capital Expenditure - Works,04/09/2017,24955.78
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,325.8
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,112.3
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,121.77
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,125.4
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,111
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,-325.8
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,-112.3
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,-121.77
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,-125.4
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,-111
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,325.8
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,112.3
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,121.77
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,125.4
Building Supplies,ARNOLD LAVER & CO LTD,Environmental & Regulatory Services,Furniture and Equipment,14/09/2017,111
Insurance Services,Arthur J Gallagher (Heath Lambert),Planning Services,Insurance,05/09/2017,1972.95
Insurance Services,Arthur J Gallagher (Heath Lambert),Planning Services,Insurance,05/09/2017,555.94
Software Supplier,ARTIFAX SOFTWARE LTD,Cultural & Related Services,Information and Communications Technology,04/09/2017,2712
Software Supplier,ARTIFAX SOFTWARE LTD,Cultural & Related Services,Information and Communications Technology,04/09/2017,237.72
Business Services / Support,ARVATO GOVERNMENT SERVICES LTD,Central Support Costs,Staff Training,13/09/2017,800
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,25/09/2017,-3262.05
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,25/09/2017,13485.5
Social Care Services,ASHBOURNE HOUSE,Adult Social Care,Care Payments,25/09/2017,2190
