Entity,GL Date,Merchant name,Amount,Description
NE,08/05/2015,INVESTEC ASSET FINANCE       ABINGDON     ,1377.46,Lease rental franking machine  - Worcester office - 1 May-31 July 2015
NE,08/05/2015,THE OFFICE OF GOVE,698.4,Annual membership fee for three people for Government Economic Service - 2014-15
NE,08/05/2015,ROYAL YORK HOTEL CONFERENCE FACILITIES,930,Staff training and subsistence for 31 people for one day for Leadership Group/Organisation Development training
NE,12/05/2015,BROOK STREET (BUREAU),1406.83,Agency staff costs
NE,12/05/2015,BROOK STREET (BUREAU),1667.04,Agency staff costs
NE,12/05/2015,BROOK STREET (BUREAU),1553.2,Agency staff costs
NE,12/05/2015,BROOK STREET (BUREAU),1524.76,Agency staff costs
NE,12/05/2015,BROOK STREET (BUREAU),1528.16,Agency staff costs
NE,12/05/2015,BROOK STREET (BUREAU),1419.77,Agency staff costs
NE,12/05/2015,BROOK STREET (BUREAU),1060.82,Agency staff costs
NE,12/05/2015,MOAT HOUSE RESTAURANT,1362.5,Working lunch and meeting room for 50 staff with Natural England Chief Executive and Chairman on 16 April 2015
NE,12/05/2015,ACTION ON HEARING LOSS,738,Specialist work station assessment for specific health and safety requirements
NE,12/05/2015,WWW.ICO.GOV.UK,500,Information Commissioner's Office (ICO) Data Protection Notification
NE,14/05/2015,BROOK STREET (BUREAU),2951.9,Agency staff costs
NE,14/05/2015,BROOK STREET (BUREAU),2592.46,Agency staff costs
NE,14/05/2015,BROOK STREET (BUREAU),1490.45,Agency staff costs
NE,14/05/2015,BROOK STREET (BUREAU),1860.16,Agency staff costs
NE,14/05/2015,INTERNATIONAL WORKPLACE LTD,1494,Five Institute of Safety and Health (IOSH) Managing Safely online licences
NE,14/05/2015,INTERNATIONAL WORKPLACE LTD,1494,Five Institute of Safety and Health (IOSH) Managing Safely online licences
NE,14/05/2015,NATIONAL BEEF ASSOCIATION,1542,"Defra partnership exhibition stand at Beef Expo Show on 21 May 2015 shared with Rural Payments Agency, Catchment Sensitive Farming, Animal and Plant Health Agency and British Cattle Movement Service (costs to be claimed back from them)"
NE,14/05/2015,PAYPAL  COUNTRYSCAPE,1558.2,Three Infographics to show evidence for the Terrestrial Biodiversity Climate Change Impacts Report Card which is being republished
NE,14/05/2015,PAYPAL  COUNTRYSCAPE,1200,Three Infographics to show evidence for the Terrestrial Biodiversity Climate Change Impacts Report Card which is being republished
NE,14/05/2015,THE ROYAL BATH & WEST OF ENGLAND SOCIETY,2174,Defra partnership exhibition stand at Grassland UK Show on 7 May 2015 shared with Rural Payments Agency and Catchment Sensitive Farming (costs to be claimed back from them)
NE,14/05/2015,WWW.BBOFFICESUPPLIES.CO.UK,860.51,Specialist office equipment and furniture for specific health and safety requirements
NE,18/05/2015,BROOK STREET (BUREAU),2809.15,Agency staff costs
NE,18/05/2015,BROOK STREET (BUREAU),2748.96,Agency staff costs
NE,18/05/2015,BROOK STREET (BUREAU),3128.8,Agency staff costs
NE,18/05/2015,BROOK STREET (BUREAU),3391.43,Agency staff costs
NE,18/05/2015,BROOK STREET (BUREAU),3500.34,Agency staff costs
NE,18/05/2015,BROOK STREET (BUREAU),2192.7,Agency staff costs
NE,18/05/2015,LLOYDS BANK COMMERCIAL,808.56,Subsistence for 28 people for two days for Bat Low Impact Class Licence training - 25-26 March 2015
NE,18/05/2015,THE CLARENDON HOTEL,869.5,Staff training and subsistence for 30 people for two days for Coastal Ornithology training
NE,19/05/2015,COLCHESTER BOROUGH COUNCIL,876,Non-Domestic Business Rates for the Blackwater Estuary National Nature Reserve office - 1 April 2015-31 March 2016
NE,22/05/2015,TRURO TRACTORS LTD,1326,Three chainsaws to replace old equipment for Goss Moor National Nature Reserve
CEFAS,15/05/2015, holiday inn-recepti,575.59,Five nights accommodation for person one to Kuwait to work on the Environmental monitoring information system project. Costs fully recovered from commercial contract. 
CEFAS,20/05/2015, LE PETIT BACCHUS,773.4,Five nights accommodation for one person to attend meeting with European Union Reference Laboratory
CEFAS,15/05/2015, holiday inn-recepti,575.59,Five nights accommodation for person two in Kuwait to work on the Environment Public Authority contract. Costs fully recovered from commercial contract.
CEFAS,24/05/2015, MOVENPICK FO 1,503.32,Five nights accommodation for person three in Kuwait to work on the Environmental monitoring information system project. Costs fully recovered from commercial contract. 
CEFAS,15/05/2015, TALASO ATLANTICO,566.23,"Four nights accommodation for three people to attend an international conference on harmful Marine and freshwater toxins in Baiona, Spain."
CEFAS,13/05/2015, BRITISH A   1258525,1232.26,Return flight for one person from London Heathrow to Kuwait to work on the Environmental monitoring information system project. Costs fully recovered from commercial contract. 
CEFAS,15/05/2015, BRITISH A   1258525,4546.97,Return flight for four people from London Heathrow to Kuwait to work on the Environmental monitoring information system project. Costs fully recovered from commercial contract. 
CEFAS,25/05/2015, PALACE,634.36,Five nights accommodation for one person to chair an Advice Drafting Group on Artic/Northwestern fish stocks in Copenhagen. 
CEFAS,30/04/2015, THE LINKS CLUB,525,Venue Hire and evening meals for 85 Cefas Student day event
CEFAS,24/05/2015, COAST HOTEL COMPANY,503.32,Five nights accommodation for person four in Kuwait to work on the Environmental monitoring information system project. Costs fully recovered from commercial contract. 
CEFAS,17/05/2015, MOVENPICK FO 1,501.05,Five nights accommodation for person five in Kuwait to work on the Environmental monitoring information system project. Costs fully recovered from commercial contract. 
CEFAS,30/04/2015, SAXON PACKAGING LTD,575.71,Cardboard boxes for long-term storage of Food Standard Agency environmental samples.
CEFAS,27/05/2015, MOLLETTS PARTNERSHI,594.17,Deposit for ten nights accommodation for two people to complete a radiological habits survey. Deposit will be taken off final bill. 
CEFAS,17/05/2015, MOVENPICK FO 1,501.05,Five nights accommodation for person one to work on  the Environmental monitoring information system project. Costs fully recovered from commercial contract. 
CEFAS,08/05/2015, HOTEL CITY APS,922.98,Eleven nights accommodation for one person in Copenhagen to attend an International Council for exploration of the sea working group.
CEFAS,15/05/2015, THE AQUA,625,Two nights accommodation for seven people and one nights accommodation for one person to attend a group business development meeting in Weymouth. 
CEFAS,17/05/2015, MOVENPICK FO 1,501.05,Five nights accommodation for person two to work on the Environmental monitoring information system project. Costs fully recovered from commercial contract.
CEFAS,12/05/2015, BRITISH AIRW1258948,623.4,"Return flight for one person from United States to Paris, France to attend the European Union Reference Laboratory workshop."
CEFAS,02/05/2015, HOTEL DIAGONAL ZERO,1184.47,Six nights accommodation for two people to attend Society of Environmental Toxicology and Chemistry conference.
CEFAS,03/05/2015, HOTEL DIAGONAL ZERO,535.92,One night accommodation for one person to attend Society of Environmental Toxicology and Chemistry conference.
CEFAS,10/05/2015, ANYTIME CARS,700,Emergency taxi from Falmouth to Lowestoft following medical evacuation from Ship
CEFAS,11/05/2015, THE SQUARE,701.15,Seven nights accommodation for person one to attend International Council for exploration of the sea working group on the Celtic Sea Ecosystem. 
CEFAS,18/05/2015, THE SQUARE,740.29,Seven nights accommodation for person two to attend International Council for exploration of the sea working group on the Celtic Sea Ecosystem. 
CEFAS,14/05/2015, THAIAIRW WEB LHR,1429.68,Return flight for three people from London Heathrow to Bangkok to work on Innovate UK project to develop a diagnostic in Thailand.
CEFAS,30/04/2015, ACADEMY PLAZA RECEP,527.94,Three nights accommodation for three people to attend an International Council for the Exploration of the Sea working group on the Marine Strategy Framework Directive demonstration.
CEFAS,11/05/2015, THE SQUARE,640.02,Five nights accommodation for person one to attend an International Council for the Exploration of the Sea working group for the Celtic Seas Ecoregion.
CEFAS,17/05/2015, THE SQUARE,721.48,Six nights accommodation for one person to attend an International Council for the Exploration of the Sea  working group for the Celtic Seas Ecoregion.
CEFAS,16/05/2015, THE SQUARE,609.22,Five nights accommodation for person two to attend an International Council for exploration of the sea working group for the Celtic Seas Ecoregion. 
MMO,12/05/2015,Environment Agency,34320,Marine Management Organisation publication of spatial data under the European Union 'INSPIRE' Directive for spatial information infrastructure across the European community
MMO,18/05/2015,C E F A S,30534,Training materials for Marine Management Organisation licensing case officers
MMO,12/05/2015,Atkins Ltd,25053,Marine Management Organisation Project - Sub-national plans review for the North West and South West marine plan areas
MMO,22/05/2015,Severn Rivers Trust,30467.53,European Fisheries Fund grant payment
MMO,12/05/2015,Environment Agency,166018,Re-distribution of 2012 Data Collection Framework Funding
MMO,14/05/2015,Shared Services Connected Ltd,40779.13,Fixed monthly charge for shared services work - May 2015
MMO,28/05/2015,Sutton Harbour Company.,31425.75,European Fisheries Fund grant payment
MMO,18/05/2015,Redfern Travel Ltd,30837.07,Redfern travel bill - April 2015
MMO,08/05/2015,Land Use Consultants,31079.82,Marine Management Organisation Project - Seascape character for North West and South East marine plan areas
MMO,18/05/2015,DEFRA,120000,Provision of procurement service from Network Corporate Services - 2014-15
MMO,14/05/2015,Sea Fish Industry Authority,46725.52,European Fisheries Fund grant payment
MMO,12/05/2015,Atkins Ltd,25347,Marine Management Organisation Project - Sub-national plans review for the North East and South East marine plan areas
MMO,08/05/2015,Directflight Ltd,48315,Marine Management Organisations aircraft chartering for compliance monitoring and enforcement purposes - March 2015
MMO,14/05/2015,Hornsea Inshore Rescue Sea Safe Education Centre,26589.41,European Fisheries Fund grant payment
MMO,22/05/2015,Severn Rivers Trust,82854,European Fisheries Fund grant payment
VMD,08/05/2015,BEVA - (British Equine Veterinary Association),709,Attendance for one delegate at the British Equine Veterinary Association (BEVA) congress 2015
VMD,08/05/2015,WAAVP - (World Association for the Advancement of Veterinary Parasitology),624,Attendance for one delegate at the World Association for the advancement of Veterinary Parasitology (WAAVP) 25th international congress
VMD,07/05/2015,Office Furniture Online,594,Six Chairs 
APHA,12/05/2015,WWW.FPMAILING.CO.UK      INTERNET     ,628.8,Top up Chelmsford franking machine
APHA,12/05/2015,Amazon UK Retail         AMAZON.CO.UK ,503.89,"Ten Nikon cameras purchased for team leaders 
in the South West region"
APHA,18/05/2015,TOWNS & CARNIE LTD       ABERDEEN     ,559.2,"Replacement Personal Protective Equipment (PPE) 
clothing for field team"
APHA,12/05/2015,ARGOS RETAIL GROUP       INTERNET     ,503.75,Twenty cameras for field staff
APHA,12/05/2015,UK MAIL                  SLOUGH       ,1195.13,Top up Polwhele franking machine
APHA,18/05/2015,PP CONFIDALIAE           LEEDS        ,1143.25,"Five veterinary attendees at Veterinary Public Health Association and Association of Government Veterinarians 
 (VPHA-AGV) Conference on 21 March 2015"
APHA,08/05/2015,HIPAYWALLET.COM 4520563  92BELGIQUE   ,598.77,"One attendee at SafePork 2015 Conference in Portugal -
 7-11 September 2015"
APHA,18/05/2015,THETICKETFACTORY         0844 3380338 ,1869.5,35 Tickets for Chelsea Flower Show for members of staff that were rostered to be in the Garden to advise the members of the public
EA,20/05/2015,3663,1194.21,Ingredients to be prepared and sold at the Thames Barrier Café
EA,20/05/2015,3B'S BAR THE TOWN,566,Construction Design and Management coordination 2015 update training for the National Capital Programme Management Service South Team based at Reading
EA,20/05/2015,A & W CUSHION LTD,1707.84,360 100mm x 47mm x 100cm timber rails and 240 100mm x 100mm timber posts for various public safety works along the Blyth Estuary in Suffolk
EA,20/05/2015,A CLASS CORPORATE,734.85,"Hire of 32-seater coach for two days to transport people to and from the train station and onto site visits whilst taking part in a Fisheries, Biodiversity and Geomorphology technical network meeting"
EA,20/05/2015,A.1. ROPES & RIGG,615.6,Heavy winching equipment used on Thames salvage barge
EA,20/05/2015,ABARIS INTERNATIONAL L,685.35,Full-body harness to be worn for health and safety whilst working at height
EA,20/05/2015,ACC-Q-MIX LTD,905.1,Seven tonnes of concrete for the installation of culverts at Haymoor
EA,20/05/2015,ACLAND PLANT HIRE LTD,768,"Hire of lorry to move plant to and from Par River maintenance sites, and sheet piles and timber from Treesmill Dam side spill weir scheme site to Launceston Depot - 26-28 March 2015"
EA,20/05/2015,ACLAND PLANT HIRE LTD,673.2,Hire of a one-tonne dumper for Flaxmoor Terrace trash screen health and safety improvements scheme - 5-27 March 2015
EA,20/05/2015,ACTION CARPETS AND FLO,1502.94,Office carpet for Plucks Gutter Depot
EA,20/05/2015,ACTION FOR BLIND P,960.5,One-day room hire plus lunch and refreshments for thirty people attending a Flood Resilience Engagement Advisors training day in Birmingham
EA,20/05/2015,ACTION FOR BLIND P,714.4,"Two-day room hire plus lunch, refreshments and equipment for four people on day one and fourteen people on day two, for a Radioactive Substances Regulation Forward Look"
EA,20/05/2015,ACTION FOR BLIND P,553.5,"One-day room hire plus lunch, refreshments and equipment for fifteen people attending a Shaping Improvement workshop in Birmingham"
EA,20/05/2015,ADLER & ALLAN LTD,2144.4,Collection and disposal of asbestos sheets
EA,20/05/2015,AGGREGATE IND UK L,2194.8,Stone for culvert repairs at Currymoor and Haymoor
EA,20/05/2015,AGGREGATE IND UK L,592.8,40mm crusher run stone for works at Shipstone to cover pipe
EA,20/05/2015,AGGREGATE IND UK L,696,Type 1 stone for a hard standing area for plant and equipment parking for Uttoxeter Depot
EA,20/05/2015,AGGREGATE IND UK L,1296,Stone for extending pump base at North Drain pumping station
EA,20/05/2015,AGRICENTRE,996.99,Nine galvanised gates
EA,20/05/2015,AGRICENTRE,500,Five galvanised gates
EA,20/05/2015,AGRICENTRE,2250,"15 x 15ft galvanised 7 rail national box stile gates, and 13 x 12ft galvanised 7 rail national box stile gates"
EA,20/05/2015,AGRICENTRE,2250,31 x 12ft galvanised 7 rail national box stile gates
EA,20/05/2015,ALBION PLANT HIRE,2760,"Hire of specialist plant and operator for two days for shingle clearance from Egerton Park outfall at Bexhill, East Sussex"
EA,20/05/2015,ALL PALLETS LTD,1420.44,"Six 1200 x 1000 x 76mm solid plastic pallets on runners and ten open deck 1200 x 1000mm plastic pallets on runners with lips, for the new store room being constructed at Clyst Honiton Depot"
EA,20/05/2015,ALLFIX UK LIMITED,833.24,"Sausage foil, saw, clamping mitre box and saw, sealant primer, disinfectant, bleach, wire brush, drill bits and plastic wall plugs for Griffin Wharf in Ipswich"
EA,20/05/2015,ALTITUDESAFE.CO.UK,1276.8,CAT (Cable Avoidance Tool) and Genny (Signal Generator) for detecting underground services
EA,20/05/2015,Amazon Web Services,2315.53,"Monthly charge for the provision of Cloud Hosting for the ""What’s In Your Backyard"" replacement project. Cost includes two web servers, a spatial server and a database server."
EA,20/05/2015,ANDREWS SYKES HIRE,1360.8,Hire of ten dehumidifiers for damp problem at Pevensey Office - 1-31 March 2015
EA,20/05/2015,ANT HIRE SOLUTIONS LLP,1752.97,One week's hire of drainage CCTV camera for culvert surveys
EA,20/05/2015,AQUATIC CONTROL ENG LT,2700,Five larinier tiles to be used on the Black Bourne Brook in Staffordshire
EA,20/05/2015,ARCO LTD,720,"Three walkie talkies for Sunbury Depot to enable two-way conversations between lorry and crane drivers and operators, plus a standby walkie talkie for dry dock users to communicate with the office in an emergency situation"
EA,20/05/2015,ARCO LTD,559.27,"Paper towels, steel supports, spanners, cable ties and key tags for Sale Depot"
EA,20/05/2015,ARDULA LTD,588,Top soil for Ashford area making good the verge to the footpaths
EA,20/05/2015,ARDULA LTD,524.4,Type 1 road stone base for concrete pad at Plum Pudding
EA,20/05/2015,ARMADA HOUSE,706.74,One-day room hire plus lunch and refreshments for 29 people attending a Facilities Contracts workshop
EA,20/05/2015,ARMADA HOUSE,780,One-day room hire plus lunch and refreshments for 26 people attending a Supplier Group meeting
EA,20/05/2015,ARMADA HOUSE,822,One-day room hire plus lunch and refreshments for 21 people attending an Authentic Leadership training course
EA,20/05/2015,ARTHUR IBBETT LTD,539.57,"Paint, rollers and straps for use on Waterways Lock tops"
EA,20/05/2015,ASCERTIVA GROUP LT,1239.2,Eleven sets of the updated Electrical Regulation Documents and updated guidance notebooks for the Thames Barrier Electrical Department
EA,20/05/2015,ASD METAL SERVICES,876.99,Steel chequer plate to replace rotten steel on site at Sunbury Lock
EA,20/05/2015,AVS FENCING SUPPLIES,4229.76,120m of 50mm metal handrailing for various outfall structures along the River Adur
EA,20/05/2015,AVS FENCING SUPPLIES,3085.8,Fifty lengths of steel tube for safety fencing
EA,20/05/2015,AWM LTD,605.64,Hire of calibrated weigh pad system to weigh low loader unit to establish compliance with traffic legislation - 16-23 April 2015
EA,20/05/2015,AZTEC CHEMICALS LTD,1008.14,"Various brushes, resins for fixing tidal flaps, glass cleaner for vehicles, tyre brushes, greases and lubricants for tidal schemes and eco algae remover for decking on hydrometric stations"
EA,20/05/2015,B & Q,605.46,Equipment for patrol boat maintenance
EA,20/05/2015,BANNER BUSINESS SERVIC,619.89,"Assorted stationery for Lateral office, including scissors, paper, glue sticks, notebooks and rechargeable batteries"
EA,20/05/2015,BELBIN ASSOCIATES,630,Training materials and test results for eighteen people on a Leadership Development programme
EA,20/05/2015,BENDREY BROTHERS LTD,570.52,"Galvanised stock fence, nails and staples and 20kg of rapid setting post mix"
EA,20/05/2015,BIRMINGHAM REP ENTERPR,1680,One-day room hire plus lunch and refreshments for 51 people attending an Enforcement Undertakings for Environmental Permitting Regulations workshop
EA,20/05/2015,BISHOPSMOVE.COM,522.14,Three months' storage for the flood and coastal risk management archive - February-April 2015
EA,20/05/2015,BLACKBURN WITH DARWEN,1690,Planning application fee for Jacks Key Reservoir
EA,20/05/2015,BLACKPOOL COUNCIL,671,"Registration fee, rail fare and accommodation for one person for one night to attend the Local Government Association Awards as shortlisted for the Partnership Award for the Fylde Peninsula Water Management Group"
EA,20/05/2015,BLANDFORD CONCRETE,944.4,74 tonnes of top soil for topping up a flood bank at Sturminster Marshall near Wimbourne
EA,20/05/2015,BLANDFORD TOOLS LTD,631.4,"Servicing of fishing generator, two pumps and a replacement stop switch"
EA,20/05/2015,BOC GASES,1013,Bottle rental for Calverton Fish Farm - April 2014-March 2015
EA,20/05/2015,BOC GASES,696.72,One-year hire of oxygen bottles for fish rescues and fish welfare on surveys for the Kent and South London fish monitoring team
EA,20/05/2015,BOTT LIMITED,1411.2,Wheel nut indicators for Environment Agency vans
EA,20/05/2015,BRACKNELL PRINT RM LTD,1033.6,Printing of catchment maps for incident managers' folders
EA,20/05/2015,BRADFORDS BUILDING SUP,769.41,Aco drains for maintenance of flood defence systems by Field Services based in Dorchester
EA,20/05/2015,BRETT AGGREGATES LTD,2155.2,Type 1 limestone for use on tracks to pumping stations
EA,20/05/2015,BRETT AGGREGATES LTD,2059.2,Roadstone for maintenance of pumping station roads
EA,20/05/2015,BRETT AGGREGATES LTD,2059.2,One hundred tonnes of Type 1 roadstone to reinstate Knelle Pumping Station access roads within the Rother catchment
EA,20/05/2015,BRETT AGGREGATES LTD,840,Forty tonnes of Type 1 roadstone to reinstate Kent Ditch Pumping Station access road within the Rother catchment
EA,20/05/2015,BRITTANIA LEATHERBARRO,1344,Collection and transfer of three hundred archive storage boxes from a local contractor to a national contractor
EA,20/05/2015,BRITTANIA LEATHERBARRO,530.11,"One month's storage charges for Communications team and Hydrometry and Telemetry team, and archive collection for Environment Planning and management teams"
EA,20/05/2015,BROADSWORD UK LIMITED,558.96,"One hundred ACUMEN/CIWM branded document folders to contain the handouts for the joint Chartered Institute of Waste Management Ireland and ACUMEN project workshop in Tullamore, Ireland"
EA,20/05/2015,BT REPAYMENT WORKS,1083.14,Temporary disconnection of a PSTN (Public Switched Telephone Network) line for excavator works at Stanley Gauging Station
EA,20/05/2015,BUCK & HICKMAN,520.42,Adjustable spanners and knives for use by the Field Teams
EA,20/05/2015,BUCK & HICKMAN,2117.7,"Fourteen Ergo Phos 18 spanners, thirteen Ergo Phos 12 spanners and three Leatherman multi-tools"
EA,20/05/2015,BURLINGTON UNIFORMS LT,1958.4,Three hundred T-shirts for IT training champions for integrated phone system rollout
EA,20/05/2015,BURN FENCING LTD,582.6,Sheep netting and staples
EA,20/05/2015,BURN FENCING LTD,1951.2,Timber rails and posts for use on fencing sites
EA,20/05/2015,BUSINESS COPY CTR,576.75,Printing and binding of the North West Regional Flood and Coastal Committee's papers for the April meeting
EA,20/05/2015,BVSC ENTERPRISE LIMITE,540,"One-day room hire plus lunch, refreshments and equipment for eighteen people attending a Fisheries, Biodiversity and Geomorphology leadership team meeting in Birmingham."
EA,20/05/2015,BVSC ENTERPRISE LIMITE,570,"One-day room hire plus lunch, refreshments and equipment for nineteen people attending a Finance Business Partners team meeting"
EA,20/05/2015,BVSC ENTERPRISE LIMITE,714,"One-day room hire plus lunch, refreshments and equipment for 23 people attending an Operational Communications management meeting in Birmingham"
EA,20/05/2015,BVSC ENTERPRISE LIMITE,530.4,One-day room hire plus lunch and refreshment for seventeen people attending a Technical Design Authority meeting
EA,20/05/2015,CCF,537.81,Cladding for the Yalding volunteer project shower block build.
EA,20/05/2015,CEMEX UK OPERATIONS LT,1783.2,Gravel for Bow Brook project
EA,20/05/2015,CENTREWIRE,3718.22,Twenty Bristol gates for use on the Glastonbury Mill stream
EA,20/05/2015,CHAUCER SOLUTIONS LTD,623.95,"White rolls, alcohol wipes, lens wipes and alcohol sprays for Field Teams' health and safety"
EA,20/05/2015,CITY PLUMBING,4458.23,Mitsubishi heat pump and cylinder for the Allington boathouse project
EA,20/05/2015,CITY PLUMBING,4459.09,"Plumbing materials, including two pairs of isolating valves, 150 overlay panels, 150 overlay return ends, two 4-port manifolds and two manifold control packs, for the Allington boathouse project"
EA,20/05/2015,CIVIL SERVICE,996,One-day room hire plus lunch and refreshments for thirty people attending an Insights training workshop for Strategy Delivery and Development teams
EA,20/05/2015,CIWEM,888,One-day room hire plus lunch and refreshments for twenty people attending a workshop on evaluation of illegal waste sites work.
EA,20/05/2015,CLAD SAFETY,1765.74,"Twenty pairs of socks, eight pairs of safety hiker boots, seven pairs of Gortex ankle boots, three pairs of chest waders and six pairs of thigh waders for Osney stores"
EA,20/05/2015,CLAD SAFETY,659.52,Six pairs of waterproof side zip boots for Osney Stores Field Team members
EA,20/05/2015,CLWYD WELDING SERVICES,851.28,Welding booth for safe welding in Haddiscoe Yard
EA,20/05/2015,COASTAL WASTE,519.36,Construction waste for recycling
EA,20/05/2015,COMMERCIAL CREDIT SERV,2985,One-day room hire plus lunch and refreshments for 88 people attending a full Site-Based Regulation Team Meeting in Birmingham
EA,20/05/2015,COMMS EXPRESS LTD,617.76,Network testers for use in the telemetry server rooms
EA,20/05/2015,CONFERENCE ASTON LTD,2181.6,"One-day room hire plus lunch and refreshments for 55 people, plus accommodation for two people for one night, while attending an extended Leadership Team Development Workshop"
EA,20/05/2015,CONFERENCE ASTON LTD,4027.49,"Two-day room hire plus lunch, refreshments and evening meal for 43 people on day one and 29 people on day two while attending an Operations Executive and Area Managers group meeting in Birmingham"
EA,20/05/2015,CRANFIELD UNIVERSITY,650,Fees for two people attending a one-day training course on Water Quality Planning and Regulation
EA,20/05/2015,CRANFIELD UNIVERSITY,1950,"Fees for two people attending a three-day training course on Water Quality.  Included lunch, refreshments, a field trip and course materials."
EA,20/05/2015,CRANFIELD UNIVERSITY,975,"Fee for one person attending a three-day Water Quality training course.  Included lunch, refreshments, a field trip and course materials."
