Supplier Name,Company Registration Number,Supplier Postcode,UID,Council,Contract Status,Classification,Name,Route to Market,Contract Type Detail,Start Date,End Date,Annual Contract Value (average),Value,Customer Name
Civica UK Ltd,-,SW15 6AR,4147,Stockport Metropolitan Council,Live (On-going),271501 - Information Communication Technology - Services,OPENChannel Suite plus OPENPortal (API's),-,Contract,02/03/2018,01/03/2023,"£12,750.00","£63,750.00",Place
Personnel Checks Limited,-,BB1 1FB,4159,Stockport Metropolitan Council,Live (On-going),271440 - Information Communication Technology - Software,Taxi Driver Online Knowledge Test,-,Contract,01/10/2017,30/09/2021,"£12,000.00","£48,000.00","Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Market Place Management,-,OL7 0JG,4181,Stockport Metropolitan Council,Live (On-going),151000 - Consultancy - Business,Management of Stockport Market,-,Contract,01/09/2018,31/08/2023,"£175,214.00","£876,070.00",Place
Signpost Stockport for Carers,-,SK4 3LD,4287,Stockport Metropolitan Council,Live (On-going),401413 - Social Community Care Supplies & Services - Children - Specialist Needs - Young Carers,Support for Young Carers,-,Contract,01/04/2018,31/03/2023,"£108,761.00","£732,330.40",Childrens Social Care
Bibliotheca,-,SK8 7BS,4322,Stockport Metropolitan Council,Live (On-going),271200 - Information Communication Technology - Hardware,RFID Kiosks,-,Call-off Contract,15/02/2018,14/02/2023,"£165,000.00","£165,000.00","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT"
Bibliotheca,-,SK8 7BS,4384,Stockport Metropolitan Council,Live (On-going),271200 - Information Communication Technology - Hardware,Open Library System,-,Contract,21/01/2018,01/02/2023,"£9,936.46","£157,825.80","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT"
Magnet Solutions Ltd,-,SK8 2EA,4471,Stockport Metropolitan Council,Live (On-going),271440 - Information Communication Technology - Software,Locta Tracing Solution Software,-,Contract,01/04/2018,31/03/2023,"£2,800.00","£14,000.00","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT, HR Services"
JC Applications Developments Ltd,-,GU33 6JS,4479,Stockport Metropolitan Council,Live (On-going),271440 - Information Communication Technology - Software,"LACHS Claim Handling System Update, Support and Maintenance",-,Contract,30/04/2018,29/04/2023,"£4,999.00","£31,495.00","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT"
Speechwise Therapy,-,SK5 7DL,4582,Stockport Metropolitan Council,Live,401409 - Social Community Care Supplies & Services - Children - Specialist Needs - Speech & Language,Valley School / Overdale SLT / OT provision,-,Contract,01/09/2018,31/08/2022,"£40,955.00","£206,197.50",Education
Speechwise Therapy,-,SK5 7DL,4582,Stockport Metropolitan Council,Live,401409 - Social Community Care Supplies & Services - Children - Specialist Needs - Speech & Language,Lisburne School SLT,-,Contract,01/09/2019,31/08/2021,"£50,277.50","£153,571.00",Education
Stockport Progress and Recovery Centre (SPARC),-,SK2 6RE,4630,Stockport Metropolitan Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Mental Health Services - Lot 1,-,Contract,01/05/2019,31/03/2022,"£180,000.00","£540,000.00",Adult Social Care
Pure Innovations Ltd,-,SK7 5ER,4631,Stockport Metropolitan Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Mental Health Services - Lot 2,-,Contract,01/04/2019,31/03/2022,"£152,000.00","£456,000.00",Adult Social Care
Npower,-,WF17 9NE,5011,Stockport Metropolitan Council,Live (On-going),371010 - Utilities - Electricity - Street Lighting,Street Lighting,-,Contract,01/04/2019,31/03/2022,"£2,264,674.00","£9,058,696.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
The Compost Bag Company Ltd,-,PR26 7PF,5025,Stockport Metropolitan Council,Live (On-going),182012 - Environmental Services - Waste Management - Recycling,Compostable Liners (Caddy Liners),-,Contract,20/01/2020,19/01/2023,"£245,440.00","£732,230.00","Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
The Exclusec Group Ltd,-,BL1 4TQ,5132,Stockport Metropolitan Council,Live (On-going),192213 - Facilities & Management Services - Security - Manned Guarding,Recruitment of SIA Registered Security Staff,-,Contract,01/09/2018,31/08/2021,"£10,500.00","£35,000.00","Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
H Jenkinson & Co Ltd,-,L34 9JR,5243,Stockport Metropolitan Council,Live (On-going),211200 - Furniture & Soft Furnishings - Office Furniture,Office Furniture 2,-,Contract,01/12/2018,01/12/2021,"£50,000.00","£200,000.00","Stockport Metropolitan Borough Council, Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Ashley Hunter Ltd,-,OL2 5AS,6005,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 2,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Axia Solutions Ltd,-,ST4 4RJ,6006,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 3,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Baltic Training Services Ltd,-,DL5 6EN,6007,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 4,-,Call-off Contract,22/09/2021,22/09/2022,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Bespoke Consultancy and Education Ltd,-,BS21 6UP,6008,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 5,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Blackburn College,-,BB2 1LH,6009,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 6,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Learning Curve Group Ltd (LCG),-,DL16 6FS,6011,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 8,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Damar Ltd,-,SK1 1HE,6012,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 9,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Dawn Hodge Associates Ltd,-,CH64 3RU,6013,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 10,-,Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Essential Learning Company Ltd,-,SK14 1HB,6014,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 11,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Expanse Group Ltd,-,WN7 4JY,6015,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 12,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
FLM Training Ltd,-,WN3 6XU,6016,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 13,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
G P Strategies Training Ltd,-,WA14 2DT,6017,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 14,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
HIT Training Ltd,-,BN43 5FG,6018,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 15,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Lifetime Training Group Ltd,-,BS8 1EJ,6020,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 16,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Macclesfield College,-,SK11 8LF,6021,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 17,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,Stockport Metropolitan Borough Council
Mantra Learning Ltd,-,SK1 3AD,6022,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 18,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
MBKB Ltd,-,DY1 1JJ,6023,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 19,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
North Lancs Training Group Ltd,-,BB5 2BU,6024,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 20,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
People Plus Group Ltd,-,WA9 1UA,6025,Stockport Metropolitan Council,Live,261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 21,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Project Management (Staffordshire) Ltd,-,ST5 0QW,6026,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 22,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Rochdale Training Association Ltd,-,OL16 5NA,6029,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 25,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Cheshire College - South and West (South Cheshire College and West Cheshire College),-,CW2 8AB,6031,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 27,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
The Care Learning Centre Ltd,-,PO30 5BF,6033,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 29,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Total People Ltd,-,WN1 2AD,6034,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 30,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Training Synergy Ltd (trading as Escalla),-,N1 7JL,6035,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 31,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
University of Chester,-,CH1 4BJ,6036,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 32,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
West Nottinghamshire College Educational Trust (trading as Vision Business),-,NG18 5BH,6037,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 33,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
The Growth Company Ltd,-,M1 6EU,6039,Stockport Metropolitan Council,Live (On-going),261520 - Human Resources - Training & Conferences - Training,ADDED IN ERROR - Apprentice Training and End-point Assessments 35,-,Call-off Contract,22/09/2021,22/09/2021,£0.00,£0.00,"Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Trojan Consultants Ltd,-,B60 4DJ,6076,Stockport Metropolitan Council,Live (On-going),271440 - Information Communication Technology - Software,Trojan Caspar Money Management Software,-,Contract,29/05/2018,29/05/2023,"£25,000.00","£25,000.00","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT, HR Services"
Civica UK Ltd,-,SW15 6AR,6108,Stockport Metropolitan Council,Live (On-going),271501 - Information Communication Technology - Services,Revenue and Benefits Enterprise Licence,-,Call-off Contract,03/08/2018,02/08/2023,"£120,000.00","£750,000.00","Stockport Metropolitan Borough Council, Corporate and Support Services, ICT, HR Services"
NHS Northumbria Fleet Solutions,-,NE27 0QJ,6289,Stockport Metropolitan Council,Live,381600 - Vehicle Management - Leasing,Car Salary Sacrifice Scheme - Provision of car leasing for employees via a salary sacrifice arrangement,-,Contract,01/01/2019,01/01/2023,£0.00,"£675,000.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Manchester Metropolitan University,-,M15 6GX,6342,Stockport Metropolitan Council,Live,171010 - Education - Adult & Further Education Services,Level 6 Social Worker Degree Apprenticeship Training,-,Contract,01/01/2019,01/04/2022,"£138,000.00","£138,000.00",Corporate and Support Services
Capita Business Services Ltd,-,EC2V 7NQ,6359,Stockport Metropolitan Council,Live,271300 - Information Communication Technology - Services - Maintenance & Support,SIMS Annual Entitlement (including LA Charge and Additional Module Maintenance) 2,-,Contract,01/04/2019,31/03/2022,"£47,061.54","£141,184.60","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Link Asset Services,-,EC2V 7NQ,6381,Stockport Metropolitan Council,Live,200000 - Financial Services,Treasury Management (Stockport) Advisory Services to all Association of Greater Manchester Authorities (“AGMA”) and AGMA Associate Authorities,-,Call-off Contract,01/04/2019,31/03/2022,"£14,500.00","£60,100.00",Corporate and Support Services
CACI,-,W14 8TS,6418,Stockport Metropolitan Council,Live,271440 - Information Communication Technology - Software,Child View Youth Justice system,-,Contract,01/04/2019,31/03/2023,"£11,881.00","£47,524.00",People
Elephant Wifi,-,LE10 1BB,6423,Stockport Metropolitan Council,Live,271200 - Information Communication Technology - Hardware,District Wifi Provision,-,Contract,01/06/2019,31/03/2022,"£43,000.00","£43,000.00",Corporate and Support Services
Bottomline Technologies,-,-,6426,Stockport Metropolitan Council,Live (On-going),271440 - Information Communication Technology - Software,Council C-Series Upgrade,-,Contract,27/03/2019,26/03/2022,"£12,648.21","£37,944.63","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Physio.co.uk,-,M3 4DN,6473,Stockport Metropolitan Council,Live,410000 - Social Community Care Supplies & Services,Provision for Physiotherapy Services,-,Contract,01/10/2019,30/09/2021,"£46,000.00","£138,000.00","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Possabilities,-,OL10 4SY,7900,Stockport Metropolitan Council,Live,321000 - Social Community Care Supplies & Services - Adult,Provision of Supported Living Services (5),-,Contract,07/01/2019,30/06/2023,"£2,619,449.00","£11,200,000.00","Stockport Metropolitan Borough Council, Adult Social Care"
Stockport Homes Ltd,-,SK1 3NQ,7926,Stockport Metropolitan Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Stockport Steps to Work,-,Contract,06/01/2020,30/09/2021,"£37,500.00","£37,500.00","Stockport Metropolitan Borough Council, People, Adult Social Care, Childrens Social Care , Education"
Access UK Ltd,-,EC3N 1RE,8015,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,School Budget Planning Software,-,Contract,15/02/2020,14/02/2022,"£43,250.00","£173,000.00","People, Adult Social Care, Childrens Social Care , Education"
Civica UK Ltd,-,SW15 6AR,8039,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Coroner's Case Management System 2,-,Contract,30/07/2019,31/07/2023,"£20,733.00","£62,200.00",People
In-tend,-,TBC,8051,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Contract Management Solution,-,Call-off Contract,08/11/2019,07/11/2021,"£1,795.00","£13,970.00",SPEND Hub
Survey Engineering Project Ltd,-,WN8 8EF,8054,Stockport Metropolitan Council,Live (On-going),109999 - Building Construction Materials - Not Elsewhere Classified,Topographical Surveying Framework for use by the Council’s in-house Survey Team to assist in the delivery of a range of capital projects 3,-,Framework Agreement,01/08/2019,31/07/2021,"£75,000.00","£150,000.00","Stockport Metropolitan Borough Council, Place, People, Corporate and Support Services, Adult Social Care, Public Health, Childrens Social Care , SPEND Hub, ICT, Education, HR Services, Insurance, Revenues and Benefits, Accountancy, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration, Estates and Asset Management"
MHR,-,NG11 6LL,8107,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,HR & Payroll Solution 2,-,Contract,31/03/2020,31/03/2022,"£148,000.00","£703,352.60","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Idox Software,-,RG7 4SA,8112,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,"System for Planning Building Control, Land Charges and Regulatory Services 1",-,Contract,01/04/2020,31/03/2023,"£30,000.00","£90,000.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Gallagher,-,M3 5AG,8232,Stockport Metropolitan Council,Live,150000 - Consultancy,Insurance Brokerage Services 2,-,Contract,01/01/2021,31/10/2021,"£1,500.00","£4,250.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Pitney Bowes,-,AL10 9UJ,8342,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Asset Management System,-,Contract,20/09/2019,19/09/2021,"£91,020.00","£391,462.00","Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Bellrock Property and Facilites Management Limited,-,LE1 6LP,8348,Stockport Metropolitan Council,Live (On-going),190000 - Facilities & Management Services,The Appointment of Principal Designer and Construction Health and Safety Advisor,OJEU Tender,Contract,01/09/2021,31/08/2024,"£35,000.00","£105,000.00","Stockport Metropolitan Borough Council, Estates and Asset Management"
Virgin Media Business,-,M22 0EY,8374,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Wide Area Networks 2,-,Contract,01/12/2019,30/11/2021,"£465,708.00","£908,130.60","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
"The Sport, Leisure and Culture Consultancy",-,RH16 1UA,8447,Stockport Metropolitan Council,Live,150000 - Consultancy,Strategic Leisure Procurement Support,-,Contract,01/02/2020,31/03/2022,"£19,504.00","£39,009.00","People, Adult Social Care, Childrens Social Care , Education"
Softcat Plc,-,M12 6JH,8467,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Supply of additional Nutanix resources,-,Contract,31/12/2019,30/12/2024,£0.00,"£93,000.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
SoftBox Limited,-,-,8488,Stockport Metropolitan Council,Live (On-going),270000 - Information Communication Technology,Corporate case management (CRM) system,Call Off (External),Call-off Contract,01/04/2020,01/04/2023,"£147,286.00","£147,286.00","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Embrace Digital,-,WA4 6HL,8511,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Scanners for Mail and Scanning 1,-,Contract,24/02/2020,23/02/2023,£0.00,"£12,600.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
The Document Management Group,-,PR7 7ND,8512,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Scanners for Mail and Scanning 2,-,Contract,24/02/2020,23/02/2023,£0.00,"£7,120.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
XMA Ltd,-,HX3 6AQ,8551,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Supply of Schools back up system,-,Contract,01/04/2020,31/03/2023,"£15,834.00","£47,500.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Data Images Software Solutions Ltd,-,TS10 5SH,8592,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,The Supply of SEN Transport Routing and Scheduling Software,-,Contract,01/01/2021,31/12/2023,"£12,000.00","£31,600.00","People, Adult Social Care, Childrens Social Care , Education"
allPay,-,HR1 3SE,8615,Stockport Metropolitan Council,Live (On-going),201200 - Financial Services - Banking,Stockport Bill Payment Services,Call Off (External),Call-off Contract,01/07/2021,30/06/2023,"£75,000.00","£150,000.00","Stockport Metropolitan Borough Council, Revenues and Benefits"
CDW Limited,-,EC4M 9AF,8651,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Nutanix replacement kit,-,Contract,01/11/2020,01/11/2025,£0.00,"£1,750,000.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
Barbour Logic Limited,-,SW1V 1PX,8663,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Parking Contravention Software,-,Contract,01/08/2020,31/07/2023,"£15,713.00","£47,139.00","Place, Public Health, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration"
Ivanti UK Limited,-,WA4 4BU,8678,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Ivanti Security Controls Patch for Server Subscription 1 Yr,-,Contract,06/07/2020,05/07/2021,"£11,495.40","£11,495.40","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
