Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,PROFESSIONAL FEES,Commercial,SALISBURY TRADING LIMITED,0002333234,29821.03,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,SR SALISBURY,Commercial,SALISBURY TRADING LIMITED,0002333234,50.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0002333326,99636.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,JANSSEN-CILAG LTD,0012024423,27766.80,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,NOVARTIS PHARMACEUTICALS UK LTD,0012024506,53424.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,JANSSEN-CILAG LTD,0012024669,27655.85,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0012024675,99636.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,JANSSEN-CILAG LTD,0012024972,28767.98,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BATH ASU,0012025122,55378.94,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,CELGENE LTD,0012025394,28312.20,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE EDGH,Pharmacy Stock,JANSSEN-CILAG LTD,0013091718,27814.75,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE EDGH,Pharmacy Stock,CELGENE LTD,0013091987,26467.06,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,STOCK-ASCRIBE EDGH,Pharmacy Stock,JANSSEN-CILAG LTD,0013092617,27814.75,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,PACEMAKERS,Integrated Care,MEDTRONIC LTD,0026003426,68400.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,CAPITAL EXPEND PLANT&MACHINERY,Other Central,OLYMPUS KEYMED,0026003880,112914.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,PACEMAKERS,Integrated Care,MEDTRONIC LTD,0026003954,36600.00,
Department of Health,East Sussex Healthcare NHS Trust,26/03/2019,PROFESSIONAL FEES,Integrated Care,HISTOPATHOLOGY SERVICES LTD,0080037644,33120.00,
Department of Health,East Sussex Healthcare NHS Trust,27/03/2019,PROFESSIONAL FEES,Corporate Services,LIAISON FINANCIAL SERVICES LTD,0001460918,5101.46,
Department of Health,East Sussex Healthcare NHS Trust,27/03/2019,AGENCY DIRECT ENGAGEMENT,Other Central,LIAISON FINANCIAL SERVICES LTD,0001460918,103865.86,
Department of Health,East Sussex Healthcare NHS Trust,28/03/2019,CONTRACT-SECURITY,Commercial,TGS SECURITY SPECIALISTS LTD,0000772328,29957.76,
Department of Health,East Sussex Healthcare NHS Trust,28/03/2019,DRUGS-HIV,Integrated Care,ALCURA UK LTD,0001460887,41254.08,
Department of Health,East Sussex Healthcare NHS Trust,28/03/2019,DRUGS-HIV,Integrated Care,ALCURA UK LTD,0001460889,30966.24,
Department of Health,East Sussex Healthcare NHS Trust,28/03/2019,CONTRACTED-OUT H.CARE SERVICES,Integrated Care,HC ONE,0001461008,83719.80,
Department of Health,East Sussex Healthcare NHS Trust,28/03/2019,TESTS SENT TO NON NHS LABS,Integrated Care,VIAPATH ANALYTICS LLP,0001921513,80420.00,
Department of Health,East Sussex Healthcare NHS Trust,28/03/2019,CONTRACT-SCANNING SERVICE,Integrated Care,INHEALTH LIMITED,0002333603,172563.39,
Department of Health,East Sussex Healthcare NHS Trust,29/03/2019,CONT.MAIN-MED & SURG EQUIP,Integrated Care,ABBOTT MEDICAL U.K. LIMITED,0000773184,25000.00,
Department of Health,East Sussex Healthcare NHS Trust,29/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAYER PLC,0012025570,89148.00,
Department of Health,East Sussex Healthcare NHS Trust,29/03/2019,STOCK-ASCRIBE CONQUEST,Pharmacy Stock,BAXTER HEALTHCARE (BERKSHIRE)LTD,0012025574,37679.04,
