Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Legal,1202,Temporary Staff,06/10/2016,0000202872,1080.00,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Legal,1208,Temporary Staff,06/10/2016,0000202874,307.18,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1209,Temporary Staff,06/10/2016,0000202874,511.98,Revenue,Hays,02287
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,06/10/2016,0000202885,1511.00,Revenue,Wesson Fencing,07143
Rushmoor Borough Council,Information Technology,3307,Mobile Phones,13/10/2016,0000202886,468.67,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Community,6528,Contract Costs,06/10/2016,0000202891,1467.70,Capital,Adas Uk Ltd,08774
Rushmoor Borough Council,Community,6571,Contract Costs,06/10/2016,0000202891,411.00,Capital,Adas Uk Ltd,08774
Rushmoor Borough Council,Information Technology,3306,Photocopiers,06/10/2016,0000202893,784.68,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Community,2554,Integra Fee,06/10/2016,0000202906,5222.50,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Control Accounts,9351,Community Cohesion,13/10/2016,0000202907,1275.00,Control Accounts,Empire Banqueting & Hall,14113
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,06/10/2016,0000202909,281.05,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Environmental Health and Housing,2213,Equipment Maintenance,06/10/2016,0000202919,426.20,Revenue,Bruel And Kjaer Uk Ltd,11691
Rushmoor Borough Council,Legal,1210,Contract Staff,06/10/2016,0000202925,718.60,Revenue,Hays,02287
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,06/10/2016,0000202929,497.16,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Information Technology,3306,Temporary Staff,06/10/2016,0000202931,925.20,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2526,General Repairs and Maintenance,06/10/2016,0000202936,845.00,Revenue,Mrs V K Boast,01764
Rushmoor Borough Council,Community,2517,Playground Apparatus,06/10/2016,0000202937,900.90,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Customer Services,3808,Software,06/10/2016,0000202939,950.00,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Information Technology,3307,Temporary Staff,06/10/2016,0000202942,1017.50,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,06/10/2016,0000202943,460.00,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Environmental Health and Housing,2218,Housing Medical Reports,13/10/2016,0000202945,406.90,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Strategy and Communiations,1415,Occupational Health,13/10/2016,0000202946,282.17,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Community,2517,Tree Maintenance,06/10/2016,0000202949,1673.11,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Legal,1204,Books and Publications,06/10/2016,0000202950,317.00,Revenue,Thomson Reuters,00955
Rushmoor Borough Council,Legal,1204,Books and Publications,06/10/2016,0000202951,313.00,Revenue,Thomson Reuters,00955
Rushmoor Borough Council,Community,2529,Rushmoor in Bloom,06/10/2016,0000202956,661.50,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Legal,1212,General Repairs and Maintenance,06/10/2016,0000202960,444.00,Revenue,P J S Building Services,08039
Rushmoor Borough Council,Democratic Services,1327,Postages,13/10/2016,0000202961,1393.73,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2565,Trade Refuse,06/10/2016,0000202962,706.22,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2565,Trade Refuse,06/10/2016,0000202963,774.54,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1208,Electricity,06/10/2016,0000202969,778.56,Revenue,Opus Energy Ltd,13223
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,06/10/2016,0000202971,22999.22,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Information Technology,3306,Photocopiers,06/10/2016,0000202973,1885.34,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Democratic Services,1302,Postages,06/10/2016,0000202976,785.60,Revenue,Royal Mail,00821
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,06/10/2016,0000202978,1500.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Legal,1208,Temporary Staff,13/10/2016,0000202981,385.29,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1209,Temporary Staff,13/10/2016,0000202981,642.14,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,13/10/2016,0000202982,522.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2554,Publicity and Promotions,20/10/2016,0000202983,395.00,Revenue,Larac,03844
Rushmoor Borough Council,Customer Services,3805,Postages,13/10/2016,0000202984,2799.36,Revenue,Neopost Limited,12328
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,06/10/2016,0000202985,281.05,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Legal,1202,Temporary Staff,13/10/2016,0000202986,1057.50,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Community,2555,Payment to Contractor,06/10/2016,0000202993,13883.40,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Contract Variations Highways,06/10/2016,0000202995,1673.92,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Payment to Contractor,06/10/2016,0000202996,772.46,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,06/10/2016,0000202998,964.93,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Payment to Contractor,06/10/2016,0000202998,350.95,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,06/10/2016,0000202998,3095.43,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,06/10/2016,0000202998,1207.25,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,06/10/2016,0000202998,2880.46,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,06/10/2016,0000202998,454.03,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,13/10/2016,0000202999,2307.15,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,13/10/2016,0000203000,448.38,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,06/10/2016,0000203001,2107.80,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,06/10/2016,0000203001,664.50,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Base,06/10/2016,0000203001,16286.11,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Variations,06/10/2016,0000203001,1159.15,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,06/10/2016,0000203001,14913.96,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,06/10/2016,0000203001,9252.69,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Prospect Estate Base,06/10/2016,0000203001,2484.11,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,06/10/2016,0000203001,30182.51,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance,06/10/2016,0000203001,1644.87,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Amenity Base,06/10/2016,0000203001,8097.05,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,06/10/2016,0000203001,1133.13,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,06/10/2016,0000203002,396.46,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Community,2554,Integra Fee,06/10/2016,0000203003,-5222.50,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2517,Playground Apparatus,06/10/2016,0000203005,601.38,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Community,2518,Cleaning,06/10/2016,0000203007,272.41,Revenue,Jms Janitorial Supplies,00521
Rushmoor Borough Council,Community,6582,Contract Costs,06/10/2016,0000203008,258.00,Capital,Andertons Music Company,13210
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,06/10/2016,0000203009,340.10,Revenue,Cds Cleaning Supplies,04163
Rushmoor Borough Council,Information Technology,3304,Microsoft Enterprise Agreement,13/10/2016,0000203016,43914.84,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,Network Software,13/10/2016,0000203018,2854.12,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2549,Materials,06/10/2016,0000203019,2163.14,Revenue,Pitney Bowes Software Europe Ltd,09656
Rushmoor Borough Council,Environmental Health and Housing,2212,Payment to Contractor,06/10/2016,0000203027,908.00,Revenue,Sdk Environmental,12590
Rushmoor Borough Council,Strategy and Communiations,1402,Professional Subscriptions,06/10/2016,0000203028,377.00,Revenue,Solace Group Ltd,08897
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,06/10/2016,0000203030,930.00,Revenue,Sign-Fx,04242
Rushmoor Borough Council,Community,2518,Youth Theatre,06/10/2016,0000203031,495.00,Revenue,Andy Edmeads,10241
Rushmoor Borough Council,Financial Services,3402,Consultancy,20/10/2016,0000203034,2667.31,Revenue,Mishcon De Reya,13760
Rushmoor Borough Council,Information Technology,3305,Canteen Subsidy,13/10/2016,0000203036,1878.42,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Democratic Services,1310,Conferences and Seminars,13/10/2016,0000203037,592.00,Revenue,Stephen Quigley,12603
Rushmoor Borough Council,Legal,1211,Promotions,06/10/2016,0000203040,530.00,Revenue,T Hopkins Tree Services,14224
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,06/10/2016,0000203041,790.00,Revenue,Jenkins & Falvey,03370
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,06/10/2016,0000203042,552.00,Revenue,Sse Enterprise Contracting,02830
Rushmoor Borough Council,Community,2558,Payment to Contractor,06/10/2016,0000203043,43810.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2560,Booking Service Contract,06/10/2016,0000203043,7689.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2560,Payment to Contractor,06/10/2016,0000203043,10880.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2549,Skilled Up Project Costs,06/10/2016,0000203050,398.79,Revenue,Jewsons,00520
Rushmoor Borough Council,Information Technology,3304,Gov Connect,06/10/2016,0000203052,1151.09,Revenue,Vodafone Limited,11372
Rushmoor Borough Council,Democratic Services,1302,External Printing,06/10/2016,0000203053,2452.78,Revenue,Electoral Reform Services,06506
Rushmoor Borough Council,Strategy and Communiations,1413,Economic Development Promotions,13/10/2016,0000203056,2000.00,Revenue,Mark O Dolan,14202
Rushmoor Borough Council,Community,2543,Aldershot Promotions,13/10/2016,0000203056,2000.00,Revenue,Mark O Dolan,14202
Rushmoor Borough Council,Strategy and Communiations,1413,Grants to Enterprise First,13/10/2016,0000203057,10500.00,Revenue,Enterprise First,00155
Rushmoor Borough Council,Community,2554,Integra Fee,13/10/2016,0000203059,6267.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Democratic Services,1302,Canvas Fees,13/10/2016,0000203067,1337.84,Revenue,Electoral Reform Services,06506
Rushmoor Borough Council,Control Accounts,9362,Local Enterprise Partnership,13/10/2016,0000203068,712.60,Control Accounts,Cyan Solutions Ltd,13258
Rushmoor Borough Council,Legal,1202,Books and Publications,13/10/2016,0000203071,408.00,Revenue,Thomson Reuters,00955
Rushmoor Borough Council,Information Technology,3306,Photocopiers,13/10/2016,0000203076,356.37,Revenue,Datasharp Independent Solutions,00281
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,13/10/2016,0000203079,313.50,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,13/10/2016,0000203080,8536.58,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Legal,1202,Temporary Staff,13/10/2016,0000203082,1023.75,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Legal,1212,General Repairs and Maintenance,13/10/2016,0000203084,394.50,Revenue,Accurate Mechanical Services Ltd,12623
Rushmoor Borough Council,Community,2518,Publicity and Advertising,13/10/2016,0000203085,300.00,Revenue,Tg Media Group,13354
Rushmoor Borough Council,Community,2554,Glass Skip,20/10/2016,0000203087,1781.18,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Community,2554,Glass Skip,13/10/2016,0000203088,798.94,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,13/10/2016,0000203089,720.00,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,20/10/2016,0000203091,2070.50,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,13/10/2016,0000203094,270.00,Revenue,Brand Pest Control,03284
Rushmoor Borough Council,Community,2508,Temporary Staff,20/10/2016,0000203102,1222.50,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2518,Publicity and Advertising,13/10/2016,0000203103,525.00,Revenue,Auron Media Limited,12877
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,13/10/2016,0000203103,5775.00,Revenue,Auron Media Limited,12877
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,13/10/2016,0000203107,974.00,Revenue,Gilgen Door Systems,00445
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,13/10/2016,0000203108,422.75,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Community,2549,Leasing Charges,20/10/2016,0000203111,1134.68,Revenue,Northgate Vehicle Hire (South) Ltd,10334
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,13/10/2016,0000203113,1500.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,13/10/2016,0000203119,881.77,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,13/10/2016,0000203126,730.99,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Community,2526,Electricity,13/10/2016,0000203127,313.31,Revenue,Total Gas & Power Limited,13301
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,13/10/2016,0000203131,819.00,Revenue,Evac + Chair International,14239
Rushmoor Borough Council,Community,2518,Trade Refuse,13/10/2016,0000203132,400.41,Revenue,Grundon Waste Management Ltd,09633
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,20/10/2016,0000203134,364.45,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,13/10/2016,0000203138,768.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,13/10/2016,0000203145,678.56,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2517,Playground Apparatus,20/10/2016,0000203148,326.20,Revenue,Playdale Playgrounds Ltd,09770
Rushmoor Borough Council,Democratic Services,1304,Hire of Transport,13/10/2016,0000203149,269.00,Revenue,Vgt Ltd,12541
Rushmoor Borough Council,Legal,1202,Counsels Fees,20/10/2016,0000203151,891.00,Revenue,Bevan Brittan Llp,08417
Rushmoor Borough Council,Legal,1210,Contract Staff,20/10/2016,0000203152,522.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,20/10/2016,0000203153,708.18,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1202,Counsels Fees,20/10/2016,0000203154,345.38,Revenue,Bevan Brittan Llp,08417
Rushmoor Borough Council,Information Technology,3305,Equipment Maintenance,13/10/2016,0000203164,288.61,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Community,2537,Surface Repairs,20/10/2016,0000203165,520.00,Revenue,Iceberg Civil Engineering Ltd,14227
Rushmoor Borough Council,Community,6573,Contract Costs,13/10/2016,0000203167,8325.00,Capital,Geoinvestigate Ltd,14186
Rushmoor Borough Council,Community,2518,Publicity and Advertising,13/10/2016,0000203169,517.00,Revenue,Red Rooster Graphic Design Company Ltd,03372
Rushmoor Borough Council,Community,6541,Contract Costs,13/10/2016,0000203170,12479.10,Capital,Temple Lifts Limited,12997
Rushmoor Borough Council,Information Technology,3304,Network Software,13/10/2016,0000203176,1662.00,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2550,General Repairs and Maintenance,13/10/2016,0000203177,280.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,13/10/2016,0000203180,1960.95,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,CCTV Transmission,13/10/2016,0000203180,1460.96,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,13/10/2016,0000203185,758.97,Revenue,Vodafone Ltd,08758
Rushmoor Borough Council,Financial Services,3403,Bank Charges,13/10/2016,0000203187,384.66,Revenue,King & Shaxson Limited,14321
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,13/10/2016,0000203191,3340.00,Revenue,Acas,09885
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,27/10/2016,0000203196,2370.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,27/10/2016,0000203196,6090.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,20/10/2016,0000203197,1362.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,20/10/2016,0000203198,490.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,13/10/2016,0000203202,1498.39,Revenue,Bt Redcare,07366
Rushmoor Borough Council,Strategy and Communiations,1415,Training Expenses,20/10/2016,0000203203,1056.08,Revenue,Frontier Software Plc,00387
Rushmoor Borough Council,Legal,1208,Building Maintenance,13/10/2016,0000203204,499.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Information Technology,3306,Temporary Staff,20/10/2016,0000203206,902.07,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3300,Newspapers,20/10/2016,0000203209,284.30,Revenue,Oak Farm News,01964
Rushmoor Borough Council,Legal,1210,Contract Staff,20/10/2016,0000203213,708.18,Revenue,Hays,02287
Rushmoor Borough Council,Community,2551,Memorial Expenses,20/10/2016,0000203223,551.00,Revenue,Streetmaster (South Wales) Ltd,02351
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,20/10/2016,0000203226,360.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,20/10/2016,0000203227,817.50,Revenue,Continuity Shop,14317
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,20/10/2016,0000203227,817.50,Revenue,Continuity Shop,14317
Rushmoor Borough Council,Information Technology,3304,Computer Consumables,20/10/2016,0000203235,581.25,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2551,Stationery,27/10/2016,0000203237,365.06,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Legal,1202,Valuation Charges,20/10/2016,0000203239,3400.00,Revenue,Valuation Office Agency,01073
Rushmoor Borough Council,Community,2518,Refreshment Purchases,20/10/2016,0000203243,602.67,Revenue,Bentons,12526
Rushmoor Borough Council,Information Technology,3305,Refreshments at Meetings,20/10/2016,0000203245,325.00,Revenue,Options Management,14093
Rushmoor Borough Council,Community,6510,Contract Costs,20/10/2016,0000203249,1385.25,Capital,Radley House Partnership,13057
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,20/10/2016,0000203250,1318.00,Revenue,Accurate Mechanical Services Ltd,12623
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,20/10/2016,0000203251,740.60,Revenue,Accurate Mechanical Services Ltd,12623
Rushmoor Borough Council,Community,2517,Vehicle Barrier Works,20/10/2016,0000203254,1430.00,Revenue,Wesson Fencing,07143
Rushmoor Borough Council,Community,2552,Grounds Maintenance,20/10/2016,0000203256,1500.00,Revenue,Girling Pipeworks,05392
Rushmoor Borough Council,Democratic Services,1327,Postages,20/10/2016,0000203257,1138.87,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,6582,Contract Costs,20/10/2016,0000203258,258.00,Capital,Andertons Music Company,13210
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,27/10/2016,0000203259,271.16,Revenue,Winchester City Council,01106
Rushmoor Borough Council,Community,2565,Trade Refuse,27/10/2016,0000203266,760.56,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2565,Trade Refuse,27/10/2016,0000203267,575.19,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1210,Contract Staff,27/10/2016,0000203268,666.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1208,Temporary Staff,27/10/2016,0000203269,385.29,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1209,Temporary Staff,27/10/2016,0000203269,642.14,Revenue,Hays,02287
Rushmoor Borough Council,Community,2550,Electricity,27/10/2016,0000203270,1274.16,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3305,Electricity,20/10/2016,0000203271,4327.43,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,27/10/2016,0000203275,489.55,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Community,2517,Tree Maintenance,20/10/2016,0000203276,405.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Community,2517,Tree Maintenance,20/10/2016,0000203276,630.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,20/10/2016,0000203276,360.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Legal,1202,Temporary Staff,27/10/2016,0000203277,1057.50,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Community,2518,Snap Discos,20/10/2016,0000203278,400.00,Revenue,Leroy Wilson,03014
Rushmoor Borough Council,Community,2518,Publicity and Advertising,20/10/2016,0000203286,342.00,Revenue,Eyrie Communications,03134
Rushmoor Borough Council,Community,2517,Prospect Trees,20/10/2016,0000203288,1875.44,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Legal,1208,Electricity,27/10/2016,0000203289,1179.55,Revenue,Opus Energy Ltd,13223
Rushmoor Borough Council,Community,2553,Doman Road Lease,27/10/2016,0000203290,25562.77,Revenue,Surrey Heath Borough Council,06779
Rushmoor Borough Council,Information Technology,3306,Photocopiers,20/10/2016,0000203292,1425.25,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Information Technology,3306,Photocopiers,20/10/2016,0000203293,347.14,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Information Technology,3306,Photocopiers,20/10/2016,0000203294,387.09,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Information Technology,3306,Photocopiers,20/10/2016,0000203295,452.14,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Information Technology,3306,Photocopiers,20/10/2016,0000203296,300.31,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Information Technology,3306,Photocopiers,20/10/2016,0000203297,312.79,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Community,2549,Fuel Costs,27/10/2016,0000203301,321.45,Revenue,Allstar Business Solutions Ltd,00721
Rushmoor Borough Council,Community,2518,Payment to Artistes,20/10/2016,0000203305,7000.00,Revenue,Derek Block Concert Promotions Ltd,02720
Rushmoor Borough Council,Information Technology,3304,Network Software,20/10/2016,0000203306,723.60,Revenue,Ecommnet Ltd,13640
Rushmoor Borough Council,Planning,2609,Public Relations,27/10/2016,0000203314,4029.88,Revenue,Limehouse Software Ltd,08044
Rushmoor Borough Council,Community,2561,General Repairs and Maintenance,20/10/2016,0000203318,1870.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2518,Payment to Artistes,20/10/2016,0000203321,4500.00,Revenue,Riviera Entertainments,13132
