Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code
Department of Health,NHS Business Services Authority,28/03/2023,Postage Charges,Operations,ROYAL MAIL,80138423,"40,631.14",A/C 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,10/03/2023,Professional Fees,Citizen Services,SERCO LIMITED,80137832,"97,949.26",Extended contact centre service ,RG27 9UY
Department of Health,NHS Business Services Authority,10/03/2023,Professional Fees,Citizen Services,SERCO LIMITED,80137833,"167,840.36",As stated in the Single Service Centre,RG27 9UY
Department of Health,NHS Business Services Authority,10/03/2023,Cloud Storage,"Digital, Data & Technology",TRUSTMARQUE SOLUTIONS LTD,80137868,"80,757.22",Part No. CSP-COM   -  CSP Commit NCE - ,YO41 1LZ
Department of Health,NHS Business Services Authority,10/03/2023,Cloud Storage,"Digital, Data & Technology",TRUSTMARQUE SOLUTIONS LTD,80137868,"6,274.91",CSP-COM CSP Commit NCE - Common ,YO41 1LZ
Department of Health,NHS Business Services Authority,10/03/2023,Cloud Storage,"Digital, Data & Technology",TRUSTMARQUE SOLUTIONS LTD,80137868,"4,147.20",CSP-COM  -   CSP Commit NCE - Common ,YO41 1LZ
Department of Health,NHS Business Services Authority,10/03/2023,NHS Pension Add Ers Cont,Statutory Payments,NHS PENSIONS ,80137704,"908,635.32",INCREASE IF EMPLOYER CONTRIBUTIONS,FY7 8LG
Department of Health,NHS Business Services Authority,14/03/2023,Apprenticeship Levy,People & Corporate Services,HM REVENUE & CUSTOMS 948PX00194660,50039631,"51,907.00",LEVY,NE98 1ZZ
Department of Health,NHS Business Services Authority,14/03/2023,Income Tax,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039631,"993,299.63",948PX00194660-FEB23,NE98 1ZZ
Department of Health,NHS Business Services Authority,14/03/2023,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039631,"882,538.97",948PX00194660/FEB23,NE98 1ZZ
Department of Health,NHS Business Services Authority,14/03/2023,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039631,"599,527.16",948PX00194660/FEB23,NE98 1ZZ
Department of Health,NHS Business Services Authority,14/03/2023,Student Loan,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039631,"44,713.10",948PX00194660/FEB23,NE98 1ZZ
Department of Health,NHS Business Services Authority,14/03/2023,SMP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039631,"-45,204.12",SMP,NE98 1ZZ
Department of Health,NHS Business Services Authority,14/03/2023,SPP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039631,"-1,811.92",SPP,NE98 1ZZ
Department of Health,NHS Business Services Authority,31/03/2023,Apprenticeship Levy,People & Corporate Services,HM REVENUE & CUSTOMS 948PX00194660,50039662,"52,285.00",LEVY,NE98 1ZZ
Department of Health,NHS Business Services Authority,31/03/2023,Income Tax,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039662,"1,014,107.49",948PX00194660-MAR23,NE98 1ZZ
Department of Health,NHS Business Services Authority,31/03/2023,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039662,"902,279.54",948PX00194660/MAR23,NE98 1ZZ
Department of Health,NHS Business Services Authority,31/03/2023,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039662,"613,275.98",948PX00194660/MAR23,NE98 1ZZ
Department of Health,NHS Business Services Authority,31/03/2023,Student Loan,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039662,"45,463.00",948PX00194660/MAR23,NE98 1ZZ
Department of Health,NHS Business Services Authority,31/03/2023,SMP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039662,"-55,665.54",SMP,NE98 1ZZ
Department of Health,NHS Business Services Authority,31/03/2023,SPP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50039662,-312.46,SPP,NE98 1ZZ
Department of Health,NHS Business Services Authority,13/03/2023,Electricity,"Finance, Commercial & Estates",EDF ENERGY ,50039643,"40,701.44",A/C 1376210000,PL3 5XQ 
Department of Health,NHS Business Services Authority,24/03/2023,Professional Fees,NHS Workforce Services,ACUITY BUSINESS SOLUTIONS LTD,80138295,"48,315.00",To Deliver agreed scope of Programme ,EX2 8LB
Department of Health,NHS Business Services Authority,24/03/2023,Professional Fees,NHS Workforce Services,ACUITY BUSINESS SOLUTIONS LTD,80138296,"73,155.00",To Deliver agreed scope of Programme ,EX2 8LB
Department of Health,NHS Business Services Authority,03/03/2023,Legal Fees General,Workforce Transformation,CABINET OFFICE ,80136543,"32,220.00",Cabinet Office complex transactions team,NP10 8FZ
Department of Health,NHS Business Services Authority,10/03/2023,Methods Contract,Operations,METHODS BUSINESS & DIGITAL TECH LTD,80137251,"62,305.35",Provision of NHS Jobs website and ,EC1N 8TS
Department of Health,NHS Business Services Authority,10/03/2023,Methods Contract,Operations,METHODS BUSINESS & DIGITAL TECH LTD,80137251,"102,129.25",Provision of NHS Jobs website and ,EC1N 8TS
Department of Health,NHS Business Services Authority,17/03/2023,Methods Contract,Operations,METHODS BUSINESS & DIGITAL TECH LTD,80138134,"157,934.60",Provision of NHS Jobs website and ,EC1N 8TS
Department of Health,NHS Business Services Authority,17/03/2023,Methods Contract,Operations,METHODS BUSINESS & DIGITAL TECH LTD,80138134,"6,500.00",misc,EC1N 8TS
Department of Health,NHS Business Services Authority,07/03/2023,Professional Fees,Citizen Services,XEROX UK LIMITED,80137389,"316,996.32",Healthy Start Prepaid Cards & Financial ,WF2 0XF
Department of Health,NHS Business Services Authority,17/03/2023,Printing Charges (External),Operations,XEROX UK LIMITED,80137740,820.04,misc,WF2 0XF
Department of Health,NHS Business Services Authority,17/03/2023,Printing Charges (External),Operations,XEROX UK LIMITED,80137740,"23,617.00",HC Forms and Awareness. To cover such ,WF2 0XF
Department of Health,NHS Business Services Authority,10/03/2023,Printing Charges (External),Operations,XEROX UK LIMITED,80137899,"69,838.62","Production, Personalization and ",WF2 0XF
Department of Health,NHS Business Services Authority,28/03/2023,Printing Charges (External),Operations,XEROX UK LIMITED,80138315,"51,149.13","Production, Personalization and ",WF2 0XF
Department of Health,NHS Business Services Authority,03/03/2023,Bank Charges,Operations,ALLPAY LIMITED,80137518,"46,342.72",PPC1,HR1 3SE
Department of Health,NHS Business Services Authority,14/03/2023,Bank Charges,Operations,ALLPAY LIMITED,80137930,"43,505.69",PPC1,HR1 3SE
Department of Health,NHS Business Services Authority,10/03/2023,Medigold Medical Services,Operations,MEDIGOLD HEALTH CONSULTANCY LTD,80137973,"58,280.88",Provision of Services Agreement ,NN4 7BF
Department of Health,NHS Business Services Authority,10/03/2023,Medigold Medical Services,Operations,MEDIGOLD HEALTH CONSULTANCY LTD,80137975,"75,237.20",Provision of Services Agreement ,NN4 7BF
Department of Health,NHS Business Services Authority,28/03/2023,Medigold Medical Services,Operations,MEDIGOLD HEALTH CONSULTANCY LTD,80138535,"64,545.60",Provision of Services Agreement ,NN4 7BF
Department of Health,NHS Business Services Authority,03/03/2023,Claybrook IT App Support,Operations,CLAYBROOK COMPUTING LTD,80137185,"200,013.00",Monthly standard product support and ,RH10 1UH
Department of Health,NHS Business Services Authority,10/03/2023,Claybrook IT App Support,NHS Workforce Services,CLAYBROOK COMPUTING LTD,80137743,"35,263.00",IT & SUPPORT  MAIN. JAN 23 PO COMPLETE,RH10 1UH
Department of Health,NHS Business Services Authority,14/03/2023,Claybrook IT App Support,Operations,CLAYBROOK COMPUTING LTD,80137991,"200,013.00",Monthly standard product support and ,RH10 1UH
Department of Health,NHS Business Services Authority,14/03/2023,External Staff Costs,NHS Workforce Services,CLAYBROOK COMPUTING LTD,80137992,"38,555.00",Posthumous Awards (53655) provided by ,RH10 1UH
Department of Health,NHS Business Services Authority,14/03/2023,External Project Support,NHS Workforce Services,CLAYBROOK COMPUTING LTD,80137995,"57,068.00",To configure the Compendia ,RH10 1UH
Department of Health,NHS Business Services Authority,17/03/2023,Claybrook IT App Support,NHS Workforce Services,CLAYBROOK COMPUTING LTD,80138153,"35,263.00",One-month's support and maintenance ,RH10 1UH
Department of Health,NHS Business Services Authority,14/03/2023,High Street Vouchers,People & Corporate Services,BLOOM PROCUREMENT SERVICES LTD,80137879,"30,324.00",Supplier: Bloom Procurement Services Ltd,NE8 2ET
Department of Health,NHS Business Services Authority,31/03/2023,External Staff Costs,NHS Workforce Services,DIFRENT LTD,50039696,"25,447.50",REF CREDIT  CNDIFR9,WC2R 0EX
Department of Health,NHS Business Services Authority,21/03/2023,External Project Support,NHS Workforce Services,DIFRENT LTD,80138185,"159,377.50",C99309 NHS JOBS CAPABILITY - SOW013 ,WC2R 0EX
Department of Health,NHS Business Services Authority,21/03/2023,Rent,Operations,CROWN HOSTING DATA CENTRES LTD,80137876,"32,265.23","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,21/03/2023,Electricity,Operations,CROWN HOSTING DATA CENTRES LTD,80137876,"5,973.69","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,21/03/2023,Rent,Operations,CROWN HOSTING DATA CENTRES LTD,80137877,"39,515.66","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,21/03/2023,Electricity,Operations,CROWN HOSTING DATA CENTRES LTD,80137877,"7,316.06","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,28/03/2023,Rent,Operations,CROWN HOSTING DATA CENTRES LTD,80138237,"22,141.43","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,28/03/2023,Electricity,Operations,CROWN HOSTING DATA CENTRES LTD,80138237,"4,099.34","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137091,"14,520.00",C99309 UX Designer. SOW099 NHS Jobs ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137091,"7,600.00",C99309 Developer 3. SOW099 NHS Jobs ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137091,420,C99309 SOW099 NHS Jobs Technical Spike ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137091,"7,740.00",C99309 Automation Tester 2. SOW099 NHS ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137091,"21,890.00",C99309 Technical Architect. SOW099 NHS ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137091,"7,740.00",C99309 Automation Tester 1. SOW099 NHS ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137091,"11,240.00",C99309 Business Analyst. SOW099 NHS ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,Professional Fees,Citizen Services,MASTEK UK LTD,80137255,"6,890.00",B98042 (Revenue) - SOW082 EIBBS ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,Professional Fees,Citizen Services,MASTEK UK LTD,80137255,"4,950.00",B98042 (Revenue) SOW082 EIBBS Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,Citizen Services,MASTEK UK LTD,80137255,"3,150.00",B99246 (Capital) SOW082 EIBBS Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,Citizen Services,MASTEK UK LTD,80137255,"3,150.00",B99246 (Capital) SOW082 EIBBS Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,Citizen Services,MASTEK UK LTD,80137255,"11,970.00",B99246 Capital SOW082 EIBBS Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,Citizen Services,MASTEK UK LTD,80137255,"11,495.00",B99246 Capital SOW082 EIBBS Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,Citizen Services,MASTEK UK LTD,80137255,"3,600.00",B99246 (Capital) SOW082 EIBBS Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,Citizen Services,MASTEK UK LTD,80137255,"3,200.00",B99246 Capital SOW082 EIBBS Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137783,"32,155.00",C99309 SOW104 NHS Jobs Team. ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,Professional Fees,"Digital, Data & Technology",MASTEK UK LTD,80137784,"24,400.00",B08022 SOW005 CtBSA ¿ Documents into ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,Digital & Data,MASTEK UK LTD,80137786,"6,000.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,Digital & Data,MASTEK UK LTD,80137786,"4,200.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,Digital & Data,MASTEK UK LTD,80137786,"3,800.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"4,000.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"3,675.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"3,400.00",B98022 B99209 OHS Cost Recovery  ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"3,800.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"4,200.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"3,675.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"2,975.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"3,675.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"2,800.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"4,000.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137786,"4,200.00",B98022 B99209 OHS Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,10/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80137791,"26,295.00",C99309 SOW091 CCN01 NHS Jobs Dev Ops ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,Digital & Data,MASTEK UK LTD,80137796,"1,631.25",B98022 (Revenue) Senior Delivery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,Digital & Data,MASTEK UK LTD,80137796,"10,500.00",B98022 (Revenue) Data Analyst. SOW011 ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,Professional Fees,Digital & Data,MASTEK UK LTD,80137796,"10,500.00",B98022 (Revenue) Data Analyst. SOW011 ,RG1 8BW
Department of Health,NHS Business Services Authority,17/03/2023,External Project Support,Digital & Data,MASTEK UK LTD,80137796,"13,000.00",B99209 (Capital). Technical Architect. ,RG1 8BW
Department of Health,NHS Business Services Authority,24/03/2023,External Project Support,NHS Workforce Services,MASTEK UK LTD,80138308,"39,605.00",C99309 SOW104 NHS Jobs Team. ,RG1 8BW
Department of Health,NHS Business Services Authority,03/03/2023,Temporary Staff,Citizen Services,ALEXANDER MANN SOLUTIONS,80137534,"2,931.48",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,Temporary Staff,Citizen Services,ALEXANDER MANN SOLUTIONS,80137534,"2,931.48",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,External Staff Costs,Digital & Data,ALEXANDER MANN SOLUTIONS,80137534,"3,238.26",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,External Staff Costs,Digital & Data,ALEXANDER MANN SOLUTIONS,80137534,"3,238.26",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,External Staff Costs,Digital & Data,ALEXANDER MANN SOLUTIONS,80137534,"3,408.72",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,Temporary Staff,"Digital, Data & Technology",ALEXANDER MANN SOLUTIONS,80137534,"3,748.86",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,Temporary Staff,"Digital, Data & Technology",ALEXANDER MANN SOLUTIONS,80137534,"3,748.86",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,Temporary Staff,"Digital, Data & Technology",ALEXANDER MANN SOLUTIONS,80137534,"3,748.86",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,Temporary Staff,Operations,ALEXANDER MANN SOLUTIONS,80137552,"94,730.76",TEMP STAFF,
Department of Health,NHS Business Services Authority,03/03/2023,Temporary Staff,Operations,ALEXANDER MANN SOLUTIONS,80137667,"83,472.04",TEMP STAFF,
Department of Health,NHS Business Services Authority,14/03/2023,Agency & Interim Staff,Operations,ALEXANDER MANN SOLUTIONS,80137945,"98,999.75",TEMP STAFF,
Department of Health,NHS Business Services Authority,14/03/2023,Temporary Staff,Operations,ALEXANDER MANN SOLUTIONS,80138051,"111,188.83",TEMP STAFF,
Department of Health,NHS Business Services Authority,28/03/2023,Temporary Staff,Operations,ALEXANDER MANN SOLUTIONS,80138417,"87,357.38",TEMP STAFF,
Department of Health,NHS Business Services Authority,31/03/2023,Temporary Staff,Operations,ALEXANDER MANN SOLUTIONS,80138501,"38,455.39",TEMP STAFF,
Department of Health,NHS Business Services Authority,31/03/2023,Temporary Staff,Operations,ALEXANDER MANN SOLUTIONS,80138528,"224,269.75",TEMP STAFF,
Department of Health,NHS Business Services Authority,10/03/2023,Colocate - Unix,"Digital, Data & Technology",AGILISYS LIMITED,80137811,"133,747.77","Colocate (Inc. Pensions Servers, Memory ",W12 7RZ
Department of Health,NHS Business Services Authority,21/03/2023,Cloud Storage,"Digital, Data & Technology",AGILISYS LIMITED,80138188,"169,437.83",AWS Cloud Brokerage Services for ,W12 7RZ
Department of Health,NHS Business Services Authority,24/03/2023,NHS Cloud - Wintel,"Digital, Data & Technology",AGILISYS LIMITED,80138189,"90,653.79",Annual Variable Service Charges ,W12 7RZ
