"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"PG11","N/D","SCS1","Policy Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","952981","1.00","N/A","N/A","","","London","","1"
"PG12","N/D","SCS1","Policy Delivery.Deputy Director","Youth Justice Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG72","2531251","1.00","N/A","N/A","","","London","","1"
"HMCTS9","N/D","SCS1","Other.Deputy Director","Transition Director","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","847661","1.00","N/A","N/A","","","London","","1"
"PG13","N/D","SCS1","Other.Deputy Director","Permanent Secretary's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG56","249229","1.00","N/A","N/A","","","London","","1"
"PG14","N/D","SCS1","Policy Delivery.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG46","821305","1.00","N/A","N/A","","","London","","1"
"COOG6","James McEwen","SCS3","Finance.Director General","DG Office CFOG","Ministry of Justice","Ministry of Justice Headquarters","DIR - COOG - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG1","118892021","1.00","140000","144999","","","London","","1"
"PSAAG6","N/D","SCS1","Communications and Marketing.Head of Operations","NOMS Communications Group Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG1","1643543","1.00","N/A","N/A","","","London","","1"
"SDTG1","N/D","SCS1","Information Technology.Deputy Director","People & Capability","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","SDTG8","1724909","1.00","N/A","N/A","","","East Midlands","","1"
"PG15","N/D","SCS1","Operation Delivery.Senior Manager","HMI Probation Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - HMI Probation","020 3334 3555","general.queries@justice.gov.uk","PG25","0","1.00","N/A","N/A","","","London","","1"
"HMCTS10","Guy Tompkins","SCS2","Operation Delivery.Director","Crime Operations BAU - Enforcement","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Enforcement","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","22642571","0.67","100000","104999","","","South East","","1"
"COOG7","N/D","SCS1","Other.Deputy Director","Probation & Wales FBP","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG39","2293301","1.00","N/A","N/A","","","West Midlands","","1"
"PSAAG7","N/D","SCS1","Economics.Deputy Director","Access to Justice (A2J) and Corporate BPT","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG16","3412973","1.00","N/A","N/A","","","London","","1"
"PG16","N/D","SCS1","Other.Deputy Director","Parliamentary Branch Unit","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG25","0","1.00","N/A","N/A","","","London","","1"
"COOG8","David Mann","SCS2","Human Resources.Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG55","8932609","1.00","95000","99999","","","Yorkshire and The Humber","","1"
"HMCTS11","Una Bennett","SCS2","Other.Director","Operations HQ Private Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","46067396","1.00","95000","99999","","","West Midlands","","1"
"PG17","N/D","SCS1","Operation Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","420035","0.60","N/A","N/A","","","London","","1"
"COOG9","N/D","SCS1","Other.Deputy Director","Workforce Experience and People Insight","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy, Leadership & Belonging","020 3334 3555","general.queries@justice.gov.uk","COOG25","2013037","1.00","N/A","N/A","","","Wales","","1"
"SDTG2","N/D","SCS1","Information Technology.Deputy Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG13","3465771","1.00","N/A","N/A","","","London","","1"
"PG18","N/D","SCS1","Operation Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","0","1.00","N/A","N/A","","","London","","1"
"HMCTS12","N/D","SCS1","Other.Deputy Director","HR - Transition","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS1","718646","1.00","N/A","N/A","","","London","","1"
"PG19","N/D","SCS1","Operation Delivery.Deputy Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG68","1334838","1.00","N/A","N/A","","","London","","1"
"HMCTS13","N/D","SCS1","Information Technology.Deputy Director","Digital Directorate Admin Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","7480750","0.90","N/A","N/A","","","London","","1"
"COOG10","N/D","SCS1","Other.Deputy Director","Financial Reporting & Control","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG26","1631702","1.00","N/A","N/A","","","London","","1"
"COOG11","N/D","SCS1","Finance.Senior Manager","Director's Office - FSP - Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG39","3401337","1.00","N/A","N/A","","","London","","1"
"CICA1","N/D","SCS1","Other.Deputy Director","CICA (Prog)","Ministry of Justice","Criminal Injuries Compensation Authority","DIR - CICA","020 3334 3555","general.queries@justice.gov.uk","CICA2","7485570","1.00","N/A","N/A","","","Scotland","","1"
"HMCTS14","N/D","SCS1","Strategy.Deputy Director","Corporate Services","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","2112386","1.00","N/A","N/A","","","East Midlands","","1"
"HMCTS15","N/D","SCS1","Law.Deputy Director","Legal Operations","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","397331","1.00","N/A","N/A","","","London","","1"
"PG20","N/D","SCS1","Policy Delivery.Deputy Director","Probation Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG72","929520","1.00","N/A","N/A","","","London","","1"
"SDTG3","N/D","SCS1","Other.Deputy Director","Service Operations","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","SDTG8","642048","1.00","N/A","N/A","","","East Midlands","","1"
"COOG12","N/D","SCS1","Finance.Deputy Director","Commercial, Income & Capability","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Strategy and Planning","020 3334 3555","general.queries@justice.gov.uk","PSAAG13","927362","1.00","N/A","N/A","","","London","","1"
"COOG13","Amie Alekna","SCS2","Information Technology.Director","Group Security and Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Security, Service & Information Governance","020 3334 3555","general.queries@justice.gov.uk","COOG6","7425610","1.00","110000","114999","","","London","","1"
"PG21","Richard Price","SCS3","Other.Director General","Permanent Secretary's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG1","111108091","1.00","130000","134999","","","London","","1"
"PG22","N/D","SCS1","Policy Delivery.Deputy Director","Parliamentary Branch Unit","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG56","857527","1.00","N/A","N/A","","","London","","1"
"PSAAG8","N/D","SCS1","Communications and Marketing.Communications","Strategic Comms & Campaigns","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG1","2266084","1.00","N/A","N/A","","","London","","1"
"COOG14","N/D","SCS1","Human Resources.Deputy Director","SCS","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG21","660770","1.00","N/A","N/A","","","South East","","1"
"PG23","N/D","SCS1","Policy Delivery.Deputy Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG68","2012758","1.00","N/A","N/A","","","London","","1"
"PG24","N/D","SCS1","Other.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG71","1019684","1.00","N/A","N/A","","","London","","1"
"HMCTS16","N/D","SCS1","Operation Delivery.Deputy Director","South West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT SW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","40070525","1.00","N/A","N/A","","","South West","","1"
"COOG15","Mark Ripley","SCS2","Finance.Governance","Risk and Assurance","Ministry of Justice","Ministry of Justice Headquarters","DIR - Governance, Risk and Assurance","020 3334 3555","general.queries@justice.gov.uk","COOG6","1968141","1.00","100000","104999","","","London","","1"
"PG25","Jerome Glass","SCS3","Policy Delivery.Director General","Performance and Business Support","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG1","73883656","1.00","130000","134999","","","London","","1"
"HMCTS17","N/D","SCS1","Other.Deputy Director","User Experience","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS59","3157628","1.00","N/A","N/A","","","London","","1"
"SDTG4","Jeewan Gill","SCS2","Other.Director","CDIO/COO","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","PG21","50439752","1.00","140000","144999","","","London","","1"
"HMCTS18","N/D","SCS1","Other.Deputy Director","London RSU 2","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT London Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS7","352358","1.00","N/A","N/A","","","London","","1"
"PG26","N/D","SCS1","Policy Delivery.Deputy Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG68","460343","1.00","N/A","N/A","","","London","","1"
"PG27","N/D","SCS1","Policy Delivery.Business Manager","Prisons & Probation Ombudsman Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons & Probation Ombudsman","020 3334 3555","general.queries@justice.gov.uk","PG30","4072714","1.00","N/A","N/A","","","London","","1"
"HMCTS19","N/D","SCS1","Other.Deputy Director","North East RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NE Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","36963150","1.00","N/A","N/A","","","North East","","1"
"PG28","N/D","SCS1","Policy Delivery.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG71","983213","1.00","N/A","N/A","","","London","","1"
"HMCTS20","N/D","SCS1","Programme and Project Management.Deputy Director","Infrastructure & Enabling PMO","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","1148836","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"SDTG5","N/D","SCS1","Programme and Project Management.Project","Change Project Delivery Function","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG21","0","1.00","N/A","N/A","","","London","","1"
"PSAAG9","N/D","SCS1","Other.Deputy Director","Criminal Justice Business Partnering Team (CJBPT)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG16","3778422","1.00","N/A","N/A","","","London","","1"
"PG29","N/D","SCS1","Other.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG46","463993","0.61","N/A","N/A","","","London","","1"
"PSAAG10","N/D","SCS1","Operation Delivery.Deputy Director","Priority Projects Team","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy and Innovation","020 3334 3555","general.queries@justice.gov.uk","PSAAG11","1348409","1.00","N/A","N/A","","","London","","1"
"PG30","N/D","SCS1","Other.Deputy Director","Corporate Hub","Ministry of Justice","Ministry of Justice Headquarters","DIR - Policy - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG52","5006674","1.00","N/A","N/A","","","London","","1"
"COOG16","N/D","SCS1","Programme and Project Management.Deputy Director","Shared Services Project","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG8","243478","1.00","N/A","N/A","","","London","","1"
"PG31","N/D","SCS1","Policy Delivery.Deputy Director","Future Prisons and ALB Scrutiny Intelligence Performance","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG52","752840","1.00","N/A","N/A","","","London","","1"
"COOG17","N/D","SCS1","Finance.Deputy Director","Financial Reporting, Transactions & Gov","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG26","3635835","1.00","N/A","N/A","","","London","","1"
"HMCTS21","Mark Stewart","SCS2","Operation Delivery.Director","Operations HQ Private Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","300851487","1.00","95000","99999","","","East of England","","1"
"SDTG6","N/D","SCS1","Other.Deputy Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG13","1542859","1.00","N/A","N/A","","","London","","1"
"OOTPG2","N/D","SCS1","Operation Delivery.Deputy Director","A/B Management Team","Ministry of Justice","Office of the Public Guardian","Operations Directorate","020 3334 3555","general.queries@justice.gov.uk","OOTPG3","32939470","1.00","N/A","N/A","","","West Midlands","","1"
"SDTG7","N/D","SCS1","Law.Deputy Director","OSPT - Litigation Family Lawyers","Ministry of Justice","Ministry of Justice Headquarters","DIR - Official Solicitor and Public Trustee","020 3334 3555","general.queries@justice.gov.uk","OOTPG3","5380499","1.00","N/A","N/A","","","London","","1"
"COOG18","N/D","SCS1","Other.Deputy Director","ALB Centre of Excellence","Ministry of Justice","Ministry of Justice Headquarters","DIR - Governance, Risk and Assurance","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","1434284","1.00","N/A","N/A","","","London","","1"
"PG32","N/D","SCS1","Other.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","0","0.60","N/A","N/A","","","London","","1"
"HMCTS22","N/D","SCS1","Programme and Project Management.Deputy Director","CFT Sub Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS68","210704","1.00","N/A","N/A","","","London","","1"
"COOG19","Richard McSeveney","SCS2","Other.Director","Functional Director","Ministry of Justice","Ministry of Justice Headquarters","DIR - Functional Reform","020 3334 3555","general.queries@justice.gov.uk","COOG6","697398","1.00","95000","99999","","","London","","1"
"COOG20","N/D","SCS1","HM.People","Directors Office - Business Partnering & Change","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG52","0","0.81","N/A","N/A","","","North West","","1"
"PSAAG11","Melissa Smith","SCS2","Other.Director","Strategy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy and Innovation","020 3334 3555","general.queries@justice.gov.uk","PG21","2727132","1.00","95000","99999","","","London","","1"
"LAA1","N/D","SCS1","Law.Deputy Director","Central Salaried Defenders Service","Ministry of Justice","Legal Aid Agency","PDS","020 3334 3555","general.queries@justice.gov.uk","LAA5","3172903","1.00","N/A","N/A","","","London","","1"
"SDTG8","James Robinson","SCS2","Information Technology.Director","CDIO/COO","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","SDTG4","8606098","1.00","125000","129999","","","South West","","1"
"PG33","N/D","SCS1","Operation Delivery.Senior Personal Secretary","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG46","1496808","1.00","N/A","N/A","","","London","","1"
"COOG21","Alison Fowler","SCS2","Human Resources.Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG55","9979576","1.00","95000","99999","","","London","","1"
"COOG22","N/D","SCS1","Programme and Project Management.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG49","2367365","1.00","N/A","N/A","","","London","","1"
"SDTG9","N/D","SCS1","Other.Deputy Director","Portfolio & Controls","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","SDTG8","2231446","1.00","N/A","N/A","","","London","","1"
"HMCTS23","N/D","SCS1","Human Resources.Deputy Director","HMCTS HR Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Human Resources","020 3334 3555","general.queries@justice.gov.uk","HMCTS1","2485009","1.00","N/A","N/A","","","East Midlands","","1"
"PG34","Andrew Key","SCS2","Operation Delivery.Senior Manager","Judicial Office - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG25","14918386","1.00","100000","104999","","","London","","1"
"HMCTS24","N/D","SCS1","Other.Deputy Director","HQ - Back Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Regional Support Unit","020 3334 3555","general.queries@justice.gov.uk","HMCTS11","23624080","1.00","N/A","N/A","","","East of England","","1"
"PG35","N/D","SCS1","Operation Delivery.Deputy Director","COMMISSIONING EDUCATON","Ministry of Justice","Ministry of Justice Headquarters","DIR - Policy - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG25","0","0.50","N/A","N/A","","","London","","1"
"SDTG10","Jonathan Griffiths","SCS2","Programme and Project Management.Project","Change","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG21","0","1.00","95000","99999","","","London","","1"
"PSAAG12","N/D","SCS1","Operation Delivery.Deputy Director","Planning & Performance","Ministry of Justice","Ministry of Justice Headquarters","DIR - Planning and Performance","020 3334 3555","general.queries@justice.gov.uk","PG21","555934","1.00","N/A","N/A","","","London","","1"
"LAA2","David Aubrey QC","SCS2","Law.Director","Advocate Salaried Defenders Service","Ministry of Justice","Legal Aid Agency","PDS","020 3334 3555","general.queries@justice.gov.uk","LAA1","1488068","1.00","140000","144999","","","Wales","","1"
