Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code
Department of Health,NHS Business Services Authority,28/09/2021,Service Charges General,Finance & Commercial,EMERSON MANAGEMENT SERVICES,0080124655,"19,668.00",Service charge 29 Sep - 24 Mar 21,SK9 7LF
Department of Health,NHS Business Services Authority,10/09/2021,IBM - Baseline,NHS Workforce Services,IBM UK LTD,0080124648,"2,060,751.47",IBM ESR Service Charges FY21-25,PO6 3AF
Department of Health,NHS Business Services Authority,10/09/2021,Software,NHS Workforce Services,IBM UK LTD,0080124694,"296,193.00",IBM ESR DCT project,PO6 3AF
Department of Health,NHS Business Services Authority,10/09/2021,Software,NHS Workforce Services,IBM UK LTD,0080124694,"22,120.19",IBM ESR DCT project,PO6 3AF
Department of Health,NHS Business Services Authority,07/09/2021,Minor Works,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"2,131.04",TO. CE 77.02 - Monthly air reassurance ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Hard FM Reactive,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,802.66,TO.CE-75.2 ¿ Hesketh House Computer ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Minor Works,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"1,809.63","TO.CE-74.5, 1st Floor Server Room A/C ",HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Hard FM Reactive,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"18,791.06",TO.CE 78.1 -  Fire Stategies for BSA ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Hard FM Reactive,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"23,931.00",TO.CE 74.2 - Syphonic Drainage repairs ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Professional Fees,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"1,600.21",TO.CE-81.1 Zero Emissions Programme ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Minor Works,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"11,081.54",CE82.3 Greenfinch Way Major Works ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Building Works,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"3,540.38",TO.CE-82.1 Greenfinch Gas Removal Stage ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Building Works,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"32,861.95",TO. CE79.1 - Greenfinch Sprinkler Works ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Building Works,Finance & Commercial,INTEGRATED HEALTH PROJECTS,0080124571,"21,664.08",TO.CE80.4 - 1st floor Reconfiguration ,HP2 7TR
Department of Health,NHS Business Services Authority,07/09/2021,Telephony - Core User Profiles,Technology,KCOM,0080123901,"30,720.90",Annual Service Charges Lot 10 Unified ,HU1 3RE
Department of Health,NHS Business Services Authority,07/09/2021,Telephony - Core User Profiles,Technology,KCOM,0080123901,"9,616.20",Video Conferencing Licences,HU1 3RE
Department of Health,NHS Business Services Authority,07/09/2021,Telephony - CC Inbound,Technology,KCOM,0080123901,"2,795.40",Contact Centre Homeworkers,HU1 3RE
Department of Health,NHS Business Services Authority,07/09/2021,Telephony - CC Inbound,Technology,KCOM,0080123901,"64,386.00",Contact Centre Telephony,HU1 3RE
Department of Health,NHS Business Services Authority,09/09/2021,Rates Charges,Finance & Commercial,NEWCASTLE CITY COUNCIL,0050038803,"31,726.00",RATES SEPT2021,NE99 2PT
Department of Health,NHS Business Services Authority,01/09/2021,Oracle Maintenance,Insight,ORACLE CORPORATION UK LTD,0080124408,"360,000.00",Purchase of Oracle Universal Credits to ,RG6 1RA
Department of Health,NHS Business Services Authority,10/09/2021,Postage Charges,Citizen Services,ROYAL MAIL,0080124596,64.00,AC 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,10/09/2021,Postage Charges,Citizen Services,ROYAL MAIL,0080124596,"22,407.74",AC 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,28/09/2021,Postage Charges,Citizen Services,ROYAL MAIL,0080124878,214.40,AC 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,28/09/2021,Postage Charges,Citizen Services,ROYAL MAIL,0080124878,"29,090.10",AC 0912819049,S49 1HQ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Citizen Services,TRUSTMARQUE SOLUTIONS LTD,0080124672,"268,488.00",Year 3:  30/09/2021 -29/09/2022,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Insight,TRUSTMARQUE SOLUTIONS LTD,0080124760,"4,832.78",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Digital,TRUSTMARQUE SOLUTIONS LTD,0080124760,"4,873.33",Part No. DJH-00001  - MicrosoftDyn365ECs,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Digital,TRUSTMARQUE SOLUTIONS LTD,0080124760,"7,517.67",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Digital,TRUSTMARQUE SOLUTIONS LTD,0080124760,"4,295.81",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Citizen Services,TRUSTMARQUE SOLUTIONS LTD,0080124760,"16,109.28",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Citizen Services,TRUSTMARQUE SOLUTIONS LTD,0080124760,"30,607.63",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Citizen Services,TRUSTMARQUE SOLUTIONS LTD,0080124760,"7,517.66",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,NHS Workforce Services,TRUSTMARQUE SOLUTIONS LTD,0080124760,"48,327.84",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,NHS Workforce Services,TRUSTMARQUE SOLUTIONS LTD,0080124760,"11,803.97",Part No.  RCT-00001  -  MicrosoftDyn365E,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,COVID 19,TRUSTMARQUE SOLUTIONS LTD,0080124760,"4,873.33",Part No.  DJH-00001  -MicrosoftDyn365ECs,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Primary Care Services,TRUSTMARQUE SOLUTIONS LTD,0080124760,"81,620.35",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,10/09/2021,Software Licences,Citizen Services,TRUSTMARQUE SOLUTIONS LTD,0080124762,"37,588.32",Part No. DFG-00005  -  MicrosoftDyn365EC,YO41 1LZ
Department of Health,NHS Business Services Authority,03/09/2021,NHS Pension Add Ers Cont,Statutory Payments,NHS PENSIONS ,0080124345,"440,000.00",AUGUST 2021 CONTRIBUTIONS,FY7 8LG
Department of Health,NHS Business Services Authority,21/09/2021,Apprenticeship Levy,Corp Services & Corp Secretary,HM REVENUE & CUSTOMS 948PX00194660,0050038818,"42,003.00",948PX00194660-AUG21,NE98 1ZZ
Department of Health,NHS Business Services Authority,21/09/2021,Income Tax,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050038818,"754,981.06",948PX00194660-AUG21,NE98 1ZZ
Department of Health,NHS Business Services Authority,21/09/2021,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050038818,"704,497.28",948PX00194660-AUG21,NE98 1ZZ
Department of Health,NHS Business Services Authority,21/09/2021,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050038818,"559,740.92",948PX00194660-AUG21,NE98 1ZZ
Department of Health,NHS Business Services Authority,21/09/2021,Student Loan,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050038818,"33,114.00",948PX00194660-AUG21,NE98 1ZZ
Department of Health,NHS Business Services Authority,21/09/2021,SMP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050038818,"-37,643.59",948PX00194660-AUG21,NE98 1ZZ
Department of Health,NHS Business Services Authority,21/09/2021,SPP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050038818,"-1,997.29",948PX00194660-AUG21,NE98 1ZZ
Department of Health,NHS Business Services Authority,10/09/2021,Professional Fees,Primary Care Services,CAPITA IB SOLUTIONS (UK) LTD ,0080124665,"90,000.00",Description: Pre-purchase of days to be ,DL1 9HN
Department of Health,NHS Business Services Authority,24/09/2021,Methods Contract,NHS Workforce Services,METHODS BUSINESS & DIGITAL TECH LTD,0080124975,"162,922.00",Methods Business + Digital Tech Ltd,EC1N 8TS
Department of Health,NHS Business Services Authority,21/09/2021,Printing Charges (External),Citizen Services,XEROX UK LIMITED,0080124703,"27,953.42",Non Stationery - Xerox UK Ltd,WF2 0XF
Department of Health,NHS Business Services Authority,21/09/2021,Printing Charges (External),Citizen Services,XEROX UK LIMITED,0080124703,"1,062.28",MISC,WF2 0XF
Department of Health,NHS Business Services Authority,24/09/2021,Printing Charges (External),Citizen Services,XEROX UK LIMITED,0080125023,"26,841.00",URGENT,WF2 0XF
Department of Health,NHS Business Services Authority,01/09/2021,Professional Fees,Citizen Services,DEPARTMENT FOR WORKS AND PENSIONS,0080124409,"52,704.00",DWP NHSBSA verifying patient¿s claim ,FY1 9JN
Department of Health,NHS Business Services Authority,10/09/2021,Bank Charges,Citizen Services,ALLPAY LIMITED,0080124659,"40,963.49",PPC1,HR1 3SE
Department of Health,NHS Business Services Authority,01/09/2021,Hard FM Contract,Finance & Commercial,KIER FACILITIES SERVICES LTD,0080124365,"57,340.88",Kier Contract Extension,RG21 4HG
Department of Health,NHS Business Services Authority,28/09/2021,Minor Works,Finance & Commercial,KIER FACILITIES SERVICES LTD,0080125061,"23,076.16",CE.111 - HV Transformer Replacement at,RG21 4HG
Department of Health,NHS Business Services Authority,21/09/2021,Medigold Medical Services,NHS Workforce Services,MEDIGOLD HEALTH CONSULTANCY,0080124944,"56,184.31",Medical Services being supplied by ,NN4 7BF
Department of Health,NHS Business Services Authority,28/09/2021,Rent,Finance & Commercial,SUFFOLK LIFE,0080124838,"160,000.00",HESKETH HOUSE 29.09.21 - 24.12.21,IPL 1QJ
Department of Health,NHS Business Services Authority,07/09/2021,Professional Fees,NHS Workforce Services,ACCENTURE UK LIMITED,0080124300,"71,770.00",SOW03 - Electronic Staff Record (ESR),EC3M 3BD
Department of Health,NHS Business Services Authority,10/09/2021,Claybrook IT App Support,NHS Workforce Services,CLAYBROOK COMPUTING LTD,0080124666,"177,555.92",Monthly standard product support and ,RH10 1UH
Department of Health,NHS Business Services Authority,10/09/2021,External Staff Costs,NHS Workforce Services,CLAYBROOK COMPUTING LTD,0080124693,"21,110.00",Bereavement Enhancements Phase 3 ,RH10 1UH
Department of Health,NHS Business Services Authority,10/09/2021,External Staff Costs,NHS Workforce Services,CLAYBROOK COMPUTING LTD,0080124695,"153,913.00","Auto launch of Sub Awards - part 2, ",RH10 1UH
Department of Health,NHS Business Services Authority,21/09/2021,External Staff Costs,NHS Workforce Services,DIFRENT LTD,0080124910,"97,478.00","C99309, NHS JOBS CAPABILITY ¿ SOW001 ",WC2R 0EX
Department of Health,NHS Business Services Authority,17/09/2021,Rent,NHS Workforce Services,CROWN HOSTING DATA CENTRES LTD,0080124422,"10,976.23","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,17/09/2021,Rent,NHS Workforce Services,CROWN HOSTING DATA CENTRES LTD,0080124422,"20,367.04","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,17/09/2021,Electricity,NHS Workforce Services,CROWN HOSTING DATA CENTRES LTD,0080124422,"2,032.18","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,17/09/2021,Electricity,NHS Workforce Services,CROWN HOSTING DATA CENTRES LTD,0080124422,"3,770.82","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,10/09/2021,Rent,NHS Workforce Services,CROWN HOSTING DATA CENTRES LTD,0080124423,"38,386.50","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,10/09/2021,Electricity,NHS Workforce Services,CROWN HOSTING DATA CENTRES LTD,0080124423,"7,107.01","SRF001 - Rent, Power Charges & ",SN13 9GB
Department of Health,NHS Business Services Authority,03/09/2021,Professional Fees,Citizen Services,MASTEK UK LTD,0080123196,"38,160.00",SOW05 Immigration Health Surcharge ,RG1 8BW
Department of Health,NHS Business Services Authority,03/09/2021,External Staff Costs,Citizen Services,MASTEK UK LTD,0080123197,"14,025.00",SOW003 Medical Examiners - Digital ,RG1 8BW
Department of Health,NHS Business Services Authority,03/09/2021,External Staff Costs,Citizen Services,MASTEK UK LTD,0080123197,"13,000.00",B99234 - SOW003 Medical Examiners CCN01,RG1 8BW
Department of Health,NHS Business Services Authority,10/09/2021,Professional Fees,Primary Care Services,MASTEK UK LTD,0080123780,"48,982.50",B98036  SOW042 - GP Survey Alpha Plus. ,RG1 8BW
Department of Health,NHS Business Services Authority,10/09/2021,External Staff Costs,Citizen Services,MASTEK UK LTD,0080123781,"21,675.00",B99234 - SOW003 Medical Examiners CCN01,RG1 8BW
Department of Health,NHS Business Services Authority,17/09/2021,Professional Fees,Citizen Services,MASTEK UK LTD,0080124267,"12,300.00",SOW43 Healthy Start DWP Integration - ,RG1 8BW
Department of Health,NHS Business Services Authority,17/09/2021,External Staff Costs,Citizen Services,MASTEK UK LTD,0080124267,"30,440.00",SOW43 Healthy Start DWP Integration - ,RG1 8BW
Department of Health,NHS Business Services Authority,03/09/2021,Professional Fees,COVID 19,MASTEK UK LTD,0080124290,"32,212.19",B08019 - SOW006 - COVID-19 Response ,RG1 8BW
Department of Health,NHS Business Services Authority,17/09/2021,Professional Fees,Digital,MASTEK UK LTD,0080124443,"4,275.00",B98022 Revenue - SOW003 Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/09/2021,External Staff Costs,Digital,MASTEK UK LTD,0080124443,"19,725.00",B99209 Capital - SOW003 Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,21/09/2021,Professional Fees,Digital,MASTEK UK LTD,0080124444,"11,000.00",OHS- SOW004 CRA (GHIC & DWP)  ,RG1 8BW
Department of Health,NHS Business Services Authority,21/09/2021,External Staff Costs,Digital,MASTEK UK LTD,0080124444,0.90,OHS- SOW004 CRA (GHIC & DWP) - ,RG1 8BW
Department of Health,NHS Business Services Authority,21/09/2021,External Staff Costs,Digital,MASTEK UK LTD,0080124444,"43,953.00",OHS- SOW004 CRA (GHIC & DWP) - ,RG1 8BW
Department of Health,NHS Business Services Authority,21/09/2021,External Staff Costs,Citizen Services,MASTEK UK LTD,0080124457,"41,095.00",B99195 SOW002 CCNO2 Healthy Start.  The ,RG1 8BW
Department of Health,NHS Business Services Authority,21/09/2021,External Staff Costs,Citizen Services,MASTEK UK LTD,0080124459,"21,325.00",B99234 - SOW003 Medical Examiners CCN01,RG1 8BW
Department of Health,NHS Business Services Authority,17/09/2021,Professional Fees,Citizen Services,MASTEK UK LTD,0080124461,"27,885.00",B98033 - SOW005 Immigration Health ,RG1 8BW
Department of Health,NHS Business Services Authority,03/09/2021,Professional Fees,COVID 19,MASTEK UK LTD,0080124488,"25,547.19",B08019 - SOW006 - COVID-19 Response ,RG1 8BW
Department of Health,NHS Business Services Authority,07/09/2021,Professional Fees,Primary Care Services,MASTEK UK LTD,0080124509,"11,795.75",B98036  SOW042 - GP Survey Alpha Plus. ,RG1 8BW
Department of Health,NHS Business Services Authority,07/09/2021,Professional Fees,Primary Care Services,MASTEK UK LTD,0080124509,"47,185.50",B98036  SOW042 - GP Survey Alpha Plus. ,RG1 8BW
Department of Health,NHS Business Services Authority,17/09/2021,Professional Fees,Digital,MASTEK UK LTD,0080124868,"18,450.00",B98022 Revenue - SOW003 Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,17/09/2021,External Staff Costs,Digital,MASTEK UK LTD,0080124868,"42,350.00",B99209 Capital - SOW003 Cost Recovery ,RG1 8BW
Department of Health,NHS Business Services Authority,28/09/2021,Professional Fees,Digital,MASTEK UK LTD,0080124941,"24,100.00","B98022, OHS- SOW004 CCN01 CRA (GHIC & ",RG1 8BW
Department of Health,NHS Business Services Authority,07/09/2021,Temporary Staff,Citizen Services,ALEXANDER MANN SOLUTIONS,0080124473,"32,198.22",TEMP STAFF,
Department of Health,NHS Business Services Authority,10/09/2021,Temporary Staff,Citizen Services,ALEXANDER MANN SOLUTIONS,0080124622,"31,737.32",TEMP STAFF,
Department of Health,NHS Business Services Authority,01/09/2021,NHS Cloud - Wintel,Technology,AGILISYS LIMITED,0080124353,"71,013.36",NHS Cloud  -  Variable Charges,W12 7RZ
Department of Health,NHS Business Services Authority,01/09/2021,NHS Cloud - Wintel,Technology,AGILISYS LIMITED,0080124354,"132,005.52",NHS Cloud  -  Variable Charges,W12 7RZ
Department of Health,NHS Business Services Authority,01/09/2021,Local Server Rooms - Wintel,Technology,AGILISYS LIMITED,0080124354,"29,214.76",CFA LSR  -  Variable Charges,W12 7RZ
Department of Health,NHS Business Services Authority,03/09/2021,Professional Fees,Digital,AGILISYS LIMITED,0080124458,"32,678.80",B08021 - SOW AGI035 RPA Extension,W12 7RZ
Department of Health,NHS Business Services Authority,07/09/2021,External Staff Costs,Technology,AGILISYS LIMITED,0080124589,"1,201.51",Principal Consultant  - Migration Archit,W12 7RZ
Department of Health,NHS Business Services Authority,07/09/2021,External Staff Costs,Technology,AGILISYS LIMITED,0080124589,"29,140.75",Senior Consultant - Migration Engineer -,W12 7RZ
Department of Health,NHS Business Services Authority,07/09/2021,External Staff Costs,Technology,AGILISYS LIMITED,0080124589,"5,014.94",Statement of Work Reference No.- AGI032,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,393.25,A08003 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,343.91,A98034 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,"7,603.90",B08006 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,"3,735.94",B08010 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,"7,742.33",B08013 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,"5,925.34",B08014 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,"8,760.50",B08016 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124643,"1,241.17",B20015 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,"21,437.97",B98021 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124643,"6,260.10",B98022 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124643,"3,528.96",B98032 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124643,"3,118.95",B98032 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124643,"1,166.91",B98033 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Primary Care Services,AGILISYS LIMITED,0080124643,537.90,B98036 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Primary Care Services,AGILISYS LIMITED,0080124643,392.65,D03001 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Technology,AGILISYS LIMITED,0080124643,391.47,G10019 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,NHS Workforce Services,AGILISYS LIMITED,0080124643,"5,391.49",J01014 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124643,"1,477.20",P01001- Cloud Brokerage Services June - ,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Technology,AGILISYS LIMITED,0080124646,"1,701.86",G10006 - Cloud Brokerage Services June ,W12 7RZ
Department of Health,NHS Business Services Authority,10/09/2021,Cloud Storage,Technology,AGILISYS LIMITED,0080124646,"38,422.46",G10014 - Cloud Brokerage Services June ,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,NHS Cloud - Wintel,Technology,AGILISYS LIMITED,0080124915,"159,233.65",NHS Cloud  -  Variable Charges,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,NHS Cloud - Wintel,Technology,AGILISYS LIMITED,0080124916,"43,893.42",NHS Cloud  -  Variable Charges,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Local Server Rooms - Wintel,Technology,AGILISYS LIMITED,0080124916,"27,096.15",CFA LSR  -  Variable Charges,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Technology,AGILISYS LIMITED,0080124917,"1,728.01",G10006 - Cloud Brokerage Services June ,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Technology,AGILISYS LIMITED,0080124917,"41,036.38",G10014 - Cloud Brokerage Services June ,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,389.05,A08003 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,340.45,A98034 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,"4,159.93",B08006 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,"3,697.48",B08010 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,"6,611.98",B08013 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,"5,880.24",B08014 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,"8,814.38",B08016 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124920,"1,228.65",B20015 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,"15,378.15",B98021 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Digital,AGILISYS LIMITED,0080124920,"6,447.86",B98022 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124920,"3,445.97",B98032 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124920,"3,103.34",B98032 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Citizen Services,AGILISYS LIMITED,0080124920,"1,197.64",B98033 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Primary Care Services,AGILISYS LIMITED,0080124920,526.03,B98036 - Cloud Brokerage Services June -,W12 7RZ
Department of Health,NHS Business Services Authority,24/09/2021,Cloud Storage,Primary Care Services,AGILISYS LIMITED,0080124920,615.09,D03001 - Cloud Brokerage Services June -,W12 7RZ
