"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"PG7","N/D","SCS1","Policy Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG24","593078","1.00","N/A","N/A","","","London","","1"
"HMCTS7","N/D","SCS1","Operation Delivery.Director","London RSU 2","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT London Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","36524249","1.00","N/A","N/A","","","London","","1"
"COOG6","James McEwen","SCS3","Finance.Director General","DG Office CFOG","Ministry of Justice","Ministry of Justice Headquarters","DIR - COOG - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG29","68291515","1.00","140000","144999","","","London","","1"
"PSAAG4","N/D","SCS1","Communications and Marketing.Head of Operations","NOMS Communications Group Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG11","1707220","1.00","N/A","N/A","","","London","","1"
"SDTG3","N/D","SCS1","Information Technology.Deputy Director","People & Capability","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","SDTG11","1806500","1.00","N/A","N/A","","","East Midlands","","1"
"HMCTS8","N/D","SCS1","Human Resources.Deputy Director","HMCTS HR Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Human Resources","020 3334 3555","general.queries@justice.gov.uk","HMCTS42","2709972","1.00","N/A","N/A","","","East Midlands","","1"
"PG8","N/D","SCS1","Operation Delivery.Senior Manager","HMI Probation Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - HMI Probation","020 3334 3555","general.queries@justice.gov.uk","PG13","0","1.00","N/A","N/A","","","London","","1"
"HMCTS9","Guy Tompkins","SCS2","Operation Delivery.Director","Crime Operations BAU - Enforcement","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Enforcement","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","22411766","0.66","100000","104999","","","South East","","1"
"PG9","N/D","SCS1","Policy Delivery.Deputy Director","Court Recovery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG39","779827","1.00","N/A","N/A","","","London","","1"
"PG10","N/D","SCS1","Policy Delivery.Deputy Director","SENTENCING POICY","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG62","1131013","1.00","N/A","N/A","","","London","","1"
"HMCTS10","N/D","SCS1","Other.Deputy Director","Business Strategy Team","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","711389","1.00","N/A","N/A","","","London","","1"
"HMCTS11","N/D","SCS1","Other.Deputy Director","Corporate Services","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","COOG35","505746","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"HMCTS12","N/D","SCS1","Operation Delivery.Deputy Director","Intelligent Client Capability","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","823713","1.00","N/A","N/A","","","London","","1"
"HMCTS13","N/D","SCS1","Other.Deputy Director","Reform Finance - Strategy and Benefits","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","862615","1.00","N/A","N/A","","","South West","","1"
"PSAAG5","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","1677116","0.64","N/A","N/A","","","London","","1"
"COOG7","N/D","SCS1","Finance.Deputy Director","Directors Office - Business Partnering & Change","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG35","1871687","1.00","N/A","N/A","","","Wales","","1"
"HMCTS14","Rupert Morgan","SCS2","Other.Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","4697816","1.00","120000","124999","","","Scotland","","1"
"PG11","N/D","SCS1","Policy Delivery.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG48","0","1.00","N/A","N/A","","","London","","1"
"HMCTS15","N/D","SCS1","Programme and Project Management.Deputy Director","Digital Directorate Programme Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","273774","1.00","N/A","N/A","","","London","","1"
"PG12","N/D","SCS1","Other.Senior Manager","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG4","644207","1.00","N/A","N/A","","","London","","1"
"HMCTS16","James Bangle","SCS2","Other.Director","Digital Directorate Admin Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","570613","1.00","100000","104999","","","London","","1"
"HMCTS17","N/D","SCS1","Operation Delivery.Director","Regional Tier","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Courts & Tribunals Service Centres","020 3334 3555","general.queries@justice.gov.uk","HMCTS44","17429242","1.00","N/A","N/A","","","South East","","1"
"COOG8","N/D","SCS1","Knowledge and Information Management.Deputy Director","Digital Information & Records Management Team","Ministry of Justice","Ministry of Justice Headquarters","DIR - Security, Service & Information Governance","020 3334 3555","general.queries@justice.gov.uk","COOG13","3478543","1.00","N/A","N/A","","","London","","1"
"HMCTS18","N/D","SCS1","Operation Delivery.Director","Regional Directors Office - Midlands","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT Midlands Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","42024682","1.00","N/A","N/A","","","West Midlands","","1"
"COOG9","N/D","SCS1","Other.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG15","0","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"COOG10","Sylvia Diane Caddle","SCS2","Operation Delivery.Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG56","0","1.00","95000","99999","","","London","","1"
"COOG11","N/D","SCS1","Other.Human Resources","CSHR Casework","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG30","5573447","1.00","N/A","N/A","","","London","","1"
"PG13","Jerome Glass","SCS3","Policy Delivery.Director General","Performance and Business Support","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG29","71089525","1.00","125000","129999","","","London","","1"
"HMCTS19","N/D","SCS1","Other.Deputy Director","User Experience","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS47","3673908","1.00","N/A","N/A","","","London","","1"
"SDTG4","Jeewan Gill","SCS2","Other.Director","CDIO/COO","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","PG17","49343452","1.00","140000","144999","","","London","","1"
"HMCTS20","N/D","SCS1","Other.Deputy Director","London RSU 2","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT London Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS7","352358","1.00","N/A","N/A","","","London","","1"
"PG14","N/D","SCS1","Policy Delivery.Deputy Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG53","0","1.00","N/A","N/A","","","London","","1"
"HMCTS21","N/D","SCS1","Other.Deputy Director","North East RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NE Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","37586471","1.00","N/A","N/A","","","North East","","1"
"PG15","N/D","SCS1","Policy Delivery.Deputy Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG57","1014428","1.00","N/A","N/A","","","London","","1"
"HMCTS22","N/D","SCS1","Programme and Project Management.Deputy Director","Infrastructure & Enabling PMO","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","1344815","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"SDTG5","N/D","SCS1","Programme and Project Management.Project","Change Project Delivery Function","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG17","0","1.00","N/A","N/A","","","London","","1"
"PSAAG6","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","1215204","0.81","N/A","N/A","","","London","","1"
"SDTG6","N/D","SCS1","Programme and Project Management.Deputy Director","HMPPS Digital - Probation","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Digital","020 3334 3555","general.queries@justice.gov.uk","SDTG4","1319764","1.00","N/A","N/A","","","London","","1"
"HMCTS23","N/D","SCS1","Other.Deputy Director","Op Assurance & Compliance","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS63","1481082","1.00","N/A","N/A","","","London","","1"
"HMCTS24","N/D","SCS1","Other.Deputy Director","Portfolio Office (Non-Reform)","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CENTRALISED FRONTLINE","020 3334 3555","general.queries@justice.gov.uk","HMCTS47","1091394","1.00","N/A","N/A","","","London","","1"
"COOG12","Matthew Shelley","SCS2","Finance.Director","Director's Office - Finance Strategy & Planning","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Strategy and Planning","020 3334 3555","general.queries@justice.gov.uk","COOG6","2469728","1.00","95000","99999","","","London","","1"
"PG16","N/D","SCS1","Other.Deputy Director","Prison Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG28","490958","1.00","N/A","N/A","","","London","","1"
"HMCTS25","N/D","SCS1","Other.Deputy Director","Regional Directors Office - Midlands","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT Midlands Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS18","322444","1.00","N/A","N/A","","","Wales","","1"
"COOG13","Amie Alekna","SCS2","Information Technology.Director","Group Security and Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Security, Service & Information Governance","020 3334 3555","general.queries@justice.gov.uk","COOG6","6464400","1.00","110000","114999","","","London","","1"
"PG17","Richard Price","SCS3","Other.Director General","Permanent Secretary's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG29","10565140","1.00","130000","134999","","","London","","1"
"PG18","N/D","SCS1","Policy Delivery.Deputy Director","Legal Services Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG57","1259206","1.00","N/A","N/A","","","London","","1"
"COOG14","N/D","SCS1","Learning & Skills.","HMPPS Learning & Development","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG34","0","1.00","N/A","N/A","","","London","","1"
"HMCTS26","N/D","SCS1","Operation Delivery.Deputy Director","North West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","38660112","1.00","N/A","N/A","","","London","","1"
"HMCTS27","N/D","SCS1","Other.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS14","2595819","1.00","N/A","N/A","","","London","","1"
"SDTG7","N/D","SCS1","Programme and Project Management.Deputy Director","Change Project Delivery Function","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG17","13564926","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"COOG15","Andrew Mills","SCS2","Property Asset Management.Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG6","19757013","1.00","150000","154999","","","London","","1"
"HMCTS28","N/D","SCS1","Other.Head of Operations","North East RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT NE Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS21","0","1.00","N/A","N/A","","","North East","","1"
"PG19","N/D","SCS1","Operation Delivery.Deputy Director","IMB Secretariat Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - IMB Secretariat","020 3334 3555","general.queries@justice.gov.uk","PG13","662546","1.00","N/A","N/A","","","London","","1"
"LAA2","N/D","SCS1","Operation Delivery.Deputy Director","Special Cases Unit SCU","Ministry of Justice","Legal Aid Agency","Case Management","020 3334 3555","general.queries@justice.gov.uk","LAA10","1980289","1.00","N/A","N/A","","","London","","1"
"PG20","N/D","SCS1","Policy Delivery.Business Manager","Prisons & Probation Ombudsman Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons & Probation Ombudsman","020 3334 3555","general.queries@justice.gov.uk","PG28","4018795","1.00","N/A","N/A","","","London","","1"
"PG21","N/D","SCS1","Operation Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG24","948125","1.00","N/A","N/A","","","London","","1"
"HMCTS29","N/D","SCS1","Other.Deputy Director","HR - Transition","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS42","789139","1.00","N/A","N/A","","","London","","1"
"PG22","N/D","SCS1","Operation Delivery.Deputy Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG53","1340888","1.00","N/A","N/A","","","London","","1"
"HMCTS30","N/D","SCS1","Information Technology.Deputy Director","Digital Directorate Admin Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","7372204","1.00","N/A","N/A","","","London","","1"
"COOG16","N/D","SCS1","Other.Deputy Director","Financial Reporting & Control","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG39","1534366","1.00","N/A","N/A","","","London","","1"
"COOG17","N/D","SCS1","Finance.Senior Manager","Director's Office - FSP - Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Business Partnering","020 3334 3555","general.queries@justice.gov.uk","COOG35","3098509","1.00","N/A","N/A","","","London","","1"
"CICA2","N/D","SCS1","Other.Deputy Director","CICA (Prog)","Ministry of Justice","Criminal Injuries Compensation Authority","DIR - CICA","020 3334 3555","general.queries@justice.gov.uk","CICA1","7264039","1.00","N/A","N/A","","","Scotland","","1"
"HMCTS31","N/D","SCS1","Strategy.Deputy Director","Corporate Services","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS65","2324418","1.00","N/A","N/A","","","East Midlands","","1"
"HMCTS32","N/D","SCS1","Law.Deputy Director","Legal Operations","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","397331","1.00","N/A","N/A","","","London","","1"
"COOG18","David Mann","SCS2","Human Resources.Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG56","9958370","1.00","95000","99999","","","West Midlands","","1"
"PSAAG7","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","3702059","1.00","N/A","N/A","","","London","","1"
"PG23","N/D","SCS1","Policy Delivery.Deputy Director","Probation Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG62","854093","1.00","N/A","N/A","","","London","","1"
"SDTG8","N/D","SCS1","Other.Deputy Director","Service Operations","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Operations","020 3334 3555","general.queries@justice.gov.uk","SDTG11","4223214","1.00","N/A","N/A","","","East Midlands","","1"
"COOG19","N/D","SCS1","Finance.Deputy Director","Commercial, Income & Capability","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Strategy and Planning","020 3334 3555","general.queries@justice.gov.uk","COOG12","991497","1.00","N/A","N/A","","","London","","1"
"SDTG9","Mark Robinson","SCS2","Other.Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG4","14270368","1.00","120000","124999","","","London","","1"
"PSAAG8","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","2405129","0.80","N/A","N/A","","","London","","1"
"PG24","Daniel Flury","SCS2","Other.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG13","5725415","1.00","95000","99999","","","London","","1"
"HMCTS33","N/D","SCS1","Operation Delivery.Head of Section","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS49","670179","1.00","N/A","N/A","","","South East","","1"
"PG25","N/D","SCS1","Other.Deputy Director","Judicial Office - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG60","1077126","1.00","N/A","N/A","","","London","","1"
"PG26","N/D","SCS1","Other.Deputy Director","Judicial Office - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG60","1954917","1.00","N/A","N/A","","","London","","1"
"HMCTS34","N/D","SCS1","Human Resources.Deputy Director","HMCTS L&D Business Skills Delivery","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Human Resources","020 3334 3555","general.queries@justice.gov.uk","HMCTS42","1775429","1.00","N/A","N/A","","","London","","1"
"PSAAG9","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","2919792","0.86","N/A","N/A","","","Wales","","1"
"HMCTS35","N/D","SCS1","Programme and Project Management.Deputy Director","CFT Sub Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS66","482169","1.00","N/A","N/A","","","South East","","1"
"HMCTS36","N/D","SCS1","Other.Deputy Director","HMCTS Communications","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ HMCTS Communications","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","1125506","1.00","N/A","N/A","","","London","","1"
"HMCTS37","N/D","SCS1","Other.Deputy Director","Civil Team","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Development Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS63","542053","1.00","N/A","N/A","","","London","","1"
"COOG20","N/D","SCS1","NA","HMPPS Learning & Development","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG34","9088891","1.00","N/A","N/A","","","London","","1"
"LAA3","N/D","SCS1","Other.Deputy Director","Agency Transformation Programme","Ministry of Justice","Legal Aid Agency","Legal Aid Agency Programme","020 3334 3555","general.queries@justice.gov.uk","LAA10","0","0.64","N/A","N/A","","","London","","1"
