Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Ref,Line No,Line Value
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Therapy staff,Mental Health,COVENTRY & WARWICKSHIRE MIND,459980,1,"46,745.75"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Therapy staff,Mental Health,COVENTRY & WARWICKSHIRE MIND,459981,1,"50,329.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460119,1,"114,172.03"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460119,2,"31,314.07"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Inpatient services,Mental Health,COVENTRY & WARWICKSHIRE MIND,460130,1,"151,704.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Inpatient services,Mental Health,COVENTRY & WARWICKSHIRE MIND,460130,2,"25,284.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,computer hardware,Mental Health,CDW Limited,460364,1,"18,750.24"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,computer hardware,Mental Health,CDW Limited,460364,2,"20,721.60"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460456,1,"74,957.21"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460456,2,"27,888.67"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,"Books, Journals & subscription",Corporate,HFMA,460475,1,"33,864.43"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,ARRS roles ,Mental Health,South Warwickshire and Worcestshire Mind,460678,1,"31,874.55"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460686,1,"513,309.41"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460686,2,"79,410.01"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,server maintenance,Corporate,Advanced Health & Care,460695,1,"38,427.62"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,server maintenance,Corporate,Advanced Health & Care,460695,2,"4,650.07"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,server maintenance,Corporate,Advanced Health & Care,460695,3,"64,584.24"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,server maintenance,Corporate,Advanced Health & Care,460695,4,"2,583.37"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Staff Consultancy Support,Corporate,NHS Midlands & Lancs CSU,460714,1,"26,520.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,VCSE Posts,Mental Health,Warwickshire CAVA,460745,1,"82,828.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Triage,Mental Health,Carehome Selection Ltd,460801,1,"107,401.50"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Triage,Mental Health,Carehome Selection Ltd,460804,1,"86,182.20"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Triage,Mental Health,Carehome Selection Ltd,460806,1,"86,808.60"
Health,Coventry and Warwickshire Partnership NHS Trust,20230824,Postage & Carriage,Estates & Facilities,Purchase Power (Pitney Bowes Ltd),460829,1,"30,444.27"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Out of Hospital Services,Community Health & Wellbeing,UNIVERSITY HOSP COV&WARWICK NHS TRUST,455530,1,"101,102.69"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Training Expenses,Mental Health,The Pottergate Centre Ltd,455922,1,"22,020.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Training Expenses,Mental Health,The Pottergate Centre Ltd,455922,2,150
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,software,Mental Health,Mayden House Limited,457539,1,"24,585.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Patient transport,Mental Health,Pegasus Medical 1808 Ltd,458677,1,"64,925.25"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,ASD assessments,Learning Disablities & Autism,Clinical Partners Limited,458681,1,"105,270.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,internal audit services,Corporate,LEICESTERSHIRE PARTNERSHIP NHS TRUST,459115,1,"58,781.25"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Out of Hospital Services,Community Health & Wellbeing,UNIVERSITY HOSP COV&WARWICK NHS TRUST,459247,1,"101,102.69"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459884,1,"130,637.55"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459884,2,603.4
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459885,1,"49,938.91"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Autism assessments,Learning Disablities & Autism,Seven Care Services Ltd,459966,1,"75,000.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Building works,Mental Health,Willmott Dixon Interiors Ltd,459983,1,"98,732.35"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Building works,Mental Health,Willmott Dixon Interiors Ltd,459986,1,"68,779.69"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Assessments,Learning Disablities & Autism,Resolve Psychological Services Ltd,460034,1,"26,900.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,software,IT Services,Softcat Ltd,460164,1,"5,983.03"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,software,IT Services,Softcat Ltd,460164,2,"48,160.97"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Assessments,Learning Disablities & Autism,Teledoctor Limited,460232,1,"270,000.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460235,1,"444,861.09"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460235,2,"86,597.54"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460266,1,594.28
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460266,2,"130,536.35"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460277,1,"26,950.51"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,software,IT Services,Softcat Ltd,460311,1,"40,154.56"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,software,IT Services,Softcat Ltd,460311,2,"13,093.88"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Mental Health,LLOYDS PHARMACY,460398,1,"5,305.91"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Mental Health,LLOYDS PHARMACY,460398,2,84.88
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Mental Health,LLOYDS PHARMACY,460398,3,"22,517.32"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Corporate,LLOYDS PHARMACY,460398,4,"1,389.90"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Corporate,LLOYDS PHARMACY,460398,5,7.5
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Community Health & Wellbeing,LLOYDS PHARMACY,460404,1,"198,201.56"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Community Health & Wellbeing,LLOYDS PHARMACY,460404,2,"1,078.96"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Drugs & Management charges,Community Health & Wellbeing,LLOYDS PHARMACY,460404,3,"104,755.89"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460514,1,"117,834.48"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,460514,2,499.72
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Provisions,Mental Health,BFS Group Ltd t/a Bidvest Foodservice,460597,1,"3,319.34"
Health,Coventry and Warwickshire Partnership NHS Trust,20230817,Provisions,Mental Health,BFS Group Ltd t/a Bidvest Foodservice,460597,2,"22,840.45"
Health,Coventry and Warwickshire Partnership NHS Trust,20230815,Clinical Negligence,Corporate,NHS Resolution,460419,1,"95,128.10"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Service Charge,Estates & Facilities,SHC Holdings Ltd (Assura),456697,1,"59,705.10"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,electricity,Estates & Facilities,SHC Holdings Ltd (Assura),456697,2,"7,920.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,gas,Estates & Facilities,SHC Holdings Ltd (Assura),456697,3,"3,300.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Water,Estates & Facilities,SHC Holdings Ltd (Assura),456697,4,"1,980.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Rent,Estates & Facilities,SHC Holdings Ltd (Assura),456697,5,"210,100.75"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,software,Corporate,Softcat Ltd,457519,1,"194,162.40"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Peer Support Workers,Mental Health,St Giles Trust,457585,1,"110,131.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Neurodevelopment assessments,Learning Disablities & Autism,Healios Ltd,458680,1,"112,302.67"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,External Consultancy Fees,Corporate,UNIVERSITY HOSP COV&WARWICK NHS TRUST,458861,1,"357,222.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,General Practitioners,Operations,MWL Teaching Hospitals NHS Trust,459104,1,"60,000.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459394,1,"410,064.06"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459394,2,"88,058.22"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459476,1,"64,165.47"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459476,2,"1,431.89"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459935,1,"412,427.25"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Bank/Agency Staff,Trust wide,NHS Professionals Ltd,459935,2,"78,141.64"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Lease cars,Staff benefits,NorthumbriaHealthcareFT(Fleet Solutions),459989,1,"29,101.43"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Lease cars,Staff benefits,NorthumbriaHealthcareFT(Fleet Solutions),459991,1,"2,938.84"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Lease cars,Staff benefits,NorthumbriaHealthcareFT(Fleet Solutions),459991,2,"78,407.81"
Health,Coventry and Warwickshire Partnership NHS Trust,20230810,Pulmonary Rehabilitation,Community Health & Wellbeing,Atrium Health Ltd,460118,1,"28,665.86"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Assessments,Learning Disablities & Autism,ST ANDREWS HEALTHCARE,456723,1,"36,039.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Rent,Estates & Facilities,Community Health Partnerships,457784,1,"73,199.15"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Service Charge,Estates & Facilities,Community Health Partnerships,457784,2,"189,122.95"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Rent,Estates & Facilities,Community Health Partnerships,457785,1,"16,232.23"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Service Charge,Estates & Facilities,Community Health Partnerships,457785,2,"17,706.45"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Autism assessments,Learning Disablities & Autism,Seven Care Services Ltd,457862,1,"57,000.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Legal/Prof Fees,Estates & Facilities,HYDROP E.C.S,458567,1,"37,998.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Drugs & Management charges,Mental Health,LP HCS Ltd,458794,1,252.65
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Drugs & Management charges,Mental Health,LP HCS Ltd,458794,2,"137,460.83"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Drugs & Management charges,Mental Health,LP HCS Ltd,458794,3,"58,106.49"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Drugs & Management charges,Corporate,LP HCS Ltd,458794,4,"6,923.23"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Drugs & Management charges,Corporate,LP HCS Ltd,458795,1,"25,345.25"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,software,Corporate,Think Associates t/a Think Learning,459105,1,"47,880.00"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Rent,Estates & Facilities,Community Health Partnerships,459367,1,"87,838.98"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Service Charge,Estates & Facilities,Community Health Partnerships,459367,2,"226,947.54"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Rent,Estates & Facilities,Community Health Partnerships,459368,1,"19,478.68"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Service Charge,Estates & Facilities,Community Health Partnerships,459368,2,"21,247.74"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Learning Disablities & Autism,NHS Business Services Authority,459557,1,"5,919.23"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Mental Health,NHS Business Services Authority,459557,2,"7,831.70"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Mental Health,NHS Business Services Authority,459557,3,"7,569.85"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Learning Disablities & Autism,NHS Business Services Authority,459557,4,"14,258.06"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Learning Disablities & Autism,NHS Business Services Authority,459557,5,"5,489.96"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Mental Health,NHS Business Services Authority,459557,6,"10,665.70"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Mental Health,NHS Business Services Authority,459557,7,"14,467.71"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Community Health & Wellbeing,NHS Business Services Authority,459557,8,"3,085.63"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Community Health & Wellbeing,NHS Business Services Authority,459557,9,0.91
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Learning Disablities & Autism,NHS Business Services Authority,459557,10,"14,104.11"
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Learning Disablities & Autism,NHS Business Services Authority,459557,11,760.51
Health,Coventry and Warwickshire Partnership NHS Trust,20230803,Provider Prescriptions,Community Health & Wellbeing,NHS Business Services Authority,459557,12,77.4
