Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Supplier Postcode
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,LLOYDS PHARMACY CLINICAL HOMECARE LTD,36064548,"40,842.48",PHARMACY DRUGS,CM19 5GU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,LLOYDS PHARMACY CLINICAL HOMECARE LTD,36064550,"51,780.75",PHARMACY DRUGS,CM19 5GU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,35941389,"1,164,915.14",Monthly Service Payment for the provision of outpatient dispensing (including drug cost).,CV2 2TX
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Independent Sector,Radiology,MEDICA REPORTING LTD,36190915,"121,071.65",Medica Reporting CT/MRI/Plain Film ,TN34 1BG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,36297630,"51,321.27"," LED Lighting Replacement Project, Phase 2. ",BS31 2GN
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,NEVADA CONSTRUCTION LIMITED,36114216,"185,892.60",Chest Clinic Remodelling,TQ14 9AE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,NEVADA CONSTRUCTION LIMITED,36058142,"249,216.16",Phase 1 AAU ,TQ14 9AE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Blood Products,Blood,NHS BLOOD & TRANSPLANT,36251043,"209,013.73",NHSBT - BLOOD PRODUCTS ,LS15 7TW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,External Consultancy Fees,Central Other,NHS DEVON CCG,36356134,"84,861.00",ITA,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36402589,"-41,415.15",Provision of Flexible Workers Services,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36403110,"50,423.99",Provision of Flexible Workers Services,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36102704,"63,602.80",Bank Week 31 2020/21 COVID,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36190947,"80,128.64",Provision of Flexible Workers Services,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36403100,"83,543.99",Provision of Flexible Workers Services,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36268943,"99,954.74",Bank Week 33 2020/21 COVID,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36359534,"109,620.01",Provision of Flexible Workers Services,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36268937,"235,657.07",Provision of Flexible Workers Services,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36359533,"235,737.65",Provision of Flexible Workers Services,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36190948,"242,434.04",Provision of Flexible Workers Services ,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Staff costs,Human Resources,NHS PROFESSIONALS LTD,36102706,"244,046.70",Bank Week 31 2020/21,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,CNST contributions,Central Other,NHS RESOLUTION,NHSLACONT-T217,"1,610,139.00","Contribution to CNST, LTPS and CES pooling schemes",
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Primary Care Trst Revenue,Patient Care,NHS SOMERSET CCG,36280271,"33,925.00",RECHARGE - CORPORATE COST ,WF3 1WE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,36178597,"77,169.72",PHARMACY DRUGS,W12 7FQ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,36203727,"77,227.56",PHARMACY DRUGS,W12 7FQ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Equip General,Cardiology Tech & Support,PHILIPS UK AND IRELAND,36403324,"-133,133.34",Support & Maintenance,GU2 8XG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Bldg/Eng Equip Maint/Rep,Service Contracts,PROECONOMY LTD,36115413,"28,598.40",Water Analysis Sampling ,MK5 8HL
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Protective Clothing,Corona Virus,PROTECTIVE WEAR SUPPLIES LTD,36190654,"35,666.40",BLS 201 P3 BLS 201 Dust Bayonet Filter,PL6 7TL
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Independent Sector,Catheter Lab 3 Regents Park,REGENTS PARK CARDIOVASCULAR SOLUTIONS LTD,36190650,"25,500.00",Managed Cardiology Services for the Peninsula Heart Clinic,SP5 3HU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Independent Sector,Catheter Lab 3 Regents Park,REGENTS PARK CARDIOVASCULAR SOLUTIONS LTD,36190641,"102,000.00",Managed Cardiology Services for the Peninsula Heart Clinic,SP5 3HU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Independent Sector,Catheter Lab 3 Regents Park,REGENTS PARK CARDIOVASCULAR SOLUTIONS LTD,36190649,"102,000.00",Managed Cardiology Services for the Peninsula Heart Clinic,SP5 3HU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Independent Sector,Catheter Lab 3 Regents Park,REGENTS PARK HEART CLINICS LTD,36340508,"53,954.00",Outpatient Consultations,SP5 3HU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ROCHE PRODUCTS LTD,36117118,"37,176.00",PHARMACY DRUGS,AL7 1TW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ROCHE PRODUCTS LTD,36254672,"37,176.00",PHARMACY DRUGS,AL7 1TW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ROCHE PRODUCTS LTD,36279771,"39,052.80",PHARMACY DRUGS,AL7 1TW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Drugs,Pharmacy,ROCHE PRODUCTS LTD,36117120,"42,822.40",PHARMACY DRUGS,AL7 1TW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Ext Contr Laundry,Hotel Servs Linen Services,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,36298921,"90,024.77",Laundry Services,EX1 2ED
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Contr Premises Security,Car Parking,SABA PARK SERVICES UK LTD,36134757,"43,230.66",Bedwatch,WD24 4PH
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Contr Other External,Corona Virus,SABA PARK SERVICES UK LTD,36139387,"46,326.00",Staff Parking at NWQ,WD24 4PH
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,External Consultancy Fees,Integrated Care Bid,SEAGRY CONSULTANCY LTD,36403006,"68,400.00",Support to the ICP programme,GL7 5JB
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Accountancy services,Finance Director,SHARED BUSINESS SERVICES,F&A-25418,"39,236.42",Accountancy services,
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Blood Products,Clinical Haematology,SHIRE PHARMACEUTICALS LTD,36341001,"30,800.00",1502624 FEIBA 1000U 20ML UK,W2 6BD
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Blood Products,Clinical Haematology,SHIRE PHARMACEUTICALS LTD,36402901,"30,800.00",1502624 FEIBA 1000U 20ML UK,W2 6BD
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Blood Products,Clinical Haematology,SHIRE PHARMACEUTICALS LTD,36269328,"38,512.50",1502624 FEIBA 1000U 20ML UK,W2 6BD
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Blood Products,Clinical Haematology,SHIRE PHARMACEUTICALS LTD,36250068,"53,912.50",1502624 FEIBA 1000U 20ML UK,W2 6BD
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,SIEMENS FINANCIAL SERVICES LTD,36251025,"31,298.81",South and Boiler House Substation Upgrades Project,SL2 4JS
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Water,Energy And Utilities,SOUTH WEST WATER LTD,36214673,"26,004.97",Water Supply,EX2 7HR
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Sewerage,Energy And Utilities,SOUTH WEST WATER LTD,36214673,"43,698.97",Sewerage Supply ,EX2 7HR
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Computer Hardware Purch,Corona Virus,SPECIALIST COMPUTER CENTRES PLC,36190814,"27,477.60","Philips S-line 243S7EJMB - LED monitor - 24 (23.8 viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m - 1000:1 - 5 ms - HDMI, VGA, DisplayPort ",B11 2LE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,SPECIALIST COMPUTER CENTRES PLC,36102697,"29,862.55","5 x GE RJ45 ports (including 4 x Internal Ports, 1 x WAN Ports), Forticloud, FortiGate",B11 2LE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,SPECIALIST COMPUTER CENTRES PLC,36190652,"36,535.13",ICNET Training & Full Deployment & integration,B11 2LE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Computer Software/License,Information Services,SPECIALIST COMPUTER CENTRES PLC,36134770,"151,522.00",MS Licences,B11 2LE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Computer Software/License,Clinical Perfusion,SPECTRUM MEDICAL LTD,36251035,"60,000.00",Vision licence,GL2 9QL
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Maint Contract,Contracts,STRYKER UK LTD,36091903,"50,836.64",Maintenance on 27 Stryker stacks ,RG14 5AW
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Maint Contract,Contracts,SUPPLY CHAIN COORDINATION LIMITED,36348252,"-165,807.73",HCST and Imaging Maintenance Contract: Canon,DE55 4QJ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Consumables,Procurement,SUPPLY CHAIN COORDINATION LIMITED,36215521,"144,008.67",weekly stores issues,DE55 4QJ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Consumables,Procurement,SUPPLY CHAIN COORDINATION LIMITED,36294194,"147,672.54",weekly stores issues,DE55 4QJ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Consumables,Procurement,SUPPLY CHAIN COORDINATION LIMITED,36397808,"162,819.72",weekly stores issues,DE55 4QJ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Med & Surg Maint Contract,Contracts,SUPPLY CHAIN COORDINATION LIMITED,36348253,"165,807.73",HCST and Imaging Maintenance Contract,DE55 4QJ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Consumables,Procurement,SUPPLY CHAIN COORDINATION LIMITED,36294196,"238,669.10",weekly stores issues,DE55 4QJ
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,T CLARKE CONTRACTING LTD,36403344,"41,498.48",AHU replacement Phase 2,EC2Y 9AE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Rent,Staff Residences,TOUCHSTONE,36139482,"25,770.08",Monthly Rent in Advance Block 1 Petit Bois 24 nov-23 dec,BA2 2AF
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Rent,UHP Estover,UNDERHILL GROUP LTD,36319692,"129,000.00",Annual rent of premises 179 Plymbridge Road Estover,PL7 5BG
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,WARD WILLIAMS ASSOCIATES,36422260,"29,295.00","QS/PM/CA Services, Lighthouse Laboratory, Eastover",PL1 3GE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,WARD WILLIAMS ASSOCIATES,36094377,"47,475.00","QS, PM, CA Services - Lighthouse Laboratory, Estover",PL1 3GE
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Fixed assets,Balance Sheet,WESTERN POWER DISTRIBUTION LLP,36300574,"59,000.94",Electricity connection works ,PL4 0YU
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Stents,Interventional Radiology,WL GORE&ASSOCIATES (UK) LTD,36340518,"27,006.00",DSF2233 INTRODUCER SETS LUBRICIOUS DRYSEAL FLEX SHEATH 22F,EH54 7BH
Department of Health,University Hospitals Plymouth NHS Trust,30/11/2020,Bldg/Eng Equip Maint/Rep,Service Contracts,ZURICH MUNICIPAL,36370962,"27,658.10",Engineering Inspections,PO15 7JZ
