2007,Number of Notifications,,,,,,,,,,,Total
,Agricultural Holding,,,,Slaughterhouse,,,Unallocated,,,,
PHOTOSYNTHESIS PROBLEMS,10,2,0,20,0,0,0,0,0,0,0,32
PNEUMONIA,"2,420",551,0,"3,475",1,0,1,3,2,0,2,"6,455"
POISONING,403,125,0,"1,195",0,0,0,0,0,0,2,"1,725"
PROLAPSED EYE,6,3,1,52,0,0,0,0,0,0,0,62
RED WATER DISEASE,16,16,0,135,0,0,0,0,0,0,0,167
RHEUMATISM,1,1,0,30,0,0,0,0,0,0,0,32
SCOURS,68,34,0,322,0,0,0,0,0,0,0,424
SEPTIC LEG,6,1,0,44,0,0,0,0,0,0,0,51
SEPTICAEMIA,110,63,0,673,0,0,0,1,0,0,0,847
SPINAL PROBLEMS,205,106,58,"1,126",0,0,0,0,0,113,0,"1,608"
SPLITS,474,380,95,"3,164",2,0,16,1,0,90,1,"4,223"
STAGGERS,494,451,0,"10,647",0,1,11,0,0,1,14,"11,619"
STOMACH PROBLEMS,371,238,0,"2,221",0,0,0,0,0,0,2,"2,832"
STRUCK BY LIGHTNING,40,23,0,206,0,0,1,0,0,0,0,270
SUB-SOLAR ABCESS,0,0,0,2,0,0,0,0,0,0,0,2
SUBLUXATING PLATELLA,0,0,0,1,0,0,0,0,0,0,0,1
SWALLOWED FOREIGN OBJECT,17,15,0,123,0,0,0,0,0,0,0,155
TB REACTOR - WELFARE CULL,21,10,0,144,0,0,0,0,0,0,0,175
TETANY,15,5,0,69,0,0,0,0,0,1,0,90
TOXCEMIA,15,7,0,91,0,0,0,0,0,0,0,113
TRAFFIC ACCIDENT,17,7,1,20,0,0,0,0,0,0,0,45
TWISTED STOMACH,420,256,0,"2,957",0,1,2,0,1,1,1,"3,639"
UDDER PROBLEMS,54,24,1,283,0,0,0,0,0,1,0,363
ULCERATION,65,34,0,326,0,0,0,0,0,0,0,425
UNKNOWN,"1,691",648,17,"8,876",7,2,37,4,2,11,23,"11,318"
UTERUS PROBLEMS,60,21,1,386,0,0,0,0,0,2,1,471
WELFARE CASE,68,27,2,860,4,2,51,0,0,0,21,"1,035"
WOODEN TONGUE,14,9,0,51,0,0,0,0,0,0,0,74
Total,"25,303","12,463","2,136","166,712",89,26,630,26,10,"2,450",205,"210,050"
