Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,05/07/2012,PSI Website Hosting,Information Policy & Services,THE STATIONERY OFFICE LTD,80779,"20,828.59",June operating costs,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,80781,"10,000.00",Additional contract implementation works (Jan - Mar 2012),NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,80783,"10,000.00",Iteration ending 13 Mar,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,PSI Website Hosting,Information Policy & Services,THE STATIONERY OFFICE LTD,80786,"20,828.59",May operating costs,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,05/07/2012,Repairs and Maintenance,Public Services,ETDE FM LIMITED,80830,"10,693.28",Payment for roof works,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Kew 1 building additions,Public Services,ETDE FM LIMITED,80844,"107,653.40",Interim payment for roof works,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Kew 1 building additions,Public Services,ETDE FM LIMITED,80863,"163,391.70",Interim payment for roof works,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Repairs and Maintenance,Public Services,ETDE FM LIMITED,80863,"10,672.20",Interim payment for roof works,BN1 1HG,,,,Programme
The National Archives,The National Archives,05/07/2012,Fast Copy/ External printing (ESD),Public Services,PARK COMMUNICATIONS LIMITED,80888,"10,356.00",Recycled paper,E6  6LA,,,,Programme
The National Archives,The National Archives,12/07/2012,Consultants,Public Services,FAITHFUL+GOULD,80977,"10,000.00",Facilities management consultation,NW1 3AT,,,,Programme
The National Archives,The National Archives,12/07/2012,IT systems Additions,HR & Organisational Development,COMPUTACENTER (UK) LTD,80986,"11,490.95",Payroll software support & maintenance,AL10  9TW,,CM463,,Administration
The National Archives,The National Archives,12/07/2012,Contract cleaning,Public Services,DOUGLAND SUPPORT SERVICES LTD,80993,"21,441.94",June cleaning costs,PO15 5SN,,CM478,,Programme
The National Archives,The National Archives,12/07/2012,Office machinery maintenance,Customer & Business Development,ICAM ARCHIVES SYSTEMS,81018,"11,035.00",Qtr 2 costs,NN7 3DB,,CM446,,Programme
The National Archives,The National Archives,12/07/2012,Records Storage Space Rental,Public Services,DEEPSTORE LTD,81023,"39,849.52",Storage rental for June ,CW7 2PA,,CM499,,Programme
The National Archives,The National Archives,12/07/2012,Audit Fees (Internal),Finance & Performance,RSM TENON AUDIT LIMITED,81056,"11,481.00",Internal audit,B4 7EU,,CM413,,Administration
The National Archives,The National Archives,12/07/2012,Microfilming,Customer & Business Development,MICROFORMAT SYSTEMS UK LIMITED,81071,"9,093.08",Scanning costs for WO95 project,ME1 1JE,,CM449,,Programme
The National Archives,The National Archives,12/07/2012,Microfilming,Customer & Business Development,MICROFORMAT SYSTEMS UK LIMITED,81073,"14,630.00",Scanning costs for WO95 project,ME1 1JE,,CM449,,Programme
The National Archives,The National Archives,12/07/2012,Contractors,Technology,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,81097,"10,017.18",IT contractor costs,ST1  5UB,,,,Administration
The National Archives,The National Archives,12/07/2012,Utilities,Public Services,EDF ENERGY,81099,"64,358.19",Energy bill for June,PL3 5XQ,,CM441,,Programme
The National Archives,The National Archives,19/07/2012,Govt Procurement Card (GPC) purchases,Finance & Performance,ROYAL BANK OF SCOTLAND PLC,81205,"65,144.05",Monthly Govt procurement card bill,SS99 6YY,,CM416,,Administration
The National Archives,The National Archives,19/07/2012,IT Maintenance & Support - Bespoke systems,Technology,ICCM SOLUTIONS,81257,"11,466.29",Annual support & maintenance costs,SN16 9RS,,CM346,,Administration
The National Archives,The National Archives,25/07/2012,Operating Leases Plant & Equip,Public Services,CANON (UK) LTD,81420,"13,715.32",Quarterly photocopier lease payment,RH2 8BF,,CM454,,Programme
