Entity,Merchant Name,Date Posted,Billing Amount,Description
HA,BRANDED PROMO GIFTS LT,13/06/2013,£912.00,4000 Branded lanyards for securty passes.
HA,EXPERIAN,13/06/2013,"£1,260.00",192.COM - Trace System Fees
HA,PENNA PLC,17/06/2013,"£1,497.25",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,17/06/2013,£770.20,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,17/06/2013,£514.99,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,17/06/2013,£557.54,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,17/06/2013,"£1,110.07",Statutory Advertising for work undertaken on HA road network
HA,FRAMA UK LTD,18/06/2013,£500.00,Franking Machine top up of funds
HA,PENNA PLC,18/06/2013,"£1,072.72",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,£613.77,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,"£1,179.45",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,"£1,438.84",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,"£1,087.35",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,£753.80,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,"£2,448.54",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,£752.74,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,18/06/2013,£947.38,Statutory Advertising for work undertaken on HA road network
HA,SERCO EPC,18/06/2013,£900.00,Introduction to Civil Protection Course x1 Delegate
HA,PENNA PLC,19/06/2013,£976.26,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,19/06/2013,"£1,008.16",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,19/06/2013,£754.78,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,20/06/2013,£928.36,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,20/06/2013,"£1,008.46",Statutory Advertising for work undertaken on HA road network
HA,GREENHAM TRADING LTD,21/06/2013,£569.68,PPE Safety Equipment
HA,PENNA PLC,21/06/2013,£820.24,Statutory Advertising for work undertaken on HA road network
HA,GREENHAM TRADING LTD,24/06/2013,£838.15,PPE Safety Equipment
HA,PENNA PLC,24/06/2013,"£1,424.83",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,24/06/2013,£725.95,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,24/06/2013,£552.40,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,24/06/2013,£604.51,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,24/06/2013,"£1,103.98",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,24/06/2013,£744.57,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,25/06/2013,£515.08,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,25/06/2013,£816.30,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,25/06/2013,£645.78,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,25/06/2013,£960.06,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,25/06/2013,£521.85,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,25/06/2013,£916.89,Statutory Advertising for work undertaken on HA road network
HA,THE GEORGE HOTEL,27/06/2013,"£3,892.00",Conference facilities x 2 days
HA,PENNA PLC,27/06/2013,£727.51,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,27/06/2013,£603.13,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,27/06/2013,"£2,104.33",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,27/06/2013,£648.68,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,27/06/2013,£974.17,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,27/06/2013,£816.74,Statutory Advertising for work undertaken on HA road network
HA,ENTERPRISE RAC,27/06/2013,£500.00,Damage to hire Vehicle insurance excess
HA,PENNA PLC,28/06/2013,"£2,152.80",Statutory Advertising for work undertaken on HA road network
MCA,GRAND BRIGHTON,05/06/2013,£504.00,"Accommodation and conference costs 2 presenters, 2 nights"
MCA,WWW.SCANIA.COM,14/06/2013,£570.12,Parts for MCA boat
VCA,INTERCOUNTY TRUCK & VA,03/06/2013,"£2,604.00",MR Unit for a Tractor unit
VCA,PAT TRAINING SERVICES LT,06/06/2013,£582.00,Equipment for PAT testing electrical equipment
VCA,ACRONIS,06/06/2013,£539.00,Acronis backup and recovery 11.5
VCA,FIRST HOTEL GO,07/06/2013,£811.88,"1 Person, 12 nights"
VCA,LONDON SHORT LETTING A,11/06/2013,£626.18,"Hotel for 1 person, 7 nights for graduate training"
VCA,AJU AUTO RENTAL AGENCY,11/06/2013,£505.75,Car hire 
VCA,UNIVERSITY OF BRADFORD,18/06/2013,"£1,100.00",1 week training course 'Braking of old vehicles'
VCA,EXPEDIA CO UK,19/06/2013,"£1,986.97",Flight for 1. round trip ticket.
VCA,HOTEL MELIA SITGES,24/06/2013,£673.61,"1 person, 7 nights"
VCA,PLEXUS INTERNATIONAL,28/06/2013,"£1,013.08",Re-Certification fee for auditor
VOSA,PIXMANIA,03/06/2013,£505.92,cameras for VOSA Enforcement examiners
VOSA,Hotels com UK,06/06/2013,£633.00,"3 people, 3 nights B & B hotel accommodation"
VOSA,WWW.NEOPOST.CO.UK,10/06/2013,£515.00,top up of franking machine
VOSA,PREMIER INN44013740,19/06/2013,£554.50,I person for 6 nights hotel accommodation B & B
VOSA,CENTRAL PREM,20/06/2013,"£1,025.50","27 people in total, 1 night hotel accommodation B & B"
VOSA,CENTRAL PREM,20/06/2013,£512.75, 6 people 3 nights - Intelligence Unit Conference
VOSA,PREMIER INN 44531705,26/06/2013,"£1,055.89","11 people, 1 night Dinner, B & B hotel accommodatio"
