Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount in sterling,Description,Postcode,Project code,Expenditure type,Supplier type,Contract number,Supplier VAT registration number
DHSC,MHRA,10/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Informed Solutions Limited,12899,"40,000.00 ",Service Management Pre Discovery services,WA14 4PA,n/a,Administration,Small or Medium Enterprise,5006659,611 5599 43
DHSC,MHRA,10/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,ITGL Ltd,SI0009513,"249,969.02 ",Switches,PO6 4PY,n/a,Administration,Small or Medium Enterprise,5006561,173 5214 20
DHSC,MHRA,10/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,ITGL Ltd,SI0009514,"249,981.55 ",Firewalls,PO6 4PY,n/a,Administration,Small or Medium Enterprise,5006561,173 5214 20
DHSC,MHRA,10/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Kingsfield Computer Products Ltd,121400,"76,168.00 ",Laptops,NN3 6WL,n/a,Administration,Small or Medium Enterprise,5006621,687 3912 87
DHSC,MHRA,10/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Kingsfield Computer Products Ltd,121629,"85,689.00 ",Laptops,NN3 6WL,n/a,Administration,Small or Medium Enterprise,5006642,687 3912 87
DHSC,MHRA,10/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Kingsfield Computer Products Ltd,121943,"89,309.50 ",Laptops,NN3 6WL,UID00446,Administration,Small or Medium Enterprise,5006670,687 3912 87
DHSC,MHRA,10/04/2024,Chemicals and Reagents,Innovation and Compliance,LGC Ltd,51168254,"32,843.82 ",Lab costs - Chemicals and Reagents,TW11 0LY,n/a,Programme,Small or Medium Enterprise,5005756,674 0567 21
DHSC,MHRA,10/04/2024,Library & Periodical Subscriptions,Enablement,LM Prenax UK,11017782,"62,708.68 ",Journals and databases subscriptions,OX17 3SN,n/a,Administration,Large Enterprise,5006340,356 9471 57
DHSC,MHRA,10/04/2024,Infrastructure Services and Maintenance,Safety and Surveillance,Trustmarque Solutions Limited,2381562,"239,489.06 ",Azure usage charges,YO32 9GZ,n/a,Programme,Small or Medium Enterprise,5006462,394 5936 01
DHSC,MHRA,10/04/2024,Infrastructure Services and Maintenance,Safety and Surveillance,Trustmarque Solutions Limited,2381633,"232,424.47 ",Azure usage charges,YO32 9GZ,n/a,Programme,Small or Medium Enterprise,5006462,394 5936 01
DHSC,MHRA,10/04/2024,Infrastructure Services and Maintenance,Digital and Technology,Trustmarque Solutions Limited,2381634,"152,100.92 ",Azure Overage Usage,YO32 9GZ,n/a,Administration,Small or Medium Enterprise,5006462,394 5936 01
DHSC,MHRA,10/04/2024,"Advertising, publicity & promotion",Enablement,Woodnewton Associates Limited,2411 / MH29,"25,400.00 ",Customer reputation insights,WC2A 1LG,n/a,Administration,Small or Medium Enterprise,5006064,906 4260 40
DHSC,MHRA,10/04/2024,"Advertising, publicity & promotion",Enablement,Woodnewton Associates Limited,2415 / MH27,"44,400.00 ",UK Stem Cell Bank market and customer research and analysis,WC2A 1LG,n/a,Administration,Small or Medium Enterprise,5006064,906 4260 40
DHSC,MHRA,10/04/2024,Market Research,Partnerships,Woodnewton Associates Limited,2416 / MH26,"40,000.00 ",Comparative analysis of International Recognition Procedure to develop a benchmarking framework for regulatory services.,WC2A 1LG,n/a,Administration,Small or Medium Enterprise,5006064,906 4260 40
DHSC,MHRA,15/04/2024,Travel and Subsistence,Corporate,Clarity Travel Management,MHRA0096,"82,616.37 ",Travel costs,M1 6EU,n/a,Administration,Small or Medium Enterprise,5006315,197 6947 31
DHSC,MHRA,15/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Cloud Kubed Ltd,INV-0220,"26,100.00 ",Technical architecture support,OX28 6HD,n/a,Administration,Small or Medium Enterprise,5006458,383 5554 70
DHSC,MHRA,15/04/2024,Application Services and Maintenance,Safety and Surveillance,Cyber-Duck Ltd,11100,"66,987.35 ",Call-Off,WD6 3EP,UID00401,Programme,Small or Medium Enterprise,5005880,798 7765 33
DHSC,MHRA,15/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Ernst & Young LLP,GB01G000528959,"99,340.00 ",Operating model and organisation design,SE1 2AF,n/a,Administration,Large Enterprise,5006584,773 8314 08
DHSC,MHRA,15/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Ernst & Young LLP,GB01G000528960,"99,000.00 ",Operating model and organisation design,SE1 2AF,n/a,Administration,Large Enterprise,5006583,773 8314 08
DHSC,MHRA,15/04/2024,Software Development,Digital and Technology,Informed Solutions Limited,12898,"175,925.00 ",Professional services support for Customer Experience Centre,WA14 4PA,n/a,Administration,Small or Medium Enterprise,5006544,611 5599 43
DHSC,MHRA,15/04/2024,Infrastructure Services and Maintenance,Digital and Technology,NTT Data UK Ltd,121594464,"50,637.90 ",Network support services,EC3V 3DG,n/a,Administration,Small or Medium Enterprise,5005124,159 3345 90
DHSC,MHRA,15/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,NTT Data UK Ltd,121602398,"110,840.40 ",Technology product and technology delivery services,EC3V 3DG,n/a,Administration,Small or Medium Enterprise,5004804,159 3345 90
DHSC,MHRA,15/04/2024,Software & Licences,Digital and Technology,Phoenix Software,OP/I004082,"81,842.44 ","Veritas (Netback Up), Veeam and IDPA software licences",YO42 1NS,n/a,Administration,Small or Medium Enterprise,5006671,755 3490 15
DHSC,MHRA,15/04/2024,Software & Licences,Digital and Technology,Phoenix Software,OP/I004443,"27,927.02 ","Veritas (Netback Up), Veeam and IDPA software licences",YO42 1NS,n/a,Administration,Small or Medium Enterprise,5006671,755 3490 15
DHSC,MHRA,17/04/2024,IT Security,Digital and Technology,Gemserv Limited,6008811,"44,000.00 ",Cyber security risk management,EC3M 4AJ,UID00456,Administration,Small or Medium Enterprise,5006570,363 1143 28
DHSC,MHRA,17/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,ITGL Ltd,SI0009540,"44,175.20 ",Switches,PO6 4PY,n/a,Administration,Small or Medium Enterprise,5006561,173 5214 20
DHSC,MHRA,17/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,ITGL Ltd,SI0009641N,"57,600.00 ",Switches,PO6 4PY,n/a,Administration,Small or Medium Enterprise,5006561,173 5214 20
DHSC,MHRA,17/04/2024,Contracted Out Services Miscellaneous,Safety and Surveillance,Red Ant Digital Ltd,INV-09550,"200,000.00 ",Vigilance development work,SE1 8NW,n/a,Programme,Small or Medium Enterprise,5005861,123 3883 22
DHSC,MHRA,17/04/2024,Building Maintenance & Repairs,Corporate,Solarsense UK Ltd,1024898,"43,000.00 ",Remedial works to PV solar panel system,BS48 4AH,n/a,Administration,Small or Medium Enterprise,5005973,742 4562 36
DHSC,MHRA,17/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,VERACITY OSI UK Limited,INV-00001901,"46,225.00 ",Portfolio Management and Project Support services,EC3R8LJ,UID00437,Administration,Small or Medium Enterprise,5006503,178 4489 53
DHSC,MHRA,17/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,VERACITY OSI UK Limited,INV-00001903,"49,880.00 ",User Centred Design Services,EC3R8LJ,UID00437,Administration,Small or Medium Enterprise,5006503,178 4489 53
DHSC,MHRA,18/04/2024,Application Services and Maintenance,Digital and Technology,Appian Software International LLC,NS_16458,"42,600.00 ",Training services,6300,n/a,Administration,Large Enterprise,5002939,
DHSC,MHRA,18/04/2024,Application Services and Maintenance,Digital and Technology,LORENZ Life Sciences Ltd,2024-06840,"42,529.41 ",Training services,20816,UID00437,Administration,Small or Medium Enterprise,5006286,656 6789 72
DHSC,MHRA,18/04/2024,Application Services and Maintenance,Digital and Technology,LORENZ Life Sciences Ltd,2024-06845,"38,000.00 ",Data migration,20816,UID00437,Administration,Small or Medium Enterprise,5006286,656 6789 72
DHSC,MHRA,22/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Accenture (UK) Limited,3003655244,"185,885.50 ",Regulatory Connect implementation,W1B 1QH,UID00437,Administration,Large Enterprise,5005918,788 6290 66
DHSC,MHRA,22/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,BT,IN06387252,"88,493.69 ",HPe storage equipment,NW9 6LB,n/a,Administration,Large Enterprise,5006576,245 7193 48
DHSC,MHRA,22/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,BT,IN06393618,"88,493.69 ",HPe storage equipment,NW9 6LB,n/a,Administration,Large Enterprise,5006576,245 7193 48
DHSC,MHRA,22/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,BT,IN06401693,"176,987.38 ",HPe storage equipment,NW9 6LB,n/a,Administration,Large Enterprise,5006617,245 7193 48
DHSC,MHRA,22/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,BT,IN06401694,"176,987.38 ",HPe storage equipment,NW9 6LB,n/a,Administration,Large Enterprise,5006617,245 7193 48
DHSC,MHRA,22/04/2024,Application Services and Maintenance,Safety and Surveillance,Fat Media Limited,230-042,"42,956.25 ",Support and maintenance,LA1 4XF,PROJ025,Programme,Small or Medium Enterprise,5006562,280 0669 07
DHSC,MHRA,22/04/2024,Market Research,Enablement,Health Unlimited Limited,170407729,"75,415.82 ",Employer brand content,W1F 9NB,n/a,Administration,Small or Medium Enterprise,5005813,156 0089 18
DHSC,MHRA,24/04/2024,IT Consultancy,Safety and Surveillance,Cloud Kubed Ltd,INV-0212,"25,258.62 ",Data analyst expertise,OX28 6HD,UID00445,Programme,Small or Medium Enterprise,5006458,383 5554 70
DHSC,MHRA,24/04/2024,Accommodation Rent,Corporate,Government Property Agency,00000001/18325,"(32,635.89)",Rent,B2 5LS,n/a,Administration,Public Sector,5004141,888 8010 80
DHSC,MHRA,24/04/2024,Telephone & Internet Charges,Digital and Technology,Government Property Agency,00000001/30902,"246,315.50 ",AV/VC support for meeting rooms,B2 5LS,n/a,Administration,Public Sector,5004141,888 8010 80
DHSC,MHRA,24/04/2024,Telephone & Internet Charges,Digital and Technology,Government Property Agency,00000001/30903,"272,781.64 ",AV/VC support for meeting rooms,B2 5LS,n/a,Administration,Public Sector,5004141,888 8010 80
DHSC,MHRA,24/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,Insight Networking Solutions,24 - 2756,"48,317.10 ",Agency telephony replacement project,UB8 1PH,n/a,Administration,Small or Medium Enterprise,5006590,746 0751 29
DHSC,MHRA,24/04/2024,Infrastructure Services and Maintenance,Digital and Technology,Phoenix Software,OP/I005001,"37,541.00 ",2 x SANsymphony-V Annual Support  vL5 Storage Virtualization software,YO42 1NS,n/a,Administration,Small or Medium Enterprise,5006679,755 3490 15
DHSC,MHRA,24/04/2024,Contracted Out Services Miscellaneous,Digital and Technology,Redrock Consulting Ltd,11697,"454,552.50 ",Professional services,BS8 3BA,UID00437,Administration,Small or Medium Enterprise,5006226,862 2477 15
DHSC,MHRA,29/04/2024,Infrastructure Services and Maintenance,Safety and Surveillance,Fat Media Limited,RR-03-0016,"25,500.00 ",Development,LA1 4XF,PROJ026,Programme,Small or Medium Enterprise,5006649,280 0669 07
DHSC,MHRA,29/04/2024,Accommodation Rates,Corporate,Hertsmere Borough Council,Business Rates Bill 2024/2025 April,"93,366.00 ",Business rates,WD6 1WA,n/a,Administration,Public Sector,5003554,230 6404 06
DHSC,MHRA,29/04/2024,Assets Under Construction - Clearing Account,Digital and Technology,ITGL Ltd,SI0009744,"131,312.70 ",Firewall Management Centre,PO6 4PY,n/a,Administration,Small or Medium Enterprise,5006561,173 5214 20
DHSC,MHRA,29/04/2024,Infrastructure Services and Maintenance,Digital and Technology,Oracle Corporation UK Limited,460154215,"59,254.32 ",Support Service,RG6 1RA,n/a,Administration,Large Enterprise,5000694,391 3130 73
DHSC,MHRA,29/04/2024,Software & Licences,Digital and Technology,Phoenix Software,OP/I005164,"33,142.84 ","Veritas (Netback Up), Veeam and IDPA software licences",YO42 1NS,n/a,Administration,Small or Medium Enterprise,5006671,755 3490 15
DHSC,MHRA,29/04/2024,Gas,Corporate,TotalEnergies,337140259/24,"59,113.96 ",Gas supply,RH1 1RX,n/a,Administration,Large Enterprise,5005816,689 6389 49
DHSC,MHRA,29/04/2024,Help desk and end user support,Digital and Technology,XMA Limited,LF94032,"89,111.57 ",IT service desk,NG11 7EP,n/a,Administration,Large Enterprise,5006165,115 0919 37
DHSC,MHRA,30/04/2024,Electricity,Corporate,EDF Energy,000018809269,"103,090.87 ",Electricity supply,EX1 3UT,n/a,Administration,Large Enterprise,5004340,523 0412 02
