OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,CH012,"Roebuck Place, Chapel-en-le-Frith",53.323769, -1.916834,https://www.highpeak.gov.uk/brownfield-land.csv,0.3,not owned by a public authority,not permissioned,,,,,14,14,,Permission on the site has lapsed. HPK/2012/0297,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM001,"Salem Mill, New Mills",53.369973,-1.997977,https://www.highpeak.gov.uk/brownfield-land.csv,0.27,not owned by a public authority,permissioned,full planning permission,,,,15,15,,Site complete,30/11/2017,14/12/2020,31/03/2020
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,B31,"Station Road, Buxton",53.361119,-2.004874,https://www.highpeak.gov.uk/brownfield-land.csv,0.62,mixed ownership,permissioned,full planning permission,18/07/2019,,,30,30,,Site complete,30/11/2017,05/12/2023,31/03/2023
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM034,"Woodside Street, New Mills",53.361119,-2.004874,https://www.highpeak.gov.uk/brownfield-land.csv,0.6,not owned by a public authority,not permissioned,,,,,25,25,,,30/11/2017,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,GL091,Ellison Street Glossop,53.443524,-1.948202,https://www.highpeak.gov.uk/brownfield-land.csv,0.43,not owned by a public authority,permissioned,full planning permission,02/01/2018,,,22,22,,Site is complete,30/11/2018,14/12/2020,31/03/2020
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,NM058,Queens Arms Hotel Church Road New Mills,53.363411,-2.000111,https://www.highpeak.gov.uk/brownfield-land.csv,0.08,not owned by a public authority,permissioned,full planning permission,01/05/2018,,,9,9,,Site is complete,30/11/2018,05/12/2023,31/03/2023
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,WB033,Gisbourne Road/ Old Road Whaley Bridge,53.326287,-1.983956,https://www.highpeak.gov.uk/brownfield-land.csv,0.13,not owned by a public authority,not permissioned,,25/01/2018,,,6,6,,HPK/2017/0572 now lapsed.,30/11/2018,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2017/0232,"Former White Lion, Spring Gardens, Buxton",53.259018,-1.909479,https://www.highpeak.gov.uk/brownfield-land.csv,0.08,not owned by a public authority,not permissioned,,13/08/2018,,,13,13,,HPK/2017/0232. Permission now lapsed.,12/09/2019,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2017/0536,"Land adj to 54 to 64 Buxton Road, Bridgemont",53.324543,-1.984077,https://www.highpeak.gov.uk/brownfield-land.csv,0.23,not owned by a public authority,permissioned,full planning permission,26/03/2018,,,13,13,,site is complete,12/09/2019,05/12/2023,31/03/2023
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2016/0550,"Former Ferro Alloys Site, Surrey Street, Glossop",53.445235,-1.95645,https://www.highpeak.gov.uk/brownfield-land.csv,0.8,not owned by a public authority,permissioned,full planning permission,18/04/2018,,,51,51,,Site complete,12/09/2019,14/12/2020,31/03/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2018/0324,"90-94 Manchester Road, Chapel-en-le-Frith",53.320281,-1.929526,https://www.highpeak.gov.uk/brownfield-land.csv,0.129,not owned by a public authority,permissioned,full planning permission,25/01/2019,,,6,6,,Site is complete,12/09/2019,15/12/2021,31/03/2021
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2018/0089,"Former Nursing Home, Broad Walk, Buxton",53.255725, -1.917385,https://www.highpeak.gov.uk/brownfield-land.csv,0.09,not owned by a public authority,permissioned,full planning permission,11/02/2018,,yes,6,6,,Former care home. Site is under construction.,12/09/2019,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2017/0198,"Land at Woolley Bridge East of A57, Hadfield",53.457916, -1.985187,https://www.highpeak.gov.uk/brownfield-land.csv,0.97,not owned by a public authority,permissioned,full planning permission,31/03/2021,,yes,31,31,,Former petrol station. Site is under construction. ,12/09/2019,01/12/2022,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2018/0290,"Bankwood Mill, Bankwood, Charlesworth",53.285376,-1.872705,https://www.highpeak.gov.uk/brownfield-land.csv,0.8,not owned by a public authority,permissioned,full planning permission,29/04/2019,,yes,7,7,,Site of former Mill. ,07/12/2020,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2018/0385,"5&6 The Quadrant, Buxton",53.259795,-1.91387,https://www.highpeak.gov.uk/brownfield-land.csv,0.04,not owned by a public authority,permissioned,full planning permission,14/05/2019,,yes,5,5,,Former bank and student accommodation above.,07/12/2020,15/12/2021,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2018/0300,"Holy Trinity Church, Peak Dale",53.285077,-1.870546,https://www.highpeak.gov.uk/brownfield-land.csv,0.16,not owned by a public authority,not permissioned,,08/10/2019,,,5,5,,Conversion of redundant church. Lapsed.,07/12/2020,05/12/2023,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2020/0558,"Car Park to The Grouse Hotel, New Mills",53.378399,-1.96588,https://www.highpeak.gov.uk/brownfield-land.csv,0.22,not owned by a public authority,permissioned,full planning permission,15/12/2022,,yes,8,8,,Former pub car park.,07/12/2020,05/12/2023,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2020/0018,"Talbot House, Talbot Road, Glossop",53.448864,-1.949761,https://www.highpeak.gov.uk/brownfield-land.csv,1.49,not owned by a public authority,permissioned,full planning permission,24/09/2020,,yes,5,5,,Former Sixth Form College. Under construction,15/12/2021,05/12/2023,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2020/0058 & HPK/2020/0057,"Land adj 152 Albion Road, New Mills",53.4928,-1.9056,https://www.highpeak.gov.uk/brownfield-land.csv,0.24,not owned by a public authority,permissioned,full planning permission,27/07/2021,,yes,10,10,,Industrial Land. Under construction,01/12/2022,05/12/2023,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2021/0059,"Foxlow Grange, Harpur Hill, Buxton",53.243789,-1.906109,https://www.highpeak.gov.uk/brownfield-land.csv,0.2,not owned by a public authority,permissioned,full planning permission,22/10/2021,,yes,8,8,,Conversion of large house to 8 flats,01/12/2022,01/12/2022,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2021/0243,"Railway Street, Glossop",53.443596,-1.949195,https://www.highpeak.gov.uk/brownfield-land.csv,0.05,not owned by a public authority,permissioned,full planning permission,08/03/2022,,yes,8,8,,offices in upper building to flats,01/12/2022,01/12/2022,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2020/0201,"Land adj Haulage Yard, Buxton Road, Furness Vale",53.344354,-1.985271,https://www.highpeak.gov.uk/brownfield-land.csv,1.12,not owned by a public authority,permissioned,full planning permission,04/07/2022,,yes,37,37,,,05/12/2023,05/12/2023,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2021/0347,"3 Temple Road, Buxton",53.252374,-1.920359,https://www.highpeak.gov.uk/brownfield-land.csv,0.34,not owned by a public authority,permissioned,full planning permission,29/03/2023,,yes,15,15,,former hotel,05/12/2023,05/12/2023,
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,HPK/2019/0316,"Former Shire Hill Hospital, Glossop",53.453379,-1.937363,https://www.highpeak.gov.uk/brownfield-land.csv,1.7,owned by a public authority,permissioned,outline planning permission,05/09/2022,,yes,41,77,,former hospital,05/12/2023,05/12/2023,
