Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Environmental Health and Housing,2212,Payment to Contractor,12/11/2015,0000196763,637.00,Revenue,Sdk Environmental,12590
Rushmoor Borough Council,Community,6556,Contract Costs,26/11/2015,0000196764,24763.75,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2554,Publicity and Promotions,12/11/2015,0000196771,1880.70,Revenue,Longcombe Labels,11348
Rushmoor Borough Council,Democratic Services,1325,Paper,19/11/2015,0000196772,410.66,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Community,2549,Operational Equipment,12/11/2015,0000196781,319.65,Revenue,Farnborough Tool Hire,05971
Rushmoor Borough Council,Information Technology,3304,Disaster Recovery,19/11/2015,0000196785,1790.00,Revenue,Phoenix It Business Continuity & Resilie,09349
Rushmoor Borough Council,Environmental Health and Housing,2203,Recruitment Advertising,19/11/2015,0000196788,2248.00,Revenue,Inside Housing,03657
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,12/11/2015,0000196794,1582.16,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Personnel & Payroll,3601,In-house Training,19/11/2015,0000196797,530.00,Revenue,Sign For Thoughts,03506
Rushmoor Borough Council,Community,2551,Operational Equipment,12/11/2015,0000196803,369.00,Revenue,Commission Air,01709
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,12/11/2015,0000196804,400.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,12/11/2015,0000196804,300.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,12/11/2015,0000196804,300.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,12/11/2015,0000196804,800.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,12/11/2015,0000196805,400.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Server Virtualisation Project,12/11/2015,0000196805,400.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,12/11/2015,0000196805,800.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,2518,Publicity and Advertising,12/11/2015,0000196806,338.00,Revenue,Sign-Fx,04242
Rushmoor Borough Council,Community,2518,Payment to Artistes,19/11/2015,0000196807,2400.00,Revenue,Fiend Productions Ltd,13892
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,19/11/2015,0000196809,290.00,Revenue,St John Ambulance,12043
Rushmoor Borough Council,Democratic Services,1322,Free Parking,26/11/2015,0000196810,313.00,Revenue,End To End Labels,00335
Rushmoor Borough Council,Community,2540,Training Expenses,12/11/2015,0000196812,1062.00,Revenue,Thomas Telford Ltd,03541
Rushmoor Borough Council,Community,2526,General Repairs and Maintenance,12/11/2015,0000196814,330.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Democratic Services,1323,Postages,19/11/2015,0000196818,1067.25,Revenue,Royal Mail,00821
Rushmoor Borough Council,Planning,2612,Recruitment Advertising,19/11/2015,0000196819,895.00,Revenue,Sunday,13855
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,12/11/2015,0000196823,322.50,Revenue,Site Equip Ltd,00886
Rushmoor Borough Council,Environmental Health and Housing,2203,Professional Subscriptions,26/11/2015,0000196825,2258.00,Revenue,Cieh,00012
Rushmoor Borough Council,Customer Services,3804,Software Maintenance,26/11/2015,0000196828,2102.26,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Community,2517,Tree Maintenance,19/11/2015,0000196832,1813.50,Revenue,Foremost Treesurgeons Limited,12040
Rushmoor Borough Council,Community,2518,Publicity and Advertising,19/11/2015,0000196833,405.00,Revenue,Trinity Mirror Publishing Ltd,00947
Rushmoor Borough Council,Community,2517,Tree Maintenance,19/11/2015,0000196836,2281.00,Revenue,Foremost Treesurgeons Limited,12040
Rushmoor Borough Council,Legal,1208,Building Maintenance,19/11/2015,0000196837,700.00,Revenue,Rubbish Takeaway,13889
Rushmoor Borough Council,Legal,1208,Security Alarm,19/11/2015,0000196838,526.04,Revenue,Orbis Protect Ltd,06771
Rushmoor Borough Council,Democratic Services,1323,Mobile Phones,19/11/2015,0000196840,1081.23,Revenue,Vodafone Ltd,08758
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,19/11/2015,0000196843,320.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Holding Accounts,9404,Survey Work,19/11/2015,0000196844,750.00,Holding Accounts,Hays,02287
Rushmoor Borough Council,Community,2518,Publicity and Advertising,19/11/2015,0000196849,350.00,Revenue,New Life Magazines Ltd,12882
Rushmoor Borough Council,Community,2518,Trade Refuse,19/11/2015,0000196850,377.64,Revenue,Grundon Waste Management Ltd,09633
Rushmoor Borough Council,Community,2517,Tree Maintenance,19/11/2015,0000196853,650.00,Revenue,P A Searle,00699
Rushmoor Borough Council,Community,2518,Payment to Artistes,19/11/2015,0000196859,2576.60,Revenue,Phil Mcintyre Entertainments Ltd,10690
Rushmoor Borough Council,Democratic Services,1325,Paper,19/11/2015,0000196861,-375.16,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Community,2518,Payment to Artistes,19/11/2015,0000196862,4749.10,Revenue,Tony Clayman Promotions,13897
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,19/11/2015,0000196865,683.76,Revenue,Hays,02287
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,19/11/2015,0000196877,672.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,19/11/2015,0000196879,427.00,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,26/11/2015,0000196880,522.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1202,Temporary Staff,26/11/2015,0000196881,1284.29,Revenue,Hays,02287
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,19/11/2015,0000196883,1350.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,19/11/2015,0000196885,324.90,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,Playground Apparatus,19/11/2015,0000196887,1360.00,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,Cove Brook,19/11/2015,0000196888,436.60,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,19/11/2015,0000196889,470.00,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Democratic Services,1322,Gas,26/11/2015,0000196894,2010.06,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2517,Tree Maintenance,19/11/2015,0000196897,720.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Democratic Services,1304,Charity Golf,26/11/2015,0000196900,736.67,Revenue,Mack Trading (Heaton Park) Ltd,11108
Rushmoor Borough Council,Community,2517,Gas,19/11/2015,0000196904,270.80,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,26/11/2015,0000196905,4549.97,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2518,Payment to Artistes,19/11/2015,0000196907,4200.00,Revenue,Entertainers (Magic Of Mowtown) Ltd,13898
Rushmoor Borough Council,Community,2551,Replacement Commemorative Roses,19/11/2015,0000196909,1894.10,Revenue,Henry Street,00447
Rushmoor Borough Council,Community,2518,Payment to Artistes,19/11/2015,0000196910,2000.00,Revenue,Beyond The Barricade Ltd,13899
Rushmoor Borough Council,Community,2518,Payment to Artistes,19/11/2015,0000196913,4948.89,Revenue,Emma Brunjes Productions Ltd,13901
Rushmoor Borough Council,Community,2552,Grounds Maintenance,19/11/2015,0000196918,435.00,Revenue,Girling Pipeworks,05392
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,19/11/2015,0000196919,420.00,Revenue,Girling Pipeworks,05392
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,26/11/2015,0000196921,3595.19,Revenue,British Telecommunications Plc,00177
Rushmoor Borough Council,Democratic Services,1326,Electricity,26/11/2015,0000196922,499.34,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2517,Electricity,26/11/2015,0000196922,824.50,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2518,Electricity,26/11/2015,0000196922,2017.44,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2537,Electricity,26/11/2015,0000196922,357.75,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2551,Electricity,26/11/2015,0000196922,796.95,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2517,Water,19/11/2015,0000196925,276.34,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Democratic Services,1323,Postages,26/11/2015,0000196933,2154.09,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,6510,Contract Costs,26/11/2015,0000196937,3186.00,Capital,Radley House Partnership,13057
Rushmoor Borough Council,Community,2549,Materials,19/11/2015,0000196945,1279.24,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Customer Services,3814,Security Services,19/11/2015,0000196946,547.01,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2537,Security Services,19/11/2015,0000196947,2228.52,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2549,Materials,26/11/2015,0000196949,76413.85,Revenue,Walker Construction (Uk) Ltd,12428
Rushmoor Borough Council,Director of Resources,3106,Training Expenses,19/11/2015,0000196951,390.00,Revenue,Acas,09885
Rushmoor Borough Council,Community,2518,Payment to Artistes,26/11/2015,0000196952,9070.33,Revenue,Jasper Carrott Ltd,13905
Rushmoor Borough Council,Democratic Services,1326,General Repairs and Maintenance,19/11/2015,0000196953,272.83,Revenue,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Democratic Services,1325,External Printing,19/11/2015,0000196963,616.00,Revenue,Lithoxpress Limited,09331
Rushmoor Borough Council,Planning,2614,Professional Subscriptions,26/11/2015,0000196967,290.00,Revenue,Rtpi (Subscriptions Only),01147
Rushmoor Borough Council,Community,2559,General Repairs and Maintenance,26/11/2015,0000196970,1000.00,Revenue,The Sports Consultancy,12674
Rushmoor Borough Council,Democratic Services,1322,Operational Equipment,26/11/2015,0000196976,580.75,Revenue,Bowak Ltd,04579
Rushmoor Borough Council,Democratic Services,1322,General Repairs and Maintenance,26/11/2015,0000196977,298.22,Revenue,Bowak Ltd,04579
Rushmoor Borough Council,Democratic Services,1322,Trade Refuse,26/11/2015,0000196981,678.20,Revenue,Veolia Environmental Services,09062
