Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Invoice Number,Invoice Distribution Amount,Account Code,Cost Centre
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,FG FIN CONT SHARED SERVICES CORE COSTS,SHARED SERVICES CONNECTED LTD,100007368,"£983,734",5211402910,10394801
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,21S17C02076/CL/17Q02/13,"£969,854",1816900000,10419400
DWP,CORPORATE,22-Jan-18,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,FG CD OPS & CMG ESTATES NON-PRIME COSTS,HMRC,1.80E+13,"£969,769",5813102905,10393861
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6046861,"£889,899",5813102901,10389589
DWP,CORPORATE,26-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - CONTACT CENTRES,DIG CHANNEL PLATFORMS ITLR CONTACT CENTRE DEL P,BT GLOBAL SERVICES,462376,"£853,515",5218102902,10389351
DWP,EUROPEAN SOCIAL FUND,02-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,19S17C01906/CL/17Q02/13,"£852,513",1816900000,10419400
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6049595,"£842,909",5813102901,10389589
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,32S17C01932/CL/17Q02/13,"£747,150",1816900000,10419400
DWP,CORPORATE,19-Jan-18,EXP - PERMANENT UK STAFF - EMPLOYER'S SOCIAL SECURITY COSTS - APPRENTICESHIP LEVY,HR APPRENTICESHIP LEVY - DEL P,INLAND REVENUE SHIPLEY NATIONAL INSURANCE,948PJ001803761809BLevy,"£688,997",5111200002,10396252
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - BILLABLE EXTRAS PCM,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,TELEREAL TRILLIUM,989109,"£688,300",5215102901,10386171
DWP,CORPORATE,16-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - VALUATION OFFICE,FG HDD MANAGEMENT,VALUATION OFFICE AGENCY,1.80E+13,"£685,333",5211402908,10394600
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - SOFTWARE LICENCES,DIG IOS-09 OPERATIONS SERVICE FORMATION,CAPGEMINI UK PLC,2.60E+12,"£629,500",5218102909,10389125
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD ACCOMMODATION CHARGES (VAT) FOR NON OGDs,TELEREAL TRILLIUM,995466,"£617,029",9115102900,10393855
DWP,CORPORATE,26-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,FG CD DWP GAS & ELECTRICITY PAYMENTS / RECHARGES,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,20404420/1712,"£606,404",5222500000,10393852
DWP,CORPORATE,15-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG APPLICATION DATA PLATFORMS EAS,MICROSOFT LTD,9620977601,"£587,956",5218102901,10389082
DWP,EUROPEAN SOCIAL FUND,15-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,WORKING CAPITAL ESF 1420,23S17P01034/CL/16Q03/05,"£565,698",1816900000,10419400
DWP,CORPORATE,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,MANCHESTER CITY COUNCIL,8500527831,"£548,939",5215100003,10386171
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD LEEDS QUARRY HOUSE,TELEREAL TRILLIUM,995466,"£503,320",9115102900,10393830
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - NETWORKS,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,VODAFONE LTD,UK10/012018/3953,"£482,276",5218102907,10389148
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£458,806",9115102900,10393860
DWP,CORPORATE,15-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - DESKTOPS,DIG CHANNEL PLATFORMS ITLR SUSTAINABLE PRINT SERV DEL A,XEROX UK LTD 3W,2675417,"£455,091",5813102900,10389543
DWP,CORPORATE,23-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - TELEPHONY,DIG ITLR - TELEPHONY - PSNT - DELA,VODAFONE LTD,86383489,"£454,336",5218102903,10389146
DWP,CORPORATE,18-Jan-18,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - NETWORKS,DIG ITLR - TELEPHONY - PSNT - DELA,VODAFONE LTD,86011229,"£453,204",9115302901,10389146
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - NETWORKS,DIG CHANNEL PLATFORMS NGCC DEL P,BT GLOBAL SERVICES,460746,"£427,310",9115302901,10389352
DWP,CORPORATE,19-Jan-18,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,DIG ENTERPRISE INFRASTRUCTURE CONTRACT CORE HOSTING DELP,FUJITSU SERVICES LTD,252363,"£423,500",1141200000,10389676
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ITLR AMS - TATA CONSULTING,TATA CONSULTANCY SERVICES LTD,UKNI218034277,"£414,404",5218102901,10389334
DWP,CORPORATE,24-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,CHG ERSP COMMS,CARAT LTD,377564,"£409,456",5214102900,10386221
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG PENSIONS & DISABLED SERVICE INITIATIVES,ENTSERV UK LTD,6048264,"£376,250",5218102901,10389281
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,25S17C02090/CL/17Q02/13,"£372,011",1816900000,10419400
DWP,CORPORATE,26-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,FG CD MANAGEMENT FEE,XEROX UK LTD 3W,2674030,"£368,000",5217100003,10392324
DWP,CORPORATE,26-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,FG CD MANAGEMENT FEE,XEROX UK LTD 3W,2675660,"£368,000",5217100003,10392324
DWP,CORPORATE,16-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,FG FSC SIMPLE PAYMENTS,CITIBANK GLOBAL CORPORATE BANKING,50000406,"£330,473",5224102907,10392851
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,38S16C01029/CL/17Q02/13,"£327,326",1816900000,10419400
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD PEEL PARK,TELEREAL TRILLIUM,995466,"£326,625",9115102900,10393800
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,39S16C01109/CL/17Q02/13,"£322,503",1816900000,10419400
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,30S17C02024/CL/17Q02/13,"£321,467",1816900000,10419400
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD MANCHESTER HEYWOOD STORES,TELEREAL TRILLIUM,995466,"£314,582",9115102900,10393805
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,CMG OPS EXTERNAL CONTRACTS/SLAS SERCO,SERCO PUBLIC SERVICES LTD,91441995,"£314,130",5217102902,10416541
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - BILLABLE EXTRAS PCM,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,TELEREAL TRILLIUM,995546,"£308,133",5215102901,10386171
DWP,CORPORATE,23-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,CMG OPS EXTERNAL CONTRACTS/SLAS OPTIONS,G4S LTD,INV00119,"£306,528",5217102901,10416552
DWP,CORPORATE,31-Jan-18,EXP - PERMANENT UK STAFF - ALLOWANCES - OGD (NON SECONDMENT),OPS CFC NINO HEAD OF OPERATIONS & POLICY,HM REVENUE AND CUSTOMS,18000049102017SURGENINO,"£296,275",5111402902,10402670
DWP,EMPLOYMENT PROGRAMMES,15-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP WORK CHOICE S LON LAMBETH SOUTHWARK WANDSWORTH,INGEUS UK LTD,99468,"£294,154",5213102918,10419096
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6049599,"£290,709",5813102901,10389589
DWP,CORPORATE,25-Jan-18,EXP - PURCHASE OF GOODS/SERVICES -  MEDICAL - OPINIONS OTHER,CHG PIP PROG MANAGEMENT,CAPITA PIP ASSESSMENTS,6119000146,"£286,560",5216102909,10386295
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£284,092",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£283,593",9115102900,10393860
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - AMS,DIG CHANNEL PLATFORMS INTELLIGENT AUTOMATION GARAGE,ACCENTURE UK LTD,3003380832,"£262,592",5218102900,10389488
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£262,158",9115102900,10393860
DWP,CORPORATE,15-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ENTERPRISE INFRASTRUCTURE CONTRACT CORE HOSTING DELP,ENTSERV UK LTD,6048571,"£260,447",5813102901,10389676
DWP,EMPLOYMENT PROGRAMMES,25-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP YOUTH ENGAGEMENT FUND,T & T YOUTH ENGAGEMENT LLP,ERS-390900031296-175562,"£257,876",5213102921,10419056
DWP,CORPORATE,16-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,FG CS HS HDAS NON CONTRACT,ATOS ORIGIN IT SERVICES UK LTD,5584257243,"£253,899",5218102901,10394113
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ITLR HOSTING DEL P,REDCENTRIC SOLUTIONS LTD,MANI13385,"£247,558",5218102901,10389594
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£239,025",9115102900,10393860
DWP,EUROPEAN SOCIAL FUND,03-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,20S17C02014/CL/17Q02/13,"£238,827",1816900000,10419400
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ITLR AMS - TATA CONSULTING,TATA CONSULTANCY SERVICES LTD,UKNI218034260,"£233,472",5218102901,10389334
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£230,510",9115102900,10393860
DWP,EUROPEAN SOCIAL FUND,08-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,25S17C02083/CL/17Q02/13,"£219,208",1816900000,10419400
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - BILLABLE EXTRAS PCM,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,TELEREAL TRILLIUM,995530,"£216,528",5215102901,10386171
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£216,141",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD ACCOMMODATION CHARGES (VAT) FOR NON OGDs,TELEREAL TRILLIUM,995466,"£208,909",9115102900,10393855
DWP,CORPORATE,26-Jan-18,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,INCENDIUM CONSULTING LTD,INV-0246,"£208,346",5117100000,10386171
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - BILLABLE EXTRAS PCM,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,TELEREAL TRILLIUM,995567,"£208,309",5215102901,10386171
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,BOSTON BOROUGH COUNCIL,P0006599,"£207,790",5215100003,10386171
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6049496,"£204,936",5813102901,10389589
DWP,CORPORATE,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - SOFTWARE MAIN & SUP,DIG TECH PLATFORM IMP VME R NEXT PHASE,ROCKET SOFTWARE UK LTD,2310106901,"£200,000",5218102908,10389261
DWP,EUROPEAN SOCIAL FUND,15-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,ESFA ESF PROJECTS,23S17C02088/CL17Q02/13,"£199,704",1816900000,10419400
DWP,EUROPEAN SOCIAL FUND,17-Jan-18,CA - OTHER RECEIVABLES,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,SOLENT JOBS PROGRAMME ESF 2014 2020,29S17P01950/CL/17Q3,"£198,810",1816900000,10419400
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£196,942",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£191,017",9115102900,10393860
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,OPS WA CAPITA,CAPITA BUSINESS SERVICES,6068004915,"£189,279",5217102902,10401003
DWP,CORPORATE,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,FG CD MANAGEMENT FEE,IRON MOUNTAIN UK LTD,488148,"£187,149",5217102901,10392324
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6049604,"£186,907",5813102901,10389589
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6049527,"£181,448",5813102901,10389589
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - BILLABLE EXTRAS PCM,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,TELEREAL TRILLIUM,995566,"£181,119",5215102901,10386171
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£178,899",9115102900,10393860
DWP,CORPORATE,24-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,CHG ERSP COMMS,CARAT LTD,374656,"£176,756",5214100000,10386221
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£172,328",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£172,068",9115102900,10393860
DWP,CORPORATE,25-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING SSBA DEL P,ENTSERV UK LTD,6049516,"£171,493",5813102901,10389589
DWP,CORPORATE,22-Jan-18,Exp - Purchase Of Goods/Services - Consultancy,STR LEGAL SERVICES,GOVERNMENT LEGAL DEPARTMENT,449023,"£171,241",5211200000,10382030
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,SHARED SERVICES CONNECTED LTD,100006782,"£171,197",5211402910,10394802
DWP,CORPORATE,26-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - CONTACT CENTRES,DIG CHANNEL PLATFORMS ITLR CONTACT CENTRE DEL P,BT GLOBAL SERVICES,462376,"£170,703",5218102902,10389351
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£167,474",9115102900,10393860
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ITLR AMS - TATA CONSULTING,TATA CONSULTANCY SERVICES LTD,MHFI518011346,"£165,610",5218102901,10389334
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£165,364",9115102900,10393860
DWP,CORPORATE,22-Jan-18,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,FG CD OPS & CMG ESTATES NON-PRIME COSTS,FORESTRY COMMISSION,H0033069,"£161,420",5813102905,10393861
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£160,400",9115102900,10393860
DWP,CORPORATE,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG ADMS PROGRAMME,ENTSERV UK LTD,6048550,"£160,246",5218102901,10389010
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£159,657",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£156,692",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£155,135",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£152,511",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£151,225",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£148,572",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£145,709",9115102900,10393860
DWP,CORPORATE,25-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING - APPS DEV,DIG TECH PLATFORM IMP VME R NEXT PHASE,CAPGEMINI UK PLC,2.60E+12,"£144,433",5218102901,10389261
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£143,236",9115102900,10393860
DWP,CORPORATE,19-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - BILLABLE EXTRAS PCM,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,TELEREAL TRILLIUM,995541,"£141,752",5215102901,10386171
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£139,777",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£139,437",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD BIRCHWOOD,TELEREAL TRILLIUM,995466,"£138,223",9115102900,10393801
DWP,CORPORATE,19-Jan-18,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,DIG ITLR HOSTING DEL P,ENTSERV UK LTD,6050389,"£137,717",5813102901,10389594
