Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
04/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Cybermoor Services Ltd,540298,37493,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,CA9 3RF,GRANT
02/10/2023,Grant-In-Aid to Arms Length Bodies,"DESNZ - Net Zero, Nuclear & International - DESNZ - NDA",Nuclear Decommissioning Authority,540342,413000000,DESNZ - Nuclear Decommissioning Authority Grant In Aid-Grant-In-Aid to Arms Length Bodies,CA24 3HU,VENDOR
02/10/2023,Utilisation of Provisions - British Energy,"DESNZ - Net Zero, Nuclear & International - DESNZ - British Energy Historic Payments",Nuclear Decommissioning Authority,540345,8194310.54,DESNZ - British Energy Historic Liabilities Funding-Utilisation of Provisions - British Energy,CA24 3HW,VENDOR
03/10/2023,Grant-In-Aid to Arms Length Bodies,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,SALIX FINANCE LTD,540557,730806.44,DESNZ - Salix - Grant in Aid.-Grant-In-Aid to Arms Length Bodies,E14 4PU,GRANT
04/10/2023,Capital Grants To Central Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,SALIX FINANCE LTD,540559,44909.2,DESNZ - Net Zero Innovation Technical support-Capital Grants To Central Government,E14 4PU,GRANT
17/10/2023,Consultancy Expenditure,ICS - Integrated Corporate Services - ICS - Commercial,Deloitte LLP,540665,101490,DESNZ - Shared Services CS Admin-Consultancy Expenditure,EC4A 3HQ,VENDOR
17/10/2023,Consultancy Expenditure,ICS - Integrated Corporate Services - ICS - Commercial,Deloitte LLP,540672,67060,DESNZ - Shared Services CS Admin-Consultancy Expenditure,EC4A 3HQ,VENDOR
03/10/2023,Contributions 2,DESNZ - Energy Infrastructure - DESNZ - Hydrogen and Industrial Carbon Capture,OECD (Organisation for Economic Co-operation and Development),540709,34754.8,DESNZ - Hydrogen Economy-Contributions 2,75775,VENDOR
02/10/2023,CA - Other Receivables - Unclassified,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Office of Gas and Electricity Markets (OFGEM),540938,72606532,DESNZ - RHI Non-Domestic Ame Payments-CA - Other Receivables - Unclassified,SW1P 3GE,GRANT
10/10/2023,Hire of Interim Managers,DESNZ - Corporate Services - DESNZ - Finance Directorate,Alexander Mann Solutions Ltd,541028,137903.05,DESNZ - DESNZ Corporate Services Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
24/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Turner and Townsend Project Management Ltd,541032,272532.54,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Administration of Grants and Awards,LS18 4GH,VENDOR
02/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Mission Zero Technologies Ltd,541034,250143.34,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,CM16 5DP,VENDOR
02/10/2023,CA - Prepayments - Other,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Office of Gas and Electricity Markets (OFGEM),541233,4540000,DESNZ - Boiler Upgrade Scheme (capital)-CA - Prepayments - Other,SW1P 3GE,GRANT
03/10/2023,Subsidies to the Private Sector - Companies,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Elexon Ltd,541247,14130783.17,DESNZ - Energy Bills Relief Scheme AME-Subsidies to the Private Sector - Companies,NW1 3AW,VENDOR
03/10/2023,Subsidies to the Private Sector - Companies,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Xoserve Ltd,541248,5026234.04,DESNZ - Energy Bills Relief Scheme AME-Subsidies to the Private Sector - Companies,B91 3DL,GRANT
06/10/2023,Grant-In-Aid to Arms Length Bodies,DESNZ - Energy Infrastructure - DESNZ - Energy Development,Coal Authority,541249,10000000,DESNZ - Payment Of Grant In Aid To The Coal Authority-Grant-In-Aid to Arms Length Bodies,NG18 4RG,VENDOR
04/10/2023,R & D Research and Development Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Energy and Utility Skills Ltd,541256,31676,DESNZ - Net Zero Innovation - Hydrogen-R & D Research and Development Expenditure,B90 4BN,VENDOR
02/10/2023,Additions - Cost - Assets Under Construction - Internally Developed Software,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Cabinet Office,541262,257700,DESNZ - Net Zero Costs - Admin-Additions - Cost - Assets Under Construction - Internally Developed Software,NP10 8FZ,WGA ONLY
03/10/2023,Subsidies to the Private Sector - Companies,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Elexon Ltd,541268,4894758.71,DESNZ - Energy Bill Discount Scheme AME-Subsidies to the Private Sector - Companies,NW1 3AW,VENDOR
03/10/2023,Current Grants To Private Sector - NPISH,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Xoserve Ltd,541269,32556.28,DESNZ - Energy Bill Discount Scheme AME-Current Grants To Private Sector - NPISH,B91 3DL,GRANT
03/10/2023,Subsidies to the Private Sector - Companies,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Xoserve Ltd,541269,2144553.87,DESNZ - Energy Bill Discount Scheme AME-Subsidies to the Private Sector - Companies,B91 3DL,GRANT
03/10/2023,Subsidies to the Private Sector - Companies,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,SSE Airtricity Energy Supply (NI) Ltd,541273,45415.85,DESNZ - Energy Bill Discount Scheme AME-Subsidies to the Private Sector - Companies,BT2 7AQ,GRANT
03/10/2023,R & D Research and Development Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",CARBON TRUST ADVISORY LTD,541276,197018.2,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Research and Development Expenditure,SE1 9NT,VENDOR
05/10/2023,Research and Development Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,RSM UK Consulting LLP,541287,31029,DESNZ - Heat Networks Efficiency Scheme (HNES)-Research and Development Expenditure,EC4A 4AB,VENDOR
04/10/2023,Purchase of Intangible Software,ICS - Integrated Corporate Services - ICS - Digital,Bytes Software Services Ltd,541291,43637.16,DESNZ - Shared Services CS Admin-Purchase of Intangible Software,KT22 7TW,VENDOR
10/10/2023,Intra Departmental Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,SALIX FINANCE LTD,541311,2459966.74,DESNZ - Salix - Grant in Aid.-Intra Departmental Expenditure,EC4N 7BE,GRANT
04/10/2023,IT Hosting Services,DESNZ - Energy Markets & Supply - DESNZ - Strategy Directorate,Fivium Ltd,541606,39703.5,DESNZ - Devolved Admin-IT Hosting Services,WC2N 6AH,VENDOR
04/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Lambda Energy Ltd,541614,66277.25,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,BA11 1HR,GRANT
04/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Magallanes Tidal Energy Ltd,541615,238246.95,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,KW15 1ZL,VENDOR
05/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Powervault Ltd,541632,53011,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,NW9 6AQ,VENDOR
04/10/2023,Grant-In-Aid to Arms Length Bodies,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Protection Directorate",Civil Nuclear Police Authority (Civil Nuclear Constabulary),541640,31132.33,DESNZ - Civil Nuclear Police Authority Grant In Aid-Grant-In-Aid to Arms Length Bodies,CW7 9GR,WGA ONLY
17/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",LINKLATERS LLP,541644,705386,DESNZ - New Nuclear Sizewell C (Net Zero)-Consultancy Expenditure,EC2Y 8HQ,VENDOR
04/10/2023,Marketing and Media,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Omnicom Media Group UK Ltd T/A Manning Gottlieb OMD,541647,68545.8,DESNZ - Energy Saving Campaign-Marketing and Media,SE1 0SW,VENDOR
09/10/2023,CA - BEIS Coal Health GBS Account,DESNZ - Energy Infrastructure - DESNZ - Energy Development,BEIS Coal Health,541654,400000,DESNZ - Liabilities To Ex-British Coal Employees And Other Liabilities Transferr-CA - BEIS Coal Health GBS Account,SW1H 0ET,VENDOR
04/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",SENSE Wind Ltd,541838,396591,DESNZ - Net Zero Innovation - Renewables-R & D Current Grants to Private Sector - NPISH,CB25 0NW,GRANT
04/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",SENSE Wind Ltd,541842,257195.31,DESNZ - Net Zero Innovation - Renewables-R & D Current Grants to Private Sector - NPISH,CB25 0NW,GRANT
04/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",White Horse Energy Ltd,541859,184903.25,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,GL7 1YG,VENDOR
04/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Engage Consulting Ltd,541861,56460.79,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,CB3 0QH,VENDOR
04/10/2023,R & D Research and Development Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",RSK Adas Ltd,541877,49933,DESNZ - Climate Science Mitigation-R & D Research and Development Expenditure,WA6 0AR,VENDOR
04/10/2023,Other Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,RICARDO-AEA LTD,541883,96360.6,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Other Professional Services,OX11 0QR,VENDOR
04/10/2023,Capital Grants to Private Sector - Companies,DESNZ - Energy Infrastructure - DESNZ - Hydrogen and Industrial Carbon Capture,Statera Energy Ltd,541885,46785.12,DESNZ - Net Zero Hydrogen Team-Capital Grants to Private Sector - Companies,W8 7LP,VENDOR
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,28644.68,DESNZ - OFGEM Overheads-Administration of Grants and Awards,SW1P 3GE,GRANT
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,37367.65,DESNZ - SEG-Administration of Grants and Awards,SW1P 3GE,GRANT
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,156005.77,DESNZ - DWP Warm Home Discount Delivery-Administration of Grants and Awards,SW1P 3GE,GRANT
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,797414.05,DESNZ - Each Home Counts-Administration of Grants and Awards,SW1P 3GE,GRANT
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,898908.24,DESNZ - RE:FIT programme - Local Partnership-Administration of Grants and Awards,SW1P 3GE,GRANT
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,1436466.08,DESNZ - RHI Domestic Costs-Administration of Grants and Awards,SW1P 3GE,GRANT
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,1622863.57,DESNZ - Eco Brokerage-Administration of Grants and Awards,SW1P 3GE,GRANT
05/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Office of Gas and Electricity Markets (OFGEM),541888,2281373.96,DESNZ - RHI Non-Domestic Costs-Administration of Grants and Awards,SW1P 3GE,GRANT
04/10/2023,Capital Grants to Private Sector - Companies,DESNZ - Energy Infrastructure - DESNZ - Hydrogen and Industrial Carbon Capture,Progressive Energy Ltd,541907,33907.1,DESNZ - Net Zero Hydrogen Team-Capital Grants to Private Sector - Companies,GL10 3RF,VENDOR
05/10/2023,Current Grants To Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy",DAI Global UK Ltd,541914,439091.57,DESNZ - International Climate Finance (ICF)-Current Grants To Private Sector - NPISH,HP3 9TD,VENDOR
05/10/2023,Current Grants To Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy","Foreign, Commonwealth and Development Office",541916,43594.41,DESNZ - INZ - CARE Fund-Current Grants To Private Sector - NPISH,MK11 9NQ,WGA ONLY
04/10/2023,Other IT Consultancy,ICS - Integrated Corporate Services - ICS - Digital,Triad Group Plc,541921,67670.75,DESNZ - DESNZ Corporate Services Admin-Other IT Consultancy,GU7 1XE,VENDOR
06/10/2023,Outsourced Technical Support,ICS - Integrated Corporate Services - ICS - Digital,Visionist Ltd,541929,109436,DESNZ - Shared Services CS Admin-Outsourced Technical Support,BH24 3FG,VENDOR
06/10/2023,Outsourced Technical Support,ICS - Integrated Corporate Services - ICS - Digital,Visionist Ltd,541930,276243,DESNZ - Shared Services CS Admin-Outsourced Technical Support,BH24 3FG,VENDOR
06/10/2023,Outsourced Technical Support,ICS - Integrated Corporate Services - ICS - Digital,Visionist Ltd,541931,331373,DESNZ - Shared Services CS Admin-Outsourced Technical Support,BH24 3FG,VENDOR
05/10/2023,Consultancy Expenditure,DESNZ - Energy Markets & Supply - DESNZ - Energy Markets & Analysis,BARINGA PARTNERS LLP,541943,27307.5,DESNZ - Net Zero Costs - Admin-Consultancy Expenditure,SW1E 6AJ,VENDOR
06/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",TECHNOPOLIS LTD,541945,30682.75,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,BN1 1EE,VENDOR
05/10/2023,Other Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,AECOM Ltd,541949,45127,DESNZ - Net Zero Costs - Admin-Other Professional Services,WC1V 6QS,VENDOR
05/10/2023,Legal Costs,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,BURGES SALMON LLP,541953,31405.32,DESNZ - HNDU pipeline and related expenditure-Legal Costs,BS2 0ZX,VENDOR
05/10/2023,Outsourced Programme Management,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,RES Q LTD,541957,30416.15,DESNZ - Energy Savings Advice Service-Outsourced Programme Management,HU1 3JZ,GRANT
17/10/2023,IT Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Triad Group Plc,541972,25785.6,DESNZ - Building & Electrification programme expenditure-IT Services,GU7 1XE,VENDOR
17/10/2023,IT Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Triad Group Plc,541973,127855.2,DESNZ - Building & Electrification programme expenditure-IT Services,GU7 1XE,VENDOR
05/10/2023,Current Grants To Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy",London School of Economics and Political Science,541988,233627.66,DESNZ - International Climate Finance (ICF)-Current Grants To Private Sector - NPISH,WC2A 2AE,VENDOR
05/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Rotaheat Ltd,542124,86724.95,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,SP5 4DF,VENDOR
05/10/2023,Finance & Accounting Advice,DESNZ - Energy Infrastructure - DESNZ - Carbon Capture Usage and Storage,Ernst and Young LLP,542127,1044863.79,DESNZ - CCS Projects-Finance & Accounting Advice,SE1 2AF,VENDOR
05/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",E.ON UK CHP Ltd,542130,137869.18,DESNZ - Net Zero Innovation - Hydrogen-R & D Current Grants to Private Sector - NPISH,CV4 8LG,VENDOR
05/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Flexible Power Systems Ltd,542137,34786.89,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,TN8 7DP,GRANT
05/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",PNZ Carbon Ltd,542140,26044.48,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,EC4N 7AF,GRANT
05/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",PNZ Carbon Ltd,542141,30228.87,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,EC4N 7AF,GRANT
06/10/2023,Outsourced Programme Management,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Hinduja Global Solutions UK Ltd,542183,186389.2,DESNZ - Energy Bill Discount Scheme DEL-Prog-Outsourced Programme Management,TW8 9AG,VENDOR
06/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",RheEnergise Ltd,542186,89943.58,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,EC3 7BA,GRANT
06/10/2023,Utilisation of Provisions - Purchase of Goods & Services - Other,DESNZ - Energy Infrastructure - DESNZ - Energy Development,CLYDE & CO LLP,542191,416705.48,DESNZ - BRITISH SHIPBUILDERS PROVISION-Utilisation of Provisions - Purchase of Goods & Services - Other,NE1 3AZ,VENDOR
06/10/2023,Outsourced Programme Management,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Xoserve Ltd,542236,27500,DESNZ - Energy Bill Discount Scheme DEL-Prog-Outsourced Programme Management,B91 3DL,GRANT
06/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",CAGE Technologies Ltd,542239,100661.1,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Outsourced Other,LA2 0DZ,GRANT
16/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Turner and Townsend Project Management Ltd,542364,293237.51,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Administration of Grants and Awards,LS18 4GH,VENDOR
06/10/2023,Economic Consultancy & Research,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,CAG CONSULT LLP T/A CAG CONSULTANTS,542367,143410.08,DESNZ - UK role in EU ETS-Economic Consultancy & Research,EC3N 1LS,VENDOR
13/10/2023,NCA - Additions - Shares and Equities - Central Government,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",NNB Holding Company (SZC) Ltd,542372,25000000,DESNZ - Sizewell C Financing-NCA - Additions - Shares and Equities - Central Government,W1T 4EZ,VENDOR
09/10/2023,Consultancy Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",BARCLAYS BANK PLC,542385,150000,DESNZ - New Nuclear Sizewell C (Net Zero)-Consultancy Expenditure,E14 5HP,VENDOR
09/10/2023,Technical Advice / Services & Support,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Softwire Technology Ltd,542391,35456.99,DESNZ - Energy Savings Advice Service-Technical Advice / Services & Support,NW5 1TL,VENDOR
23/10/2023,Consultancy Expenditure,DESNZ - Energy Infrastructure - DESNZ - Hydrogen and Industrial Carbon Capture,Ove Arup and Partners Ltd,542441,170999.94,DESNZ - Hydrogen and Industrial Energy Business Models-Consultancy Expenditure,NE1 3PL,VENDOR
10/10/2023,Procurement & Commercial Service,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,The Public Service Consultants Ltd T/A The PSC,542482,95223.6,DESNZ - Business Energy Efficiency Delivery-Procurement & Commercial Service,EC2M 2PF,VENDOR
09/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Kew Projects Ltd,542483,83506.34,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Outsourced Other,B3 3HN,VENDOR
09/10/2023,Other Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Reed Specialist Recruitment Ltd,542484,158760,DESNZ - Energy Bills Support Scheme-Other Professional Services,WC2A 1DT,VENDOR
09/10/2023,Business Rates,DESNZ - Energy Markets & Supply - DESNZ - Analysis Directorate,HM Revenue and Customs,542625,41000,DESNZ - Devolved Admin-Business Rates,BN11 1UR,WGA ONLY
09/10/2023,Other IT Consultancy,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,Astraeus Consulting Ltd,542627,110180,DESNZ - UK role in EU ETS-Other IT Consultancy,HP4 2DF,VENDOR
09/10/2023,R & D Technical Advice/Services and Support,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Deloitte LLP,542628,99820,DESNZ - Hydrogen Heating - CDEL expenditure-R & D Technical Advice/Services and Support,EC4A 3BZ,VENDOR
13/10/2023,Capital Grants To Public Corporations (PCs),DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,SALIX FINANCE LTD,542630,17270552.32,DESNZ - Public Sector Decarbonisation Scheme (PSDS)-Capital Grants To Public Corporations (PCs),E14 4PU,GRANT
31/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",FP McCann,542636,133039.99,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Current Grants to Private Sector - NPISH,BT45 8QA,GRANT
17/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Chameleon Technology (UK) Ltd,542639,29519.96,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,HG3 1UF,GRANT
16/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Chameleon Technology (UK) Ltd,542640,98466.1,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,HG3 1UF,GRANT
16/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Chameleon Technology (UK) Ltd,542641,32462.81,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,HG3 1UF,GRANT
10/10/2023,Hire of Interim Managers,DESNZ - Corporate Services - DESNZ - Finance Directorate,Alexander Mann Solutions Ltd,542653,117727.99,DESNZ - DESNZ Corporate Services Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
10/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Arniston Ltd T/A Snugg Energy,542657,63177,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,EH3 7TP,GRANT
10/10/2023,Other Professional Services,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Protection Directorate",NATIONAL NUCLEAR LABORATORY LTD,542658,208744,DESNZ - Nuclear Safeguards Programme-Other Professional Services,WA3 6AE,VENDOR
10/10/2023,Other Professional Services,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Protection Directorate",NATIONAL NUCLEAR LABORATORY LTD,542662,116743.06,DESNZ - Nuclear Safeguards Programme-Other Professional Services,WA3 6AE,VENDOR
