Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 17 773,Catering Supplies,Catering Food & Beverages ,17.11.2020,16.12.2020,GPC11200000168,6.91
Stockport MBC,Corporate and Support Services,Central Support Costs,REPLACEBASE,Furniture and Equipment,Environmental Services Technical Equipment ,26.11.2020,16.12.2020,GPC11200000169,102.40
Stockport MBC,Corporate and Support Services,Central Support Costs,REPLACEBASE,Furniture and Equipment,Environmental Services Technical Equipment ,25.11.2020,16.12.2020,GPC11200000170,118.55
Stockport MBC,Corporate and Support Services,Central Support Costs,REPLACEBASE,Furniture and Equipment,Environmental Services Technical Equipment ,04.11.2020,16.12.2020,GPC11200000171,18.50
Stockport MBC,Services to Place,Highways & Transport Services,BRITANNIA,Travelling Expenses,Human Resources Travel & Subsistence ,19.11.2020,16.12.2020,GPC11200000172,212.49
Stockport MBC,Services to Place,Highways & Transport Services,SANDGATE WORCESTER LTD,Expenses and Allowances,Catering  ,10.11.2020,16.12.2020,GPC11200000173,199.80
Stockport MBC,Services to Place,Highways & Transport Services,VIMEO.COM,Fees and Charges,Human Resources Training & Conferences ,06.11.2020,16.12.2020,GPC11200000174,71.84
Stockport MBC,Services to Place,Highways & Transport Services,WWW.RABOBETAALVERZOEK,Office Expenses,Facilities & Management Services  ,06.11.2020,16.12.2020,GPC11200000175,23.35
Stockport MBC,Services to Place,Environmental & Regulatory Services,CHARTERED INSTITUTE OF,Staff Training,Human Resources  ,06.11.2020,16.12.2020,GPC11200000176,396.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,CHARTERED INSTITUTE OF,Staff Training,Human Resources  ,06.11.2020,16.12.2020,GPC11200000177,342.00
Stockport MBC,Services to Place,Highways & Transport Services,WWW.HEALTHCARECONFEREN,Staff Training,Human Resources  ,06.11.2020,16.12.2020,GPC11200000178,516.25
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.EMAP.COM,Library Equipment,Education Library Books ,05.11.2020,16.12.2020,GPC11200000179,322.00
