Entity,GL Date,Merchant name,Amount,Description,,,,
DEFRA,13/06/2014,"DEFRA, NOBEL HOUSE  SMITH SQ, LON",888.00,Refreshments for 80 people attending Centre for Agricultural Informatics and Sustainability Metrics - 19 May 2014,,,,
DEFRA,11/06/2014,THE CASTLE HOTEL   TAUNTON  ,617.70,Accommodation for four people for one night attending a state visit for flooding and Tuberculosis (TB) control,,,,
DEFRA,25/06/2014,CIVIL SERVICE COLLEGE LONDON SW1H ,540.00,Training for one person attending Business Analysis Practice’ Impact of Judicial Review and the Human Rights Act training course ,,,,
DEFRA,17/06/2014,WWW.DTAPUBLICATIONS.CO INTERNET  ,520.00,One years individual electronic subscription to The Habitats Regulations Assessment Handbook,,,,
FERA,07/04/2014,Plastor Ltd,965.90,"96 harvest crates for a funded project, to improve the quality of produce by minimising bruising and scarring.",,,,
FERA,10/04/2014,Respiratory Protective Assessment Ltd,1080.00,Training for two people attending Respiratory Protective Equipment Course in Bristol,,,,
FERA,08/05/2014,slingsby,566.40,Catering trolley for samples which have been logged and are ready for preparation - funded project - Cost will be reimbursed,,,,
FERA,09/05/2014,EZR Shelving (R058300) Ref 011/05/14/DMH,1197.52,Shelving for improved storage and aluminium steps for health and safety requirements for a shared storage room at the Food and Environment Research Agency (Fera) site,,,,
FERA,12/05/2014,NYS,511.13,Return train tickets for two people from York to London attending a meeting with Sainsbury's - 15 May 2014,,,,
FERA,13/05/2014,IIR Ltd,2998.80,Training for one person attending the Radiological Protection Summer School at Cambridge University - 30 June-4July 2014,,,,
FERA,15/05/2014,Eurostar,662.00,"Return train tickets for two people from London to Avignon, France attending a Bi-lateral meeting with the French Department of Transport to discuss decontamination techniques in the underground system ",,,,
FERA,15/05/2014,Hamilton Crowne Plaza,720.00,"Accommodation for one person for four nights attending the Third Internal Vitamins Conference in Washington, DC, USA - 11-15 May 2014",,,,
FERA,15/05/2014,NYS,502.06,"Return flights for one person from Vilnius, Lithuania to Chisinau, Republic of Moldova to provide expertise on the Moldova Twinning Project - 25-31 May 2014",,,,
FERA,15/05/2014,NYS,1095.21,"Return flights for one person from London Gatwick to Tampa, Florida attending the North American Chemical Residue Workshop (NACRW) 2014 Conference and visit the Florida Department of Agriculture - 18-29 July 2014",,,,
FERA,15/05/2014,NYS CORPORATE,1082.08,"Flight for one person from London Heathrow to San Francisco, USA, attending the Association of Official Agricultural Chemists (AOAC) Conference - 8 August 2014",,,,
FERA,16/05/2014,NYS CORPORATE,954.62,"Return flights for one person from Washington, USA to Manchester to speak at the Food and Environment Research Agency (Fera) Joint Institute For Food Safety And Applied Nutrition (JIFSAN) Symposium - 7-11 June 2014",,,,
FERA,19/05/2014,fotosense,2599.00,Replacement photographic flash pack for Food and Environment Research Agency's (Fera's) photographer. Equipment had broken and could not be repaired by the original manufacturer,,,,
FERA,19/05/2014,SWANSTON FARM LTD,1000.00,Accommodation for three people for 12 nights attending the Seed Potato Classification Scheme training course in Edinburgh - 15-26 June 2014,,,,
FERA,20/05/2014,Press Association,954.00,Training for one person attending a Communication Through A Crisis Workshop held at the Press Association in London - 17 June 2014,,,,
FERA,21/05/2014,Epson,1100.00,Service engineer visit for a fixed price repair on an specialist Epson large format poster printer which was out of warranty. ,,,,
FERA,22/05/2014,BEST WESTERN,500.00,"Accommodation for two people for two nights attending the Chelsea Flower Show stand in Earls Court, London -22-23 May 2014",,,,
FERA,28/05/2014,AIM GROUP Brussels Office,541.32,"Registration of one person at the European Association For Potato Research (EAPR) 19th Triennial Conference in Brussels, Belgium - 6-11 July 2014",,,,
FERA,28/05/2014,Kent Entertainments Ltd,500.00,"Ground rent for a welfare portacabin in Paddock Wood, Kent for inspectors on the Asian Longham Beetle Survey - 14 March-13 April 2014",,,,
FERA,28/05/2014,NYS CORPORATE,1584.80,"Return flight for one person from London Heathrow to Denver, USA, attending the American Public Gardens Association Annual Conference (APGA) - 20-28 June 2014",,,,
FERA,28/05/2014,Pentland Cottages,540.00,Accommodation for one person for 10 nights attending the Seed Potato Classification Scheme training course in Edinburgh - 15-26 June 2014,,,,
FERA,29/05/2014,NYS CORPORATE,1237.84,Accommodation for one person for eight nights attending the American Public Gardens Association Annual Conference (APGA) in Denver -20-28 June 2014,,,,
FERA,30/05/2014,ALISTAIR BROMHEAD LTD,714.00,"Training for one person on a two day City and Guilds course 'Train The Trainer For Manual Handling' in Garforth, Leeds - 29-30 July 2014",,,,
FERA,30/05/2014,Portakabin,3438.72,"Hire for a welfare portacabin in Paddock Wood, Kent for inspectors on the Asian Longham Beetle Survey - 14 March-13 April 2014",,,,
FERA,02/06/2014,Holiday Inn Express,1380.00,Accommodation for four people for five nights in York attending Food Examination Performance Assessment Scheme (FEPAS) training course - 1-5 June 2014,,,,
FERA,02/06/2014,NYS,646.66,Train fares for four people from Salisbury to York to attend a Food Examination Performance Assessment Scheme (FEPAS) training course - 9-13 June 2014,,,,
FERA,03/06/2014,NYS,605.80,"Return flights for one person from London Heathrow to Bologna, Italy attending a European Union (EU) project proposal - 5-6 June 2014",,,,
FERA,03/06/2014,NYS,1274.99,"Return flights for one person from Manchester, UK to Taipei, Taiwan to speak at the International Symposium on Nanoscience and Nanotechnology in Food Symposium - 25-27 June 2014",,,,
FERA,04/06/2014,Hilton Grosvenor,935.00,"Accommodation for five people for two nights, and one person for one night, attending a specialised Information Technology Conference called Scotch On The Rocks in Edinburgh - 30 May-6 June 2014",,,,
FERA,05/06/2014,Hotel 'British House',536.03,"Accommodation for one person for eight nights attending the World Congress on Science and Consequence Management in Tbilisi, Georgia, USA - 30 May-6 June 2014",,,,
FERA,05/06/2014,LLOYDS PHARMACY,642.73,15 EpiPens to use by First Aiders to treat severe allergic reactions.,,,,
FERA,07/06/2014,YLLEN HOTEL EIFF,651.18,Accommodation for two people for three nights attending the European Union Harmonisation Meeting on plant health controls at the French Ministry of Agriculture in Paris,,,,
JNCC,24/06/2014,"Obsidian Hotel, Georgetown Ascension Island",526.50,Accommodation for one person for seven nights attending the South Atlantic Regional Workshop on the Ascension Island,,,,
JNCC,05/06/2014,LEITHS,545.00,"Room Hire and refreshments for 25 people attending a joint workshop between Joint Nature Conservation Committee (JNCC) and Centre for Environment, Fisheries and Aquaculture Science (Cefas) The Malting's, Ely - 11 June 2014 ",,,,
JNCC,24/06/2014,"Obsidian Hotel, Georgetown Ascension Island",598.75,Accommodation for one person for eight nights attending South Atlantic Regional Workshop on the Ascension Island,,,,
JNCC,26/06/2014,Finger Print,630.00,One Shredder,,,,
JNCC,23/06/2014,"Thon Hotel, Norway",658.74,Accommodation for one person for five nights attending International Council for the Exploration of the Sea benthic fishing symposium: Effects of fishing on benthic fauna and habitats,,,,
JNCC,24/06/2014,"Obsidian Hotel, Georgetown Ascension Island",745.65,Accommodation for one person for ten nights attending the South Atlantic Regional Workshop on the Ascension Island,,,,
JNCC,27/06/2014,"Obsidian Hotel, Georgetown Ascension Island",929.55,"Accommodation for one person for seven night and for one person for four nights,  including meals and Wi-Fi for three persons, with lunch for five people attending the South Atlantic Regional Workshop on the Ascension Island - 12 June 2014",,,,
JNCC,27/06/2014,"Obsidian Hotel, Georgetown Ascension Island",993.95,"Accommodation for one person for eights nights, including meals and Wi-Fi, attending the South Atlantic Regional Workshop on the Ascension Islands",,,,
JNCC,27/06/2014,"Great Northern Hotel, Peterborough",1213.80,"Accommodation for five people for one night attending the 99th Meeting of the Joint Nature Conservation Committee, including room and equipment hire and committee meal for 17 people - 11-12 June 2014",,,,
JNCC,13/06/2014,Haymarket Business Media,1233.60,Subscription for Environmental Data Services Europe - June 2014-June 2015,,,,
JNCC,24/06/2014,"Obsidian Hotel, Georgetown Ascension Island",1340.70,"Accommodation for one person for eleven nights, including meals and Wi-Fi, attending the South Atlantic Regional Workshop on the Ascension Island",,,,
KEW,12/06/2014,MONOMAX BUSINESS SERVIC,2500.13,Air travel and accommodation for four people for five nights attending the World Florida Online Meeting at the V L Komarov Botanical Institute of the Russian Academy of Science in St Petersburg - 23-27 June 2014,,,,
KEW,12/06/2014,KEY TRAVEL,635.54,Air travel for one person for five nights attending the World Florida Online Meeting at the V L Komarov Botanical Institute of the Russian Academy of Science in St Petersburg - 23-27 June 2014,,,,
KEW,02/06/2014,PAYPAL INANYEVENTU,607.36,Accommodation for one person for five nights attending the World Florida Online Meeting at the V L Komarov Botanical Institute of the Russian Academy of Science in St Petersburg - 23-27 June 2014,,,,
NE,03/06/2014,AMAZON EU,859.14,Two super-secure encrypted IronKey memory sticks for secure data transfer,,,,
NE,03/06/2014,BVSC ENTERPRISE LIMITED,621.24,Room hire and subsistence for 17 people for one day attending Innovation Team meeting,,,,
NE,03/06/2014,DEVELOP UK,1075.16,Training and subsistence for two people for one day attending Workforce Planning training day,,,,
NE,03/06/2014,FRANCOTYP,1048.00,Franking machine Top-Up for Crewe office - 13 May 2014,,,,
NE,03/06/2014,INVESTEC ASSET FINANCE    ABINGDON   ,1427.44,Rental of franking machine for the Crewe office - 1 May-31 July 2014  ,,,,
NE,04/06/2014,CAPITA BUS SVS-MOTO,600.00,Talis subscription (British Library loans on-line ordering system) - 1 June 2014-31 May 2015 ,,,,
NE,04/06/2014,MYCSP LTD,2476.80,Service costs associated with 2011-12 Natural England refresh Human Resources Consultancy,,,,
NE,04/06/2014,MYCSP LTD,1934.40,Service costs associated with 2011-12 Natural England refresh Human Resources Consultancy,,,,
NE,04/06/2014,PAYPAL WILDLIFECOM,1317.72,One satellite tag for Partnership Monitoring Project with Exeter University,,,,
NE,04/06/2014,PERTEMPS LTD,46346.06,Agency staff costs,,,,
NE,04/06/2014,PERTEMPS LTD,45541.44,Agency staff costs,,,,
NE,04/06/2014,PERTEMPS LTD,39688.92,Agency staff costs,,,,
NE,04/06/2014,PERTEMPS LTD,37482.53,Agency staff costs,,,,
NE,04/06/2014,PERTEMPS LTD,37174.54,Agency staff costs,,,,
NE,04/06/2014,ROYAL MAIL GROUP,2906.24,Postage costs - Newcastle office - 7 March-3 April 2014,,,,
NE,04/06/2014,SPREADER & SPRYR TST L,732.00,Fertiliser spreader calibration costs,,,,
NE,04/06/2014,WWW.NEOPOST.CO.UK,1030.00,Franking machine Top Up for Peterborough office - 8 May 2014,,,,
NE,06/06/2014,THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,861.90,"Overtime payment for 22 hours, including the additional Employer National Insurance costs  for one person seconded from Natural England to Marine Biological Association - 2013-14",,,,
NE,06/06/2014,OMNI INSTRUMENTS LTD,2066.40,Specialist technical equipment for use with sonar camera,,,,
NE,06/06/2014,PEBBLEBANK,2475.25,Accommodation including evening meal for 11 people for five nights for Special Area of Conservation (SAC) monitoring project ,,,,
NE,06/06/2014,PERTEMPS LTD,548.20,Agency staff costs,,,,
NE,06/06/2014,PERTEMPS LTD,542.47,Agency staff costs,,,,
NE,06/06/2014,SPREADER & SPRYR TST L,1644.00,Fertiliser spreader calibration costs,,,,
NE,06/06/2014,SPREADER & SPRYR TST L,1236.00,Fertiliser spreader calibration costs,,,,
NE,06/06/2014,SPREADER & SPRYR TST L,864.00,Fertiliser spreader calibration costs,,,,
NE,06/06/2014,THE WHITEHALL & INDUSTRY GROUP,900.00,Training and subsistence for one person for one day attending Whitehall Industry Group workshop,,,,
NE,10/06/2014,AMAZON MKTPLCE EU-UK,1019.47,Two super-secure encrypted IronKey memory sticks for secure data transfer,,,,
NE,10/06/2014,BVSC ENTERPRISE LIMITED,985.74,"Room, equipment hire and refreshments for 45 people for one day attending National Trail Partnership event",,,,
NE,10/06/2014,SPREADER & SPRYR TST L,732.00,Fertiliser spreader calibration costs,,,,
NE,10/06/2014,SPREADER & SPRYR TST L,612.00,Fertiliser spreader calibration costs,,,,
NE,10/06/2014,THE BEAR OF RODBOROUGH,2500.00,Accommodation including evening meal for 15 people for three nights attending Wildlife Adviser Introductory training course - Part one,,,,
NE,12/06/2014,PERTEMPS LTD,5618.58,Agency staff costs,,,,
NE,12/06/2014,PERTEMPS LTD,4176.01,Agency staff costs,,,,
NE,12/06/2014,PERTEMPS LTD,3847.22,Agency staff costs,,,,
NE,12/06/2014,PERTEMPS LTD,3354.84,Agency staff costs,,,,
NE,12/06/2014,PERTEMPS LTD,3310.07,Agency staff costs,,,,
NE,12/06/2014,PERTEMPS LTD,3088.87,Agency staff costs,,,,
NE,12/06/2014,ROYAL MAIL GROUP,2340.00,Postage costs - diversion of post from the now closed Rural Development Service office to the Bristol Natural England office,,,,
NE,12/06/2014,SEATRONICS LTD,1692.00,Hire of underwater video camera and associated equipment,,,,
NE,12/06/2014,THE BEAR OF RODBOROUGH,2500.00,"Accommodation, including evening meal, for 15 people for three nights attending Wildlife Adviser Introductory training course - Part two",,,,
NE,12/06/2014,THE BEAR OF RODBOROUGH,1450.50,"Accommodation, including evening meal, for 15 people for three nights attending Wildlife Adviser Introductory training course - Part three",,,,
NE,12/06/2014,WWW.BLUECHIPHOLIDAYS.CO.UK,1840.97,"Accommodation, including evening meal, for six people for five nights for Long Seagrass survey",,,,
NE,18/06/2014,WP-HR WALLINGFORD,660.00,Training and subsistence for one person for two days for Environmental Impacts of Dredging training course,,,,
NE,20/06/2014,EVANS EASYSPACE,705.60,Storage space charges - May 2014,,,,
NE,20/06/2014,INTER. INST STRATE,1067.10,Training and subsistence for 13 people for one day for Common Agricultural Policy (CAP) Stocktake meeting,,,,
NE,20/06/2014,OLD SWAN HOTEL,1363.65,"Accommodation, including evening meal, for ten people for one night and five people for two nights attending Greenspace and Engagement Team meeting",,,,
NE,24/06/2014,PERTEMPS LTD,632.05,Agency staff costs,,,,
NE,24/06/2014,TRAINING PATHS LTD,714.00,Training and subsistence for one person for one day for Confidence in Delivery training,,,,
NE,24/06/2014,VOUCHER EXPRESS B2B,767.50,Vouchers for 30 people for recognition of significant contribution to Marine Conservation Advice project,,,,
NE,26/06/2014,SANDERS COACHES,540.00,"Hire of two coaches to transport 43 people for two day ‘l’instrument financier pour l’environnement’, (EU LIFE) Platform Meeting",,,,
NE,30/06/2014,PERTEMPS LTD,3506.65,Agency staff costs,,,,
NE,30/06/2014,PERTEMPS LTD,3416.14,Agency staff costs,,,,
NE,30/06/2014,PERTEMPS LTD,3142.90,Agency staff costs,,,,
NE,30/06/2014,PERTEMPS LTD,2886.34,Agency staff costs,,,,
NE,30/06/2014,PERTEMPS LTD,2800.86,Agency staff costs,,,,
RPA,24/06/2014,"PROBRAND LTD.,",1778.04,20 Telephone / Computer Headsets,,,,
RPA,24/06/2014,Computacentre,2532.50,Feature Manipulation Engine software license renewal,,,,
EA,28/04/2014,LINCOLN SECURITY LTD,623.04,Twenty security locks for various North Essex sites,,,,
EA,07/05/2014,ERNEST DOE & SONS,775.37,Propane gas for bitumen boilers used in seawall repairs,,,,
EA,01/05/2014,MASSON SEELEY & CO,1157.94,"Ten safety signs for public safety for Brundon, Sudbury, Cattawade and Holbrook",,,,
EA,19/05/2014,STATUS SCIENTIFIC C0NT,675.57,Calibration and repair of four gas detectors for confined space entry,,,,
EA,27/05/2014,SIBBONS ALRESFORD,549.88,"Drill bits, compacted hire, trench wacker hire, wheel barrow, hand tools, spades, forks, plastic for Boxted Mill repair",,,,
EA,30/04/2014,WWW.EXTRANET.APLANT.CO,668.75,Service and testing of 25 items of small plant and equipment used by the North Suffolk Field Team,,,,
EA,01/05/2014,BRETT AGGREGATES LTD,811.20,"Top soil for repairs to defence at East Lane, Bawdsey",,,,
EA,12/05/2014,ERIKS IND SERVICES,3068.16,Gearbox for Byford Bridge sluice,,,,
EA,22/05/2014,MIDDLETON AGGREGATES L,1978.08,Large stone for river deflectors and riffles for Dillington Dereham,,,,
EA,06/05/2014,DRURYS SKIP HIRE,1476.48,"Operational waste from flood defence repairs at Blakeney, North Norfolk following coastal tidal surge damage in December 2013",,,,
EA,06/05/2014,DRURYS SKIP HIRE,1404.24,"Operational waste from flood defence repairs at Blakeney, North Norfolk following coastal tidal surge damage in December 2013",,,,
EA,19/05/2014,COUNTY LIFTING,1285.44,Hire of crane and contract lift to remove submersible pumps from Gretton flood storage reservoir for repair and inspection,,,,
EA,27/05/2014,I M G LTD,547.20,Eighteen tubs of red rag cleaning wipes for both Kettering Field Teams for use out of Environment Agency vans to clean hands out in the field ,,,,
EA,28/04/2014,BOC GASES,663.59,"Saw, Combi Cutting Attachment, Oxygen, Oxygen Flashback Arrestor, Fuel Flashback Arrestor for badged vehicle ",,,,
EA,19/05/2014,A & W CUSHION LTD,691.63,"Hand rail timbers, posts and sign backing boards",,,,
EA,29/04/2014,Hilti (Gt. Britain) Lt,911.09,Two new drills and bits for repair and maintenance work,,,,
EA,27/05/2014,ROSSENDALE GROUP L,1284.00,Supply and Installation of Anchor eyebolts and removable safety lines and adjustable lanyards at Ingoldmells Beach,,,,
EA,07/05/2014,CROMWELL TOOLS,1107.91,Lever pump and oil required for Mablethorpe Depot,,,,
EA,30/04/2014,GBM WASTE MANAGEMENT,3672.00,Transporting and galvanising of stop logs at Mablethorpe Depot,,,,
EA,27/05/2014,WWW.BBOFFICESUPPLIES.C,627.60,"Specialist office chair required for one person for Health, Safety and Wellbeing ",,,,
EA,30/04/2014,WWW.UK.RS-ONLINE.C,621.91,Parts for Cley Floodgates navigation lighting repair and PLC (Programmable Logic Controller)/inductive sensor to be held on site as critical spares.,,,,
EA,01/05/2014,ELECTRO GEAR LTD,4258.67,Electrical components to replace aging ones at Parkeston Pumping Station,,,,
EA,15/05/2014,W J GREEN LTD,667.86,"One commercial heavy duty petrol hover mower, tough serrated mowing line and heavy duty gloves for grounds maintenance on Environment Agency-owned structures ",,,,
EA,21/05/2014,GEOTECHNICAL INSTR,504.00,Calibration and servicing of gas analyser,,,,
EA,06/05/2014,CITY ELECTRICAL FA,3296.06,Replacement light fittings for pump station basement damaged after December 2013 tidal surge.  Special Zone 1 lights intrinsically safe from explosive gases.,,,,
EA,15/05/2014,INFORMA UK MOTO GB,2399.04,Fee for residential course for one person attending Radiological Protection Summer School 2014 held in Cambridge ,,,,
EA,09/05/2014,RS COMPONENTS,1329.60,Calibrated installation tester required for Wixoe Pumping Station needed for maintenance tasks,,,,
EA,06/05/2014,DARCY PRODUCTS LTD,642.31,"Restocking of pollution prevention products, eight clay drain-sealing mats, three packs of oil-absorbent pads, oil-absorbent booms - various sizes",,,,
EA,22/05/2014,TNT UK LTD,701.75,Contracted couriers used to deliver bottles to 45 different addresses,,,,
EA,14/05/2014,TNT UK LTD,568.79,Contracted couriers used to deliver bottles to 33 different addresses,,,,
EA,12/05/2014,TNT UK LTD,685.66,Contracted couriers used to deliver bottles to 42 different addresses,,,,
EA,19/05/2014,TNT UK LTD,555.00,Contracted couriers used to deliver bottles to an address in Gibraltar,,,,
EA,13/05/2014,TNT UK LTD,587.50,Contracted couriers used to deliver bottles to 42 different addresses,,,,
EA,14/05/2014,ARMADA HOUSE CONFERENC,1314.00,Room hire and refreshments for 42 people attending workshop to plan stakeholder engagement on river basin planning (Water Framework Directive) to prepare for consultations which are being launched in September 2014,,,,
EA,08/05/2014,MERCURE HOLLAND HOUSE,1670.00,Room hire and lunch for fifty people attending Improving Pollution Prevention launch,,,,
EA,12/05/2014,WATSON MARLOW LTD,3125.40,Pump tubing for the maintenance of field-based water quality monitoring equipment,,,,
EA,07/05/2014,WWW.BATTERYSTATION.CO.,998.00,Batteries for the running of handheld water quality monitoring equipment and its long term deployment,,,,
EA,21/05/2014,WWW.PLYMOUTH.AC.UK,900.00,Fee for one person attending a three-day professional training course in science leadership at Plymouth University,,,,
EA,13/05/2014,IBIS CARLISLE,695.40,Accommodation for eleven people for one night attending a Mine Waters Source Apportionment workshop,,,,
EA,20/05/2014,THISTLE THE COUNTY,552.00,Accommodation for eight people for one night attending a Mine Waters Source Apportionment workshop,,,,
EA,16/05/2014,PAR GROUP,614.16,Parts for construction of pump application equipment for invasive fish eradication operations,,,,
EA,16/05/2014,PAR GROUP,612.11,Parts for construction of pump application equipment for invasive fish eradication operations,,,,
EA,09/05/2014,Trimble Europe B.V,1284.55,Project-specific software maintenance for Geomatics network,,,,
EA,27/04/2014,MARRIOTT,687.25,Accommodation for three people for five nights representing Environment Agency at Hack the Town Hall event in London,,,,
EA,01/05/2014,HOLIDAY INNS,801.00,Accommodation for one person for nine nights during fieldwork on hydrographic surveys,,,,
EA,29/04/2014,YEOMANS CITROEN,510.37,Fourteen sets of rubber mats for new Citroen Berlingo vans,,,,
EA,23/05/2014,SERVELEC SYSTEMS LTD,840.00,Two 300 GB disks for telemetry system Oracle backups in Southwest and Anglian regions,,,,
EA,25/05/2014,WESTIN CANAL PLACE,541.26,Accommodation for one person for five nights attending Coastal Asset Management Conference in New Orleans,,,,
EA,28/04/2014,CALOR GAS ACCOUNT PAYM,745.08,"1,021 litres of gas for heating and hot water for Tonbridge Office",,,,
EA,20/05/2014,LINCOLN SECURITY LTD,558.05,Environment Agency standard padlocks and keys for Kennett Tunnel Inspection project,,,,
EA,21/05/2014,MARRIOTT,875.00,Venue hire and refreshments for 25 people attending Organisational Effectiveness and Development meeting,,,,
EA,27/05/2014,CIVIL SERVICE,665.00,Room hire and catering for twenty people attending a meeting to share Coastal Research and Development work and highlight new research needs and gaps,,,,
EA,13/05/2014,POSITIVIDID,2166.00,Five hundred blank plastic cards to be issued to staff and used as a warrant identity card,,,,
EA,07/05/2014,METLAB SUPPLIES LT,840.00,Consumable glassware used in the extraction of dichloromethane-based routine extractions,,,,
EA,12/05/2014,THAMES RESTEK UK LTD,783.18,Consumable inlet liner used on gas chromatograph flame ionization detectors for use in routine analysis of waters,,,,
EA,08/05/2014,PRIORY ROOMS (BULL STR,1206.00,Room hire for forty people attending a risk profiling workshop ,,,,
EA,27/05/2014,DEVERE VENUES COLM,836.50,Three-day room hire and lunch for seven people attending a meeting for mapping with trade union,,,,
EA,26/05/2014,WESTIN CANAL PLACE,535.46,Accommodation for one person for five nights attending Coastal Asset Management Conference in New Orleans,,,,
EA,30/04/2014,VALEPORT LTD,1250.29,Refurbishment and calibration of hydrographic survey instrument,,,,
EA,01/05/2014,RS COMPONENTS,846.79,Hose clips and quick release fittings for hoses on water quality pump sites,,,,
EA,13/05/2014,HOLIDAY INNS,534.00,Accommodation for one person for six nights attending hydrographic survey fieldwork in Shepperton,,,,
EA,01/05/2014,NLI SHAREFILE,3410.52,Monthly charges for Sharefile file transfer service,,,,
EA,29/04/2014,EUROPIPES (UK) LTD,600.00,Twinwall plastic pipes used in flood defence repairs,,,,
EA,28/04/2014,IAIN MACKIE LIMITED,933.60,Bio fuel tank maintenance - clean and replace alarm sensor,,,,
EA,28/04/2014,BUSINESS COPY CTR,726.00,Printing of North West Regional Flood and Coastal Committee papers for 25 April 2014 meeting,,,,
EA,07/05/2014,VEGA CONTROLS LTD,508.80,Interface adapter for radar configuration software,,,,
EA,13/05/2014,ENTWISTLE,1284.00,Format and printing of five thousand newsletters for Warrington Flood Defence Scheme,,,,
EA,13/05/2014,WARNHILL TOOL,900.00,Fabricated alloy toolbox for Heavy Goods Vehicle at Winsford Depot,,,,
EA,23/05/2014,COTSWOLD SEEDS LTD,1329.00,Grass seed for re-sowing River Mersey flood banks after re-shaping,,,,
EA,20/05/2014,MAXWELLAMEN,881.94,"Sixteen five-litre tubs of Roundup Pro Bio, a professional weed control approved for use in areas open to the public and animals",,,,
EA,29/04/2014,F H BRUNDLE,522.30,"Kee Clamp equipment for operational and public safety works, Leigh Depot Field Team, North West",,,,
EA,22/05/2014,INFORMA UK MOTO GB,2399.04,Attendance fees plus accommodation and evening meals for one person for four nights attending a training course on Radiological Protection ,,,,
EA,13/05/2014,FARNELL INTERNET,1144.62,Telemetry back-up batteries for power supply - back-up battery replacement project,,,,
EA,14/05/2014,INFORMA UK MOTO GB,2399.04,Fee for one person to attend Radiological Protection Residential Training course plus accommodation for that one person for four nights,,,,
EA,14/05/2014,FORESTRY COMMISSION,545.04,Biomass heating costs for Kielder hatchery from 31 January-31 March 2014,,,,
EA,02/05/2014,INVOTEC SOLUTIONS,1576.56,Two steel storage cabinets to be used at Riccall Depot.  Cabinets to be used to store small tools and consumables to enable a safe working location.,,,,
EA,06/05/2014,XYLEM ANALYTICS UK LTD,1428.00,Membrane caps for dissolved-oxygen meters,,,,
EA,30/04/2014,OTTER WATERSPORTS,737.50,"Personal Protective Equipment: one otter drysuit with neoprene neck, wrists and socks for electric fishing surveys; two pairs of rock boots for better biosecurity; and one 100g undersuit for surface boat work",,,,
EA,16/05/2014,CONFERENCE ASTON LTD,652.00,Accommodation for two people for four nights while attending a statistical analysis training course in Birmingham,,,,
EA,27/05/2014,WWW.TANKSERVICES.CO.UK,853.20,Honda 4-stroke petrol-powered pump and fifty metres of delivery hose for Rushey Lock,,,,
EA,07/05/2014,ESEDIRECT.CO.UK,1874.78,"Workbenches, racking and storage kit for Canterbury workshop",,,,
EA,27/05/2014,FARNELL INTERNET,1016.40,Fluke Test equipment for Canterbury workshop,,,,
